gemcode;gm_naam;wijk;wk_naam;jaar;lbrmtr;lbm9802;lbm9806;lbm9808;lbm9810;lbm9812;lbm0206;lbm0208;lbm0210;lbm0212;lbm0608;lbm0610;lbm0612;lbm0810;lbm0812;lbm1012;bev;lftsam;publ;veilig;vrz;won
3;Appingedam;0;Appingedam;1998;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-17,93448;-16,28495;-3,13558;24,11665;-7,38276;-19,27487
3;Appingedam;0;Appingedam;2002;5;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-2,79019;12,56515;-4,54342;25,22609;-15,16642;-13,80181
3;Appingedam;0;Appingedam;2006;5; ;3; ; ; ;3; ; ; ; ; ; ; ; ; ;-12,22859;8,21511;-1,13928;18,53365;-16,85898;-12,42442
3;Appingedam;0;Appingedam;2008;5; ; ;3; ; ; ;3; ; ;3; ; ; ; ; ;-2,08669;7,49747;-4,58953;19,73083;-16,96039;-5,52776
3;Appingedam;0;Appingedam;2010;5; ; ; ;3; ; ; ;3; ; ;3; ;3; ; ;-,89468;9,25193;2,70782;20,1381;-17,60475;-3,67657
3;Appingedam;0;Appingedam;2012;5; ; ; ; ;4; ; ; ;3; ; ;3; ;3;3;3,56807;3,32574;-2,73632;27,11578;-17,92008;-3,54121
5;Bedum;0;Bedum;1998;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8,60339;2,92754;,77556;37,70625;11,88547;26,48815
5;Bedum;0;Bedum;2002;6;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;18,47532;9,4594;-,71524;36,69145;-29,09816;30,77625
5;Bedum;0;Bedum;2006;6; ;3; ; ; ;3; ; ; ; ; ; ; ; ; ;15,17535;4,9084;,32213;35,11755;-29,87546;31,22235
5;Bedum;0;Bedum;2008;6; ; ;3; ; ; ;3; ; ;3; ; ; ; ; ;22,27486;6,29121;,90384;29,94699;-29,02989;30,88989
5;Bedum;0;Bedum;2010;6; ; ; ;3; ; ; ;3; ; ;3; ;3; ; ;22,5142;8,52395;10,00102;23,91212;-29,53661;30,98926
5;Bedum;0;Bedum;2012;6; ; ; ; ;3; ; ; ;3; ; ;3; ;3;3;25,11119;7,32887;-,95625;27,2272;-29,07959;29,40595
7;Bellingwedde;0;Bellingwolde;1998;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-16,57059;23,36987;-18,16322;41,4322;-12,63789;37,37072
7;Bellingwedde;0;Bellingwolde;2002;6;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-1,83939;33,64709;-19,88748;39,23989;-29,94793;39,13919
7;Bellingwedde;0;Bellingwolde;2006;6; ;3; ; ; ;3; ; ; ; ; ; ; ; ; ;-12,37798;26,74057;-19,73284;40,18478;-34,11737;38,9967
7;Bellingwedde;0;Bellingwolde;2008;6; ; ;3; ; ; ;3; ; ;3; ; ; ; ; ;-3,07435;23,97544;-30,36751;38,45835;-34,06796;39,28705
7;Bellingwedde;0;Bellingwolde;2010;6; ; ; ;3; ; ; ;3; ; ;3; ;3; ; ;-2,89372;26,7831;-14,00828;38,62605;-34,68476;40,17756
7;Bellingwedde;0;Bellingwolde;2012;6; ; ; ; ;3; ; ; ;3; ; ;3; ;3;3;-2,2364;26,75485;-11,4796;36,01167;-33,50035;40,17371
7;Bellingwedde;1;Oost;1998;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-21,07255;17,43279;-15,47712;41,40809;-16,48471;39,43159
7;Bellingwedde;1;Oost;2002;6;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,619;26,45159;-15,7184;43,54591;-41,65093;41,7352
7;Bellingwedde;1;Oost;2006;6; ;3; ; ; ;3; ; ; ; ; ; ; ; ; ;-10,72774;24,06073;-13,82465;43,34156;-41,73471;40,9147
7;Bellingwedde;1;Oost;2008;6; ; ;3; ; ; ;3; ; ;3; ; ; ; ; ;,3461;19,5546;-22,47284;39,58423;-41,73471;41,07665
7;Bellingwedde;1;Oost;2010;6; ; ; ;3; ; ; ;3; ; ;3; ;3; ; ;,02665;14,97055;11,94696;34,55454;-41,73471;40,43506
7;Bellingwedde;1;Oost;2012;6; ; ; ; ;3; ; ; ;3; ; ;3; ;3;3;3,70629;-6,33467;-,44251;35,21417;-40,86056;39,81929
7;Bellingwedde;2;Blijham;1998;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-9,96376;16,18365;-10,86244;42,23076;-22,58621;35,34228
7;Bellingwedde;2;Blijham;2002;6;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11,21883;21,30466;-12,03633;39,5206;-7,85277;30,34808
7;Bellingwedde;2;Blijham;2006;6; ;3; ; ; ;3; ; ; ; ; ; ; ; ; ;-1,28611;23,37088;-12,82464;41,68348;-12,74535;28,55055
7;Bellingwedde;2;Blijham;2008;6; ; ;3; ; ; ;3; ; ;3; ; ; ; ; ;2,74678;23,46863;-22,55121;38,53594;-13,75034;30,6574
7;Bellingwedde;2;Blijham;2010;6; ; ; ;3; ; ; ;3; ; ;3; ;3; ; ;5,26203;26,59165;-8,46121;34,49875;-14,52638;32,18644
7;Bellingwedde;2;Blijham;2012;6; ; ; ; ;3; ; ; ;3; ; ;3; ;3;3;4,9276;27,0727;-9,48345;36,23905;-14,66817;32,19852
9;Ten Boer;0;West;1998;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5,67047;14,08497;-2,08587;38,70346;5,20845;35,02361
9;Ten Boer;0;West;2002;6;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;12,60851;10,02261;-4,99277;32,68772;-20,6801;34,47297
9;Ten Boer;0;West;2006;6; ;3; ; ; ;3; ; ; ; ; ; ; ; ; ;13,47745;,43635;-,26828;25,86409;-26,41974;34,75227
9;Ten Boer;0;West;2008;6; ; ;3; ; ; ;3; ; ;3; ; ; ; ; ;19,3974;2,88676;-7,25797;28,33903;-26,73599;35,22319
9;Ten Boer;0;West;2010;6; ; ; ;3; ; ; ;3; ; ;3; ;3; ; ;19,81581;2,29642;12,55652;30,4156;-24,72507;35,12055
9;Ten Boer;0;West;2012;6; ; ; ; ;3; ; ; ;3; ; ;3; ;3;3;21,33364;,85854;6,64509;29,36894;-28,13004;35,5348
9;Ten Boer;1;Oost;1998;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-9,06607;16,65413;-,4987;38,66127;24,82866;43,75658
9;Ten Boer;1;Oost;2002;6;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-,91024;13,47034;-,45411;33,66921;-39,84296;44,06917
9;Ten Boer;1;Oost;2006;6; ;3; ; ; ;3; ; ; ; ; ; ; ; ; ;-5,40285;18,40811;2,23915;23,3993;-41,73471;41,06166
9;Ten Boer;1;Oost;2008;6; ; ;3; ; ; ;3; ; ;3; ; ; ; ; ;3,10458;23,50629;-13,90721;30,10332;-41,73471;42,45697
9;Ten Boer;1;Oost;2010;6; ; ; ;3; ; ; ;3; ; ;3; ;3; ; ;6,53108;24,315;18,82797;30,96154;-41,73471;42,61903
9;Ten Boer;1;Oost;2012;6; ; ; ; ;3; ; ; ;3; ; ;3; ;3;3;13,63289;22,05623;10,53885;32,75735;-41,73471;42,43504
10;Delfzijl;0;Stad;1998;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-29,05561;-,62428;-6,08277;9,14113;2,38018;-17,92159
10;Delfzijl;0;Stad;2002;5;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-15,37528;13,4612;-9,42762;6,25012;3,378;-10,90655
10;Delfzijl;0;Stad;2006;5; ;3; ; ; ;3; ; ; ; ; ; ; ; ; ;-25,47864;5,87684;-10,35356;7,04361;2,72403;-3,06401
10;Delfzijl;0;Stad;2008;5; ; ;3; ; ; ;3; ; ;3; ; ; ; ; ;-13,89681;10,45903;-8,78744;1,81249;3,51229;3,98469
10;Delfzijl;0;Stad;2010;5; ; ; ;3; ; ; ;3; ; ;3; ;3; ; ;-16,25938;13,10637;3,87879;2,47387;3,00676;8,28982
10;Delfzijl;0;Stad;2012;5; ; ; ; ;4; ; ; ;3; ; ;3; ;3;3;-11,07343;9,91562;3,8464;6,2232;2,03721;7,60448
10;Delfzijl;1;Land;1998;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3,15598;-2,04892;-20,83128;29,54043;-2,96272;38,4869
10;Delfzijl;1;Land;2002;6;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11,57827;6,21416;-20,82853;32,26476;-20,57671;40,65325
10;Delfzijl;1;Land;2006;6; ;3; ; ; ;3; ; ; ; ; ; ; ; ; ;13,96405;12,02147;-18,1289;34,27705;-20,39234;41,02284
10;Delfzijl;1;Land;2008;6; ; ;3; ; ; ;3; ; ;3; ; ; ; ; ;14,2708;12,79179;-28,43259;31,08138;-30,39869;40,63437
10;Delfzijl;1;Land;2010;6; ; ; ;3; ; ; ;3; ; ;3; ;3; ; ;15,22028;9,70978;-3,85138;23,70117;-30,40073;39,37067
10;Delfzijl;1;Land;2012;6; ; ; ; ;3; ; ; ;3; ; ;3; ;3;3;21,43308;5,59524;-4,72152;28,56906;-30,05979;37,61513
10;Delfzijl;2;Wijk 02;1998;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-8,81835;32,79649;3,21478;25,39329;38,55228;6,30483
10;Delfzijl;2;Wijk 02;2002;6;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10,42528;15,77426;,49377;23,99699;-26,04266;17,0033
10;Delfzijl;2;Wijk 02;2006;6; ;3; ; ; ;3; ; ; ; ; ; ; ; ; ;2,56275;1,13704;,78652;32,59547;-26,0032;18,9354
10;Delfzijl;2;Wijk 02;2008;6; ; ;3; ; ; ;3; ; ;3; ; ; ; ; ;10,19894;2,39118;-15,45804;27,63777;-27,51536;19,89546
10;Delfzijl;2;Wijk 02;2010;5; ; ; ;3; ; ; ;3; ; ;3; ;3; ; ;6,35524;2,81956;-3,83467;22,2301;-32,21282;15,83605
10;Delfzijl;2;Wijk 02;2012;6; ; ; ; ;3; ; ; ;3; ; ;3; ;3;3;13,7092;1,22831;,37698;24,58507;-32,44678;16,48599
10;Delfzijl;3;Wijk 03;1998;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-2,32282;-8,22988;-13,21631;28,216;-2,1596;31,36995
10;Delfzijl;3;Wijk 03;2002;6;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;12,90565;14,09896;-17,08338;24,53504;-18,88746;32,99872
10;Delfzijl;3;Wijk 03;2006;6; ;3; ; ; ;3; ; ; ; ; ; ; ; ; ;6,74714;15,63361;-16,17337;35,03711;-24,57409;31,37181
10;Delfzijl;3;Wijk 03;2008;6; ; ;3; ; ; ;3; ; ;3; ; ; ; ; ;8,07209;18,59011;-23,40832;31,32099;-33,70552;33,65209
10;Delfzijl;3;Wijk 03;2010;6; ; ; ;3; ; ; ;3; ; ;3; ;3; ; ;5,70946;20,56169;-4,89455;24,87943;-30,83359;35,54868
10;Delfzijl;3;Wijk 03;2012;6; ; ; ; ;3; ; ; ;3; ; ;3; ;3;3;12,36866;15,86155;-1,72437;25,51458;-30,9059;35,88091
14;Groningen;0;Binnenstad;1998;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-40,7138;-27,76053;2,76298;-47,99238;-27,20571;-14,57697
14;Groningen;0;Binnenstad;2002;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-3,41701;-28,38255;1,8622;-46,4301;48,61634;-8,27402
14;Groningen;0;Binnenstad;2006;5; ;5; ; ; ;3; ; ; ; ; ; ; ; ; ;-4,37323;-20,53302;3,1899;-44,0811;47,12332;-11,84424
14;Groningen;0;Binnenstad;2008;5; ; ;5; ; ; ;3; ; ;3; ; ; ; ; ;9,1465;-21,23237;4,51804;-43,35405;47,25324;-7,6987
14;Groningen;0;Binnenstad;2010;5; ; ; ;5; ; ; ;3; ; ;3; ;3; ; ;9,17901;-20,63481;12,53932;-44,38301;47,30481;-9,22974
14;Groningen;0;Binnenstad;2012;5; ; ; ; ;5; ; ; ;3; ; ;3; ;3;3;12,89022;-18,81296;13,29277;-39,29824;46,98965;-9,19598
14;Groningen;1;Schilders- en Zeeheldenwijk;1998;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-35,2083;-21,6717;-10,56753;-35,25182;39,95014;-39,39575
14;Groningen;1;Schilders- en Zeeheldenwijk;2002;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-8,94503;-14,60104;-15,04645;-34,36577;12,44076;-34,24279
14;Groningen;1;Schilders- en Zeeheldenwijk;2006;4; ;4; ; ; ;3; ; ; ; ; ; ; ; ; ;-12,62336;-17,67141;-10,19761;-29,56773;1,7816;-32,06344
14;Groningen;1;Schilders- en Zeeheldenwijk;2008;5; ; ;4; ; ; ;3; ; ;3; ; ; ; ; ;-,20217;-13,70496;-,52483;-24,36606;2,18044;-28,15697
14;Groningen;1;Schilders- en Zeeheldenwijk;2010;5; ; ; ;4; ; ; ;3; ; ;3; ;3; ; ;2,01423;-11,91566;10,73998;-25,54089;1,37384;-29,4081
14;Groningen;1;Schilders- en Zeeheldenwijk;2012;5; ; ; ; ;4; ; ; ;3; ; ;3; ;3;3;6,73238;-13,15479;9,72287;-20,23928;,66268;-30,35512
14;Groningen;2;Oranjewijk;1998;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-35,08432;-11,71507;-19,53892;-33,02587;24,2369;-40,6268
14;Groningen;2;Oranjewijk;2002;4;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-16,7565;,06832;-20,99061;-28,0841;21,4291;-37,81469
14;Groningen;2;Oranjewijk;2006;4; ;3; ; ; ;3; ; ; ; ; ; ; ; ; ;-23,18441;-6,72521;-20,41876;-23,90565;15,87013;-36,32292
14;Groningen;2;Oranjewijk;2008;4; ; ;4; ; ; ;3; ; ;3; ; ; ; ; ;-14,41884;-6,82132;-23,53808;-25,96172;14,55244;-34,03364
14;Groningen;2;Oranjewijk;2010;4; ; ; ;4; ; ; ;3; ; ;3; ;3; ; ;-10,91633;-6,92362;-8,32817;-27,0618;13,55506;-33,69019
14;Groningen;2;Oranjewijk;2012;5; ; ; ; ;4; ; ; ;3; ; ;3; ;3;3;-5,86752;-7,1617;5,14017;-21,0793;13,75685;-34,03019
14;Groningen;3;Korrewegwijk;1998;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-47,70736;-33,18848;-24,1908;-41,82702;-29,56135;-43,65797
14;Groningen;3;Korrewegwijk;2002;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-27,41486;-38,01349;-24,73234;-38,8784;35,13832;-42,4127
14;Groningen;3;Korrewegwijk;2006;4; ;4; ; ; ;3; ; ; ; ; ; ; ; ; ;-33,30656;-32,68315;-19,79931;-38,34965;22,1802;-40,3367
