FID,dijkrnr1,dijkrnr2,dijkr1,dijkr2,norm,vb_wk_nu,vb_wk_na,kd_naam,naam_compl,kd_code1,kd_code2,id_beheer,vnk_code,kunstwerk,kd_type,kd_type_om,kd_opm,categorie,toetsobjec,x_pr_dr,y_pr_dr,beheerder,provnaam,rws,status,opmerking,se_anno_cad_data,gdb_geomattr_data,shape
kunstwerken.1,35,nvt,Donge,nvt,1:2000,nvt,nvt,geen naam,nvt,KD.35.dw.005,nvt,KM_4017,nvt,868,dw,damwand,p35004,a,BWC,117573.130816,406840.977929,Waterschap Brabantse Delta,Noord-Brabant,NEE, , ,,,POINT (117573.13100000098 406840.9780000001)
kunstwerken.2,35,nvt,Donge,nvt,1:2000,nvt,nvt,Caissoncontructie OBC,nvt,KD.35.kr.006,nvt,KM_4016,nvt,869,kr,kademuur,p3500435 - p350603,a,BWC,117592.857808,406932.620209,Waterschap Brabantse Delta,Noord-Brabant,NEE, , ,,,POINT (117592.85799999908 406932.62000000104)
kunstwerken.3,35,nvt,Donge,nvt,1:2000,nvt,nvt,Damwand OBC,nvt,KD.35.dw.007,nvt,DW_4001,nvt,870,dw,damwand,p3500602 - p3500700,a,BWC,117630.459,407064.132,Waterschap Brabantse Delta,Noord-Brabant,NEE, , ,,,POINT (117630.45899999887 407064.1319999993)
kunstwerken.4,35,nvt,Donge,nvt,1:2000,nvt,nvt,Damwand Lodewikus Beton,nvt,KD.35.dw.008,nvt,DW_4001,nvt,871,dw,damwand,p3500700 - p3500843,a,BWC,117650.794,407162.267,Waterschap Brabantse Delta,Noord-Brabant,NEE, , ,,,POINT (117650.79399999976 407162.2670000009)
kunstwerken.5,35,nvt,Donge,nvt,1:2000,nvt,nvt,Damwand Biemans,nvt,KD.35.dw.009,nvt,DW_4001,nvt,872,dw,damwand,p3500843 - p3501115,a,BWC,117698.908224,407357.58799,Waterschap Brabantse Delta,Noord-Brabant,NEE, , ,,,POINT (117698.90799999982 407357.5879999995)
kunstwerken.6,35,nvt,Donge,nvt,1:2000,nvt,nvt,geen naam,nvt,KD.35.km.010,nvt,nvt,nvt,873,km,keermuur,p3500855 - p3501120 betonnen L-wand aan binnenkant,a,BWC,117700.771818,407366.976228,Waterschap Brabantse Delta,Noord-Brabant,NEE, , ,,,POINT (117700.77199999988 407366.9759999998)
kunstwerken.7,35,nvt,Donge,nvt,1:2000,nvt,nvt,Inlaat Snijders,nvt,KD.35.du.011,nvt,KDU,nvt,874,du,duiker,Een koker,a,waterkerend kunstwerk,117751.221712,407570.456215,Waterschap Brabantse Delta,Noord-Brabant,NEE, , ,,,POINT (117751.22199999914 407570.45600000024)
kunstwerken.8,35,nvt,Donge,nvt,1:2000,nvt,nvt,Damwand brug bovensteweg,nvt,KD.35.dw.012,nvt,KM_4008,nvt,875,dw,damwand,p3501105 - p3501220,a,BWC,117926.281,408421.566,Waterschap Brabantse Delta,Noord-Brabant,NEE, , ,,,POINT (117926.2809999995 408421.56599999964)
kunstwerken.9,35,nvt,Donge,nvt,1:2000,nvt,nvt,Riooloverstort Gooikesdam,nvt,KD.35.du.013,nvt,hwb_dr_4008,nvt,876,du,duiker,nvt,a,waterkerend kunstwerk,117988.16611,409022.989231,Waterschap Brabantse Delta,Noord-Brabant,NEE, , ,,,POINT (117988.16600000113 409022.98900000006)
kunstwerken.10,35,nvt,Donge,nvt,1:2000,nvt,nvt,RWZI Dongemond,nvt,KD.35.py.014,nvt,ZDO-effl.,nvt,877,py,leidingen,Effluentleiding,a,waterkerend kunstwerk,117698.837736,409678.529303,Waterschap Brabantse Delta,Noord-Brabant,NEE, , ,,,POINT (117698.83799999952 409678.52899999917)
