FID,omschr,afst_obst,pos_omschr,beginwdl,beginkm,eindwdl,eindkm,kantcode,wegnummer,fk_veld4,izi_side,ibn,gdb_geomattr_data,shape
wegbermen_kenmerk.1,Ondergronds,5 -> 5,Buitenberm,R,58.63199997,R,58.63299942,T,035,KLK0008121800,L,I,,"LINESTRING (248168.06309999898 475566.430399999, 248167.91409999877 475567.4191999994)"
wegbermen_kenmerk.2,Berm met geleideconstructie,1 -> 1,Buitenberm,R,23.5,R,24.18799973,H,036,KLK0008123000,R,I,,"LINESTRING (235892.94559999928 501975.8167000003, 236086.9811999984 501815.2890000008, 236153.9875999987 501759.46180000156, 236260.92280000076 501670.84800000116, 236375.42269999906 501576.2661000006, 236420.69200000167 501539.11620000005)"
wegbermen_kenmerk.3,Berm met geleideconstructie,3 -> 2.5,Buitenberm,R,35.86100006,R,35.9090004,T,037,KLK0008124200,L,I,,"LINESTRING (262255.93499999866 528739.9640000015, 262249.2938000001 528740.2122999988, 262214.00930000097 528741.1614000015, 262207.95329999924 528741.2644999996)"
wegbermen_kenmerk.4,RIMOB,2 -> 1.5,Buitenberm,R,2.08500004,R,2.09200001,H,044,KLK0008125000,R,I,,"LINESTRING (103388.93230000138 471797.91589999944, 103382.01040000096 471796.873399999)"
wegbermen_kenmerk.5,Berm met geleideconstructie,4 -> 4,Buitenberm,R,122.10900116,R,122.22299957,T,050,KLK0008126800,L,I,,"LINESTRING (169703.4684999995 408645.5379999988, 169701.71200000122 408602.57389999926, 169700.46950000152 408564.9167999998, 169699.77820000052 408531.6015000008)"
wegbermen_kenmerk.6,Berm met geleideconstructie,4 -> 4,Buitenberm,R,165.05000305,R,165.15100098,T,050,KLK0008127600,L,I,,"LINESTRING (182094.10330000147 445037.8707999997, 182080.75769999996 445028.48519999906, 182048.2298000008 445005.20540000126, 182012.75609999895 444979.45589999855, 182012.07279999927 444978.9497000016)"
wegbermen_kenmerk.7,Ondergronds,1 -> 1,Buitenberm,R,96.59400177,R,96.59500122,T,050,KLK0008129500,L,I,,"LINESTRING (160247.6724999994 389732.09800000116, 160246.68879999965 389731.9182000011)"
wegbermen_kenmerk.8,Ondergronds,1 -> 1,Middenberm,R,34.51800156,R,34.51900101,H,058,KLK0008133300,R,I,,"LINESTRING (136577.58570000157 395580.9081000015, 136578.3311999999 395581.57459999993)"
wegbermen_kenmerk.9,Berm met geleideconstructie,.75 -> .75,Middenberm,R,47.78900146,R,47.82600021,H,058,KLK0008133600,R,I,,"LINESTRING (124376.98299999908 395972.27529999986, 124418.63800000027 395966.90309999883)"
wegbermen_kenmerk.10,Berm met geleideconstructie,3.75 -> 3.75,Buitenberm,R,58.43600082,R,58.52899933,T,058,KLK0008133900,L,I,,"LINESTRING (114333.18899999931 394517.4173000008, 114394.69860000163 394558.2868000008, 114411.38910000026 394569.57719999924)"
wegbermen_kenmerk.11,Berm met geleideconstructie,3.5 -> 4.5,Buitenberm,R,87.62799835,R,87.65499878,T,058,KLK0008134300,L,I,,"LINESTRING (94354.41939999908 395457.1240000017, 94380.20600000024 395465.12739999965)"
wegbermen_kenmerk.12,Berm met geleideconstructie,1 -> 5.5,Middenberm,R,119.05699921,R,119.1210022,T,058,KLK0008134800,L,I,,"LINESTRING (77712.9899000004 383052.8231000006, 77699.66519999877 383050.05420000106, 77680.04560000077 383046.1711000018, 77649.21599999815 383040.26359999925)"
wegbermen_kenmerk.13,Obstakelvrije berm,,Buitenberm,R,143.48599243,R,144.6000061,T,058,KLK0008135200,L,I,,"LINESTRING (54673.21409999952 388264.97949999943, 54693.020799998194 388256.8636999987, 54788.15100000054 388215.78539999947, 54887.64629999921 388171.4695000015, 55013.704700000584 388113.16970000044, 55108.28680000082 388067.6068999991, 55207.083000000566 388018.49329999834, 55453.90509999916 387889.8227000013, 55560.74350000173 387829.4851000011, 55665.425599999726 387769.2408999987, 55665.44990000129 387769.2265999988)"
wegbermen_kenmerk.14,Berm met obstakels,,Buitenberm,R,157.23399353,R,157.33000183,T,059,KLK0008140800,L,I,,"LINESTRING (168489.32889999822 416884.2280000001, 168475.04809999838 416875.436999999, 168459.940200001 416865.6477999985, 168443.48330000043 416854.34420000017, 168427.6548999995 416842.77600000054, 168415.5124000013 416833.445700001, 168411.3541000001 416830.0879999995)"
wegbermen_kenmerk.15,Berm met geleideconstructie,4 -> 6.5,Buitenberm,R,33.65399933,R,33.68399811,T,067,KLK0008143200,L,I,,"LINESTRING (172824.07470000163 381599.7283000015, 172794.43320000172 381595.1046999991)"
wegbermen_kenmerk.16,Obstakelvrije berm,,Buitenberm,R,40.70800018,R,40.75400162,H,073,KLK0008144500,R,I,,"LINESTRING (208164.96799999848 374074.16739999875, 208130.51029999927 374104.6413999982)"
wegbermen_kenmerk.17,Berm met geleideconstructie,1 -> 1,Middenberm,R,45.26699829,R,45.50799942,H,073,KLK0008144600,R,I,,"LINESTRING (206431.45080000162 377876.9824000001, 206430.4578000009 377874.6699000001, 206422.33549999818 377856.3889000006, 206413.9712000005 377838.22140000015, 206396.52870000154 377802.2212000005, 206382.5786000006 377774.41380000114, 206354.9576999992 377721.1512000002, 206329.1667000018 377672.15850000083)"
wegbermen_kenmerk.18,Berm met geleideconstructie,4.25 -> 4.25,Buitenberm,R,62.94599915,R,63.15200043,H,073,KLK0008144900,R,I,,"LINESTRING (197882.51529999822 392238.1290999986, 197874.35020000115 392255.11989999935, 197866.9792000018 392270.98999999836, 197858.71290000156 392289.2023999989, 197850.38269999996 392308.17060000077, 197834.72360000014 392345.29100000113, 197827.12570000067 392363.78180000186, 197812.2221999988 392400.9153999984, 197801.8739 392427.622299999)"
wegbermen_kenmerk.19,Ondergronds,4.5 -> 4.5,Buitenberm,R,74.84500122,R,74.84600067,H,073,KLK0008145100,R,I,,"LINESTRING (193507.26080000028 402606.5212999992, 193506.48530000076 402607.15260000154)"
wegbermen_kenmerk.20,Berm met geleideconstructie,1.5 -> 1.5,Middenberm,R,114.55500031,R,114.69999695,T,073,KLK0008145700,L,I,,"LINESTRING (177288.4754000008 430035.97679999843, 177233.92350000143 430064.0500999987, 177200.25129999965 430081.59970000014, 177153.80209999904 430106.4466000013)"
wegbermen_kenmerk.21,Berm met obstakels,,Buitenberm,R,25.61000061,R,25.64599991,H,835,KLK0008151000,R,I,,"LINESTRING (220133.46609999985 487999.7523000017, 220144.88329999894 487997.98959999904, 220153.3968999982 487996.16530000046, 220168.20679999888 487992.1693000011, 220168.5962000005 487992.07279999927)"
wegbermen_kenmerk.22,Berm met geleideconstructie,4.5 -> 1.5,Buitenberm,R,22.41600037,R,22.44099998,H,915,KLK0008151400,R,I,,"LINESTRING (103078.74650000036 429965.2122000009, 103081.91699999943 429966.5170999989, 103091.28310000151 429970.0817999989, 103103.21930000186 429973.9585000016)"
