FID,mirtnr,mirtnrid,project,omschr,onderwerp,gebied,fase,ministerie,besluit,startreal,oplevering,f_mln,gdb_geomattr_data,shape
mirt2019_punten_mirtnr.1,764,76401,Reevesluis, ,Waterveiligheid,Oost-Nederland,Realisatie,IenW,2017,2017,2022,94,,POINT (186959.8178000003 503647.7672000006)
mirt2019_punten_mirtnr.2,777,77701,Sporen Schiedam – Rotterdam, ,Spoorwegen personen,Zuidwest-Nederland,Planuitwerking,IenW,2018, , ,25,,POINT (87727.3359999992 437508.2280000001)
mirt2019_punten_mirtnr.3,667,66701,PHS: Overweg Veenendaal Klompersteeg, ,Spoorwegen personen,Noordwest-Nederland,Realisatie,IenW, ,2016,2019,9,,POINT (166755.78669999912 451155.8115000017)
mirt2019_punten_mirtnr.4,670,67001,PHS Spooromgeving Geldermalsen, ,Spoorwegen personen,Oost-Nederland,Realisatie,IenW,2017,2019,2021,135,,POINT (147022.20699999854 432709.34910000116)
mirt2019_punten_mirtnr.5,615,61503,A10 Knooppunten De Nieuwe Meer en Amstel,KP. Amstel,Hoofdwegen,Noordwest-Nederland,Realisatie,IenW,2016,2017,2028,305,,POINT (122692.17029999942 482379.26089999825)
mirt2019_punten_mirtnr.6,615,61502,A10 Knooppunten De Nieuwe Meer en Amstel,KP. De Nieuwe Meer,Hoofdwegen,Noordwest-Nederland,Realisatie,IenW,2016,2017,2028,305,,POINT (117858.61719999835 483457.879900001)
mirt2019_punten_mirtnr.7,610,61001,Besluit beheer Haringvlietsluizen,Haringvlietsluizen,Zoetwater,Zuidwest-Nederland,Realisatie,IenW,2014,2015/2018, ,76,,POINT (62830.799400001764 427997.3520999998)
mirt2019_punten_mirtnr.8,576,57601,Capaciteit Volkaraksluizen, ,Hoofdvaarwegen,Zuidwest-Nederland,Planuitwerking,IenW, , ,2017/2024-2026,155,,POINT (87391.5148999989 411753.00549999997)
mirt2019_punten_mirtnr.9,370,37001,Nadere uitwerking rivierengebied (NURG),2 Uiterwaardvergraving Rijnwaardense uiterwaarden (2018),Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (201743.65960000083 431468.5441999994)
mirt2019_punten_mirtnr.10,370,37002,Nadere uitwerking rivierengebied (NURG),8 Natuurontwikkelingsproject Noordwaard,Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (114619.78599999845 421641.6783999987)
mirt2019_punten_mirtnr.11,370,37003,Nadere uitwerking rivierengebied (NURG),"1 Uiterwaardvergraving Welsumerwaarden en Fortmonderwaarden 80% gereed, restant 2020",Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (193660.97659999877 505606.0031999983)
mirt2019_punten_mirtnr.12,370,37003,Nadere uitwerking rivierengebied (NURG),"1 Uiterwaardvergraving Welsumerwaarden en Fortmonderwaarden 80% gereed, restant 2020",Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (203578.1083999984 484494.1647000015)
mirt2019_punten_mirtnr.13,370,37010,Nadere uitwerking rivierengebied (NURG),10 Hemelrijkse Waard (2016),Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (156711.60979999974 427358.03069999814)
mirt2019_punten_mirtnr.14,370,37010,Nadere uitwerking rivierengebied (NURG),10 Hemelrijkse Waard (2016),Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (161290.4871999994 425102.62139999866)
mirt2019_punten_mirtnr.15,370,37009,Nadere uitwerking rivierengebied (NURG),9 Ruimte voor de Lek / Uiterwaardvergraving Vianen,Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (134244.19090000167 445563.7325000018)
mirt2019_punten_mirtnr.16,370,37004,Nadere uitwerking rivierengebied (NURG),6 Uiterwaardvergraving Renkumse en Wageningse benedenwaarden en veerstoep Lexkesveer,Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (209794.67309999838 461497.91310000047)
mirt2019_punten_mirtnr.17,370,37004,Nadere uitwerking rivierengebied (NURG),6 Uiterwaardvergraving Renkumse en Wageningse benedenwaarden en veerstoep Lexkesveer,Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (176813.57070000097 441817.185800001)
mirt2019_punten_mirtnr.18,370,37005,Nadere uitwerking rivierengebied (NURG),7 Heesseltsche Uiterwaarden (2020),Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (149457.11059999838 425051.4224999994)
mirt2019_punten_mirtnr.19,370,37005,Nadere uitwerking rivierengebied (NURG),7 Heesseltsche Uiterwaarden (2020),Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (151315.04360000044 425314.86080000177)
mirt2019_punten_mirtnr.20,370,37006,Nadere uitwerking rivierengebied (NURG),5 Uiterwaardvergraving Afferdensche- en Deetsche waarden (2019),Waterveiligheid,Nationaal,Realisatie,IenW en EZ, , ,2017-2020,133,,POINT (160381.25869999826 434715.81529999897)
