Ministerie;Handelsnaam;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
AZ;Coolblue B.V.;;1;;;;1
AZ;DCS (D Cleaning Service);;1;;;;1
AZ;Dunea N.V.;;;1;;;1
AZ;Electro-Engros van der Wiel B.V.;;1;;;;1
AZ;Henri de Jong Tuinen B.V.;;1;;;;1
AZ;Koek & Reinders Schilderwerken B.V.;;1;;;;1
AZ;Mastermate VBT Groep;;1;;;;1
AZ;Mertens B.V.;;1;;;;1
AZ;Nikoi;;1;;;;1
AZ;Protinus IT B.V.;;1;;;;1
AZ;Stedin Meetbedrijf;;;1;;;1
AZ;Strukton Worksphere;;1;;;;1
AZ;Thermofrost B.V.;;1;;;;1
AZ;Unica Installatietechniek;;1;;;;1
AZ;Van der Velde, ''t Veentje B.V.';;;;1;;1
AZ;Zegwaard Rioolbeheer B.V.;;1;;;;1
BZ;A.V.C. Audio Video Communicatie B.V.;;1;;;;1
BZ;AAA Display B.V.;;1;;;;1
BZ;Abonnementenland;;1;;;;1
BZ;Acceleratio B.V.;;1;;;;1
BZ;Ad Em Producties B.V.;;1;;;;1
BZ;Airinc International Holdings B.V. Amsterdam;;1;;;;1
BZ;Airinc Research Uk Ltd Londen;;1;;;;1
BZ;Ak Ay Gida Rescate Hotels Ankara;;;;;1;1
BZ;Ak Media Productions;;1;;;;1
BZ;Amaze Escape Events;;1;;;;1
BZ;Annelies Kraan Beheer B.V.;;1;;;;1
BZ;Aon B.V.;;1;;;;1
BZ;Arabisch Vertaalbureau Abdellatif (Ava);;1;;;;1
BZ;Ardis Opleidingen B.V.;;1;;;;1
BZ;Art & Allposters International B.V.;;1;;;;1
BZ;Art Copy Team;;1;;;;1
BZ;ASMORO B.V.;;1;;;;1
BZ;Athenas B.V.;;1;;;;1
BZ;Attentio;;1;;;;1
BZ;August;;1;;;;1
BZ;B.V. Panorama Mesdag;;1;;;;1
BZ;Babycompany.nl;;1;;;;1
BZ;Bar Restaurant Pavlov B.V.;;1;;;;1
BZ;BeGlobal Relatiegeschenken;;1;;;;1
BZ;Berenschot Groep B.V.;;1;;;;1
BZ;Beroepsvereniging voor Public Affairs (Bvpa);;1;;;;1
BZ;Beurtvaartadres douane B.V.;;1;;;;1
BZ;Borzo Kunsthandel B.V.;;;;;1;1
BZ;Breakaway;;1;;;;1
BZ;Brian Ashman Dutch Translations;;1;;;;1
BZ;Brinks V.O.F.;;1;;;;1
BZ;British Council;;1;;;;1
BZ;Budoflex;;1;;;;1
BZ;Buena Vista Beach Club B.V.;;1;;;;1
BZ;Bureau van Bijlert;;1;;;;1
BZ;Café Haags Filmhuis;;1;;;;1
BZ;Carlton Hotel Collection;;1;;;;1
BZ;CDAC Network Limited;;1;;;;1
BZ;Centraal Boekhuis B.V.;;1;;;;1
BZ;Chocolaterie Gelaterie De Lelie;;1;;;;1
BZ;Coolblue B.V.;;1;;;;1
BZ;Creatiff Grafische Producties;;1;;;;1
BZ;Customer Contact Company B.V.;;1;;;;1
BZ;Da Portare Via Amsterdam B.V.;;1;;;;1
BZ;DarkPark Delft;;1;;;;1
BZ;De Baak B.V.;;1;;;;1
BZ;De Jonge Helden;;1;;;;1
BZ;De Roo Taxi B.V.;;1;;;;1
BZ;De Vegetarische Slager;;1;;;;1
BZ;Diebels Relatiegeschenken B.V.;;1;;;;1
BZ;Diner Thuis;;1;;;;1
BZ;Discountoffice.nl B.V.;;1;;;;1
BZ;Dopper;;1;;;;1
BZ;Dubois & Co. Registeraccountants;;1;;;;1
BZ;Duodecima;;1;;;;1
BZ;Elycio Talen B.V.;;1;;;;1
BZ;Emerce B.V.;;1;;;;1
BZ;EMMA Communicatie B.V.;;1;;;;1
BZ;Engelen en Partners Organisatieontwikk. B.V.;;1;;;;1
BZ;Eur. Instit. voor Certified Public Controll.;;1;;;;1
BZ;Everaert Advocaten;;1;;;;1
BZ;Fanbased B.V.;;1;;;;1
BZ;Firma Hof der Muzen;;1;;;;1
BZ;Gebr. Barendsen B.V.;;1;;;;1
BZ;Genootschap Onze Taal;;1;;;;1
BZ;Gerritsen & IJzereef B.V.;;1;;;;1
BZ;GJM Communicatie B.V.;;1;;;;1
BZ;Gran Mercado B.V.;;1;;;;1
BZ;Granny's Corner;;1;;;;1
BZ;Gunnebo Nederland B.V.;;;;;1;1
BZ;Hans Steijger Muziek op Maat;;1;;;;1
BZ;Hennequin Consultancy B.V.;;1;;;;1
BZ;Het Nutshuis;;1;;;;1
BZ;Het Sleutelhuis B.V.;;1;;;;1
BZ;Holland Tour Guides B.V.;;1;;;;1
BZ;Hollandse Hoogte B.V.;;1;;;;1
BZ;Horeca Exploit. Maatschappij City Hall B.V.;;1;;;;1
BZ;Hotel Beethoven Amsterdam;;1;;;;1
BZ;HOTEL BERLAYMONT;;1;;;;1
