VERSIE,ID,NAAM,AFKORTING,TYPE,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,ROTATIE,X,Y,LATITUDE,LONGITUDE
001,510,Oosterhout West stad,Otw,Goederen Emplacement,823,a,823,823_a,Oosterhout Weststad,Hzl-Otw,Hooge Zwaluwe - Oosterhout Weststad ,4.999706,"4,999706",0.42027,"0,420270",0,117001,408881,51.6674495779557,4.83792740184617
001,511,Kragge,Krag,Goederen Emplacement,127,a,127,127_a,Roosendaal - Vlissingen,Rsd-Vs,Roosendaal - Vlissingen ,8.600194,"8,600194",0.023648,"0,023648",0,82468,391638,51.5090751025173,4.34238899363101
001,512,Nieuwe Veerbrug Overloopw,Nvbro,Overloop,121,a,121,121_a,Breda - Lage Zwaluwe,Bd-Rtd,Breda - Rotterdam Centraal ,8.400699,"8,400699",-0.32732,"-0,327320",0,107466,405501,51.6363425226983,4.70056843848567
001,513,Sloehaven empl.,Sloe,Goederen Emplacement,817,a,817,817_a,Vlissingen Sloehaven,Sloe-Vck,Sloehaven Emplacement - Van Citterskanaal ,114.400135,"114,400135",0.341738,"0,341738",0,40566,386076,51.4521392616452,3.74080029885819
001,514,Willemsdorp,Wld,Overloop,119,a,119,119_a,Lage Zwaluwe - Dordrecht,Bd-Rtd,Breda - Rotterdam Centraal ,21.199917,"21,199917",0.358018,"0,358018",0,103268,417419,51.7430885228054,4.63816142441367
001,515,Markbrug - tussen Zevenbergen en Oudenbosch,Mabr,Brug,120,a,120,120_a,Lage Zwaluwe - Roosendaal,Zlw-Np,Lage Zwaluwe - Nispen ,9.740189,"9,740189",0.058984,"0,058984",0,100022,404244,51.6243645803714,4.59324625293023
001,516,Borne,Bn,Halte,025,,25,025__,Almelo - Hengelo,Aml-Hgl,Almelo - Hengelo ,10.064771,"10,064771",0.429844,"0,429844",0,247850,479835,52.298644034319,6.74841621736097
001,517,Assen,Asn,Station,654,,654,654__,Assen,Mp-Gn,Meppel - Groningen ,49.334533,"49,334533",0.236045,"0,236045",0,234502,556776,52.9920844508591,6.57124246851995
001,518,Zwolle Raccordement Noord,Zlrn,Goederen Emplacement,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,1.285145,"1,285145",12.838066,"12,838066",0,201850,501600,52.5000873810524,6.07715029409473
001,519,Apeldoorn Osseveld,Apdo,Halte,023,,23,023__,Apeldoorn - Deventer,Apd-Dv,Apeldoorn - Deventer ,2.649899,"2,649899",-0.483209,"-0,483209",0,197217,469877,52.2153651323518,6.00494161632323
001,520,Apeldoorn VAM,Apdvam,Goederen Emplacement,209,,209,209__,Dieren - Apeldoorn,Dr-Apd,Dieren - Apeldoorn ,19.259768,"19,259768",0.047851,"0,047851",0,195736,467102,52.1905363536063,5.98293851978673
001,521,Deventer goed. empl.,Dvge,Goederen Emplacement,503,c,503,503_c,Deventer,Ah-Zl,Arnhem - Zwolle ,42.735394,"42,735394",0.242236,"0,242236",0,208628,474533,52.2562173260918,6.17263705075266
001,522,Meppel aansl.,Mpa,Aansluiting,502,b,502,502_b,Meppel,Zl-Lw,Zwolle - Leeuwarden ,101.27012,"101,270120",0.007003,"0,007003",0,209895,523500,52.6961407271028,6.19923693263396
001,523,Enschede Kennispark,Esk,Halte,028,,28,028__,Hengelo - Enschede Grens,Zp-Esg,Zutphen - Enschede Grens ,49.299862,"49,299862",-0.284206,"-0,284206",0,254176,473119,52.2371940061125,6.83915808122495
001,524,VAM-terrein Wijster,Vam,Goederen Emplacement,012,,12,012__,Meppel - Assen,Mp-Gn,Meppel - Groningen ,24.369592,"24,369592",0.2575,"0,257500",0,229515,532246,52.77239275278,6.49139654742168
001,525,Snippeling aansl.,Spa,Aansluiting,503,c,503,503_c,Deventer,Ah-Zl,Arnhem - Zwolle ,40.912847,"40,912847",-0.363127,"-0,363127",0,210191,474127,52.2524141658249,6.1954602276025
001,526,Kampen Zuid - Hattemerbroek Aansl.,Kpzhtb,Aansluiting,161,,161,161__,Lelystad Industrieterrein - Hattemerbroek,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,40.500289,"40,500289",-0.080266,"-0,080266",0,195794,501963,52.5038349899631,5.98801489127485
001,527,Wijhe,Wh,Halte,018,,18,018__,Deventer - Zwolle,Ah-Zl,Arnhem - Zwolle ,59.671297,"59,671297",-0.351308,"-0,351308",0,206317,489511,52.3910450864108,6.14107541729928
001,528,Heino,Hno,Station,206,,206,206__,Zwolle - Wierden,Zl-Wdn,Zwolle - Wierden ,12.400407,"12,400407",0.05688,"0,056880",0,211697,493652,52.4277294297659,6.22080275490003
001,529,Kampen,Kpn,Eindstation,015,,15,015__,Zwolle - Kampen,Zl-Kpn,Zwolle - Kampen ,100.880002,"100,880002",0.470344,"0,470344",0,191291,508120,52.5594850173223,5.92236884119862
001,530,Onnen Zuid,Onz,Aansluiting,011,,11,011__,Assen - Haren,Mp-Gn,Meppel - Groningen ,67.200222,"67,200222",0.090627,"0,090627",0,238333,573441,53.1412282473894,6.63257200511304
001,531,'t Harde,Hde,Station,017,,17,017__,Amersfoort Aansl. - Hattemerbroek,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,69.777589,"69,777589",-0.04546,"-0,045460",0,189402,491366,52.4090380886905,5.89278788502839
001,532,Boornbrug - bij Akkrum,Bobr,Brug,009,,9,009__,Meppel - Leeuwarden,Zl-Lw,Zwolle - Leeuwarden ,149.216173,"149,216173",0.178605,"0,178605",0,185465,562757,53.0508315486855,5.84152788429042
001,533,Swifterbant - Dronten,Stbdro,Aansluiting,161,,161,161__,Lelystad Industrieterrein - Hattemerbroek,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,11.999521,"11,999521",0.135371,"0,135371",0,169321,506829,52.5489013749055,5.59833723354853
001,534,Hoogeveense Vaartbrug,Hvvb,Brug,203,,203,203__,Mariënberg - Emmen,Hea-Emn,Herfte Aansl. - Emmen ,65.911432,"65,911432",0.047595,"0,047595",0,253685,526437,52.716344489249,6.84771851469694
001,535,Emmen Akzo aansl.,Emnakz,Overloop,203,,203,203__,Mariënberg - Emmen,Hea-Emn,Herfte Aansl. - Emmen ,73.379979,"73,379979",0.235196,"0,235196",0,257048,532849,52.7733303678018,6.89945936149347
001,536,Coevorden Euroterminal Aansluiting,Coeta,Aansluiting,203,,203,203__,Mariënberg - Emmen,Hea-Emn,Herfte Aansl. - Emmen ,53.000794,"53,000794",-0.157339,"-0,157339",0,245472,518283,52.6445106869718,6.72397025345619
001,537,Heerenveen IJsstadion,Hry,Evenementen Halte,009,,9,009__,Meppel - Leeuwarden,Zl-Lw,Zwolle - Leeuwarden ,134.563122,"134,563122",-0.518841,"-0,518841",0,192431,549971,52.9354992468015,5.94393492153315
001,538,Lelystad - Swifterbant,Llsstb,Aansluiting,161,,161,161__,Lelystad Industrieterrein - Hattemerbroek,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,6.250207,"6,250207",-0.5181,"-0,518100",0,163584,506771,52.548500539338,5.51375630877861
001,539,IJsselmonde,IJsm,Goederen Emplacement,664,b,664,664_b,Rotterdam Lombardijen,Bd-Rtd,Breda - Rotterdam Centraal ,42.900039,"42,900039",0.348665,"0,348665",0,95736,433330,51.8853419054617,4.5263883788468
001,540,Betuweroute Meteren,Brmet,Overloop,666,b,666,666_b,Meteren Aansl.,Brgnd-Brech,Betuweroute Giessendam - Betuweroute Echteld ,47.499754,"47,499754",-0.493187,"-0,493187",0,147368,430100,51.8594105804263,5.27641266912047
001,541,Delft Campus,Dtcp,Station,112,,112,112__,Den Haag HS - Schiedam Centrum,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,71.271761,"71,271761",-0.078859,"-0,078859",0,84767,445247,51.9911654709176,4.36464975891786
001,542,Den Haag Moerwijk,Gvmw,Halte,112,,112,112__,Den Haag HS - Schiedam Centrum,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,63.200174,"63,200174",-0.29313,"-0,293130",0,81017,452266,52.0537569554807,4.3085433153286
001,543,Voorschoten,Vst,Halte,104,,104,104__,Leiden Centraal - Den Haag Mariahoeve,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,51.059716,"51,059716",-0.010806,"-0,010806",0,89774,460297,52.1270315895042,4.43466476203923
001,544,Nederlandse Gist Fabriek - bij Delft,Ngsf,Goederen Emplacement,112,,112,112__,Den Haag HS - Schiedam Centrum,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,67.839759,"67,839759",0.319986,"0,319986",0,83476,448400,52.019336461046,4.34519801060779
