;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;Eindtotaal
&Maes B.V.;1;;;;;1
(Niet Gebuiken) KplusV organisatieadvies;2;;;;;2
2000nu Communicatie;1;;;;;1
2CoolMonkeys B.V.;2;;;;;2
3 Advocaten B.V.;1;;;1;;1
A. van Zandwijk B.V.;1;;;;;1
A.G. Advies B.V.;2;;;;;2
Aanmelder.nl B.V.;1;;;;;1
AantjesZevenberg Advocaten;;;;2;;2
ABF Research B.V.;2;;;;;2
Aboma;2;;;;;2
Accenture B.V.;3;;;;;3
ACO B.V.;1;;;;;1
Acteursbureau Kapok B.V.;1;;;;;1
Action Service & Distributie;;;;1;;1
Adviesbureau Skandara;;;;1;;1
Adviesbureau van Montfoort;2;;2;;;2
Advocatenkantoor Mor-Yazir;;;;1;;1
Advocatenkantoor Mr.Dr. G.P. Dayala;;;;1;;1
Ageeth van der Veen Journalistiek;1;;;;;1
Aidsfonds;2;;;;;2
Albron Travel Catering;1;;;;;1
Alucol;1;;;;;1
Amsterdams Kleinkunst Festival;1;;;;;1
Amsterdamse Sportvereniging Wilhelmina;1;;;;;1
Andersson Elffers Felix;3;;;;;3
Andre Rieu Productions B.V.;;;;1;;1
Anne Frank Stichting;2;;;;;2
APE Public Economics B.V.;4;;;;;4
Apps B.V.;;;2;;;2
ARAG SE Nederland;1;;;1;;1
ARCO Sociale Zekerheid;2;;;;;2
Arenda Oomen Fotografie;1;;;;;1
Asbest Advies Brabant B.V.;1;;;1;;1
At Angor Catering Ltd.;1;;;1;;1
at Anqor Staff Limited;1;;;1;;1
Atlas Services Group;1;;;1;;1
Atlas Services Group Marine Cyprus Limited;1;;;1;;1
Atlas voor Gemeenten B.V.;3;;2;;;3
Atos Nederland B.V.;4;;;;;4
Au Coin Des Bons Enfants;1;;;;;1
Aumatics B.V.;1;;;;;1
Auxilium HSE Coöperatie UA;1;;;;;1
AVR-Afvalverwerking B.V.;1;;;;;1
Awor Coaching & Ontwikkeling BV;2;;;;;2
Azzedine Karrat;2;;;;;2
B.C. van den Adel Beheer B.V.;1;;;;;1
B.V. Topselect;1;;;1;;1
B+B Vakmedianet B.V.;1;;;;;1
Babel B.V.;1;;;;;1
Bakkerij Van Asperen B.V.;1;;;;;1
Bank Ten Cate & Cie. N.V.;2;;;;;2
Banketbakkerij Boheemen;1;;;;;1
Bart Maat Fotografie;1;;;;;1
Bart van Vliet Freelance Fotograaf;1;;;;;1
Bas Heijne;1;;;;;1
BBK/Door Vriendschap Sterker B.V.;4;;;;;4
Berenschot Interim Management B.V.;6;;3;;;6
Beroepsvereniging van Docenten;2;;;;;2
Bestuursbureau Attendiz;1;;;1;;1
BezwaarProcedure;;;;1;;1
Blokker;1;;;1;;1
Boekbinderij Patist B.V.;1;;;1;;1
Bon Holding B.V.;1;;;1;;1
BonsenReuling Accountants-Belastingadviseurs;1;;;;;1
