Nr.;In dd;Indiener(s);Partij;Organisatieonderdeel;Onderwerp ;Portefeuillehouder;Beleidsveld;
1;7-jan;Raadslid Van Waveren;CDA;BCS;Gemeentelijke verzekeringen doelmatig en efficiënt?;Klein;Financiën;
2;7-jan;Raadslid Van Deún;PVV;VTH;Concept risicoprofiel van de Veiligheidsregio Utrecht;Everhardt;Handhaving ;
3;7-jan;Raadslid Van Waveren;CDA;Ruimte;Duidelijkheid over subsidietoekenning (h)eerlijk wonen;Van Hooijdonk;Energie;
4;10-jan;Raadslid Van Deún;PVV;Ruimte;Een metrolijn in Utrecht?;Van Hooijdonk;Mobiliteit;
5;10-jan;Raadslid Van Deún;PVV;MO;Uithangen regenboogvlag;Voortman;Diversiteit;
6;15-jan;Raadslid Bos;Stadsbelang Utrecht;MO;Afnemende slagingspercentages St. Gregorius College;Klein;Onderwijs;
7;16-jan;Raadslid Van Deún;PVV;Veiligheid;Islamisering in Wijkbericht als feit gepresenteerd;Burgemeester;Openbare Orde en Veiligheid;
8;17-jan;Raadsleden Kleinrensink, Podt;GroenLinks, D66;IB/JZ;Rechtsbijstand;Klein;Juridische Zaken;
9;17-jan;Raadsleden Dekker-Abdulaziz, Isik ;D66, PvdA;Ruimte;Schimmelwoningen in Utrecht;Diepeveen;Wonen;
10;17-jan;Raadslid Schipper;SP;BCS;De al 11 jaar durende financiering van de juridische strijd tegen Kees van Oosten;Voortman;Personeel en Organisatie;
11;21-jan;Raadsleden Bakker, Homan, Bos, Van Deún, Sungur, Kleinrensink, Meerding, Van Waveren, Van der Zweth, Wiegant, Schipper;D66, Student & Starter, Stadsbelang Utrecht, PVV, DENK, GroenLinks, VVD, CDA, PvdA, SP;MO;Zwemmen in Utrecht;Van Ooijen;Sport;
12;23-jan;Raadslid Homan;Student & Starter;Ruimte;Aan de slag met duurzaamheid: ‘wie doet wat’?;Van Hooijdonk;Energie;
13;23-jan;Raadslid Bijsterbosch;D66;Ruimte;Oud Amelisweerd: Verken scheiding van landhuis en behang;Klein;Erfgoed;
14;23-jan;Raadslid Van Heuven;Partij voor de Dieren;Werk en Inkomen;Handen af van huisdieren;Voortman;Werk en Inkomen ;
15;24-jan;Raadsleden Podt, Schilderman;D66;Ruimte;Onbeperkt parkeren;Van Hooijdonk;Mobiliteit;
16;24-jan;Raadslid Oosters;Student & Starter;Volksgezondheid;Gezond seksueel leven;Everhardt;Volksgezondheid;
17;25-jan;Raadsleden Van der Heijden, Van Dun, Gilissen, Assen, Van Waveren, Wiegant, Van Deún;GroenLinks, D66, VVD, PvdA, CDA, SP, PVV;MO;Zorg voor Utrechtse rolstoelgebruikers;Van Ooijen;Maatschappelijke Ondersteuning;
18;27-jan;Raadslid El Abassi;DENK;Ruimte;Islamitische begraafplaatsen Utrecht;Verschuure;Leidsche Rijn;
19;28-jan;Raadsleden Van der Zweth, De Pagter, Homan, Van Waveren, Van Deún, Schipper, Van Heuven, Bos, El Abassi, Weistra, Wijmenga, Schilderman;PvdA, VVD, Student & Starter, CDA, PVV, SP, Partij voor de Dieren, Stadsbelang Utrecht, DENK, GroenLinks, ChristenUnie, D66;Ruimte;Uithoflijn;Van Hooijdonk;Mobiliteit;
20;28-jan;Raadsleden Gilissen, De Pagter;VVD;BCS;Elke dag een Dag van de Privacy;Voortman;Personeel en Organisatie;
21;28-jan;Raadsleden Van Heuven, Sasbrink;Partij voor de Dieren;Ruimte;Festivalisering, locatieprofielen & duurzaamheid;Verschuure;Economische Zaken;
22;29-jan;Raadsleden Schipper, Wiegant;SP;Ruimte;Verkeersveiligheid Oranjerivierdreef-Zambesidreef e.o.;Van Hooijdonk;Mobiliteit;
