Ministerie;Handelsnaam;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
AZ;A.C.S. B.V.;;;1;;1;;;;1
AZ;Arvato Benelux B.V.;;;;2;;;;;2
AZ;Axians.;;;1;;;;;;1
AZ;Axiell ALM Netherlands B.V.;;;;1;;;;;1
AZ;Axway B.V.;;;;;2;;;;2
AZ;B.V. Technisch Bureau Jacot;;;1;;;;;;1
AZ;BCT B.V.;;;;;1;;;;1
AZ;Bourgonje Geluid- en Lichtservice B.V.;;1;2;;;;;;2
AZ;BPI Services B.V.;;;1;;2;;;;2
AZ;Bumicom Telecommunicatie B.V.;;;1;;1;;;;1
AZ;Cimon B.V.;;;;;;;;2;2
AZ;CM Telecom B.V.;;;;;;;1;;1
AZ;COMPAREX Nederland B.V.;;;;4;4;;;;5
AZ;Coosto Holding B.V.;;;;;2;;;;2
AZ;Dataplus Netherlands B.V.;;;;;1;;;;1
AZ;DBA.NL B.V.;;;;;3;;;;3
AZ;Digital Revolution B.V.;;1;;;;;;;1
AZ;DTG B.V.;;;;;;;1;;1
AZ;Entopic B.V.;;;;;1;;;;1
AZ;Fujitsu Technology Solutions B.V.;;;3;2;;;;;3
AZ;Gridline B.V.;;;;2;1;;;;2
AZ;Heijmans Utiliteit;;1;;;;;;;1
AZ;Hewlett-Packard Nederland B.V.;;2;;;2;;;;2
AZ;Hirschmann Multimedia B.V.;;1;;;;;;;1
AZ;Icorp.NL B.V.;;;;;1;;;;1
AZ;ICreative;;;;;1;;;;1
AZ;ING Bank N.V.;;;;1;1;;;;1
AZ;Intermax outsourcing;;;;;;;;2;2
AZ;KPN B.V.;;;;;;;2;;2
AZ;KPN Contact lokatie Eindhoven;;;;;3;;2;;3
AZ;KPN Ventures B.V.;;;;;;;1;;1
AZ;KPN Winkel;;;;;;;3;;3
AZ;LocalFocus;;;;2;;;;;2
AZ;Mangrove B.V.;;;;;2;;;;2
AZ;Mavim B.V.;;;;;2;;;;2
AZ;Media Center Rotterdam B.V.;;1;;;;;;;1
AZ;Misco Solutions B.V.;;4;;;;;;;4
AZ;Multi-Post Nederland B.V.;;;1;;;;;;1
AZ;NEP Creative Technology B.V.;;;;;2;;;;2
AZ;NetQuestionnaires;;;;1;;;;;1
AZ;Network Innovations Services;;;;;;;;1;1
AZ;NMS;;;;;1;;;;1
AZ;Notificare B.V.;;;;1;;;;;1
AZ;NPQ Nederland B.V.;;;;;2;;;;2
AZ;Pardon Consult;;;;;1;;;;1
AZ;PointLogic Solutions B.V.;;;;;2;;;;2
AZ;PQR B.V.;;3;;;;;;;3
AZ;Preware IT B.V.;;;;;1;;;;1
AZ;Prisma-IT B.V.;;;;;1;;;;1
AZ;Protinus IT B.V.;;4;4;2;2;;;;5
AZ;SAP Nederland B.V.;;;;;2;;;;2
AZ;Scan Sys B.V.;;;;;2;;;;2
AZ;Scholten Awater B.V.;;4;;;;;;;4
AZ;Sectra Communications B.V.;;;;;;;4;;4
AZ;Servitect B.V.;;;;1;;;;;1
AZ;Softcrow B.V.;;;;;1;;;;1
AZ;SoftwareONE B.V.;;;;4;;;;;4
AZ;Solvinity B.V.;;;;;;;;2;2
AZ;Stemmenbank.nl;;;;;;;1;;1
AZ;Stg. ter Exploitatie van Naburige Rechten;;;;;1;;;;1
AZ;Tam Tam B.V.;;;;;;;;1;1
AZ;Tangram B.V.;;;;;1;;;;1
AZ;Tele2 Nederland B.V.;;;;;;;2;;2
AZ;Telindus-ISIT B.V.;;2;;;;;;;2
AZ;Trusted-ID B.V.;;;;;2;;;;2
AZ;Unisys Nederland N.V.;;;;;4;;;;4
AZ;UNIT4 Business Software B.V.;;;;;2;;;;2
AZ;Vodafone;;;;;;;3;;3
AZ;Winkwaves B.V.;;;;1;;;;;1
AZ;Xerox (Nederland) B.V.;;2;2;;1;;;;3
BZ;Antalis B.V.;;1;;;;;;;1
BZ;Atos Nederland B.V.;;;;;;;;8;8
BZ;Axez ICT Solutions B.V.;;5;;;;;;;5
BZ;BCD Travel B.V.;;;;;;;;1;1
BZ;Between B.V.;;;;;;;;7;7
BZ;Capgemini N.V.;;;;;;;;7;7
