Leveranciers;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;Eindtotaal
Aannemersbedrijf G.B. van Hoek B.V.;1;;;1
Alpina Groep;1;;;1
Ambius B.V.;2;;;2
Atal B.V.;1;;;1
Conrad Electronic Benelux B.V.;1;;;1
Dunea N.V.;;1;;1
E.I.B. Support & Sales B.V.;1;;;1
Electro-Engros van der Wiel B.V.;1;;;1
Eneco Services B.V.;;3;;3
Engelsman Hoveniers B.V.;2;;;2
Heijmans Utiliteit;2;;;2
Imtech Nederland B.V.;1;;;1
International Lighting Company (I.L.C.);1;;;1
M. Spaander;1;;;1
Mastermate VBT Groep;1;;;1
PCO INFRA B.V.;1;;;1
Stedin;;3;;3
Stedin Meetbedrijf;;1;;1
Strukton Worksphere;1;;;1
Thermofrost B.V.;2;;;2
Top Movers Nederland B.V.;;;2;2
Topbloemen Nederland B.V.;2;;;2
Unica Installatietechniek;1;;;1
V&R Groep B.V.;1;;;1
Van der Velde, ''t Veentje B.V.';;;1;1
van Ginkel;1;;;1
Vollebregt Installatie B.V.;1;;;1
Zegwaard Rioolbeheer B.V.;1;;;1
'Zoppi' Koperbewerking V.O.F.;1;;;1
Eindtotaal;4;4;2;5
