Leverancier;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
24Baby.nl B.V.;;;;;2;;;;;2
Aannemersbedrijf G.B. van Hoek B.V.;;;;;;;2;;;2
Albyco Nederland B.V.;;;;;;;;1;;1
Allekabels B.V.;;;;;;;1;;;1
Ambius B.V.;;;;;;;2;;;2
America Digitaal Druk B.V.;;;;;;;1;;;1
Aon Risk Solutions;;;;;;;1;;;1
Ascom (Nederland) B.V.;;1;;;;;;;;1
Avas Systemen V.O.F.;;;;;;;;1;;1
B.V. Electro Centraal E.C.;;;;;;;;1;;1
Bavak Beveiligingsgroep B.V.;;1;;;;;;;;1
bol.com B.V.;;;;;;;1;;;1
Burrata Turfmarkt B.V.;1;;;;;;;;;1
Buyitdirect.com B.V.;;;;;;;;2;;2
Centralpoint Nijmegen B.V.;;;;;;;;1;;1
Conrad Electronic Benelux B.V.;;;;;;;;1;;1
Coolblue B.V.;;;;;;;1;;;1
Cooper Twente B.V.;;;1;;;;;;;1
Coöperatie '2D3D Design' U.A.;;;;;;;1;;;1
Crowne Plaza Changi Airport;;;;;;;;;1;1
CWS Nederland;;;2;;;1;;;;2
D.R.S. B.V.;1;;;;;;;;;1
De Dubbele Deur Antiek;;;;;;;1;;;1
De Galerie Den Haag B.V.;;;;;;;1;;;1
de Persgroep Nederland;;;;;1;;;;;1
De Schenker B.V.;;;;;1;;;;;1
Defibrion;;1;1;;;;;1;;1
Dekker Warmond;1;;;;;;;;;1
Discountoffice.nl B.V.;;;;;;;1;1;;1
Docspro B.V.;;;;;;;;1;;1
Eduard Pelger B.V.;;;;;;;;1;;1
EMMA Communicatie B.V.;;;;;2;;;;;2
Ese International B.V.;;1;;;;;;;;1
Espressissimo B.V.;1;;;;;;;;;1
Etol Nederland B.V.;;;1;;;;;;;1
Flash Rental Services B.V.;;1;;;;;;;;1
Formzet B.V.;;;;;1;;;;;1
Frama Nederland;;;;1;;;;;;1
Gelecon B.V.;;;1;;;;;;;1
Gispen Kantoorinrichting;;;;;;;4;;;4
Glascom Showcases B.V.;;;;;;;1;;;1
Grapefish;;;;;1;;;;;1
Hafo B.V.;;;;;1;;1;1;;1
HANOS Den Haag - Delft;3;;;;;;;;;3
Heering Office;;;;;;;;1;;1
Het Zalmhuis B.V.;1;;;;;;;;;1
Hirschmann Multimedia B.V.;;;;;;;1;;;1
Holland Catering Specialisten Loc. Woudestein;4;;;;;;;;;4
HOLLANDinrichters B.V.;;;;;;;;1;;1
Hollandse Hoogte B.V.;;;;;1;;;;;1
House of Lords B.V.;2;;;;;;;;;2
ING Bank N.V.;;1;;1;;;1;;;1
Interieur Corner B.V.;;;;;;;1;;;1
Interwabo B.V.;;;;;;;2;;;2
Intrum Justitia Nederland B.V.;;;;;;;;;1;1
ISSOS B.V.;;;;;;;1;;;1
Jann Products B.V.;;;1;;;;;;;1
Jura Nederland B.V.;1;;;;;;;;;1
Kabelshop B.V.;;;;;;;;1;;1
Koninklijke Fabrieken Posthumus B.V.;;;;;;;;1;;1
Koninklijke van der Most B.V.;;;;;1;;;;;1
Kunst.nl B.V.;;;;;;;2;;;2
Lampen24.nl;;;;;;;1;;;1
Lema Flagshipstore;;;;;;;2;;;2
Loetje Den Haag B.V.;;;;;1;;;;;1
Logistiekconcurrent;;1;;;;;;;;1
