Ministerie;handelsnaam na kvk;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
AZ;Conrad Electronic Benelux B.V.;;1;;;;1
AZ;Electro-Engros van der Wiel B.V.;;1;;;;1
AZ;Firesol B.V.;;1;;;;1
AZ;Het NIC B.V.;;1;;;;1
AZ;Mastermate VBT Groep;;1;;;;1
AZ;Saval B.V.;;1;;;;1
AZ;Schoondergang Van Zwanenburg Serv.&Ond. B.V.;;1;;;;1
AZ;Stedin Meetbedrijf;;;1;;;1
AZ;Strukton Worksphere;;1;;;;1
AZ;Unica Installatietechniek;;1;;;;1
AZ;Van der Velde, ''t Veentje B.V.';;;;1;;1
AZ;Van Ginkel B.V.;;1;;;;1
AZ;Vollebregt Installatie B.V.;;1;;;;1
AZ;Zegwaard Rioolbeheer B.V.;;1;;;;1
AZ;Zwep en Schoeber B.V.;;1;;;;1
BZ;460 Bergen Street Llc New York;;;;;1;1
BZ;A. van Helden Relatiegeschenken B.V.;;1;;;;1
BZ;A.J.J. Ros;;1;;;;1
BZ;Academic Editing And Translation;;1;;;;1
BZ;Academie voor de Rechtspraktijk B.V.;;1;;;;1
BZ;Ahrend Nederland B.V.;;;;;1;1
BZ;Alvero Kantoormeubelverhuur B.V.;;1;;;;1
BZ;AMMAN DISTRICTS;;;;;1;1
BZ;Antalis B.V.;;1;;;;1
BZ;Aon B.V.;;1;;;;1
BZ;Arabisch Vertaalbureau Abdellatif (Ava);;1;;;;1
BZ;Ardis Opleidingen B.V.;;1;;;;1
BZ;Art Business Club S.R.L. Chisinau;;;;;1;1
BZ;Atelier Kempe-Thill B.V.;;;;;1;1
BZ;Aveco Licht en Geluid;;1;;;;1
BZ;Badhotel Vastgoed B.V.;;1;;;;1
BZ;Banketbakkerij Maison Kelder B.V.;;1;;;;1
BZ;Bar Restaurant Pavlov B.V.;;1;;;;1
BZ;Barendsen Import-Export Aalsmeer;;1;;;;1
