VERSIE,SUBTYPE,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,OFFSET_VLAKPUNT,OFFSET_VLAKPUNT_T,REGIO_NAAM,REGIO_AFKORTING,BEHEERDER,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,STRAAT,HUISNUMMER,HUISLETTER,POSTCODE,WOONPLAATS,GEBWBAGID,NAAM,BGTBRONHOUDER,BGTBRONHOUDERCODE,BGTSTATUS,DOCUMENT,NUMAANDUIDINGVISUALISATIE,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,RELATIEVEHOOGTELIGGING,STATUS,OBJECTID
01,autotransformatorstation,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,Bot-Mvt,"Rotterdam, Botlek - Rotterdam, Emplacement Maasvlakte",39.904654,"39,904654",58.016551,"58,016551",Randstad Zuid,RZ,ProRail,62289.527192,438723.7705,51.92924811,4.03922819,Europaweg,805,,3199LD,Maasvlakte Rotterdam,0599100000336806,,Rotterdam,G0599,bestaand,,,113.356,283,0,gerealiseerd,42
01,autotransformatorstation,152,b,152,152_b,Kijfhoek - Meteren Aansl.,Brgnd-Brech,Betuweroute Giessendam - Betuweroute Echteld ,41.031125,"41,031125",-31.575573,"-31,575573",Randstad Zuid,RZ,ProRail,141186.5135,428935.678045,51.84882649,5.18672624,,,,,,0236100000013568,,West Betuwe,G1960,bestaand,,,31.041,283,0,gerealiseerd,43
01,autotransformatorstation,152,a,152,152_a,Kijfhoek - Meteren Aansl.,Brppd-Brgnd,Betuweroute Papendrecht - Betuweroute Giessendam ,17.506031,"17,506031",15.979387,"15,979387",Randstad Zuid,RZ,ProRail,118424.89,427730.206,51.83696326,4.85652208,,,,,,0689100000004347,,Molenlanden,G1978,bestaand,,,29.993,283,0,gerealiseerd,44
01,autotransformatorstation,155,b,155,155_b,Meteren Aansl. - Ressen = Bemmel,Brech-Brzv,Betuweroute Echteld - Betuweroute Zevenaar ,80.365188,"80,365188",29.519928,"29,519928",Randstad Zuid,RZ,ProRail,178125.284057,436534.817,51.91681952,5.72332979,Leigraafseweg,9,,6671MC,Zetten,1734101000029799,,Overbetuwe,G1734,bestaand,,,32.216,283,0,gerealiseerd,45
01,autotransformatorstation,155,b,155,155_b,Meteren Aansl. - Ressen = Bemmel,Brech-Brzv,Betuweroute Echteld - Betuweroute Zevenaar ,87.981044,"87,981044",-20.921512,"-20,921512",Randstad Zuid,RZ,ProRail,185087.777,434104.183326,51.89463969,5.82431492,De Hoge Brugstraat,3,,6675CH,Valburg,1734101000023112,,Overbetuwe,G1734,bestaand,,,33.396,283,0,gerealiseerd,46
01,autotransformatorstation,152,b,152,152_b,Kijfhoek - Meteren Aansl.,Brgnd-Brech,Betuweroute Giessendam - Betuweroute Echteld ,25.603995,"25,603995",22.30019,"22,300190",Randstad Zuid,RZ,ProRail,125880.5805,428829.850181,51.84728611,4.96460328,,,,,,0512100000042079,,Gorinchem,G0512,bestaand,,,32.195,283,0,gerealiseerd,47
01,niet-bgt: autotransformatorstation,158,,158,158__,Ressen = Bemmel - Zevenaar,Brech-Brzv,Betuweroute Echteld - Betuweroute Zevenaar ,103.852337,"103,852337",28.836868,"28,836868",Randstad Zuid,RZ,ProRail,200221.672041,437895.787,51.92769372,6.04466563,,,,,,,,Prorail,L0004,bestaand,,,76.414,283,1,,48
01,onderstation,139,,139,139__,Zaandam - Amsterdam Sloterdijk,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,177.020008,"177,020008",-107.056495,"-107,056495",Randstad Noord,RN,ProRail,115968.7475,489239.532771,52.38961877,4.81383831,Theemsweg,20,,1043BD,Amsterdam,0363100012085889,Amsterdam Sloterdijk,Amsterdam,G0363,bestaand,,,124.16,283,0,gerealiseerd,5091
01,onderstation,216,,216,216__,Heerhugowaard - Hoorn,Hwd-Hn,Heerhugowaard - Hoorn ,12.622835,"12,622835",19.264673,"19,264673",Randstad Noord,RN,ProRail,122470.680014,521343.4885,52.67856055,4.90621436,Stationsweg,12,A,1713HE,Obdam,1598100000018764,Obdam,Koggenland,G1598,bestaand,,,78.243,283,0,gerealiseerd,5092
01,onderstation,158,,158,158__,Ressen = Bemmel - Zevenaar,Brech-Brzv,Betuweroute Echteld - Betuweroute Zevenaar ,103.868027,"103,868027",28.84384,"28,843840",Randstad Zuid,RZ,ProRail,200237.351399,437896.7545,51.92770114,6.0448937,,,,,,0299100000400852,,Rijnwaarden,G0299,bestaand,,,76.079,283,0,,5093
01,onderstation,621,,621,621__,Nieuwersluis=Loenen,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,18.616514,"18,616514",24.659088,"24,659088",Randstad Noord,RN,ProRail,128504.639,468802.382438,52.20668768,4.9995893,Westkanaaldijk,12,,3631ND,Nieuwersluis,0329100000006145,Nieuwersluis,Stichtse Vecht,G1904,bestaand,,,285.374,283,0,gerealiseerd,5094
01,onderstation,098,,98,098__,Breukelen - Utrecht Centraal,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,30.607614,"30,607614",27.686209,"27,686209",Randstad Noord,RN,ProRail,132883.395396,458911.969,52.11798748,5.06429099,,,,,,0344100000126899,,Utrecht,G0344,bestaand,,,63.184,283,0,gerealiseerd,5095
01,onderstation,085,,85,085__,Haarlem - Warmond,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,38.190068,"38,190068",-9.613881,"-9,613881",Randstad Noord,RN,ProRail,93202.5705,471605.698473,52.22905645,4.48266963,,,,,,1525100000020379,Voorhout,Teylingen,G1525,bestaand,,,45.071,283,0,gerealiseerd,5096
01,onderstation,609,,609,609__,Zutphen,Ah-Zl,Arnhem - Zwolle ,29.847538,"29,847538",-30.323956,"-30,323956",Noord-Oost,NO,ProRail,211667.3845,463947.245197,52.16077795,6.21537682,Mettrayweg,10,,7202LD,Zutphen,0301100000013232,Zutphen,Zutphen,G0301,bestaand,,,75.3,283,0,gerealiseerd,5097
01,onderstation,132,,132,132__,Moordrecht Aansl. - Rotterdam Kleiweg,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,46.627031,"46,627031",-16.38643,"-16,386430",Randstad Zuid,RZ,ProRail,97037.196052,440574.016,51.95058419,4.54406593,Aluminiumstraat,7,B,3067GS,Rotterdam,0599100010021451,Rotterdam Noord,Rotterdam,G0599,bestaand,,,64.806,283,0,gerealiseerd,5098
01,onderstation,118,,118,118__,Geldermalsen - Dordrecht,Gdm-Ddr,Geldermalsen - Dordrecht ,56.964922,"56,964922",23.806142,"23,806142",Randstad Zuid,RZ,ProRail,136116.834635,434173.8845,51.89576006,5.11286359,Industrieweg,36,x,4143HR,Leerdam,0545100000343243,Leerdam,Vijfheerenlanden,G1961,bestaand,,,59.339,283,0,gerealiseerd,5099
