FID,omschr,code,rijstrknrs,wvk_id,wvk_begdat,afstand,fk_veld1,fk_veld4,ibn,gdb_geomattr_data,shape
strooksignalering_wegvak.1,Autosnelwegsignalering,AU,123,600448990,2021-05-01T00:00:00,1246,060044899020210501,KPK0001085446,I,,POINT (126360.17980000004 479960.9332999997)
strooksignalering_wegvak.2,Kruis-pijlsignalering,KP,123,600448990,2021-05-01T00:00:00,1246,060044899020210501,KPK0001085445,I,,POINT (126360.17980000004 479960.9332999997)
strooksignalering_wegvak.3,Autosnelwegsignalering,AU,123,600448990,2021-05-01T00:00:00,1524,060044899020210501,KPK0001085444,I,,POINT (126603.51350000128 480095.3682000004)
strooksignalering_wegvak.4,Kruis-pijlsignalering,KP,123,600448990,2021-05-01T00:00:00,1524,060044899020210501,KPK0001085443,I,,POINT (126603.51350000128 480095.3682000004)
strooksignalering_wegvak.5,Autosnelwegsignalering,AU,123,600448990,2021-05-01T00:00:00,1794,060044899020210501,KPK0001085442,I,,POINT (126839.84470000118 480225.9345000014)
strooksignalering_wegvak.6,Kruis-pijlsignalering,KP,123,600448990,2021-05-01T00:00:00,1794,060044899020210501,KPK0001085441,I,,POINT (126839.84470000118 480225.9345000014)
strooksignalering_wegvak.7,Autosnelwegsignalering,AU,123,600448990,2021-05-01T00:00:00,2094,060044899020210501,KPK0001085440,I,,POINT (127102.43490000069 480371.0080999993)
strooksignalering_wegvak.8,Kruis-pijlsignalering,KP,123,600448990,2021-05-01T00:00:00,2094,060044899020210501,KPK0001085439,I,,POINT (127102.43490000069 480371.0080999993)
strooksignalering_wegvak.9,Kruis-pijlsignalering,KP,123,600448990,2021-05-01T00:00:00,2244,060044899020210501,KPK0001085438,I,,POINT (127235.20490000024 480440.77329999954)
strooksignalering_wegvak.10,Autosnelwegsignalering,AU,123,600448990,2021-05-01T00:00:00,2244,060044899020210501,KPK0001085437,I,,POINT (127235.20490000024 480440.77329999954)
strooksignalering_wegvak.11,Autosnelwegsignalering,AU,123,600448990,2021-05-01T00:00:00,2544,060044899020210501,KPK0001085436,I,,POINT (127498.98629999906 480583.6145000011)
strooksignalering_wegvak.12,Kruis-pijlsignalering,KP,123,600448990,2021-05-01T00:00:00,2544,060044899020210501,KPK0001085435,I,,POINT (127498.98629999906 480583.6145000011)
strooksignalering_wegvak.13,Kruis-pijlsignalering,KP,123,600448990,2021-05-01T00:00:00,2744,060044899020210501,KPK0001085434,I,,POINT (127676.44810000062 480675.75560000166)
strooksignalering_wegvak.14,Autosnelwegsignalering,AU,123,600448990,2021-05-01T00:00:00,2744,060044899020210501,KPK0001085433,I,,POINT (127676.44810000062 480675.75560000166)
strooksignalering_wegvak.15,Kruis-pijlsignalering,KP,123,600448990,2021-05-01T00:00:00,2984,060044899020210501,KPK0001085432,I,,POINT (127892.78350000083 480779.57930000126)
strooksignalering_wegvak.16,Autosnelwegsignalering,AU,123,600448990,2021-05-01T00:00:00,2984,060044899020210501,KPK0001085431,I,,POINT (127892.78350000083 480779.57930000126)
strooksignalering_wegvak.17,Autosnelwegsignalering,AU,123,600448990,2021-05-01T00:00:00,3204,060044899020210501,KPK0001085430,I,,POINT (128083.7162999995 480888.77270000055)
strooksignalering_wegvak.18,Kruis-pijlsignalering,KP,123,600448990,2021-05-01T00:00:00,3204,060044899020210501,KPK0001085429,I,,POINT (128083.7162999995 480888.77270000055)
strooksignalering_wegvak.19,Kruis-pijlsignalering,KP,12,600448990,2021-05-01T00:00:00,3399,060044899020210501,KPK0001085428,I,,POINT (128245.40439999849 480997.6867999993)
strooksignalering_wegvak.20,Autosnelwegsignalering,AU,12,600448990,2021-05-01T00:00:00,3399,060044899020210501,KPK0001085427,I,,POINT (128245.40439999849 480997.6867999993)
strooksignalering_wegvak.21,Kruis-pijlsignalering,KP,12,249357038,2021-05-01T00:00:00,226,024935703820210501,KPK0001084636,I,,POINT (124631.94819999859 478911.72309999913)
strooksignalering_wegvak.22,Autosnelwegsignalering,AU,12,249357038,2021-05-01T00:00:00,226,024935703820210501,KPK0001084635,I,,POINT (124631.94819999859 478911.72309999913)
strooksignalering_wegvak.23,Kruis-pijlsignalering,KP,123,250358048,2021-05-01T00:00:00,137,025035804820210501,KPK0001085609,I,,POINT (125537.24450000003 479431.2712999992)
strooksignalering_wegvak.24,Autosnelwegsignalering,AU,123,250358048,2021-05-01T00:00:00,137,025035804820210501,KPK0001085608,I,,POINT (125537.24450000003 479431.2712999992)
strooksignalering_wegvak.25,Kruis-pijlsignalering,KP,123,250358048,2021-05-01T00:00:00,300,025035804820210501,KPK0001085607,I,,POINT (125678.99680000171 479511.5212999992)
strooksignalering_wegvak.26,Autosnelwegsignalering,AU,123,250358048,2021-05-01T00:00:00,300,025035804820210501,KPK0001085606,I,,POINT (125678.99680000171 479511.5212999992)
strooksignalering_wegvak.27,Autosnelwegsignalering,AU,123,250358048,2021-05-01T00:00:00,410,025035804820210501,KPK0001085605,I,,POINT (125768.25970000029 479575.74439999834)
strooksignalering_wegvak.28,Kruis-pijlsignalering,KP,123,250358048,2021-05-01T00:00:00,410,025035804820210501,KPK0001085604,I,,POINT (125768.25970000029 479575.74439999834)
strooksignalering_wegvak.29,Kruis-pijlsignalering,KP,123,250358048,2021-05-01T00:00:00,530,025035804820210501,KPK0001085603,I,,POINT (125862.77369999886 479649.6466999985)
strooksignalering_wegvak.30,Autosnelwegsignalering,AU,123,250358048,2021-05-01T00:00:00,531,025035804820210501,KPK0001085602,I,,POINT (125863.58179999888 479650.2355999984)
strooksignalering_wegvak.31,Autosnelwegsignalering,AU,123,250358048,2021-05-01T00:00:00,710,025035804820210501,KPK0001085601,I,,POINT (126012.67570000142 479749.2157000005)
strooksignalering_wegvak.32,Kruis-pijlsignalering,KP,123,250358048,2021-05-01T00:00:00,710,025035804820210501,KPK0001085600,I,,POINT (126012.67570000142 479749.2157000005)
strooksignalering_wegvak.33,Kruis-pijlsignalering,KP,123,250358048,2021-05-01T00:00:00,910,025035804820210501,KPK0001085599,I,,POINT (126186.43210000172 479848.2072999999)
strooksignalering_wegvak.34,Autosnelwegsignalering,AU,123,250358048,2021-05-01T00:00:00,910,025035804820210501,KPK0001085598,I,,POINT (126186.43210000172 479848.2072999999)
strooksignalering_wegvak.35,Kruis-pijlsignalering,KP,123,600124635,2021-05-01T00:00:00,96,060012463520210501,KPK0001084614,I,,POINT (124108.7239000015 479476.35060000047)
strooksignalering_wegvak.36,Autosnelwegsignalering,AU,123,600124635,2021-05-01T00:00:00,96,060012463520210501,KPK0001084613,I,,POINT (124108.7239000015 479476.35060000047)
