;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
2KNOWHOW, art of change B.V.;;1;1;;;;;2
31Volts;;;;2;;;;2
5hart-IT Opleidingen B.V.;;;1;;;;;1
7AM Partners B.V.;1;;;;;;;1
ABF Research B.V.;;;7;;;;;7
Abrandis!;;1;;;;;;1
ADConsultancy;;3;;;;;;3
Aeneas B.V.;;;2;;;;;2
AEVES B.V.;;;2;;;;;2
AKD N.V.;2;;;;;;;2
Altavilla B.V.;;1;;;;;;1
AMI Maastricht;;2;;;;;;2
Andale;;1;;;;;;1
Andersson Elffers Felix;;;3;;;;;3
AnnA - Annebregje Snijders architects;;1;;;;;;1
Anna Vastgoed Beheer B.V.;;1;;;;;;1
anoniem_BZK_135;;1;;;;;;1
anoniem_BZK_136;;1;;;;;;1
anoniem_BZK_142;;1;;;;;;1
anoniem_BZK_152;;2;;;;;;2
anoniem_BZK_154;;1;;;;;;1
anoniem_BZK_166;;1;;;;;;1
anoniem_BZK_169;;2;;;;;;2
anoniem_BZK_17;;;1;;;;;1
anoniem_BZK_21;;;;;1;;;1
anoniem_BZK_27;;;1;;;;;1
anoniem_BZK_30;;;;;1;;;1
anoniem_BZK_35;;;1;;;;;1
anoniem_BZK_36;;;2;;;;;2
anoniem_BZK_399;;1;;;;;;1
anoniem_BZK_40;;;2;;;;;2
anoniem_BZK_403;;2;;;;;;2
anoniem_BZK_425;;;2;;;;;2
anoniem_BZK_45;;;4;;;;;4
anoniem_BZK_46;;;1;;;;;1
anoniem_BZK_7;;;1;;;;;1
anoniem_BZK_98;;1;;;;;;1
Antea Nederland B.V.;;1;4;;;;;4
APG Service Partners B.V.;;2;3;;;;;4
ARCADIS Nederland B.V.;;;4;;;;;4
ArchiXL B.V.;;;1;;;;;1
Ardis Organisatieontwikkeling B.V.;;1;;;;;;1
Arnage Horeca B.V.;;;1;;;;;1
At Osborne B.V.;;1;;;;;;1
Auxilium B.V.;;3;;;;;;3
Avanteers;;;1;;;;;1
Ave Redactie;;;1;;;;;1
Babbage Company B.V.;;;4;;;;;4
Bakkerij C.J. van Kempen;;;1;;;;;1
Banketbakkerij Boheemen;;;1;;;;;1
Bar Restaurant Pavlov B.V.;;1;1;;;;;1
Barbarossa Beach B.V.;;;1;;;;;1
Barnhoorn Mediation;;;;;1;;;1
Bart Hoogveld beeldredactie & fotografie;;;1;;;;;1
Becis B.V.;;;2;;;;;2
BedrijfsMotivaties B.V.;;1;;;;;;1
Benthurst GmbH;;2;;;;;;2
Bento Presentaties;;2;;;;;;2
Berenschot B.V.;;;3;;;;;3
Berenschot Groep B.V.;;;5;;;;;5
Best Value Group B.V.;;1;;;;;;1
Bijlsoft Ltd.;;;2;;;;;2
Blauw Research B.V.;;;2;;;;;2
BMC Management B.V.;;;2;;;;;2
Bob Papenhuijzen Consultancy;;1;;;;;;1
Bobbe International B.V.;;;1;;;;;1
Bos & Meer;;;1;;;;;1
