OBJECTID,Match_addr,X,Y,Hoofdcategorie,Categorie,Naam,Internet,Adres,Postcode,Plaats,GlobalID
242,"Karel Doormanstraat 17, 8281 DJ Genemuiden",6.04643849999999,52.619976,Ontspanning en recreatie,Volkstuin- en Tuiniersverenigingen,Volkstuinvereniging De Vruuters,,Karel Doormanstraat 17,8281 DJ,Genemuiden,cb78881a-bdfd-41cb-bdc1-1bd54b340e03
243,"De Bagijnenkamp 2, 8061 AW Hasselt",6.10469549999999,52.595514,Ontspanning en recreatie,Volkstuin- en Tuiniersverenigingen,Volkstuinvereniging Nut & Genoegen,,De Bagijnenkamp 2,8061 AW,Hasselt,4708d73f-5119-4198-b392-4986ed3e1f8f
244,"Klaas Benninkstraat 51, 8281 ZW Genemuiden",6.04378800000001,52.623666,Ontspanning en recreatie,Vrouwenverenigingen Genemuiden,Passage Genemuiden,,Klaas Benninkstraat 51,8281 ZW,Genemuiden,33c47e2c-1c2c-430d-91ba-80f75f78510b
245,"Ruitenstraat 53, 8061 ZL Hasselt",6.103026,52.586982,Ontspanning en recreatie,Vrouwenverenigingen Hasselt,Bijbelstudie-ochtenden voor Vrouwen,,Ruitenstraat 53,8061 ZL,Hasselt,d16f0ef2-6998-4d17-8ee3-05c6a33562e2
246,"Ruitenstraat 14, 8061 ZM Hasselt",6.10128449999999,52.587072,Ontspanning en recreatie,Vrouwenverenigingen Hasselt,Protestantse Vrouwengespreksgroep Eunice - PKN,,Ruitenstraat 14,8061 ZM,Hasselt,73dddc4a-1d0c-4f96-9dd5-08440be87990
247,"De Krabbescheer 7, 8064 HL Zwartsluis",6.072993,52.64793,Ontspanning en recreatie,Vrouwenverenigingen Zwartsluis,Hervormde Vrouwendienst,,De Krabbescheer 7,8064 HL,Zwartsluis,181e7a82-3263-4c39-b2b0-258e660d4fd6
248,"De Parnassia 6, 8064 HA Zwartsluis",6.07721850000002,52.64586,Ontspanning en recreatie,Vrouwenverenigingen Zwartsluis,"NVVH - Vrouwennetwerk, afdeling Zwartsluis",,De Parnassia 6,8064 HA,Zwartsluis,a960256e-1218-424e-ab31-fff9b2342c8c
249,"Hoofdspoor 5, 8281 MK Genemuiden",6.033501,52.621614,Ontspanning en recreatie,Zangverenigingen Genemuiden,Christelijk Gemengde Zangvereniging De Lofstem Genemuiden,,Hoofdspoor 5,8281 MK,Genemuiden,30258938-ae7c-42c3-8da3-8a995495eff5
250,"Prins Clausstraat 22, 8281 DC Genemuiden",6.04236600000002,52.61733,Ontspanning en recreatie,Zangverenigingen Genemuiden,Christelijk Genemuider Mannenkoor Stereo,http://www.mannenkoorstereo.nl,Prins Clausstraat 22,8281 DC,Genemuiden,b0812bc2-3cd1-40ab-bea8-9c6c3c737962
251,"Oranjestraat 11, 8281 DR Genemuiden",6.04412550000001,52.620138,Ontspanning en recreatie,Zangverenigingen Genemuiden,Gereformeerde Gemeente Zangvereniging Jeduthun,http://www.gk-jeduthun.nl,Oranjestraat 11,8281 DR,Genemuiden,a1a42e05-711f-491c-b80d-5c6cd39437aa
252,"Greente 137, 8281 KN Genemuiden",6.03283949999999,52.627896,Ontspanning en recreatie,Zangverenigingen Genemuiden,Stichting gospelevenementen Genemuiden,http://gospelgenemuiden.nl,Greente 137,8281 KN,Genemuiden,0fe9dfcf-f215-4bf5-b4ac-00af3acb71ab
253,"Buiten Nieuwstraat 101, 8261 AT Kampen",5.91252750000001,52.561611,Ontspanning en recreatie,Zangverenigingen Hasselt,"Hykanon - RK Parochies van Hasselt, IJsselmuiden en Kampen",http://www.hykanon.nl,Buiten Nieuwstraat 101,8261 AT,Kampen,ba8f56b2-30d8-4aa1-ae5c-03e2587d776b
254,"Kennemerlandlaan 37, 8302 NC Emmeloord",5.72872950000001,52.720929,Ontspanning en recreatie,Zangverenigingen Hasselt,Praiseband X-Press,http://www.praisebandxpress.nl,Kennemerlandlaan 37,8302 NC,Emmeloord,355e396a-d929-46a8-9bf7-d4a4f368a1ec
255,"Eiland 22, 8061 HT Hasselt",6.0931665,52.589178,Ontspanning en recreatie,Zangverenigingen Hasselt,RK Kerkkoor,,Eiland 22,8061 HT,Hasselt,fae55a91-37f9-443a-af67-2a58bebb2886
256,"Sikkel 5, 8061 MD Hasselt",6.09992099999999,52.597512,Ontspanning en recreatie,Zangverenigingen Zwartsluis,Schipperskoor De Kolksluuszangers,http://www.kolksluuszangers.nl,Sikkel 5,8061 MD,Hasselt,072ee63c-c516-49b0-8390-a33b10f27c78
