OBJECTID,OWAIDENT,OWACATEG,OWAOPPVL,IWS_MEMO,IWS_DIEPSTE_PUNT,IWS_GEM_BODHO_VLAKTE,IWS_LEGGERSTATUS,OWAJAAR,IWS_BOUWJAAR,LEG_ZIENSWIJZE,LEG_GEREED_VOOR_CL,INRICHTING,FUNCTIE,WSZDEELGEBIED,Shape__Area,Shape__Length
1,SW0288,1,7325,,,,1,2011,,,,,,,7325.13243103027,343.216633097609
2,DV0098,1,405,,,,1,2005,,,,,,,404.916816711426,112.127815086075
3,DV0084,1,560,,,,1,2005,,,,,,,559.502128601074,187.614489853816
4,SW0284,1,4517,,,,1,2011,,,,,,,4516.56889343262,887.583194931853
5,DV0073,1,5410,,,,1,2005,,,,,,,5409.92420959473,1442.83122423049
6,DV0072,1,707,,,,1,2005,,,,,,,706.791221618652,262.938633455654
7,SW0273,1,3772,,,-0.3,1,2011,,,,,,,3771.95819091797,361.152282369535
8,DV0082,1,2434,,,,1,2005,,,,,,,2434.11644744873,732.703665273638
9,DV0208,1,491,,,,1,2005,,,,,,,491.34880065918,368.153212674465
10,DV0080,1,1465,,,,2,2005,,,,,,,1446.86461639404,456.645037074089
11,SW0285,1,569,,,,1,2011,,,,,,,569.456153869629,144.230250686883
12,DV0069,1,420,,,,1,2005,,,,,,,419.722961425781,163.994813569633
13,DV0204,1,574,,,,1,2005,,,,,,,574.205253601074,388.709417046746
14,DV0267,1,3635,,,,1,2005,,,,,,,3634.76946258545,952.477879094891
15,DV0268,1,3300,,,,1,2005,,,,,,,3299.69764709473,845.356029361097
16,DV0271,1,228,,,,1,2005,,,,,,,228.283088684082,80.9813912094266
17,DV0270,1,586,,,,1,2005,,,,,,,585.642196655273,185.973742831699
18,DV0275,1,817,,,,1,2005,,,,,,,847.86336517334,253.544470257561
19,DV0274,1,334,,,,1,2005,,,,,,,333.513542175293,113.720771634371
20,DV0272,1,317,,,,1,2005,,,,,,,316.664566040039,112.186668571742
21,DV0269,1,340,,,,1,2005,,,,,,,339.594764709473,124.237183961499
22,DV0273,1,667,,,,1,2005,,,,,,,666.559730529785,229.739936300927
23,SW0314,1,8431,,,-0.3,1,2012,,,,,,,8431.30352020264,411.688974794192
24,SW0315,1,7019,,,-0.35,1,2012,,,,,,,7019.20652770996,337.858175034902
25,DV0091,1,636,,,,1,2005,,,,,,,635.812393188477,160.84930262927
26,DV0126,1,2462,,,,1,2005,,,,,,,2462.16941070557,774.802289981616
27,DV0276,1,7982,,,,1,2012,,,,,,,7981.78845214844,452.559809284896
28,KO0180,1,176,,,,1,2009,,,,,,,175.965965270996,55.976863899748
29,SW0039,1,7315,,,4.75,1,2007,,,,,,,7314.52179718018,459.983693568535
30,SW0027,1,3261,,,-0.4,1,2009,,,,,,,3246.10934448242,407.445945341283
31,DV0130,1,2478,,,,1,2005,,,,,,,2477.86426544189,757.257512730367
32,DV0131,1,503,,,,1,2005,,,,,,,502.961013793945,258.176712985202
33,DV0207,1,1731,,,,1,2005,,,,,,,1730.87054443359,902.734035967877
34,DV0101,1,494,,,,1,2005,,,,,,,494.373733520508,150.128208620763
35,SW0175,1,64085,,,,1,2008,,,,,,,64084.7666854858,1137.99423261034
36,DV0122,1,2578,,,,1,2005,,,,,,,2577.72415161133,982.865159723171
37,SW0040,1,5196,,,5,1,2007,,,,,,,5195.52657318115,551.727883792725
38,OK0173,1,6669,,,8.1,1,2010,,,,,,,6668.93899536133,743.243574852799
39,SW0065,1,16373,,,-0.5,1,2005,,,,,,,16372.7249679565,786.942789950344
40,DV0100,1,709,,,,1,2005,,,,,,,708.656860351563,213.54992805057
41,DV0087,1,3518,,,,1,2005,,,,,,,3517.67385101318,880.486058706858
42,SW0287,1,6154,,,,1,2011,,,,,,,6153.90081787109,308.211578519178
43,DV0265,1,1519,,,-0.55,1,2008,,,,,,,1519.40019226074,442.151705126158
44,DV0264,1,2339,,,-0.55,1,2008,,,,,,,2338.78712463379,729.215571728648
45,DV0111,1,378,,,,1,2005,,,,,,,378.415405273438,123.940749454498
46,KO0178,1,561,,,,1,2009,,,,,,,561.441650390625,143.122862205603
47,DV0124,1,1794,,,,1,2005,,,,,,,1793.81356048584,613.426656083818
48,DV0214,1,6231,,,,1,2005,,,,,,,6231.45224761963,1548.52375581375
49,DV0119,1,2631,,,-0.35,1,2005,,,,,,,2630.6975479126,336.362444764699
50,DV0104,1,1036,,,,1,2005,,,,,,,1035.96996307373,345.629748784398
51,DV0071,1,146,,,0.9,1,2005,,,,,,,145.50415802002,65.8048634789854
52,DV0096,1,783,,,,1,2005,,,,,,,783.415473937988,235.517107057223
53,DV0092,1,1591,,,,1,2005,,,,,,,1590.73686981201,1041.47841663283
54,SW0290,1,2476,,,,2,2011,,,,,,,2529.14473724365,445.687932624825
55,DV0105,1,420,,,,1,2005,,,,,,,419.648399353027,124.302956134506
56,DV0242,1,1332,,,,1,2005,,,,,,,1331.84142303467,707.406981014433
57,SW0130,1,3687,,,,1,2005,,,,,,,3686.97505187988,909.49423321582
58,DV0097,1,1807,,,,1,2005,,,,,,,1806.76152038574,457.813112487097
59,DV0088,1,1566,,,,1,2005,,,,,,,1565.78167724609,357.27982268205
60,DV0089,1,320,,,,1,2005,,,,,,,319.983909606934,84.0097418692447
61,DV0107,1,425,,,,1,2005,,,,,,,424.981842041016,118.979970350734
62,SW0131,1,1618,,,0.6,1,2005,,,,,,,1617.69609069824,812.843206630179
63,DH0001,1,8030,Waterberging,,,2,2008,2008,,,,,,7613.81270599365,478.045696168366
64,15916,1,,,,,2,2019,2019,,,,,,1704.78475189209,722.102168525214
65,VL0005,1,124262,Waterberging,,,2,2004,2004,,,,,,128426.949615479,6292.96847398653
66,VL0003,1,14868,Waterberging,,,2,2004,2004,,,,,,13759.8114242554,1524.47649561571
67,VL0002,1,16201,Waterberging,,,2,2004,2004,,,,,,10727.1087188721,1899.30553340919
68,VL0004,1,2794,Waterberging,,,2,2004,2004,,,,,,778.074615478516,352.924140116975
69,VL0001,1,385299,Waterberging,,,1,2004,2004,,,,,,20496.7336349487,2973.85863497999
70,SW0002,1,2363,,,,2,2011,,,,,,,2190.94218444824,211.140855016994
71,DV0112,1,3810,,,,1,2005,,,,,,,3809.55879974365,1187.71655157285
72,24554,,,,,,2,2019,,,,,,,84.1389465332031,39.4827037375507
73,SW0044,1,3153,,,5.2,1,2007,,,,,,,3152.98253631592,547.685151155847
74,DV0085,1,2383,,,0.6,1,2005,,,,,,,2382.80883026123,256.5155049499
75,24555,,,,,,2,2019,,,,,,,95.4591827392578,43.1041778493706
76,24556,,,,,,2,2019,2019,,,,,,295.863815307617,78.6313167888898
77,24557,,,,,,2,2019,2019,,,,,,132.00415802002,51.2412880619682
78,SZ0137,1,11102,,,0.7,2,2010,,,,,,,12824.1024093628,589.718748626696
79,DV0106,1,386,,,,1,2005,,,,,,,385.730484008789,110.303354498294
80,SW0283,1,15046,,,,2,2011,,,,,,,15397.3839263916,510.221062861924
81,SW0003,1,5950,,,,2,2011,,,,,,,6303.24485778809,323.032596010299
82,NW0009,1,5214,,,0.3,1,2011,,,,,,,5213.95977020264,285.430450393511
83,SW0133,1,2304,,,,1,2005,,,,,,,2304.38866424561,420.772688186267
84,NW0008,1,10177,,,0.3,1,2011,,,,,,,10177.0561141968,415.74869592786
85,DV0209,1,267,,,,1,2005,,,,,,,267.219924926758,173.14710659927
86,DV0212,1,368,,,,1,2005,,,,,,,368.395240783691,225.376585814598
87,DV0132,1,284,,,,1,2005,,,,,,,284.324913024902,178.922960314345
88,SW0169,1,9292,,,4.6,1,2005,,,,,,,9291.66449737549,582.454769100577
89,NW0010,1,8681,,,0.5,1,2011,,,,,,,8680.80504608154,434.736001909203
90,NW0011,1,4980,,,0.5,1,2011,,,,,,,4979.61442565918,313.297705306713
91,Waterberging Akkerweg,,2371,,,0.7,2,2017,,,,,,,2371.31290435791,420.916523568452
92,25834,,441,,,-0.2,2,2020,2020,,,,,,440.894508361816,126.345618996773
93,25835,,3100,,,-0.2,2,2020,2020,,,,,,3099.92366027832,286.10371749107
94,W25836,,4468,,,-0.1,2,2020,2020,,,,,,4468.47987365723,292.996815714939
95,W26153,,2273,,,0.2,2,2020,2020,,,,,,2272.86282348633,189.317151847334
96,W26154,,5103,,,-0.2,2,2020,2020,,,,,,5103.10567474365,926.15135324302
97,21033,1,4385,,,-0.4,2,2005,,,,,,,2135.59776306152,231.830508285795
98,SW0346,1,1012,,,3.45,1,2014,,,,,,,1012.39981842041,152.338816092759
99,SW0067,1,4385,,,-0.4,2,2005,,,,,,,1610.08666992188,210.015363640646
100,24558,,,,,,2,2019,2019,,,,,,715.872344970703,132.425978109495
101,W24563,,2575,,,0.35,2,2020,2020,,,,,,2575.39405822754,311.753889154482
102,W24564,,941,,,0.35,2,2020,2020,,,,,,941.359840393066,145.418140001747
103,DV0278,1,7703,,,2.2,1,2013,,,,,,,7703.10744476318,369.462472489662
104,DV0238,1,4838,,,-0.15,1,2005,,,,,,,4838.33106994629,642.157382821894
105,OK0296,1,4634,,,5.5,1,2014,,,,,,,4604.60442352295,387.212701901536
106,OK0017,1,535,,,,1,2005,,,,,,,534.690879821777,189.991923004406
107,DV0203,1,608,,,,1,2005,,,,,,,607.570487976074,357.290736496703
108,DV0251,1,45,,,,1,2005,,,,,,,45.2082443237305,29.7075797887565
109,OK0025,1,451,,,,1,2005,,,,,,,451.492309570313,139.145850471368
110,OK0018,1,338,,,,1,2005,,,,,,,338.488235473633,273.855589173902
111,DV0250,1,40,,,,1,2005,,,,,,,39.8438110351563,28.6382817865207
112,OK0024,1,1614,,,,1,2005,,,,,,,1614.03369140625,600.232603004889
113,OK0019,1,3355,,,2.78,1,2005,,,,,,,3355.48751068115,302.256841383219
114,OK0015,1,517,,,,1,2005,,,,,,,517.139114379883,179.998603136086
115,DV0198,1,6699,,,-0.1,1,2018,,,,,,,1968.69011688232,197.545283132794
116,NW0067,1,759,,,,2,2012,,,,,,,759.045303344727,338.825143919734
117,NW0067,1,289,,,,2,2012,,,,,,,289.113784790039,87.6599385766762
118,NW0068,1,719,,,2.25,2,2014,,,,,,,722.194206237793,156.911654383189
119,SW0333,1,26422,,,,1,2013,,,,,,,25237.3138961792,741.412376601737
120,13977,1,1450,,,,2,2012,,,,,,,1449.81526947021,735.252846777938
121,15273,1,3416,Waterberging,"1,11",1.16,2,0,2018,,,,,,3414.99347686768,469.333087264797
122,OK0288,1,9686,,,,1,2014,,,,,,,9686.49128723145,446.582479738924
123,OK0295,1,430,,,,1,2014,,,,,,,451.445846557617,124.377613450827
124,DV0196,1,3612,,,-0.21,1,2005,,,,,,,3611.86327362061,858.27784205484
125,OK0020,1,1321,,,,1,2005,,,,,,,1321.4916229248,481.633971580011
126,OK0026,1,919,,,,1,2005,,,,,,,919.339561462402,263.460185010304
127,OK0016,1,447,,,,1,2005,,,,,,,447.183746337891,172.084938841744
128,DV0244,1,1651,,,,1,2005,,,,,,,1651.07147979736,798.938145699131
129,OK0287,1,16190,,,8.75,1,2014,,,,,,,16190.0555038452,606.002940506236
130,SZ0259,1,6937,,,3.55,1,2006,,,,,,,6937.43788909912,661.027748833336
131,DV0247,1,236,,,,1,2005,,,,,,,235.645439147949,127.772811069588
132,DV0225,1,953,,,,1,2005,,,,,,,953.003921508789,474.288952952644
133,DV0221,1,438,,,,1,2005,,,,,,,437.97624206543,272.329259428154
134,DV0234,1,207,,,,1,2005,,,,,,,207.371627807617,79.0295799663316
135,DV0217,1,874,,,,1,2005,,,,,,,874.479362487793,454.97205846311
136,DV0194,1,6636,,,1.4,1,2005,,,,,,,5553.8464050293,303.900052612482
137,OK0260,1,9462,,,1.95,1,2009,,,,,,,9462.41921234131,463.791477533408
138,DV0229,1,5486,,,-0.21,1,2005,,,,,,,5485.97857666016,430.973643959101
139,DV0218,1,1544,,,,1,2005,,,,,,,1544.01138305664,824.929946267212
140,DV0220,1,288,,,,1,2005,,,,,,,287.992202758789,195.74631519586
141,SW0330,1,6050,,,,1,2013,,,,,,,6049.54527282715,606.805423810864
142,SW0331,1,4283,,,,1,2013,,,,,,,4282.96315765381,283.936519254645
143,SZ0262,1,901,,,,1,2013,,,,,,,901.321365356445,347.491904720925
144,NW0064,1,4965,,,,1,2012,,,,,,,4965.23663330078,698.748181084678
145,NW0066,1,1957,,,,2,2012,,,,,,,2340.7875213623,513.984568281704
146,OK0270,1,1516,,,,1,2013,,,,,,,1515.81369781494,439.398140233954
147,OK0286,1,1532,,,2.59,1,2013,,,,,,,1532.1681060791,279.885614976869
148,DV0120,1,4273,,,-0.34,1,2005,,,,,,,4273.36583709717,526.823045120615
149,DV0211,1,336,,,,1,2005,,,,,,,336.153182983398,201.555700864424
150,DV0213,1,1083,,,,1,2005,,,,,,,1082.93202209473,664.173363008925
151,DV0127,1,2162,,,,1,2005,,,,,,,2161.97008514404,984.257221787187
152,DV0103,1,2265,,,,1,2005,,,,,,,2264.68142700195,688.157848402853
153,DV0095,1,1301,,,,1,2005,,,,,,,1301.37808990479,383.947174552251
