Rijlabels;4110 - Consumptieve diensten;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
7AM Den Haag B.V.;1;;;;;;1
A.J. van der Linde B.V.;;;;1;;;1
Ad Astra Advocaten;;;;;;1;1
Advocatenkantoor Bordewijk;;;;;;1;1
Ak Media Productions;1;;;;;;1
Amazing Design;;;;2;;;2
ANP Holding B.V.;;;1;;;;1
Aon Rotterdam3;;;;1;;;1
Ardis Opleidingen B.V.;1;;;;;;1
Artkitchen Gallery;;;;2;;;2
Atos Nederland B.V.;7;;;;;;7
B.V. Panorama Mesdag;1;;;;;;1
Bar Bistro Speakers;1;;;;;;1
BarentsKrans N.V.;;;;;;1;1
BCC (Elektro-Speciaalzaken) B.V.;;;;;1;;1
Beachclub Indigo B.V.;1;;;;;;1
Beeldend Kunstenaar J. van der Kooi;;;;1;;;1
Belgian Beer Cafe Belvédère;1;;;;;;1
Billink B.V.;;;;;1;;1
Boekbinderij Hudéjo/Van der Nat;;;;;1;;1
Brainstein B.V.;;;;2;;;2
Breton Advocaten;;;;;;1;1
Brinks V.O.F.;;;;;;1;1
Centrum Quadraat;1;;;;;;1
Chris de Bode Fotografie;;;;1;;;1
CM.COM Netherlands B.V.;1;;;;;;1
COMPAREX Nederland B.V.;1;;;;;;1
Coolblue B.V.;;;;;1;;1
Copex Air B.V.;;7;;;;;7
Croon advocaten N.V.;;;;;;1;1
Dürst Britt & Mayhew;;;;1;;;1
Dagelijks Lekker B.V.;1;;;;;;1
De Haagsche Reclamewinkel;;;;;1;;1
De Haan Advocaten & Notarissen;;;;;;1;1
De Vries Projekt Design B.V.;;;;1;;;1
Digital Revolution B.V.;;;;;1;;1
Discountoffice.nl B.V.;;;;;1;;1
Drukkerij Lemver;;;;;1;;1
EENWERK;;;;1;;;1
Epson Europe B.V.;;;;;1;;1
Etikettenkoning B.V.;;;;;1;;1
Ex Interiors B.V.;;;;2;;;2
Fakton B.V.;2;;;;;;2
FOAM-Fotografiemuseum Amsterdam;;;;1;;;1
Franssen Advocaten;;;;;;1;1
G4S Cash Solutions B.V.;;;;;;1;1
Galerie Cokkie Snoei;;;;1;;;1
Galerie Nouvelles Images;;;;2;;;2
Galerie Onrust;;;;2;;;2
Galerie Wilms;;;;2;;;2
Gartner Nederland B.V.;3;;;;;;3
Gebr. Barendsen B.V.;1;;;;;;1
Goedman Kunstenaarsbenodigdheden;;;;1;;;1
Gusto di Italb;1;;;;;;1
Haaglanden Lease;1;;;;;;1
Health2Work B.V.;;;;;1;;1
Hedera Holding B.V.;;;;;1;;1
Het Stempel No. 539 B.V.;;;;;1;;1
Holding Beheermaatschappij Ropeni B.V.;1;;;;;;1
Holland Vision B.V.;;;;;1;;1
Hollandse Hoogte B.V.;;;;1;;;1
Hugo Schipper B.V.;;;;;1;;1
Inigo Advocaten;;;;;;1;1
Inkt.nl B.V.;;;;;1;;1
Internat. Instituut voor Sociale Geschiedenis;1;;;;;;1
ISS Integrated Facility Services B.V.;1;;;;;;1
Jahae Raymakers;;;;;;2;2
Jitske Schols Photography;;;;1;;;1
KLM;;2;;;;;2
Kon. Ned. Veren. van Informatieprofessionals;1;;;;;;1
Koninklijk Instituut van Ingenieurs;1;;;;;;1
Koninklijke van der Most B.V.;;;;;2;;2
Korporaal Installatietechniek B.V.;;;;2;;;2
L.J.A.D. Creyghton V.O.F.;;;;1;;;1
Lebkov;1;;;;;;1
Let's Cook Together;1;;;;;;1
Libereaux B.V.;1;;;;;;1
LifeTune;;;;;1;;1
Little V Den Haag B.V.;1;;;;;;1
Lyreco Nederland B.V.;;;;;1;;1
M. van Duijn advocatuur;;;;;1;;1
Mainpress B.V.;;;;;1;;1
Manutan B.V.;;;;;1;;1
Marleen Wagenaar;;;;1;;;1
Matpanözer Advocatuur;;;;;;1;1
Maxilia Holding B.V.;1;;;;;;1
MDI Consultants;1;;;;;;1
Meetingselect B.V.;2;;;;;;2
Millers;1;;;;;;1
Moduli Print B.V.;;;;;1;;1
Mr. M.C. Vermeul;;;;;;1;1
NOVI Opleidingen B.V.;1;;;;;;1
