FID,ID,WIJKNR,WIJKNAAM,WIJKDEEL,STDSDLNR,STDSDLNM,STDSDLKORT,DD_BRONBESTAND,DD_BIJGEWERKT,GEOMETRIE
GEO_IND_WIJKDELEN.69,69,31,Tolhuis,31_03,7,Dukenburg,Dukenburg,2020-01-24,2023-02-01,"POLYGON ((182950.367684397 426034.102777193, 182949.297452983 426038.842373455, 182577.815320706 425924.299234569, 182576.25893509 425923.819337212, 182676.28 425849.74, 182692.52 425837.71, 182705.49 425828.1, 182723.67430121 425830.554640375, 182725.874611422 425830.851653178, 182754.68 425834.74, 182841.518605368 425846.461374519, 182872.03 425816.39, 182879.859999977 425808.680000023, 182879.86 425808.68, 182907.19 425836.02, 183053.157621373 425857.133470343, 183039.650335997 425871.215533821, 183016.899616161 425896.591336714, 183005.086742399 425911.466807379, 182989.336244051 425935.530068742, 182972.312099027 425968.234661785, 182956.522705825 426006.844825153, 182950.367684397 426034.102777193))"
GEO_IND_WIJKDELEN.70,70,40,t Acker,40_05,8,Lindenholt,Lindenholt,2020-01-24,2023-02-01,"POLYGON ((182225.010000129 427681.169999932, 182301.789563176 427640.66023029, 182340.15 427714.81, 182357.92 427749.2, 182362.56 427758.19, 182516.674640142 428056.820994118, 182477.94555352 428070.733384461, 182425.173034263 428089.57205354, 182370.112776172 428109.227396817, 182242.146669372 428159.959521996, 182124.024109249 428211.448843077, 182054.742950111 428244.863010546, 182056.219668924 428222.812662124, 182056.948307792 428211.932634897, 182054.621662909 428193.946349009, 182052.873404556 428174.685082874, 182043.136266086 428137.744473885, 182025.145664579 428097.084889769, 182015.020402552 428077.851653238, 182012.937907985 428073.903621875, 181998.419787784 428051.986844265, 181977.611749344 428027.957659026, 181907.148483748 427970.70625573, 181877.440274572 427944.636668615, 181848.796091927 427912.353863907, 181826.29197405 427884.912605129, 181811.900429159 427860.083386731, 181895.53 427815.96, 181967.62 427786.92, 182030.821 427763.39, 182142.83 427724.8, 182188.93 427703.25, 182196.98 427695.96, 182225.01 427681.17, 182225.010000129 427681.169999932))"
GEO_IND_WIJKDELEN.71,71,42,t Broek,42_03,8,Lindenholt,Lindenholt,2020-01-24,2023-02-01,"POLYGON ((182509.28 426977.55, 182509.280000001 426977.549999999, 182512.537 426975.747, 182520.398 426971.45, 182534.567 426963.676, 182541.01 426960.14, 182547.386 426956.659, 182552.107 426954.081, 182556.853 426951.49, 182571.116 426943.773, 182575.851 426941.117, 182583.738 426936.811, 182587.454 426934.793, 182591.04 426935.569, 182593.63 426936.13, 182597.522 426943.242, 182601.5 426950.511, 182605.5 426957.82, 182606.935 426960.454, 182631.075 426947.304, 182629.64 426944.67, 182623.779395811 426933.940159396, 182631.96 426929.459, 182618.018 426903.979, 182615.49 426882.61, 182602.18 426856.3, 182589.21 426830.67, 182592.71 426799.57, 182598.035461567 426765.169191194, 182683.649945965 426774.200585757, 182715.655771868 426756.697102937, 182740.939945977 426742.869585771, 182768.172945993 426727.97558577, 182779.825986374 426721.602567514, 182812.959296497 426703.482044168, 182842.273482037 426687.45019038, 182910.749946112 426650.000585704, 182932.96994608 426637.850585754, 182918.467731927 426701.53495934, 182915.40665235 426721.125868632, 182922.753243335 426756.022175808, 182925.841642288 426788.450364816, 182927.650970658 426807.448312707, 182926.426538828 426864.384392834, 182920.304379673 426929.279279868, 182912.345572773 426977.644337187, 182903.162334042 427014.989508024, 182890.918015734 427051.722462947, 182883.401453315 427072.902635953, 182876.83704968 427086.00655421, 182867.041595034 427096.414224774, 182846.22625391 427108.046327166, 182832.145287856 427112.331838572, 182819.900969548 427116.005134067, 182807.65665124 427118.453997729, 182794.800117016 427121.515077306, 182780.719150962 427123.963940965, 182755.006082515 427134.983827446, 182748.271707446 427141.718202514, 182675.553 427092.273, 182509.28 426977.55))"
GEO_IND_WIJKDELEN.72,72,42,t Broek,42_05,8,Lindenholt,Lindenholt,2020-01-24,2023-02-01,"POLYGON ((182189.922 426917.206, 182179.62 426895.65, 182147.4 426838.07, 182134.19 426820.2, 182128.39 426816.3, 182104.12 426771.48, 182099.31 426762.59, 182078.18 426752.18, 182049.166525553 426698.28208443, 182053.912945396 426695.685585751, 182224.555254295 426602.336796981, 182228.56994552 426600.140585699, 182228.570234008 426600.140427744, 182285.654 426704.484, 182287.62 426703.44, 182291.329 426710.157, 182292.28 426711.88, 182296.708 426720.218, 182300.97 426728.245, 182305.297 426736.286, 182309.626 426744.285, 182313.951 426752.277, 182318.393 426760.472, 182322.968 426768.186, 182327.645 426776.07, 182328.271 426778.615, 182330.462 426782.673, 182339.909 426785.564, 182341.078 426785.949, 182345.262 426793.572, 182349.874 426801.975, 182354.496 426810.395, 182359.118 426818.815, 182366.962 426833.106, 182358.57 426837.772, 182371.767617531 426861.89673694, 182208.644069604 426951.470664168, 182189.922 426917.206))"
GEO_IND_WIJKDELEN.73,73,32,Zwanenveld,32_05,7,Dukenburg,Dukenburg,2020-01-24,2023-02-01,"POLYGON ((182950.367684397 426034.102777193, 182956.522705825 426006.844825153, 182972.312099027 425968.234661785, 182989.336244051 425935.530068742, 183005.086742399 425911.466807379, 183016.899616161 425896.591336714, 183039.650335997 425871.215533821, 183053.157621373 425857.133470343, 183060.213486619 425849.777355512, 183075.48887289 425836.863152014, 183314.255 425877.116, 183352.45 425884.683, 183387.702669896 425890.733898623, 183391.182 425870.003, 183424.78 425875.64, 183425.355632295 425872.208308973, 183472.293 425880.085, 183472.01 425881.768, 183481.17 425883.305, 183491.07 425885.17, 183523.51 425852.68, 183523.51 425852.68, 183563.77 425898.44, 183563.77 425898.44, 183560.57 426001.62, 183537.977693251 426061.597100161, 183537.977693251 426061.597100161, 183537.977693251 426061.597100161, 183531.5055 426062.877, 183527.5115 426062.688, 183524.488 426062.5505, 183515.796218412 426064.148751732, 183511.980218412 426063.648751732, 183510.482437541 426063.40436923, 183510.446279645 426063.398469598, 183502.799218412 426062.150751732, 183492.798218412 426060.651751732, 183480.501218412 426059.039751732, 183468.847218412 426057.702751732, 183457.479218412 426056.610751732, 183445.119218412 426055.372751732, 183439.315218412 426054.718751732, 183433.654979473 426054.045507545, 183431.081182257 426053.791443145, 183428.51040707 426053.508431198, 183425.942979473 426053.196507545, 183424.473331451 426053.00489683, 183420.445671483 426052.433144123, 183413.321808359 426051.247548959, 183386.681831398 426044.783608137, 183370.230678516 426039.915300773, 183334.582413354 426029.168685998, 183293.645 426017.4635, 183277.643550756 426010.154487847, 183270.29 426057.18, 183177.06 426040.89, 183161.67 426072.42, 183154.28 426076.47, 183134.94 426077.41, 183080.49 426064.64, 182967.045465277 426038.016733906, 182950.367684397 426034.102777193))"
GEO_IND_WIJKDELEN.74,74,31,Tolhuis,31_04,7,Dukenburg,Dukenburg,2020-01-24,2023-02-01,"POLYGON ((183011.56 425678.93, 183011.559999999 425678.930000001, 182993.48 425696.74, 182921.15 425768, 182904.13 425784.76, 182879.86 425808.68, 182879.859999977 425808.680000023, 182872.03 425816.39, 182841.518605368 425846.461374519, 182754.68 425834.74, 182725.874611422 425830.851653178, 182723.67430121 425830.554640375, 182725.769 425815.65, 182725.866 425814.963, 182726.716 425808.912, 182726.819 425808.179, 182727.669 425802.129, 182727.771 425801.405, 182728.697 425794.819, 182728.878 425793.533, 182729.895 425786.296, 182725.165 425785.555, 182726.413 425777.578, 182721.302 425776.835, 182721.419 425776.068, 182722.264 425770.537, 182722.521 425768.835, 182723.321 425763.586, 182723.559 425762.021, 182724.352 425756.819, 182724.598 425755.206, 182725.389 425750.011, 182725.636 425748.392, 182726.448 425743.059, 182726.674 425741.576, 182728.035 425732.642, 182737.54 425733.98, 182738.099 425730.331, 182744.044 425731.242, 182744.5 425728.263, 182744.958 425725.275, 182745.413 425722.307, 182745.871 425719.319, 182746.329 425716.33, 182747.241 425710.384, 182747.696 425707.415, 182748.161 425704.378, 182742.216 425703.467, 182743.053 425672.568, 182743.915 425666.918, 182744.444 425663.41, 182741.92 425663.029, 182742.085 425661.932, 182743.752 425651.314, 182744.006 425649.691, 182744.006000033 425649.691000005, 182747.122045191 425650.17971509, 182747.966 425644.859, 182746.388 425644.666, 182746.89 425641.084, 182748.695 425630.277, 182748.965 425628.655, 182769.172 425631.783, 182768.275 425637.581, 182838.685 425648.539, 182842.683 425649.162, 182843.924 425641.535, 182858.503 425630.886, 182858.942 425628.241, 182860.265 425628.43, 182860.608 425625.964, 182864.037 425626.441, 182865.268 425617.591, 182871.985 425618.639, 182873.683 425607.552, 182903.35 425612.135, 182906.706 425612.653, 182909.708 425593.123, 182918.006 425594.621, 182917.327 425598.946, 182921.709 425599.526, 182921.231 425602.489, 182961.535 425608.766, 182960.939 425613.024, 182980.358 425616.226, 182977.392 425635.138, 182975.884 425634.906, 182974.752 425642.146, 182977.39 425642.91, 183011.56 425678.93))"
GEO_IND_WIJKDELEN.80,80,31,Tolhuis,31_06,7,Dukenburg,Dukenburg,2020-01-24,2023-02-01,"POLYGON ((182700.08 425348.2, 182687.29 425345.94, 182668.799327685 425342.670558257, 182665.112 425365.146, 182661.762 425368.29, 182664.327 425370.468, 182659.739 425375.87, 182656.241 425375.36, 182654.237 425377.793, 182649.837 425374.292, 182647.823 425376.823, 182643.401 425373.304, 182641.274 425375.887, 182636.869 425372.258, 182634.709 425374.88, 182630.273 425371.349, 182628.308 425373.818, 182623.863 425370.281, 182621.82 425372.762, 182617.524 425369.343, 182615.509 425371.788, 182609.865 425367.296, 182601.391 425356.081, 182593.711 425361.789, 182589.54 425356.149, 182585.517 425350.708, 182581.553 425345.347, 182577.712 425340.154, 182573.815 425334.883, 182569.921 425329.617, 182566.019 425324.339, 182562.162 425319.099, 182558.347 425313.916, 182554.407 425308.564, 182550.581000015 425303.367000021, 182532.63511586 425278.990429202, 182539.796902862 425264.437458189, 182539.796879233 425264.437506204, 182544.566945807 425254.744584511, 182548.270945732 425247.217584611, 182569.168887758 425204.904969693, 182571.340917045 425200.507204658, 182601.258792817 425139.931691765, 182610.001512286 425122.230076852, 182619.085945828 425103.836584436, 182635.49994591 425111.360584347, 182718.48094589 425146.9165845, 182718.359945871 425153.50258453, 182742.293945964 425163.782584441, 182886.06519739 425225.537563845, 182897.15394606 425230.30058454, 182932.112946168 425245.316584447, 182935.789530791 425245.883775083, 182999.999946217 425255.789584465, 183003.338770639 425256.304707267, 183082.996946199 425268.594584589, 183108.314696235 425272.513262152, 183134.734946309 425276.602584504, 183176.14028122 425282.969823584, 183192.033440209 425285.724015526, 183182.02 425356.83, 183165.56 425372.71, 183116.01 425419.57, 183103.945 425425.485, 183093.639 425423.923, 183059.72 425407.31, 183000.37 425397.99, 182932.82 425387.38, 182892.99 425381.12, 182828.26 425370.95, 182797.42 425366.1, 182752.09 425358.98, 182735.27 425371.84, 182718.55 425351.46, 182700.08 425348.2))"
GEO_IND_WIJKDELEN.81,81,05,Hunnerberg,05_04,2,Nijmegen-Oost,N-Oost,2020-01-24,2023-02-01,"POLYGON ((189052.013 428378.87, 189072.356 428402.251, 189082.463 428413.669, 189099.353 428433.118, 189098.191 428433.991, 189099.949 428436.6, 189105.614 428444.946, 189133.269298367 428485.693392339, 189119.969654655 428492.788292629, 189104.869437547 428500.759749526, 189071.782951254 428516.41058719, 189059.463951189 428521.932587251, 189053.846951306 428524.57258713, 189049.40295128 428526.897587154, 189048.772951314 428525.706587118, 189040.893539624 428529.809218907, 188999.999951214 428551.101587199, 188969.026951171 428567.228587234, 188957.628188431 428573.31155122, 188935.684951179 428585.02158721, 188900.82295119 428606.760587194, 188881.191046373 428620.783892216, 188830.147951171 428657.244587191, 188806.908480695 428671.793350549, 188799.644951092 428676.340587264, 188770.375951093 428690.675587253, 188743.734951045 428701.175587291, 188730.351951019 428705.197587302, 188703.476950986 428711.102587321, 188703.291950949 428709.798587358, 188701.634950998 428710.163587306, 188701.619951035 428710.035587265, 188701.393951001 428708.159587297, 188694.668950938 428708.992587363, 188685.806951018 428710.123587276, 188682.016950988 428710.582587302, 188682.364950947 428711.488587338, 188666.943976638 428712.994949564, 188661.105238311 428713.737510948, 188657.509778681 428714.425672499, 188651.852239259 428715.508510722, 188645.406428657 428716.919776892, 188641.822240312 428717.704510427, 188633.116946974 428719.863150358, 188628.03824162 428721.122510124, 188620.552242309 428722.242510056, 188617.949983942 428722.687951842, 188604.434243927 428725.00150973, 188601.433244155 428725.518509747, 188598.094244568 428726.412509567, 188595.032244888 428728.017509389, 188592.842245095 428729.749509219, 188594.396741068 428701.798243772, 188593.99096767 428681.915347253, 188593.99096767 428668.930598509, 188592.367874076 428658.786263552, 188589.933233687 428650.670795586, 188587.092819898 428641.338007424, 188583.846632712 428632.005219261, 188578.571578534 428622.266657701, 188571.267657364 428612.528096141, 188564.775282991 428605.224174972, 188556.659815024 428598.731800601, 188547.327026863 428592.645199625, 188535.96537171 428586.964372044, 188529.067223939 428584.935505056, 188527.080787277 428584.670646834, 188550.74 428557.48, 188658.03 428534.19, 188738.6 428519.07, 188779.244 428509.686, 188804.48 428503.86, 188851.28 428483.69, 188851.28 428483.69, 188894.62 428460.72, 188914.39 428445.56, 188972.42 428399.59, 188972.42 428399.59, 189010.38 428358.84, 189044.07 428374.21, 189052.013 428378.87))"
GEO_IND_WIJKDELEN.82,82,40,t Acker,40_01,8,Lindenholt,Lindenholt,2020-01-24,2023-02-01,"POLYGON ((183106.17 427533.98, 183125.01 427528.93, 183148.53 427499.48, 183181.7 427458.44, 183241.01 427447.12, 183251.47 427438.99, 183306.098418714 427377.661581377, 183383.235387381 427440.91308344, 183440.859040789 427488.163872467, 183440.859091833 427488.163914323, 183445.662981045 427492.103226078, 183446.313022432 427492.636276605, 183453.008451178 427498.757811457, 183468.746243919 427513.146650535, 183478.832490716 427522.368361892, 183497.472058526 427539.41025246, 183551.55446811 427591.300131921, 183563.856876228 427679.823981643, 183585.107933217 427832.739196058, 183529.636248253 427840.477555374, 183367.381938174 427861.71217985, 183288.450853915 427872.674830437, 183278.049706789 427874.295109643, 183143.013022735 427895.330974996, 183135.345132811 427897.06537867, 183103.642 427592.309, 183106.17 427533.98))"
GEO_IND_WIJKDELEN.83,83,40,t Acker,40_04,8,Lindenholt,Lindenholt,2020-01-24,2023-02-01,"POLYGON ((182451.28 427561.85, 182637.44 427464.24, 182650.236 427488.08, 182656.536 427499.82, 182665.95 427517.36, 182667 427535.2, 182661.05 427566.65, 182658.44 427581.6, 182670.7 427615.72, 182671.56 427662.4, 182672.49 427665.11, 182674.23 427670.21, 182675.97 427675.31, 182677.78 427680.63, 182682.93 427678.9, 182686.07 427680.44, 182687.74 427685.33, 182689.49 427690.47, 182691.24 427695.59, 182693 427700.72, 182694.811 427700.113, 182788.898016344 427976.584668646, 182758.589408661 427983.763023097, 182633.615191919 428020.305191737, 182553.222420915 428043.692179668, 182544.258624228 428046.912184299, 182516.674640142 428056.820994118, 182362.56 427758.19, 182357.92 427749.2, 182340.15 427714.81, 182301.789563176 427640.66023029, 182301.789563197 427640.66023028, 182451.279999997 427561.850000002, 182451.28 427561.85))"
