FID,pointid,nap_05_10,nap_10_15,nap_15_20,nap_20_30,nap_30_40,se_anno_cad_data,gdb_geomattr_data,shape
dominant_bodemtype_op_15m_20m_nap.1,59053,klei,zand,zand,klei,zand,,,"POLYGON ((150500 531500, 150250 531500, 150250 531750, 150500 531750, 150500 531500))"
dominant_bodemtype_op_15m_20m_nap.2,59063,klei,zand,leem,fijn zand,fijn zand,,,"POLYGON ((153000 531500, 152750 531500, 152750 531750, 153000 531750, 153000 531500))"
dominant_bodemtype_op_15m_20m_nap.3,59064,klei,zand,leem,fijn zand,fijn zand,,,"POLYGON ((153250 531500, 153000 531500, 153000 531750, 153250 531750, 153250 531500))"
dominant_bodemtype_op_15m_20m_nap.4,59078,zand,zand,fijn zand,middelgrof zand,fijn zand,,,"POLYGON ((156750 531500, 156500 531500, 156500 531750, 156750 531750, 156750 531500))"
dominant_bodemtype_op_15m_20m_nap.5,59086,zand,zand,fijn zand,middelgrof zand,fijn zand,,,"POLYGON ((158750 531500, 158500 531500, 158500 531750, 158750 531750, 158750 531500))"
dominant_bodemtype_op_15m_20m_nap.6,59104,zand,zand,fijn zand,middelgrof zand,fijn zand,,,"POLYGON ((163250 531500, 163000 531500, 163000 531750, 163250 531750, 163250 531500))"
dominant_bodemtype_op_15m_20m_nap.7,59109,zand,zand,fijn zand,leem,fijn zand,,,"POLYGON ((164500 531500, 164250 531500, 164250 531750, 164500 531750, 164500 531500))"
dominant_bodemtype_op_15m_20m_nap.8,59113,zand,zand,fijn zand,leem,grof zand,,,"POLYGON ((165500 531500, 165250 531500, 165250 531750, 165500 531750, 165500 531500))"
dominant_bodemtype_op_15m_20m_nap.9,59119,zand,zand,fijn zand,klei,middelgrof zand,,,"POLYGON ((167000 531500, 166750 531500, 166750 531750, 167000 531750, 167000 531500))"
dominant_bodemtype_op_15m_20m_nap.10,59120,zand,zand,fijn zand,klei,middelgrof zand,,,"POLYGON ((167250 531500, 167000 531500, 167000 531750, 167250 531750, 167250 531500))"
dominant_bodemtype_op_15m_20m_nap.11,59123,zand,zand,fijn zand,middelgrof zand,fijn zand,,,"POLYGON ((168000 531500, 167750 531500, 167750 531750, 168000 531750, 168000 531500))"
dominant_bodemtype_op_15m_20m_nap.12,59125,zand,zand,fijn zand,middelgrof zand,fijn zand,,,"POLYGON ((168500 531500, 168250 531500, 168250 531750, 168500 531750, 168500 531500))"
dominant_bodemtype_op_15m_20m_nap.13,59357,klei,zand,zand,zand,klei,,,"POLYGON ((137250 531250, 137000 531250, 137000 531500, 137250 531500, 137250 531250))"
dominant_bodemtype_op_15m_20m_nap.14,59365,klei,zand,zand,zand,zand,,,"POLYGON ((139250 531250, 139000 531250, 139000 531500, 139250 531500, 139250 531250))"
dominant_bodemtype_op_15m_20m_nap.15,59366,klei,zand,zand,zand,zand,,,"POLYGON ((139500 531250, 139250 531250, 139250 531500, 139500 531500, 139500 531250))"
