Handelsnaam;4120 - Risicobeheersen;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;Eindtotaal
!pet boekhandel B.V.;;;;;1;1
Amazing Design;;;;1;;1
Andriesse - Eyck;;;;1;;1
Anningahof;;;;2;;2
Antalis B.V.;;1;;;;1
Aon B.V.;;;;1;;1
Art Affairs Gallery;;;;1;;1
Bandora B.V.;;;;1;;1
Barbara Schoonhoven Rest.&Onderz. van Schild.;;;;1;;1
Boekbinderij Hudéjo/Van der Nat;;;;;1;1
Boetzelaer Nispen Galerie;;;;1;;1
Chubb Fire & Security Amsterdam;1;;;;;1
CIB Centraal InkoopBureau B.V.;;;;;1;1
Conrad Electronic Benelux B.V.;;;;;1;1
Coolblue B.V.;;;;;1;1
Copex Air B.V.;;7;;;;7
Crisisplan B.V.;2;;;;;2
Dantuma;;;;;1;1
De Vries Projekt Design B.V.;;;;1;;1
Design Virus;;;;2;;2
Dutch Icon;;;1;;;1
Ex Interiors B.V.;;;;2;;2
Facilion B.V.;;;1;;;1
Facilitylinq B.V.;;;;6;;6
Flatland Galerie;;;;2;;2
Flinders B.V.;;;;1;;1
Galerie Cokkie Snoei;;;;1;;1
Galerie De Vlaming;;;;2;;2
Galerie De Zaal;;;;1;;1
Galerie Diana Stigter;;;;2;;2
Galerie Gerhard Hofland;;;;1;;1
Galerie Maurits van de Laar;;;;1;;1
Galerie Nouvelles Images;;;;2;;2
Galerie Onrust;;;;1;;1
Galerie Van Kranendonk;;;;1;;1
Galerie Wit;;;;2;;2
Galerie Wouter van Leeuwen;;;;1;;1
Glasblazerij De Oude Horn B.V.;;;;2;;2
Gunnebo Nederland B.V.;2;;;;;2
Het Sleutelhuis B.V.;1;;;;;1
Het Stempel No. 539 B.V.;;;;;1;1
in60seconds B.V.;;;1;;;1
ING Bank N.V.;;;;1;1;1
Jimmy Jap-Ngie;1;;;;;1
K. Boske;;;;2;;2
Koninklijke Luchtvaart Maatschappij N.V.;;2;;;;2
Koninklijke van der Most B.V.;;;;;2;2
Korporaal Installatietechniek B.V.;;;;5;;5
Lensvelt Contract B.V.;;;;1;;1
Lyreco Nederland B.V.;;;;6;3;6
M.G. Geerlinks;;;;1;;1
Manutan B.V.;;;;;1;1
Metaform B.V.;;;;1;;1
Misco Nederland B.V.;;;;;1;1
Moduli Print B.V.;;;3;;1;3
Molenaar;;;;1;;1
Muldi B.V.;;;;;1;1
N.V. Koninklijke Porceleyne Fles;;;;1;;1
Nauta B.V.;;;;2;;2
NIBHV B.V.;1;;;;;1
Passa Flor B.V.;;;;1;;1
PDS Professional Driving Solutions B.V.;2;;;;;2
Personal Art/Living Stone Editions;;;;1;;1
Pim Ras Fotografie;;;1;;;1
Poike Stomps Fotografie;;;;2;;2
QC Light Factory B.V.;;;;4;;4
Quinton Brandveiligheid B.V.;2;;;;;2
RauwCC B.V.;;;1;;;1
Reisswolf Nederland B.V.;;;;;1;1
Reporterservice B.V.;;;1;;;1
riskconsult;1;;;;;1
S. Hooft Graafland;;;;1;;1
Sander Troelstra Photography;;;;1;;1
SB Commerce B.V.;;;;1;;1
Schut-Copex B.V.;2;4;;1;;4
SOS International Amsterdam;1;;;;;1
Spencer Medical B.V.;1;;;;;1
Staples Nederland B.V.;;;;;2;2
Stas B.V.;;;;;1;1
Steendrukkerij Amsterdam B.V.;;;;1;;1
Ster in Lijsten B.V.;;;;2;;2
STICHTING Centre for Safety and Development;2;;;;;2
Technisch Bureau Koppes B.V.;;;;;1;1
Technisch Bureau Verhagen B.V.;;;;;1;1
The Ravestijn Gallery B.V.;;;;1;;1
Transposafe Systems;;2;;;;2
Upstream Gallery;;;;1;;1
VCK Travel B.V.;1;;;;;1
Vereniging VNO-NCW;;;1;;;1
Windmill Forwarding B.V.;;1;;;;1
Xerox (Nederland) B.V.;;;5;;1;5
Zwartwoud Groningen B.V.;;;;1;;1
Eindtotaal;4;7;5;7;4;8
