Rijlabels;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7410 - Verwerven en afstoten;Eindtotaal
A.V.C. Audio Video Communicatie B.V.;1;;;1
AAA Display B.V.;1;;;1
Aalbers Holding B.V.;;;3;3
Abonnementenland;1;;;1
Academic Editing And Translation Services (AETS) Jerusalem;2;;;2
Acceleratio B.V.;1;;;1
Ad Em Producties B.V.;1;;;1
Airinc International Holdings B.V. Amsterdam;1;;;1
Airinc Research Uk Ltd Londen;1;;;1
Ak Ay Gida Rescate Hotels Ankara;;;1;1
Ak Media Productions;1;;;1
Amaze Escape Events;1;;;1
Annelies Kraan Beheer B.V.;1;;;1
Antea Nederland B.V.;;;2;2
Aon B.V.;1;;;1
Arabisch Vertaalbureau Abdellatif (Ava);1;;;1
ARCADIS Nederland;;;3;3
Ardis Opleidingen B.V.;1;;;1
Art & Allposters International B.V.;1;;;1
Art Copy Team;1;;;1
ASMORO B.V.;1;;;1
Athenas B.V.;1;;;1
Attentio;1;;;1
August;1;;;1
Axiell ALM Netherlands B.V.;2;;;2
B.V. Panorama Mesdag;1;;;1
Babycompany.nl;1;;;1
Bar Restaurant Pavlov B.V.;1;;;1
BeGlobal Relatiegeschenken;1;;;1
Berenschot Groep B.V.;1;;;1
Beroepsvereniging voor Public Affairs (Bvpa);1;;;1
Beurtvaartadres douane B.V.;1;;;1
Borzo Kunsthandel B.V.;;;1;1
Breakaway;1;;;1
Brian Ashman Dutch Translations;1;;;1
Brinks V.O.F.;1;;;1
British Council;1;;;1
Budoflex;1;;;1
Buena Vista Beach Club B.V.;1;;;1
Bureau van Bijlert;1;;;1
Café Haags Filmhuis;1;;;1
Carlton Hotel Collection;1;;;1
CDAC Network Limited;1;;;1
Centraal Boekhuis B.V.;1;;;1
Chocolaterie Gelaterie De Lelie;1;;;1
Chubb Fire & Security Twente;;;3;3
Cibt Brussel;2;;;2
CIBT Netherlands;2;;;2
COMPAREX Nederland B.V.;3;;;3
Coolblue B.V.;1;;;1
Copex Air B.V.;2;;;2
Creatiff Grafische Producties;1;;;1
Cushman & Wakefield V.O.F.;;;2;2
Customer Contact Company B.V.;1;;;1
Customeyes B.V.;2;;;2
Da Portare Via Amsterdam B.V.;1;;;1
DarkPark Delft;1;;;1
De Baak B.V.;1;;;1
De Jonge Helden;1;;;1
De Roo Taxi B.V.;1;;;1
De Vegetarische Slager;1;;;1
Dekker & Van Velzen;2;;;2
Diebels Relatiegeschenken B.V.;1;;;1
Diner Thuis;1;;;1
Discountoffice.nl B.V.;1;;;1
Dopper;1;;;1
Dubois & Co. Registeraccountants;1;;;1
Duodecima;1;;;1
Easylocate;2;;;2
Eca International Londen;4;;;4
Elycio Talen B.V.;1;;;1
Emerce B.V.;1;;;1
EMMA Communicatie B.V.;1;;;1
Engelen en Partners Organisatieontwikk. B.V.;1;;;1
English Translation Service;2;;;2
Ernst & Young Accountants LLP;2;;;2
Eur. Instit. voor Certified Public Controll.;1;;;1
Eurotempest B.V.;2;;;2
Everaert Advocaten;1;;;1
Fakton B.V.;2;;;2
Fanbased B.V.;1;;;1
Firma Hof der Muzen;1;;;1
Flexxolutions B.V.;2;;;2
Gebr. Barendsen B.V.;1;;;1
Genootschap Onze Taal;1;;;1
Gerritsen & IJzereef B.V.;1;;;1
GJM Communicatie B.V.;1;;;1
GMI Groep B.V.;2;;;2
Gran Mercado B.V.;1;;;1
Granny's Corner;1;;;1
Gunnebo Nederland B.V.;;;1;1
Hélène Damen;2;;;2
Hans Steijger Muziek op Maat;1;;;1
HaskoningDHV Nederland B.V.;;;2;2
Hcch - Hague Conference On Private International Law;5;;;5
Hennequin Consultancy B.V.;1;;;1
Het Nutshuis;1;;;1
Het Sleutelhuis B.V.;1;;;1
Holding Beheermaatschappij Ropeni B.V.;2;;;2
Holland Tour Guides B.V.;1;;;1
Hollandse Hoogte B.V.;1;;;1
Horeca Exploit. Maatschappij City Hall B.V.;1;;;1
Hotel Beethoven Amsterdam;1;;;1
HOTEL BERLAYMONT;1;;;1
Hotel Des Indes B.V.;1;;;1
Hotel New York B.V.;1;;;1
House of Sports;1;;;1
Huijer Evening Dress B.V.;1;;;1
Humphrey's Rotterdam Binnenrotte B.V.;1;;;1
Hurricane Textile & Sportswear B.V.;1;;;1
IDEAS - INTERN. DEVELOPMENT EVALUATION ASSOCIATION;1;;;1
Ijet International, Inc. Annapolis;2;;;2
Indonesisch Restaurant Poentjak;1;;;1
ING Bank N.V.;1;;;1
Inmobiliaria 56 Ca.;3;;;3
Int. Air Trans. Association (Netherl.) B.V.;1;;;1
Intact;2;;;2
Iretail.Solutions B.V.;1;;;1
ISS Integrated Facility Services B.V.;1;;;1
Jaarbeurs Ontwikkeling B.V.;2;;;2
Jacomijne Prins - Onderzoek en Advies;1;;;1
Jagafer Consulting Services JCS;1;;;1
Jill Whittaker Communications;1;;;1
Julia Wolff Management;1;;;1
Juris B.V.;1;;;1
Kairos Trainingen;1;;;1
Kelly Maakt;1;;;1
Kessels & Smit, Publishers B.V.;1;;;1
Kick Smeets Fotografie;1;;;1
KLEIA;2;;;2
Koninklijke van der Most B.V.;1;;;1
Koolhaas Concepts B.V.;2;;;2
Korporaal Installatietechniek B.V.;;;1;1
KPN Consulting B.V.;1;;;1
KSG Trainers & Consultants;1;;;1
La Vina B.V.;1;;;1
