SellingPointNumber,PaymentMethod,StartDatePaymentMethod,EndDatePaymentMethod
11949,Maestro,20201130000000,29991231235959
11949,Mobiel betalen,20201130000000,29991231235959
10002,Coins,20191101000000,29991231235959
9981,Coins,20191101000000,29991231235959
10022,VPay,20191101000000,29991231235959
10002,VPay,20191101000000,29991231235959
9995,Coins,20191101000000,29991231235959
9975,Coins,20200301000000,29991231235959
10021,VPay,20191101000000,29991231235959
12239,VPay,20210122000000,29991231235959
10018,Coins,20191101000000,29991231235959
12238,Coins,20210122000000,29991231235959
10016,Maestro,20191101000000,29991231235959
9999,Coins,20191101000000,29991231235959
9973,VPay,20200301000000,29991231235959
12239,Coins,20210122000000,29991231235959
9976,Maestro,20200301000000,29991231235959
12241,Maestro,20210122000000,29991231235959
10024,VPay,20191101000000,29991231235959
10015,VPay,20191101000000,29991231235959
12240,Coins,20210122000000,29991231235959
12236,VPay,20210122000000,29991231235959
10020,VPay,20191101000000,29991231235959
9994,VPay,20191101000000,29991231235959
10004,Maestro,20191101000000,29991231235959
9988,VPay,20191101000000,29991231235959
9981,Maestro,20191101000000,29991231235959
9983,VPay,20191101000000,29991231235959
9980,Maestro,20191101000000,29991231235959
10001,VPay,20191101000000,29991231235959
9980,Coins,20191101000000,29991231235959
12237,Coins,20210122000000,29991231235959
9977,Coins,20200301000000,29991231235959
9999,VPay,20191101000000,29991231235959
9989,Maestro,20191101000000,29991231235959
12238,Maestro,20210122000000,29991231235959
10017,Coins,20191101000000,29991231235959
10006,VPay,20191101000000,29991231235959
10020,Coins,20191101000000,29991231235959
12240,Maestro,20210122000000,29991231235959
9995,VPay,20191101000000,29991231235959
12236,Maestro,20210122000000,29991231235959
9973,Coins,20200301000000,29991231235959
10005,VPay,20191101000000,29991231235959
10002,Maestro,20191101000000,29991231235959
9981,VPay,20191101000000,29991231235959
9980,VPay,20191101000000,29991231235959
9984,Coins,20191101000000,29991231235959
10016,VPay,20191101000000,29991231235959
10007,VPay,20191101000000,29991231235959
9991,Coins,20200301000000,29991231235959
10003,VPay,20191101000000,29991231235959
12241,VPay,20210122000000,29991231235959
9985,VPay,20191101000000,29991231235959
9990,Coins,20191101000000,29991231235959
10019,Coins,20191101000000,29991231235959
9978,VPay,20200301000000,29991231235959
9975,Maestro,20200301000000,29991231235959
9992,Coins,20200301000000,29991231235959
9973,Maestro,20200301000000,29991231235959
10005,Coins,20191101000000,29991231235959
10004,VPay,20191101000000,29991231235959
9982,Maestro,20191101000000,29991231235959
10008,VPay,20191101000000,29991231235959
9986,VPay,20191101000000,29991231235959
10013,Maestro,20191101000000,29991231235959
9988,Maestro,20191101000000,29991231235959
10021,Maestro,20191101000000,29991231235959
12239,Maestro,20210122000000,29991231235959
9996,Maestro,20191101000000,29991231235959
12241,Coins,20210122000000,29991231235959
10017,Maestro,20191101000000,29991231235959
9982,Coins,20191101000000,29991231235959
9996,Coins,20191101000000,29991231235959
9998,VPay,20191101000000,29991231235959
10006,Maestro,20191101000000,29991231235959
10000,Maestro,20191101000000,29991231235959
10012,Maestro,20191101000000,29991231235959
9978,Maestro,20200301000000,29991231235959
9994,Maestro,20191101000000,29991231235959
10023,Coins,20191101000000,29991231235959
10016,Coins,20191101000000,29991231235959
9991,VPay,20200301000000,29991231235959
10019,Maestro,20191101000000,29991231235959
10007,Coins,20191101000000,29991231235959
9998,Maestro,20191101000000,29991231235959
