Leverancier;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
&Maes B.V.;;;1;;;;;1
.FABRIC;;1;4;;;;;4
7 Ditches TV B.V.;;2;;;;;;2
A-Advies B.V.;;;2;;;;;2
ABF Research B.V.;;;7;;;;;7
ABT B.V.;;;2;;;;;2
Achttienribbe Advocatuur;;;3;;;;;3
ACL Media;;1;;;;;;1
Adviesbureau Overheidshuisvesting;;1;1;;;;;1
AEVES B.V.;2;;;;;;;2
Afdeling Buitengewone Zaken;;;2;;;;;2
Agents of Change;;;2;;;;;2
AK Media;;1;;;;;;1
AKD N.V.;;;2;;;;;2
Akro Consult B.V.;;;1;;;;;1
Albron Nederland B.V.;;1;;;;;;1
Algemene Stichting Welzijn Appingedam;;;1;;;;;1
Alice Pley Search B.V.;;;2;;;;;2
alt8;;;1;;;;;1
Alt-Tab Bedrijfsondersteuning;;;1;;;;;1
Ambiënt Advies B.V.;;;1;;;;;1
Amsterdam School of Real Estate B.V.;;2;;;;;;2
Andersson Elffers Felix;;2;7;;;;;7
AnnA - Annebregje Snijders architects;;2;;;;;;2
Anna Vastgoed Beheer B.V.;;1;;;;;;1
ANNE Adviseurs voor Noord Oost Nederland;;;2;;;;;2
Anneline Van Der zon Work Environment Insights;;;1;;;;;1
Anoniem_BZK_108;;;;;1;;;1
Anoniem_BZK_111;;;;;1;;;1
Anoniem_BZK_136;;;2;;;;;2
Anoniem_BZK_138;;1;;;;;;1
Anoniem_BZK_142;;;1;;;;;1
Anoniem_BZK_146;;;3;;;;;3
Anoniem_BZK_220;;;2;;;;;2
Anoniem_BZK_224;;;1;;;;;1
Anoniem_BZK_229;;;1;;;;;1
Anoniem_BZK_231;;2;;;;;;2
Anoniem_BZK_232;;1;;;;;;1
Anoniem_BZK_239;;;1;;;;;1
Anoniem_BZK_24;;;;;2;;;2
Anoniem_BZK_261;;;2;;;;;2
Anoniem_BZK_29;;1;;;;;;1
Anoniem_BZK_299;;;2;;;;;2
Anoniem_BZK_332;;;1;;;;;1
Anoniem_BZK_335;;;;;1;;;1
Anoniem_BZK_345;;1;;;;;;1
Anoniem_BZK_346;;;6;;;;;6
Anoniem_BZK_385;;1;;;;;;1
Anoniem_BZK_409;;1;;;;;;1
Anoniem_BZK_414;;;3;;;;;3
Anoniem_BZK_43;;;2;;;;;2
Anoniem_BZK_430;;;2;;;;;2
Anoniem_BZK_441;;;2;;;;;2
Anoniem_BZK_442;;;2;;;;;2
Anoniem_BZK_445;;;2;;;;;2
Anoniem_BZK_449;;;1;;;;;1
Anoniem_BZK_48;;;3;;;;;3
Anoniem_BZK_49;;;2;;;;;2
Anoniem_BZK_53;;;2;;;;;2
Anoniem_BZK_79;;1;;;;;;1
Anoniem_BZK_8;;;2;;;;;2
Anoniem_BZK_93;;;;;1;;;1
Anoniem_BZK_95;;;;;1;;;1
Antea Nederland B.V.;;;5;;;;;5
AP+E;;1;;;;;;1
APG Service Partners B.V.;;4;1;;;;1;4
APPM Management Consultants B.V.;;;3;;;;;3
ARCADIS Nederland B.V.;;;5;;;;;5
Archipunt B.V.;;;2;;;;;2
Architectenbureau Veldhoen/Plugge;;;1;;;;;1
Argaleo B.V.;;;2;;;;;2
Asset Health Dynamics B.V.;;;1;;;;;1
Astrid van Assen;;1;;;;;;1
At Osborne B.V.;;2;3;;;;;4
Atelier Lennart van Dijk;;1;;;;;;1
Atlas voor Gemeenten B.V.;;;2;;;;;2
Atos Nederland B.V.;;;2;;;;;2
Auxilium B.V.;;3;;;;;;3
AVB Language Group B.V.;;1;;;;;;1
AWVN;;;1;;;;;1
Barzilay & Ferwerda;;1;;;;;;1
BBA Binnenmillieu B.V.;;;2;;;;;2
BedrijfsMotivaties B.V.;;1;;;;;;1
Benelux Bikes;;1;;;;;;1
Bento Presentaties;;2;;;;;;2
Berenschot B.V.;;;5;;;;;5
Berenschot Groep B.V.;;;5;;;;;5
berte daan landschap;;1;;;;;;1
Best Secretariaat;;;1;;;;;1
BICL (NL) B.V.;;;3;;;;;3
Bijker Advies;;;1;;;;;1
BKB;;3;;;;;;3
Blauw Research B.V.;;;2;;;;;2
Blueyard Coöperatief U.A.;;;2;;;;;2
BMC Advies B.V.;;2;2;;;;;2
BMC Implementatie B.V.;;;2;;;;;2
BNA AMSTERDAM;;;2;;;;;2
Bouw Beter;;;2;;;;;2
Bouwwise!;;2;;;;;;2
Bovengronds Landschapsarchitectuur;;;2;;;;;2
brainbay B.V.;;;2;;;;;2
Brandwacht Huren B.V.;;2;;;;;;2
BreakPoint Consulting;;2;;;;;;2
Bridgeman B.V.;;1;;;;;;1
Brink Management/Advies;;;5;;;;;5
Brummelkamp Onderzoek voor de Publieke Sector;;;2;;;;;2
BuildingLabel Projects B.V.;1;;;;;;;1
BURA urbanism B.V.;;1;;;;;;1
Bureau Dijk;;;1;;;;;1
Bureau Documentatie Bouwwezen B.V.;;1;;;;;;1
