;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
"""Medische Faculteits Vereniging";;;;;1;;;;;;1
1.2.3. Sloten Service B.V.;;;1;;;;;;2;;2
1001Produkties.nl;;;;;;;;1;;;1
123Accu B.V.;;;;;;;;;1;;1
2d3d Bureau v. 2 & 3 Dimens. Vormgev. B.V.;;;;;;;;;1;;1
7Day;;;;;;;;;1;;1
A. de Jong Installatietechniek B.V.;;;;;;;;1;;;1
A. Timmerman's IJzerhandel B.V.;;;2;;;;;;;;2
A12 Van der Valk Hotel Veenendaal B.V.;;1;;;;;;;;;1
Aakwadraat Networks B.V.;;;;;;;;;2;;2
Aalsmeer Taxi;;;;;;;;;1;;1
AB Sciex Netherlands B.V.;;;;;;;;;2;;2
ABCR GMBH EN CO KG;;;;;;;;;1;;1
ABP-Reclame;;1;;;;;;;;;1
Absoluta B.V.;;1;;;;;;;;;1
Acclon Technologies B.V.;;;;;;;;;1;;1
Accountor Nederland B.V.;;;;;;;;;1;;1
ACES Direct B.V.;;;;;;;;;1;;1
Adviesburo Monster;;;;;;;;;;1;1
Advocatenkantoor Jankie;;;;;;;;;;1;1
Aeromedical Expert Centre B.V.;;;;;;;;;1;;1
Agilent Technologies Netherlands B.V.;;;;;;;;;4;;4
Agmi Traffic B.V.;;;;;;;;;5;;5
Air Products Nederland B.V.;;;;;;;;;3;;3
AKos Consulting & Solutions Deutsch;;;;;;;;;1;;1
Alaxa Products B.V.;;;;;;;;;1;;1
Albar Industrie V.O.F.;;;;;;;;;1;;1
Albert Heijn;;1;;;;;;;;;1
Albert Heijn B.V.;;1;;;;;;;;;1
Albo B.V.;;;;;;;;1;;;1
Albron Nederland B.V.;;;;;;;;;1;;1
ALcontrol Laboratories;;;;;;;1;;;;1
Allekabels B.V.;;;;;;;;;1;;1
Alleleijn Informatie Verzorging AIV B.V.;;;;;;1;;;;;1
Allgifts.nl B.V.;;;;;;;;;1;;1
All-In Quality Services B.V.;;;;;;;;1;;;1
Allinco Systems B.V.;;;;;;;;;2;;2
All-round Catering Service Hapjesgigant M & M;;1;;;;;;;;;1
Altec Industriële Identificatie;;;;;;;;;1;;1
Alting Uitvaarten;;;;;;1;;;;;1
Alt-Tab Bedrijfsondersteuning;;;;;;;;;1;;1
A-Mac B.V.;;;;;;;;;2;;2
Amelandfoto;;;;;;1;;;;;1
AmsterBammetje;;1;;;;;;;;;1
Anca Party Service;;1;;;;;;;;;1
Ankersmid Process B.V.;;;;;;;;;1;;1
Ann's Art;;;;;;;;1;;;1
anoniem_IenW_272;;;;;;1;;;;;1
anoniem_IenW_298;;;;;;;;;1;;1
anoniem_IenW_299;;;;;;;;;1;;1
anoniem_IenW_300;;1;;;;;;;;;1
anoniem_IenW_398;;;;;;;;;1;;1
anoniem_IenW_429;;;;;;;;;1;;1
anoniem_IenW_439;;;;;;;;;1;;1
anoniem_IenW_441;;;;;;;;;1;;1
anoniem_IenW_442;;;;;;;1;;;;1
anoniem_IenW_443;;;;;;;;;1;;1
anoniem_IenW_444;;1;;;;;;;;;1
anoniem_IenW_445;;;;;1;;;;1;;1
anoniem_IenW_446;;;;;;;;;2;;2
anoniem_IenW_46;;;;;;;;;1;;1
anoniem_IenW_54;;1;;;;;;;;;1
anoniem_IenW_672;;;;;;1;;;;;1
anoniem_IenW_673;;;;;;;;;3;;3
