Stembureau_naam;Stembureau_nummer;Stembureau_adres;Stembureau_plaats;CDA;PvdA;VVD;SP;Fort;GL;D66;ChU;SGP;NTR;PVDD;EénNL;PVV;Poort;PVN;CDDP;LDP;VSP;AdBos;ID;Geldig;Blanco;Oproep
1 Stadhuis;1;ingang Voorstraat 367;Dordrecht;277;316;313;390;5;142;83;90;40;1;49;22;75;1;0;0;0;4;1;0;1809;3;1962
2 Stadskantoor;2;Spuiboulevard 300;Dordrecht;272;336;224;254;2;108;44;55;17;2;41;14;85;1;0;0;1;1;3;0;1460;2;1807
4 Centrum Stapal;4;Otto Dickeplein 1;Dordrecht;193;394;197;264;1;88;49;38;4;0;33;14;83;0;0;0;0;10;3;1;1372;0;1927
5 School Vest;5;Vest 92;Dordrecht;141;314;172;334;5;139;64;46;5;1;55;19;74;0;1;0;0;1;1;1;1373;1;1858
6 Wielborgh, het Stadswiel;6;Beverwijckstraat 49;Dordrecht;278;324;224;249;5;112;25;79;24;1;37;13;57;0;0;0;0;6;1;0;1435;5;1979
9 Dordrechtse Welzijns Organisatie;9;Singel 28;Dordrecht;164;322;200;337;3;93;108;36;5;0;39;10;63;3;1;0;0;4;1;17;1406;0;1951
10 School Noordhove;10;Oranje Vrijstaatplein 2;Dordrecht;184;209;162;324;1;100;73;91;40;3;28;14;83;1;3;0;0;2;1;3;1322;3;1896
18 Verzorgingstehuis De Linde;18;Bankastraat 158;Dordrecht;240;326;151;310;5;62;20;106;37;0;31;15;77;0;0;0;0;0;0;8;1388;1;1719
19 School Noordhove;19;Bankastraat 10A, naast Buurthuis;Dordrecht;210;317;176;250;2;86;52;73;22;0;34;10;58;0;1;0;0;7;1;1;1300;4;1564
20 Vrije school;20;Dubbelmondestraat 1;Dordrecht;189;250;92;278;2;72;30;88;53;0;27;7;100;2;0;0;0;3;0;0;1193;2;1605
22 School de Repelaer;22;Standhasenstraat 47;Dordrecht;273;237;128;233;1;79;42;105;71;0;21;9;90;0;0;0;1;1;1;0;1292;2;1646
26 Wantijschool;26;Maasstraat 204;Dordrecht;121;298;75;291;4;33;47;60;22;0;28;11;98;0;1;0;0;5;3;6;1103;1;1622
27 School de Regenboog;27;Volkerakweg 60;Dordrecht;156;183;75;188;4;25;11;40;12;0;15;5;67;0;0;1;0;4;0;0;786;2;1229
29 Bejaardencentrum Merwelanden;29;Haringvlietstraat 515;Dordrecht;193;219;96;178;2;6;22;35;0;0;23;7;93;0;1;0;0;9;0;0;884;0;1197
30 Bejaardencentrum Thureborgh;30;Mauritsweg 157;Dordrecht;169;283;84;297;1;79;36;79;66;2;39;8;75;2;0;0;0;4;3;1;1228;0;1593
32 Julianakerk;32;Mauritsweg 286;Dordrecht;129;464;58;261;0;44;78;61;55;1;26;7;101;0;0;3;0;5;0;3;1296;5;1890
33 Soc. Cult. Centrum Aksa;33;Willem de Zwijgerlaan 1;Dordrecht;92;307;65;249;5;24;53;28;15;0;19;8;78;0;0;1;0;0;0;37;981;3;1476
35 Zorgcentrum Vreedonk;35;Vreedonklaan 2;Dordrecht;239;104;83;53;1;16;12;63;74;0;12;3;12;0;1;0;0;5;0;2;680;0;765
36 Gebouw Doswedo;36;Brouwersdijk 4;Dordrecht;222;320;166;269;5;76;79;103;59;1;42;20;122;0;0;1;0;3;0;5;1493;1;1948
37 Prins Bernhardschool;37;Willaertstraat 2;Dordrecht;181;253;120;230;10;38;12;72;27;0;27;19;121;0;0;0;1;0;0;0;1111;2;1455
42 Mauveschool;42;Mauveplein 13;Dordrecht;125;372;65;344;4;37;41;51;30;0;31;5;148;0;0;0;0;1;1;2;1257;2;1922
44 Bureau Sportstimulering;44;Jacob Marisstraat 128;Dordrecht;88;253;36;170;1;26;19;39;8;0;8;4;65;0;0;0;0;2;1;2;722;1;1351
50 School De Albatros;50;Douwe Aukesstraat 1;Dordrecht;64;327;35;190;3;10;14;24;8;0;19;7;109;0;0;0;0;9;0;2;821;0;1412
52 Wielborgh, het Waterwiel;52;Admiraalsplein 700;Dordrecht;114;369;62;263;2;31;30;50;10;0;24;8;85;0;0;2;0;14;0;2;1066;1;1680
54 Wooncentrum Watersteijn;54;M.H. Trompweg 382, ingang achterzijde;Dordrecht;197;257;216;157;2;27;15;37;22;0;11;5;67;0;5;0;0;7;1;0;1026;1;1407
55 Voormalig schoolgebouw;55;Rijksstraatweg 131;Dordrecht;133;52;103;72;0;16;3;32;21;0;12;3;37;0;0;0;0;1;0;1;486;0;672
60 Wooncentrum de Klockelaer;60;Tak van Poortvlietstr. ingang 1 t/m 137;Dordrecht;187;338;77;200;9;22;10;44;17;0;22;11;77;0;1;0;0;7;1;0;1023;6;1493
61 J.F. Kennedyschool;61;Bosstraat 1;Dordrecht;130;280;44;160;1;34;16;45;7;1;14;9;55;1;0;0;0;8;1;1;807;0;1478
"63 Kerk De Verrezen Christus""""";63;Slotemaker de Bruïnestraat 1;Dordrecht;109;245;56;197;3;26;18;37;8;0;15;4;63;0;0;0;0;5;0;2;788;0;1100
65 Bejaardencentrum Vijverhof;65;Henri Polakstraat 7;Dordrecht;159;329;60;223;0;17;17;31;8;0;33;5;89;0;1;0;0;1;0;0;973;0;1405
70 Morgensterkerk;70;Plutolaan;Dordrecht;392;291;235;226;11;35;20;78;31;0;20;11;83;1;0;0;1;7;1;0;1443;3;1806
71 Dep J.F. Kennedyschool;71;Eddingtonweg 3;Dordrecht;238;331;89;223;1;35;8;67;54;0;28;17;74;0;1;0;1;13;0;0;1180;1;1692
73 Wielborgh, het Sterrenwiel;73;Dalmeijerplein 80;Dordrecht;260;430;83;261;4;32;16;81;37;0;25;5;83;1;2;0;0;11;2;0;1333;2;1553
74 Verpleegtehuis Sterrenlanden;74;Minnaertweg 4;Dordrecht;327;257;174;206;3;46;25;77;28;0;20;15;75;0;1;0;0;8;1;0;1263;1;1656
75 Polyanderschool;75;Atmosfeerstraat 34;Dordrecht;283;325;122;234;6;40;16;80;50;1;30;10;126;0;0;0;0;5;0;0;1328;3;1793
76 School De Driehoek;76;Driehoek 41;Dordrecht;395;286;253;273;7;56;37;99;14;0;36;17;103;0;0;0;0;2;1;0;1579;2;1767
78 School De Keerkring;78;Ockenburg 44;Dordrecht;251;312;200;267;2;51;27;50;5;0;28;12;123;0;1;0;0;2;0;0;1331;1;1678
81 Ontmoetingskerk;81;Slangenburg 3;Dordrecht;324;290;318;258;5;58;37;64;19;0;52;18;111;0;2;0;1;2;0;0;1559;2;1799
82 School De Meridiaan;82;Kinkelenburg 19;Dordrecht;338;258;255;233;1;57;17;64;7;0;27;18;103;0;1;0;0;2;1;0;1382;0;1701
84 School Het Kristal;84;ingang Heimerstein 35;Dordrecht;306;262;257;251;7;70;27;138;19;0;30;22;117;0;1;0;0;2;0;0;1509;6;1797
91 Bejaardencentrum Dubbelmonde;91;Koningstraat 290;Dordrecht;546;221;314;162;3;49;22;129;51;0;23;16;101;0;0;0;0;5;1;0;1643;0;1899
93 Beatrixschool/Boerderijschool;93;Dubbelsteijnlaan West 54;Dordrecht;437;240;300;208;5;54;21;99;65;2;28;16;103;0;0;0;1;3;2;0;1584;3;1959
94 Verpleeghuis Het Parkhuis;94;Haaswijkweg Oost 69A;Dordrecht;502;172;301;179;2;51;16;134;68;1;34;13;92;1;0;0;0;2;0;0;1568;0;1830
96 Julianaschool;96;Goudenregenstraat 65;Dordrecht;465;235;286;153;2;31;20;69;61;1;19;10;61;0;1;0;0;4;2;0;1420;1;1500
97 Wooncentrum De Gravenhorst;97;Vijverlaan 1002;Dordrecht;463;259;314;152;2;40;10;74;37;0;24;13;79;0;0;0;0;9;3;0;1479;2;1769
101 School De Griffioen;101;Rudyard Kipling-erf 123;Dordrecht;144;236;106;254;6;41;23;54;12;0;22;6;82;0;2;0;0;0;1;0;989;2;1738
102 Oranje Nassauschool;102;Selma Lagerlöf-erf 166;Dordrecht;316;321;197;347;3;58;22;104;24;0;36;13;124;0;0;0;0;2;0;0;1567;2;1861
103 Peuterspeelzaal Kabouter-erfje;103;Henriëtte Roland Holst-erf 134;Dordrecht;204;327;119;315;6;46;28;95;50;0;26;13;130;1;0;0;0;3;1;2;1366;1;1778
104 Geert Grooteschool;104;van den Broek-erf 3;Dordrecht;391;294;291;283;1;49;21;103;30;1;37;19;147;0;0;0;0;2;1;0;1670;1;2020
105 Geert Grooteschool;105;van den Broek-erf 7;Dordrecht;324;278;261;223;4;47;27;88;20;0;33;18;110;0;2;0;0;6;1;1;1443;4;1900
106 Zorgcentrum Polderwiel;106;Dudok-erf 58;Dordrecht;455;480;312;289;5;60;23;97;17;0;27;16;121;1;0;1;0;6;0;1;1911;1;2002
107 School De Bever;107;Chico Mendesring 188;Dordrecht;379;266;351;241;6;58;37;63;16;0;35;9;146;0;0;0;1;1;0;0;1609;1;1881
108 J.W. Frisoschool;108;Chico Mendesring 821;Dordrecht;259;252;247;188;1;34;23;59;31;0;10;11;75;0;0;0;0;2;0;0;1192;1;1425
200 Loketruimte Stationshal;200;Stationsplein 2;Dordrecht;137;199;116;208;2;107;27;79;17;2;24;21;38;0;0;0;0;2;0;3;982;1;1
