geo_point_2d;geo_shape;buurt;stadsdeel;geovisia_i;id;gv_oppervl
51.40973845399963, 5.517233369462127;"{""coordinates"": [[[5.5165134377394285, 51.40928982162084], [5.5165159894884574, 51.41018868916037], [5.517953315349568, 51.41018708341028], [5.5179507352514925, 51.40928821589736], [5.5165134377394285, 51.40928982162084]]], ""type"": ""Polygon""}";Leenderheide;Stratum;A9EFA9D5-7EC2-45A9-BA27-CFFBC6DD570E;18527;10000.0
51.42235240764671, 5.487077358014554;"{""coordinates"": [[[5.4863575240909555, 51.421903589304826], [5.4863594791381995, 51.42280245633085], [5.487797206124995, 51.422801223023946], [5.4877952226845474, 51.42190235600999], [5.4863575240909555, 51.421903589304826]]], ""type"": ""Polygon""}";Gerardusplein;Stratum;6D172C30-658A-45A0-8E5A-2BDB0CA69DB8;17726;10000.0
51.40888491511362, 5.466925785405968;"{""coordinates"": [[[5.466206361896384, 51.4084359715478], [5.466207920508505, 51.40933484041391], [5.467645223091944, 51.40933385571732], [5.467643636111945, 51.40843498686174], [5.466206361896384, 51.4084359715478]]], ""type"": ""Polygon""}";Gennep;Gestel;E018B2D9-5A46-4F78-B3DF-CCF018F3CCC1;17347;10000.0
51.4412441390363, 5.466982377455798;"{""coordinates"": [[[5.46626244398941, 51.44079519762378], [5.46626400126205, 51.441694063531465], [5.467702325113136, 51.44169307747036], [5.467700739461982, 51.44079421160786], [5.46626244398941, 51.44079519762378]]], ""type"": ""Polygon""}";Philipsdorp;Strijp 1;B7C37605-402B-4A09-A1FB-E7404D03DD31;17353;10000.0
51.46546808982775, 5.517392473837266;"{""coordinates"": [[[5.516671659688706, 51.46501946057308], [5.516674214139234, 51.46591832379857], [5.518113302207819, 51.465916716099386], [5.518110719301538, 51.465017852915366], [5.516671659688706, 51.46501946057308]]], ""type"": ""Polygon""}";Buitengebied;Buitengebied;8E544C6E-3E98-4EB1-AE4C-0CEA7ACF8891;18550;10000.0
51.41692777743082, 5.518691437013499;"{""coordinates"": [[[5.517971378058862, 51.41647915440409], [5.517973957503682, 51.4173780211871], [5.519411510161903, 51.41737639747756], [5.519408902317031, 51.416477530735186], [5.517971378058862, 51.41647915440409]]], ""type"": ""Polygon""}";Riel;Stratum;62439E25-C3C4-43EE-A00F-CBEAFA8FA977;18565;10000.0
51.41512340731022, 5.5244361746301145;"{""coordinates"": [[[5.523716086916496, 51.41467481952274], [5.523718781146597, 51.415573686642254], [5.525156276523224, 51.41557199212679], [5.525153553912496, 51.41467312503356], [5.523716086916496, 51.41467481952274]]], ""type"": ""Polygon""}";Riel;Stratum;8F3A876A-3CCC-4246-ACA4-4B5AC0762C93;18718;10000.0
51.41961774044803, 5.524449712174766;"{""coordinates"": [[[5.523729553875937, 51.419169153103965], [5.523732247289481, 51.42006801957819], [5.525169884671784, 51.42006632480578], [5.525167162854341, 51.419167458384386], [5.523729553875937, 51.419169153103965]]], ""type"": ""Polygon""}";Riel;Stratum;AE022706-726F-420F-B3FB-080110B69A88;18723;10000.0
51.42231433957486, 5.524457835577077;"{""coordinates"": [[[5.523737634485201, 51.421865752382395], [5.523740328267394, 51.422764618712115], [5.525178050869153, 51.42276292378063], [5.52517532867918, 51.42186405750401], [5.523737634485201, 51.421865752382395]]], ""type"": ""Polygon""}";Riel;Stratum;5CFD632F-83A6-4172-9CD3-881B992BE11E;18726;10000.0
51.454662973416504, 5.533187708784665;"{""coordinates"": [[[5.532466910417636, 51.45421444150833], [5.532469776034161, 51.45511330477151], [5.5339085213587325, 51.4551115023576], [5.533905627295502, 51.454212639104476], [5.532466910417636, 51.45421444150833]]], ""type"": ""Polygon""}";Buitengebied;Buitengebied;43D9BACE-C214-43E8-8FFD-91B9D43E9B78;18937;10000.0
