FID,raai,vaknr,raainr,bkl,tkl,tklminbkl,trend,snijding,opmerkingen,symbol,se_anno_cad_data,gdb_geomattr_data,shape
trend_2013_25.1,400503,4,503,520,595.44,75.44,-10.97,2019,- - - - - -,3,,,"POLYGON ((142386.1169999987 601297.3990000002, 142510.6240000017 601053.0410000011, 142332.4219999984 600962.2430000007, 142207.9149999991 601206.6009999998, 142386.1169999987 601297.3990000002))"
trend_2013_25.2,400504,4,504,520,617.68,97.68,-12.08,2021,- - - - - -,3,,,"POLYGON ((142502.9539999999 601334.8900000006, 142606.24399999902 601051.1030000001, 142418.3049999997 600982.699000001, 142315.0150000006 601266.4860000014, 142502.9539999999 601334.8900000006))"
trend_2013_25.3,400520,4,520,550,732.89,182.89,-7.2,>2023,- - - - - -,3,,,"POLYGON ((142691.9539999999 601401.8889999986, 142753.51700000092 601232.745000001, 142565.5789999999 601164.3409999982, 142504.0150000006 601333.4849999994, 142691.9539999999 601401.8889999986))"
trend_2013_25.4,400540,4,540,570,708.56,138.56,-10.56,>2023,- - - - - -,3,,,"POLYGON ((142879.9539999999 601467.8900000006, 142970.24700000137 601219.8110000007, 142782.30799999833 601151.4070000015, 142692.0150000006 601399.4860000014, 142879.9539999999 601467.8900000006))"
trend_2013_25.5,400560,4,560,595,684.7,89.7,-13.55,2019,- - - - - -,3,,,"POLYGON ((143068.9530000016 601534.8900000006, 143184.813000001 601216.5689999983, 142996.8740000017 601148.1649999991, 142881.0150000006 601466.4860000014, 143068.9530000016 601534.8900000006))"
trend_2013_25.6,400580,4,580,625,666.78,41.78,-14.18,2015,- - - - - -,3,,,"POLYGON ((143256.9539999999 601601.8900000006, 143378.19999999925 601268.7679999992, 143190.26099999994 601200.3649999984, 143069.0150000006 601533.4860000014, 143256.9539999999 601601.8900000006))"
trend_2013_25.7,400600,4,600,690,648.24,-41.76,-14.26,-,1 - - - - -,4,,,"POLYGON ((143451.9530000016 601669.8889999986, 143573.8839999996 601334.8889999986, 143385.9450000003 601266.4849999994, 143264.0150000006 601601.4849999994, 143451.9530000016 601669.8889999986))"
trend_2013_25.8,400620,4,620,690,642.52,-47.48,-15.44,-,1 - - - - -,4,,,"POLYGON ((143639.9539999999 601736.8900000006, 143771.97399999946 601374.1680000015, 143584.03500000015 601305.7639999986, 143452.0150000006 601668.4860000014, 143639.9539999999 601736.8900000006))"
trend_2013_25.9,400640,4,640,720,654.09,-65.91,-14.2,-,1 - - - - -,4,,,"POLYGON ((143828.9539999999 601802.8900000006, 143950.37099999934 601469.2989999987, 143762.43200000003 601400.8949999996, 143641.0150000006 601734.4849999994, 143828.9539999999 601802.8900000006))"
trend_2013_25.10,400660,4,660,730,655.25,-74.75,-13.42,-,1 - - - - -,4,,,"POLYGON ((144017.9539999999 601869.8889999986, 144132.70100000128 601554.6220000014, 143944.76300000027 601486.2179999985, 143830.0150000006 601801.4849999994, 144017.9539999999 601869.8889999986))"
trend_2013_25.11,703150,7,3150,-31,40.61,71.61,1.86,-,- - 3 - 5 -,1,,,"POLYGON ((102728.2659999989 521274.62000000104, 102682.11300000176 521280.2870000005, 102706.48699999973 521478.7969999984, 102752.6400000006 521473.12999999896, 102728.2659999989 521274.62000000104))"
trend_2013_25.12,703175,7,3175,-18,51.87,69.87,1.65,-,- - 3 - 5 -,1,,,"POLYGON ((102700.2659999989 521026.62099999934, 102659.32400000095 521031.6479999982, 102683.69799999893 521230.1570000015, 102724.6400000006 521225.12999999896, 102700.2659999989 521026.62099999934))"
trend_2013_25.13,703200,7,3200,-20,54.87,74.87,-1.17,>2023,- - 3 - 5 -,3,,,"POLYGON ((102694.6400000006 520973.12999999896, 102723.67199999839 520969.56500000134, 102699.29800000042 520771.0560000017, 102670.2659999989 520774.62099999934, 102694.6400000006 520973.12999999896))"
trend_2013_25.14,703225,7,3225,-10,54.27,64.27,-2.87,>2023,- - 3 - 5 -,3,,,"POLYGON ((102665.6400000006 520724.12999999896, 102736.85599999875 520715.38500000164, 102712.48200000077 520516.8759999983, 102641.26700000092 520525.62000000104, 102665.6400000006 520724.12999999896))"
trend_2013_25.15,1201450,12,1450,-20,103.84,123.84,-9.62,>2023,- - - - - -,3,,,"POLYGON ((49754.01399999857 427607.57499999925, 49855.653999999166 427389.6079999991, 49674.392000000924 427305.08399999887, 49572.75200000033 427523.05099999905, 49754.01399999857 427607.57499999925))"
trend_2013_25.16,1201475,12,1475,-98,-11.49,86.51,-16.13,2018,- - - - - -,3,,,"POLYGON ((49527.01399999857 427501.57400000095, 49697.43400000036 427136.10599999875, 49516.17300000042 427051.58199999854, 49345.75200000033 427417.05099999905, 49527.01399999857 427501.57400000095))"
trend_2013_25.17,1201500,12,1500,-139,-108.31,30.69,-13.46,2015,- - - - - -,3,,,"POLYGON ((49372.61699999869 427428.2049999982, 49509.482999999076 427120.7969999984, 49326.77400000021 427039.44999999925, 49189.90700000152 427346.8579999991, 49372.61699999869 427428.2049999982))"
trend_2013_25.18,1201501,12,1501,-152,-128.05,23.95,-10.66,2015,- - - - - -,3,,,"POLYGON ((49128.11699999869 427316.80999999866, 49284.76099999994 427101.20699999854, 49122.958000000566 426983.6499999985, 48966.31300000101 427199.2529999986, 49128.11699999869 427316.80999999866))"
trend_2013_25.19,1201502,12,1502,-152,-136.07,15.93,-9.43,2014,- - - - - -,3,,,"POLYGON ((48918.76900000125 427149.44000000134, 49093.96499999985 426991.69200000167, 48960.13899999857 426843.063000001, 48784.94200000167 427000.80999999866, 48918.76900000125 427149.44000000134))"
trend_2013_25.20,1201525,12,1525,-162,-125.98,36.02,-1.9,>2023,- - - - - -,3,,,"POLYGON ((48788.76900000125 427005.44000000134, 48824.06799999997 426973.6559999995, 48690.24199999869 426825.02699999884, 48654.94200000167 426856.8110000007, 48788.76900000125 427005.44000000134))"
trend_2013_25.21,1201550,12,1550,-189,-161.28,27.72,-1.46,>2023,- - - - - -,3,,,"POLYGON ((48595.23600000143 426795.38599999994, 48623.197000000626 426771.9239999987, 48494.63899999857 426618.71499999985, 48466.677999999374 426642.1770000011, 48595.23600000143 426795.38599999994))"
trend_2013_25.22,1201575,12,1575,-249,-229.92,19.08,-7.63,2015,- - - - - -,3,,,"POLYGON ((48334.335999999195 426474.7479999997, 48497.84099999815 426376.50400000066, 48394.833000000566 426205.0709999986, 48231.32899999991 426303.31500000134, 48334.335999999195 426474.7479999997))"
