FID,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_wadden_2004.1,29-03-2004,,,"LINESTRING (207704 602783, 203295 611823)"
vlieglijnen_wadden_2004.2,29-03-2004,,,"LINESTRING (207963 602938, 203567 611950)"
vlieglijnen_wadden_2004.3,11-10-2004,,,"LINESTRING (250965.4219999984 609508.436999999, 215588.4219999984 600581.688000001)"
vlieglijnen_wadden_2004.4,11-10-2004,,,"LINESTRING (250243.688000001 609738, 215343.3440000005 600936.688000001)"
vlieglijnen_wadden_2004.5,11-10-2004,,,"LINESTRING (249555.7340000011 609976.936999999, 215022.2659999989 601265.25)"
vlieglijnen_wadden_2004.6,11-10-2004,,,"LINESTRING (248902.4840000011 610223.061999999, 214700.8590000011 601598.061999999)"
vlieglijnen_wadden_2004.7,11-10-2004,,,"LINESTRING (248354.1559999995 610499.375, 214602.7030000016 601986.625)"
vlieglijnen_wadden_2004.8,11-10-2004,,,"LINESTRING (247806.875 610773.875, 214546.5159999989 602381.311999999)"
vlieglijnen_wadden_2004.9,11-10-2004,,,"LINESTRING (246986.7190000005 610979.063000001, 214540.9530000016 602790.438000001)"
vlieglijnen_wadden_2004.10,11-10-2004,,,"LINESTRING (246271.0780000016 611205.125, 214534.2969999984 603200.25)"
vlieglijnen_wadden_2004.11,11-10-2004,,,"LINESTRING (245577.3909999989 611442.5, 214560.7030000016 603621.688000001)"
vlieglijnen_wadden_2004.12,11-10-2004,,,"LINESTRING (250752.0940000005 609045.186999999, 241942.3590000011 606817.938000001)"
vlieglijnen_wadden_2004.13,11-10-2004,,,"LINESTRING (249424.0780000016 608297.375, 242059.3440000005 606438.875)"
vlieglijnen_wadden_2004.14,02-04-2004,,,"LINESTRING (208387.1090000011 603304.25, 202348.0159999989 600796.375)"
vlieglijnen_wadden_2004.15,02-04-2004,,,"LINESTRING (178708.7190000005 591073.061999999, 162624.061999999 584464.75)"
vlieglijnen_wadden_2004.16,02-04-2004,,,"LINESTRING (208191.75 603570.938000001, 202249.0159999989 601037.75)"
vlieglijnen_wadden_2004.17,02-04-2004,,,"LINESTRING (178498.7340000011 591323.5, 162555.9840000011 584765.625)"
vlieglijnen_wadden_2004.18,02-04-2004,,,"LINESTRING (209592.0469999984 604442.311999999, 201639.125 601157.375)"
vlieglijnen_wadden_2004.19,02-04-2004,,,"LINESTRING (178292.6409999989 591552, 162507.125 585069.75)"
vlieglijnen_wadden_2004.20,02-04-2004,,,"LINESTRING (201744.561999999 601499.686999999, 209478.2340000011 604683.5)"
vlieglijnen_wadden_2004.21,02-04-2004,,,"LINESTRING (180326.9219999984 592722, 162234.5159999989 585282.436999999)"
vlieglijnen_wadden_2004.22,02-04-2004,,,"LINESTRING (209363.6559999995 604984.811999999, 201076.1559999995 601569)"
vlieglijnen_wadden_2004.23,02-04-2004,,,"LINESTRING (162196.375 585582.436999999, 181356.625 593456.625)"
vlieglijnen_wadden_2004.24,02-04-2004,,,"LINESTRING (209259.563000001 605237.438000001, 200964.4059999995 601829.563000001)"
vlieglijnen_wadden_2004.25,02-04-2004,,,"LINESTRING (181312.6090000011 593780.311999999, 162348.2030000016 585986.436999999)"
vlieglijnen_wadden_2004.26,02-04-2004,,,"LINESTRING (200520.2969999984 601989.375, 209074.2969999984 605514.313000001)"
vlieglijnen_wadden_2004.27,02-04-2004,,,"LINESTRING (181669.6719999984 594239.063000001, 162838.688000001 586503.25)"
vlieglijnen_wadden_2004.28,02-04-2004,,,"LINESTRING (209183.5159999989 605866.438000001, 199820.3440000005 602003.25)"
vlieglijnen_wadden_2004.29,02-04-2004,,,"LINESTRING (181998.2340000011 594697.811999999, 163242.4840000011 587000)"
vlieglijnen_wadden_2004.30,02-04-2004,,,"LINESTRING (208809.3280000016 606047.061999999, 198136.2809999995 601666.436999999)"
vlieglijnen_wadden_2004.31,02-04-2004,,,"LINESTRING (183113.188000001 595478.75, 163642.5159999989 587472.25)"
vlieglijnen_wadden_2004.32,02-04-2004,,,"LINESTRING (208580.125 606252.875, 196854.561999999 601436.25)"
