FID,OVW_STARTDATUM,LATITUDE,AANPAK,BINNEN1METER,GEBIEDSTEAM,INSPECTIEDATUM,PRIORITEIT,LONGITUDE,BUURT,DOORGROEI,SOORT,UITGRAVEN,WIJK,GEOMETRIE,OVW_MAX_SIZE

Groen_exoten.59934,2023-02-03,52.1582336031955,"z.s.m. afgraven, nu het nog kan",,,18-06-2020,Hoog,5.41808701186531,Schuilenburg-Noord,,Reuzenbereklauw,,Schuilenburg,POINT (52.15823698223391 5.418087089672485),0

Groen_exoten.59935,2023-02-03,52.1582154565226,"z.s.m. afgraven, nu het nog kan",,,18-06-2020,Hoog,5.41771327868446,Schuilenburg-Noord,,Reuzenbereklauw,,Schuilenburg,POINT (52.15821883763037 5.41771335459715),0

Groen_exoten.59936,2023-02-03,52.1582519967231,"z.s.m. afgraven, nu het nog kan",,,18-06-2020,Hoog,5.41749381623197,Schuilenburg-Noord,,Reuzenbereklauw,,Schuilenburg,POINT (52.15825537924541 5.417493891748056),0

Groen_exoten.59937,2023-02-03,,"z.s.m. afgraven, nu het nog kan",Binnen 1 meter van water,,07-06-2016,Hoog,,Zuiderzeestedenbuurt-Oost,Geen doorgroei in kunst- of straatwerk,Japanse duizendknoop,Wel uitgraven,Vathorst-De Laak,"POLYGON ((52.19454304185982 5.433586653860398, 52.19495972878409 5.433318061940775, 52.19494854414495 5.433257253272192, 52.194530925714 5.433519765072635, 52.19454304185982 5.433586653860398))",52.762

Groen_exoten.59938,2023-02-03,,"z.s.m. afgraven, nu het nog kan",Verder dan 1 meter van water,,26-10-2015,Hoog,,Waddeneilandenbuurt,Doorgroei in kunst- of straatwerk,Japanse duizendknoop,Niet uitgraven,Vathorst-De Laak,"POLYGON ((52.19340975829837 5.434592704583188, 52.193422672678146 5.434532124859842, 52.193329662566626 5.434322279473402, 52.193290972066805 5.434373509706019, 52.19340975829837 5.434592704583188))",23.592

