Nummer;Totaal van;Jaar;Maand;Procedure categorie;Verblijfscluster;Beslissing;Nationaliteit;Aantal beslissingen
1;Jaar, Procedure categorie;2022;*Alle*;EU-document;*Alle*;*Alle*;*Alle*;7330
2;Jaar, Maand, Procedure categorie;2022;01;EU-document;*Alle*;*Alle*;*Alle*;450
2;Jaar, Maand, Procedure categorie;2022;02;EU-document;*Alle*;*Alle*;*Alle*;540
2;Jaar, Maand, Procedure categorie;2022;03;EU-document;*Alle*;*Alle*;*Alle*;610
2;Jaar, Maand, Procedure categorie;2022;04;EU-document;*Alle*;*Alle*;*Alle*;440
2;Jaar, Maand, Procedure categorie;2022;05;EU-document;*Alle*;*Alle*;*Alle*;480
2;Jaar, Maand, Procedure categorie;2022;06;EU-document;*Alle*;*Alle*;*Alle*;650
2;Jaar, Maand, Procedure categorie;2022;07;EU-document;*Alle*;*Alle*;*Alle*;590
2;Jaar, Maand, Procedure categorie;2022;08;EU-document;*Alle*;*Alle*;*Alle*;610
2;Jaar, Maand, Procedure categorie;2022;09;EU-document;*Alle*;*Alle*;*Alle*;640
2;Jaar, Maand, Procedure categorie;2022;10;EU-document;*Alle*;*Alle*;*Alle*;810
2;Jaar, Maand, Procedure categorie;2022;11;EU-document;*Alle*;*Alle*;*Alle*;840
2;Jaar, Maand, Procedure categorie;2022;12;EU-document;*Alle*;*Alle*;*Alle*;660
3;Jaar, Procedure categorie, Verblijfscluster;2022;*Alle*;EU-document;Derdelanders;*Alle*;*Alle*;7320
3;Jaar, Procedure categorie, Verblijfscluster;2022;*Alle*;EU-document;EU-burgers;*Alle*;*Alle*;10
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;01;EU-document;Derdelanders;*Alle*;*Alle*;440
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;02;EU-document;Derdelanders;*Alle*;*Alle*;540
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;03;EU-document;Derdelanders;*Alle*;*Alle*;610
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;04;EU-document;Derdelanders;*Alle*;*Alle*;440
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;05;EU-document;Derdelanders;*Alle*;*Alle*;480
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;06;EU-document;Derdelanders;*Alle*;*Alle*;650
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;07;EU-document;Derdelanders;*Alle*;*Alle*;590
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;08;EU-document;Derdelanders;*Alle*;*Alle*;610
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;09;EU-document;Derdelanders;*Alle*;*Alle*;640
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;10;EU-document;Derdelanders;*Alle*;*Alle*;810
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;11;EU-document;Derdelanders;*Alle*;*Alle*;840
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;12;EU-document;Derdelanders;*Alle*;*Alle*;660
5;Jaar, Procedure categorie, Beslissing;2022;*Alle*;EU-document;*Alle*;;*Alle*;10
5;Jaar, Procedure categorie, Beslissing;2022;*Alle*;EU-document;*Alle*;Afwijzing;*Alle*;900
5;Jaar, Procedure categorie, Beslissing;2022;*Alle*;EU-document;*Alle*;Inwilliging;*Alle*;6000
5;Jaar, Procedure categorie, Beslissing;2022;*Alle*;EU-document;*Alle*;Overig;*Alle*;420
6;Jaar, Maand, Procedure categorie, Beslissing;2022;01;EU-document;*Alle*;Afwijzing;*Alle*;60
6;Jaar, Maand, Procedure categorie, Beslissing;2022;01;EU-document;*Alle*;Inwilliging;*Alle*;350
6;Jaar, Maand, Procedure categorie, Beslissing;2022;01;EU-document;*Alle*;Overig;*Alle*;30
6;Jaar, Maand, Procedure categorie, Beslissing;2022;02;EU-document;*Alle*;Afwijzing;*Alle*;70
6;Jaar, Maand, Procedure categorie, Beslissing;2022;02;EU-document;*Alle*;Inwilliging;*Alle*;450
6;Jaar, Maand, Procedure categorie, Beslissing;2022;02;EU-document;*Alle*;Overig;*Alle*;20
6;Jaar, Maand, Procedure categorie, Beslissing;2022;03;EU-document;*Alle*;Afwijzing;*Alle*;70
6;Jaar, Maand, Procedure categorie, Beslissing;2022;03;EU-document;*Alle*;Inwilliging;*Alle*;510
6;Jaar, Maand, Procedure categorie, Beslissing;2022;03;EU-document;*Alle*;Overig;*Alle*;30
6;Jaar, Maand, Procedure categorie, Beslissing;2022;04;EU-document;*Alle*;Afwijzing;*Alle*;70
6;Jaar, Maand, Procedure categorie, Beslissing;2022;04;EU-document;*Alle*;Inwilliging;*Alle*;360
6;Jaar, Maand, Procedure categorie, Beslissing;2022;04;EU-document;*Alle*;Overig;*Alle*;20
6;Jaar, Maand, Procedure categorie, Beslissing;2022;05;EU-document;*Alle*;Afwijzing;*Alle*;80
6;Jaar, Maand, Procedure categorie, Beslissing;2022;05;EU-document;*Alle*;Inwilliging;*Alle*;370
6;Jaar, Maand, Procedure categorie, Beslissing;2022;05;EU-document;*Alle*;Overig;*Alle*;40
6;Jaar, Maand, Procedure categorie, Beslissing;2022;06;EU-document;*Alle*;Afwijzing;*Alle*;100
6;Jaar, Maand, Procedure categorie, Beslissing;2022;06;EU-document;*Alle*;Inwilliging;*Alle*;520
6;Jaar, Maand, Procedure categorie, Beslissing;2022;06;EU-document;*Alle*;Overig;*Alle*;30
6;Jaar, Maand, Procedure categorie, Beslissing;2022;07;EU-document;*Alle*;Afwijzing;*Alle*;80
6;Jaar, Maand, Procedure categorie, Beslissing;2022;07;EU-document;*Alle*;Inwilliging;*Alle*;480
6;Jaar, Maand, Procedure categorie, Beslissing;2022;07;EU-document;*Alle*;Overig;*Alle*;30
6;Jaar, Maand, Procedure categorie, Beslissing;2022;08;EU-document;*Alle*;Afwijzing;*Alle*;60
6;Jaar, Maand, Procedure categorie, Beslissing;2022;08;EU-document;*Alle*;Inwilliging;*Alle*;500
6;Jaar, Maand, Procedure categorie, Beslissing;2022;08;EU-document;*Alle*;Overig;*Alle*;40
6;Jaar, Maand, Procedure categorie, Beslissing;2022;09;EU-document;*Alle*;Afwijzing;*Alle*;80
6;Jaar, Maand, Procedure categorie, Beslissing;2022;09;EU-document;*Alle*;Inwilliging;*Alle*;520
6;Jaar, Maand, Procedure categorie, Beslissing;2022;09;EU-document;*Alle*;Overig;*Alle*;40
6;Jaar, Maand, Procedure categorie, Beslissing;2022;10;EU-document;*Alle*;Afwijzing;*Alle*;80
6;Jaar, Maand, Procedure categorie, Beslissing;2022;10;EU-document;*Alle*;Inwilliging;*Alle*;680
6;Jaar, Maand, Procedure categorie, Beslissing;2022;10;EU-document;*Alle*;Overig;*Alle*;50
6;Jaar, Maand, Procedure categorie, Beslissing;2022;11;EU-document;*Alle*;Afwijzing;*Alle*;80
6;Jaar, Maand, Procedure categorie, Beslissing;2022;11;EU-document;*Alle*;Inwilliging;*Alle*;720
6;Jaar, Maand, Procedure categorie, Beslissing;2022;11;EU-document;*Alle*;Overig;*Alle*;40
6;Jaar, Maand, Procedure categorie, Beslissing;2022;12;EU-document;*Alle*;Afwijzing;*Alle*;80
6;Jaar, Maand, Procedure categorie, Beslissing;2022;12;EU-document;*Alle*;Inwilliging;*Alle*;540
6;Jaar, Maand, Procedure categorie, Beslissing;2022;12;EU-document;*Alle*;Overig;*Alle*;40
7;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;*Alle*;Afghaanse;50
