FID,from_,to_,angle_in_degrees,opmerking,distance_nm,route,se_anno_cad_data,gdb_geomattr_data,shape
B24.149,EHAM,NORRA,281,,14.38524447,B24,,,"LINESTRING (620215.5433 5796865.454600001, 593778.3837000001 5800303.251)"
B24.150,NORRA,NL2,349,,8.55266841,B24,,,"LINESTRING (593778.3837000001 5800303.251, 590539.4556999998 5815819.199100001)"
B24.151,NL2,NL3,0,,36.41722092,B24,,,"LINESTRING (590539.4556999998 5815819.199100001, 589288.6248000003 5883298.5502)"
B24.152,NL3,NL4,29,,24.80595298,B24,,,"LINESTRING (589288.6248000003 5883298.5502, 610671.0179000003 5923995.354499999)"
B24.153,NL4,NL5,71,,64.00104618,B24,,,"LINESTRING (610671.0179000003 5923995.354499999, 721745.3496000003 5965602.013800001)"
B24.154,NL5,NL10,324,,16.22606771,B24,,,"LINESTRING (721745.3496000003 5965602.013800001, 703030.5692999996 5989140.0502)"
B24.155,NL10,NL9,252,,64.44999757,B24,,,"LINESTRING (703030.5692999996 5989140.0502, 590965.4144000001 5947811.000499999)"
B24.156,NL9,NL8,213,,35.47473007,B24,,,"LINESTRING (590965.4144000001 5947811.000499999, 555676.5664999997 5892340.2511)"
B24.157,NL8,NL13,285,,18.8504009,B24,,,"LINESTRING (555676.5664999997 5892340.2511, 521920.0449000001 5901337.0989)"
B24.158,NL13,NL14,36,,46.36635778,B24,,,"LINESTRING (521920.0449000001 5901337.0989, 571753.0584000004 5971340.877900001)"
B24.159,NL14,NL15,71,,64.71313244,B24,,,"LINESTRING (571753.0584000004 5971340.877900001, 684356.2418999998 6012619.7535999995)"
B24.160,NL15,NL16,290,,26.05307824,B24,,,"LINESTRING (684356.2418999998 6012619.7535999995, 638370.4919999996 6027336.967599999)"
B24.161,NL16,NL17,311,,18.85729169,B24,,,"LINESTRING (638370.4919999996 6027336.967599999, 611257.2177999998 6049387.111)"
B24.162,NL17,NL18,360,,20.767947,B24,,,"LINESTRING (611257.2177999998 6049387.111, 610134.8839999996 6087859.357100001)"
B24.163,NL18,NL21,310,,17.48783381,B24,,,"LINESTRING (610134.8839999996 6087859.357100001, 584837.3071999997 6108118.177999999)"
B24.164,NL21,NL20,189,,36.5853478,B24,,,"LINESTRING (584837.3071999997 6108118.177999999, 575155.2774999999 6041010.4956)"
B24.165,NL20,NL19,147,,19.37639043,B24,,,"LINESTRING (575155.2774999999 6041010.4956, 595237.6188000003 6011241.3015)"
B24.166,NL19,NL22,251,,24.78792434,B24,,,"LINESTRING (595237.6188000003 6011241.3015, 552183.0581999999 5995220.362500001)"
B24.167,NL22,NL25,215,,34.825452,B24,,,"LINESTRING (552183.0581999999 5995220.362500001, 515430.8965999996 5942165.5337000005)"
B24.168,NL25,NL13,171,,22.30700417,B24,,,"LINESTRING (515430.8965999996 5942165.5337000005, 521920.0449000001 5901337.0989)"
B24.169,NL13,NL12,172,,36.42005342,B24,,,"LINESTRING (521920.0449000001 5901337.0989, 532126.7723000003 5834617.0964)"
B24.170,NL12,NL7,108,,16.51794308,B24,,,"LINESTRING (532126.7723000003 5834617.0964, 561292.0471000001 5825316.879000001)"
B24.171,NL7,NL2,109,,16.5927703,B24,,,"LINESTRING (561292.0471000001 5825316.879000001, 590539.4556999998 5815819.199100001)"
B24.172,NL2,NORRA,169,,8.55266841,B24,,,"LINESTRING (590539.4556999998 5815819.199100001, 593778.3837000001 5800303.251)"
B24.173,NORRA,EHAM,101,,14.38524447,B24,,,"LINESTRING (593778.3837000001 5800303.251, 620215.5433 5796865.454600001)"
