VERGUNNINGNR;SRTBES_OMS;BESCH_OMS;GRONDBESCH_OMS;DDBESCHIKKING;DDINGANG;DDEINDE;STATUSBESCH_OMS;BUURT;WIJK;STADSDEEL;COUNTER;X;Y;LONG;LAT
201315944/5287191;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2013-10-29;;;Beschikking met bezwaar;Noordpolderbuurt;Laakkwartier en Spoorwijk;Laak;97138;82564.418;453336.041;4.330873775404052;52.06357765626133
201414759/5470270;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2014-10-20;;;Beschikking met bezwaar;Transvaalkwartier-Noord;Transvaalkwartier;Centrum;97137;79520.759;454128.281;4.286320565447244;52.07029097736165
202010244/7670667;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2020-07-14;;;Beschikking met bezwaar;Uilebomen;Centrum;Centrum;97136;81931.622;455006.741;4.321289578132627;52.07850878718528
201203562/11;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2012-03-20;;;Beschikking met bezwaar;Vogelwijk;Vogelwijk;Segbroek;97135;78337.498;456002.119;4.268644519184921;52.086968000235146
202104144/7963960;Algemene Wet Bestuursrecht;Buiten behandeling stelling (mv);Artikel 4:5 lid 1c;2021-06-11;;;Beschikking met bezwaar;Nassaubuurt;Benoordenhout;Haagse Hout;97134;81991.862;456171.974;4.321918811998476;52.08898841622837
201917348/7408861;Wet Algemene Bepalingen Omgevingsrecht;Weigering standaard (mv);Artikel 2.10 en 2.12 t/m 2.20a ;2019-12-02;;;Beschikking met bezwaar;Nassaubuurt;Benoordenhout;Haagse Hout;97133;81991.862;456171.974;4.321918811998476;52.08898841622837
201421091/5548415;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2015-02-10;;;Beschikking met bezwaar;Nassaubuurt;Benoordenhout;Haagse Hout;97132;81991.862;456171.974;4.321918811998476;52.08898841622837
201812424/6845326;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (ev);Artikel 3.9 lid 1;2018-08-13;;;Beschikking met bezwaar;Voorhout;Centrum;Centrum;97131;81115.034;455738.879;4.309220719382852;52.084979976293354
201507961/5690588;Wet Algemene Bepalingen Omgevingsrecht;Verlenen standaard (mv);Artikel 3.9 lid 1;2015-06-30;;;Beschikking met bezwaar;Voorhout;Centrum;Centrum;97130;81115.034;455738.879;4.309220719382852;52.084979976293354
201411253/5461812;Algemene Wet Bestuursrecht;Buiten behandeling stelling (mv);Artikel 4:5 lid 1c;2014-09-30;;;Beschikking met bezwaar;Voorhout;Centrum;Centrum;97129;81115.034;455738.879;4.309220719382852;52.084979976293354
