FID,typegebied,naamgebied,brongegeve,status,se_anno_cad_data,gdb_geomattr_data,shape
clearways_scheepvaart.1,Clearway,Vrije Scheepvaartzone nabij Noord Hinder,Staatscourant van 22 februari 2014,Basis clearways,,,"POLYGON ((480198.25299999956 5768400.7776, 484493.9227 5768612.6121, 479846.72279999964 5763254.520099999, 480198.25299999956 5768400.7776))"
clearways_scheepvaart.2,Clearway,Vrije Scheepvaartzone van nabij Texel VSS naar Vrije Scheepvaartzone nabij IJmuiden,Staatscourant van 22 februari 2014,Basis clearways,,,"POLYGON ((563756.9601999996 5855267.7061, 565763.2511 5853412.8628, 564659.8110999996 5847632.0053, 564175.0541000003 5845092.393100001, 561932.2076000003 5833342.2513, 559081.1405999996 5830014.0538, 563756.9601999996 5855267.7061))"
clearways_scheepvaart.3,Clearway,Vrije Scheepvaartzone nabij Helmveld,Staatscourant van 22 februari 2014,Basis clearways,,,"POLYGON ((564659.8110999996 5847632.0053, 567929.1097999997 5840342.7446, 566863.3250000002 5839098.5988, 564175.0541000003 5845092.393100001, 564659.8110999996 5847632.0053))"
clearways_scheepvaart.4,Clearway,Vrije Scheepvaartzone nabij IJmuiden,Staatscourant van 22 februari 2014,Basis clearways,,,"POLYGON ((574902.1195 5828416.0878, 573550.2633999996 5827809.767200001, 572198.4079 5827203.446699999, 569964.9472000003 5832183.1917, 564660.3848000001 5824744.4343, 563748.7631000001 5819856.758199999, 557183.2017000001 5819763.464500001, 558097.5930000003 5824702.005100001, 553337.6517000003 5819708.8212, 549927.7021000003 5819660.3675, 551625.4508999996 5821310.6428, 559081.1405999996 5830014.0538, 561932.2076000003 5833342.2513, 566863.3250000002 5839098.5988, 567929.1097999997 5840342.7446, 573141.7523999996 5846591.3376, 577821.2889 5842265.041999999, 573547.5053000003 5831436.348099999, 574902.1195 5828416.0878))"
clearways_scheepvaart.5,Clearway,Vrije Scheepvaartzone nabij De Ruyter,Staatscourant van 22 februari 2014,Basis clearways,,,"POLYGON ((549927.7021000003 5819660.3675, 548767.4599000001 5818532.5689, 547867.6621000003 5818519.7831999995, 532394.6250999998 5811236.2903, 532601.8415999999 5812561.986199999, 547611.7163000004 5819627.4585, 549927.7021000003 5819660.3675))"
clearways_scheepvaart.6,Clearway,Aanbevolen route Nabij Breeveertien,Staatscourant van 22 februari 2014,Basis clearways,,,"POLYGON ((531669.8915999997 5820355.3738, 533768.7496999996 5820027.463400001, 532601.8415999999 5812561.986199999, 532394.6250999998 5811236.2903, 530806.1010999996 5801073.460100001, 528269.9674000004 5798608.2444, 530073.0045999996 5810143.453400001, 530280.2200999996 5811469.148800001, 531669.8915999997 5820355.3738))"
clearways_scheepvaart.7,Clearway,Vrije Scheepvaartzone nabij De Ruyter,Staatscourant van 22 februari 2014,Basis clearways,,,"POLYGON ((530280.2200999996 5811469.148800001, 530073.0045999996 5810143.453400001, 518410.89749999996 5804653.8475, 519671.9913999997 5806475.626, 530280.2200999996 5811469.148800001))"
clearways_scheepvaart.8,Clearway,Vrije Scheepvaartzone van nabij Texel VSS naar Noord Hinder Noord VSS,Staatscourant van 22 februari 2014,Basis clearways,,,"POLYGON ((526179.0007999996 5823606.8333, 529801.9639999997 5821101.112500001, 519671.9913999997 5806475.626, 518410.89749999996 5804653.8475, 510412.7644999996 5793099.7303, 505919.17810000014 5795630.8408, 526179.0007999996 5823606.8333))"
clearways_scheepvaart.9,Clearway,Vrije Scheepvaartzone nabij IJmuiden,Staatscourant van 22 februari 2014,Basis clearways,,,"POLYGON ((549927.7021000003 5819660.3675, 553337.6517000003 5819708.8212, 545882.8543999996 5811888.730900001, 549293.9391999999 5812397.096999999, 549626.7736 5810187.487400001, 555576.1752000004 5811084.071, 555001.9362000003 5807982.6578, 542877.8916999996 5804762.816299999, 539675.8420000002 5801399.3147, 533431.1782999998 5787982.661499999, 530806.1010999996 5801073.460100001, 548767.4599000001 5818532.5689, 549927.7021000003 5819660.3675))"
clearways_scheepvaart.10,Clearway,Vrije Scheepvaartzone van Maas Noord VSS naar Voorzorgsgebied oversteek IJmuiden,Staatscourant van 22 februari 2014,Basis clearways,,,"POLYGON ((555001.9362000003 5807982.6578, 561684.3174999999 5808745.8157, 561524.1338 5807877.4361000005, 560463.9946999997 5802130.270300001, 558296.3668999998 5802560.8133000005, 556172.9276999999 5802982.5789, 554150.5262000002 5803384.276000001, 555001.9362000003 5807982.6578))"
