jaar;gebiedcode15;variabele;waarde
2022;STAD;BEVTOTAAL;881933
2022;A;BEVTOTAAL;87979
2022;B;BEVTOTAAL;664
2022;E;BEVTOTAAL;148908
2022;F;BEVTOTAAL;161388
2022;K;BEVTOTAAL;146201
2022;M;BEVTOTAAL;143006
2022;N;BEVTOTAAL;103164
2022;S;BEVTOTAAL;
2022;T;BEVTOTAAL;88943
2022;Z;BEVTOTAAL;
2022;GA01;BEVTOTAAL;44009
2022;GA02;BEVTOTAAL;43970
2022;GE03;BEVTOTAAL;39403
2022;GE04;BEVTOTAAL;36020
2022;GE05;BEVTOTAAL;73485
2022;GF06;BEVTOTAAL;1095
2022;GF07;BEVTOTAAL;45602
2022;GF08;BEVTOTAAL;40298
2022;GF09;BEVTOTAAL;28982
2022;GF10;BEVTOTAAL;45411
2022;GK11;BEVTOTAAL;54400
2022;GK12;BEVTOTAAL;27472
2022;GK13;BEVTOTAAL;64329
2022;GM14;BEVTOTAAL;35566
2022;GM15;BEVTOTAAL;41750
2022;GM16;BEVTOTAAL;36216
2022;GM17;BEVTOTAAL;29474
2022;GN18;BEVTOTAAL;39096
2022;GN19;BEVTOTAAL;31878
2022;GN20;BEVTOTAAL;32190
2022;GS25;BEVTOTAAL;
2022;GT21;BEVTOTAAL;2596
2022;GT22;BEVTOTAAL;24422
2022;GT23;BEVTOTAAL;29877
2022;GT24;BEVTOTAAL;32048
2022;ZX99;BEVTOTAAL;664
2022;AA;BEVTOTAAL;9169
2022;AB;BEVTOTAAL;19512
2022;AC;BEVTOTAAL;6528
2022;AD;BEVTOTAAL;4251
2022;AE;BEVTOTAAL;4549
2022;AF;BEVTOTAAL;9752
2022;AG;BEVTOTAAL;5620
2022;AH;BEVTOTAAL;7478
2022;AJ;BEVTOTAAL;7298
2022;AK;BEVTOTAAL;13822
2022;BA;BEVTOTAAL;40
2022;BB;BEVTOTAAL;624
2022;EA;BEVTOTAAL;595
2022;EB;BEVTOTAAL;10825
2022;EC;BEVTOTAAL;4382
2022;ED;BEVTOTAAL;11442
