OBJECTID,REF_WISSEL_KRUISING_PUIC,REF_GANG_NAAM,REF_WISSEL_KRUISINGBEEN_PUIC,M_GANG_VAN_T,M_GANG_TOT_T,X_BEGIN,Y_BEGIN,Z_BEGIN,X_EIND,Y_EIND,Z_EIND,LATITUDE_BEGIN,LATITUDE_EIND,LONGITUDE_BEGIN,LONGITUDE_EIND,M_GANG_TOT,M_GANG_VAN
1,27259e52-273a-4dfc-ab78-a3b915e73b90,Rechts,d23a5b89-e4c7-4f26-8315-ed495fc730fc,"-2,754","0,000",88890.39999999,434690.293,3.378,88892.91199999,434691.422,3.378,51.89679715,51.8968076,4.42670701,4.42674328,0,-2.754
2,27259e52-273a-4dfc-ab78-a3b915e73b90,Rechts,684228be-970e-4ec5-875f-3e465c054864,"0,000","22,421",88892.91199999,434691.422,3.378,88914.08,434698.72899999,3.378,51.8968076,51.89687578,4.42674328,4.42704938,22.421,0
3,27259e52-273a-4dfc-ab78-a3b915e73b90,Links,d23a5b89-e4c7-4f26-8315-ed495fc730fc,"-2,754","0,000",88890.39999999,434690.293,3.378,88892.91199999,434691.422,3.378,51.89679715,51.8968076,4.42670701,4.42674328,0,-2.754
4,27259e52-273a-4dfc-ab78-a3b915e73b90,Links,7c05418d-edfa-483e-8d36-0209b22775c6,"0,000","27,941",88892.91199999,434691.422,3.378,88918.395,434702.88199999,3.378,51.8968076,51.89691362,4.42674328,4.42711127,27.941,0
5,24e6d075-1697-4e3e-9f08-6ad0d4d9c710,Links-Rechts,5cbae10e-c6bf-4853-bf3f-8008d8f7a66c,"19,950","32,985",119268.25999999,490711.135,1.21,119278.728,490703.368,1.21,52.40306926,52.40300013,4.86214852,4.86230316,32.985,19.95
6,24e6d075-1697-4e3e-9f08-6ad0d4d9c710,Links-Rechts,d2224ffa-6ab1-4b04-bcf0-6a30bc4826e0,"9,975","19,950",119260.249,490717.079,1.21,119268.25999999,490711.135,1.21,52.40312216,52.40306926,4.86203017,4.86214852,19.95,9.975
7,24e6d075-1697-4e3e-9f08-6ad0d4d9c710,Links-Rechts,a1cd1df7-40ae-4da6-86e8-12651bb9e2bb,"0,000","9,975",119252.238,490723.022,1.21,119260.249,490717.079,1.21,52.40317504,52.40312216,4.86191183,4.86203017,9.975,0
8,24e6d075-1697-4e3e-9f08-6ad0d4d9c710,Links-Rechts,1b2e9c5f-c6dd-46c7-93ff-83f3e175d934,"-13,035","0,000",119241.77,490730.78899999,1.21,119252.238,490723.022,1.21,52.40324417,52.40317504,4.86175718,4.86191183,0,-13.035
9,24e6d075-1697-4e3e-9f08-6ad0d4d9c710,Links-Links,b876c6a1-3cf0-45d5-b4d3-56ffd7b29193,"19,924","30,239",119268.87,490712.06099999,1.21,119277.78599999,490706.873,1.21,52.40307762,52.40303157,4.86215738,4.86228894,30.239,19.924
10,24e6d075-1697-4e3e-9f08-6ad0d4d9c710,Links-Links,52e65b98-8aaa-4d7d-8c42-876cd44204dc,"0,000","19,924",119252.238,490723.022,1.21,119268.87,490712.06099999,1.21,52.40317504,52.40307762,4.86191183,4.86215738,19.924,0
