FID,ID,GERECHTIGDE,ADRES,POSTCODE,ZAKRECHT,AANDEEL,ACT_GEG,KAARTPERCEEL,PERCEELNUMMER,GEOMETRIE
BRK_GEM_ZAKRECHT_SQL.5873,5873,Gemeente Nijmegen,Korte Nieuwstraat 6,6511PP Nijmegen,Eigendom (recht van),1/1,2023-02-02T00:00:00,HTT02 B 4877 G 0,HTT02 B 4877 G 0,"POLYGON ((188749.547 426428.073, 188749.527 426428.129, 188749.523 426428.139, 188749.518 426428.154, 188747.58 426433.487, 188745.759 426438.499, 188744.184 426442.835, 188742.09 426448.599, 188742.088 426448.605, 188740.94 426451.838, 188733.983 426470.752, 188733.678 426470.591, 188731.027 426469.63, 188729.728 426473.242, 188728.705 426476.086, 188725.64 426484.604, 188723.3 426491.107, 188719.858 426500.676, 188716.426 426510.214, 188714.137 426516.435, 188711.397 426523.906, 188711.353 426524.892, 188711.506 426525.551, 188711.775 426526.231, 188712.361 426527.105, 188713.217 426527.803, 188697.47 426521.879, 188698.475 426522.091, 188699.233 426521.963, 188699.848 426521.671, 188700.464 426521.066, 188700.846 426520.375, 188708.222 426500.066, 188712.324 426488.77, 188714.701 426482.224, 188718.127 426472.794, 188719.029 426473.189, 188719.052 426473.127, 188722.563 426463.479, 188724.839 426457.225, 188727.138 426450.909, 188730.615 426441.357, 188733.948 426432.2, 188736.431 426425.377, 188738.73 426419.059, 188742.118 426409.751, 188745.526 426400.387, 188747.937 426393.764, 188750.209 426387.522, 188753.839 426377.548, 188757.54 426367.436, 188759.951 426360.849, 188762.266 426354.523, 188765.712 426345.108, 188769.132 426335.763, 188771.5 426329.291, 188773.873 426322.807, 188776.576 426314.969, 188776.576 426314.128, 188776.3 426313.148, 188775.713 426312.467, 188775.391 426312.153, 188774.623 426311.665, 188792.557 426319.199, 188791.568 426318.992, 188790.559 426319.01, 188789.985 426319.195, 188789.57 426319.381, 188789.279 426319.565, 188788.751 426319.979, 188788.572 426320.236, 188788.277 426320.623, 188783.734 426333.5, 188780.385 426342.799, 188776.949 426352.199, 188773.582 426361.412, 188770.911 426368.719, 188770.071 426371.08, 188766.692 426380.383, 188764.686 426385.456, 188761.435 426394.403, 188759.826 426399.042, 188754.184 426415.31, 188749.547 426428.073))"
BRK_GEM_ZAKRECHT_SQL.4751,4751,Gemeente Nijmegen,Korte Nieuwstraat 6,6511PP Nijmegen,Eigendom (recht van),1/1,2023-02-02T00:00:00,HTT02 B 4122 G 0,HTT02 B 4122 G 0,"POLYGON ((187878.097 424897.934, 187879.158 424897.049, 187879.41 424896.63, 187879.999 424895.474, 187879.782 424884.02, 187879.613 424875.091, 187879.442 424866.084, 187879.267 424856.842, 187879.039 424844.782, 187878.868 424835.745, 187878.699 424826.828, 187878.534 424818.112, 187878.362 424809.066, 187878.364 424808.954, 187878.485 424799.994, 187878.486 424799.911, 187879.348 424790.903, 187880.436 424781.573, 187880.441 424781.546, 187882.16 424771.703, 187882.166 424771.671, 187885.148 424758.611, 187887.218 424749.545, 187889.239 424740.692, 187891.654 424730.115, 187899.149 424698.051, 187899.321 424697.328, 187899.192 424696.678, 187898.678 424695.413, 187898.073 424694.752, 187897.224 424694.17, 187912.498 424699.888, 187911.537 424699.883, 187910.771 424700.102, 187910.085 424700.622, 187909.345 424701.612, 187909.085 424702.697, 187903.211 424728.73, 187901.215 424737.573, 187899.123 424746.841, 187897.079 424755.9, 187895.646 424762.248, 187894.413 424768.637, 187893.269 424776.297, 187892.289 424793.922, 187891.386 424804.252, 187891.354 424811.976, 187891.478 424819.754, 187891.577 424825.911, 187891.678 424832.23, 187891.828 424841.562, 187891.981 424851.091, 187892.173 424857.507, 187892.284 424863.729, 187892.437 424871.176, 187892.909 424893.503, 187893.114 424894.171, 187893.373 424894.683, 187893.772 424895.12, 187894.253 424895.486, 187894.764 424895.717, 187895.613 424895.856, 187878.097 424897.934))"
BRK_GEM_ZAKRECHT_SQL.5127,5127,Gemeente Nijmegen,Korte Nieuwstraat 6,6511PP Nijmegen,Eigendom (recht van),1/1,2023-02-02T00:00:00,HTT02 B 4369 G 0,HTT02 B 4369 G 0,"POLYGON ((188842.626 425799.081, 188827.329 425788.549, 188804.882 425773.377, 188774.307 425752.845, 188776.656 425736.956, 188777.338 425737.417, 188793.078 425748.047, 188820.96 425766.753, 188823.011 425768.129, 188865.8 425796.837, 189006.98 425891.558, 189004.931 425900.731, 189003.001 425907.556, 189000.819 425905.04, 188984.918 425894.308, 188969.92 425884.234, 188951.154 425871.642, 188936.34 425861.74, 188921.145 425851.574, 188908.197 425842.997, 188895.735 425834.631, 188879.091 425823.322, 188859.973 425810.569, 188842.626 425799.081))"
BRK_GEM_ZAKRECHT_SQL.5917,5917,Gemeente Nijmegen,Korte Nieuwstraat 6,6511PP Nijmegen,Eigendom (recht van),1/1,2023-02-02T00:00:00,HTT02 B 4921 G 0,HTT02 B 4921 G 0,"POLYGON ((188576.165 425478.052, 188572.958 425487.114, 188570.442 425493.944, 188570.544 425493.488, 188570.569 425493.021, 188570.517 425492.556, 188570.389 425492.107, 188570.188 425491.685, 188569.92 425491.301, 188569.592 425490.968, 188569.214 425490.693, 188568.796 425490.484, 188552.28 425484.463, 188545.359 425481.587, 188540.296 425479.354, 188531.132 425475.195, 188520.042 425469.579, 188511.469 425464.81, 188508.452 425463.133, 188501.622 425458.981, 188497.674 425456.581, 188492.792 425453.386, 188489.034 425450.927, 188487.29 425449.786, 188482.103 425446.138, 188476.795 425442.349, 188468.889 425436.04, 188459.153 425427.955, 188459.099 425427.91, 188451.967 425421.555, 188442.91 425412.913, 188440.8 425410.781, 188437.655 425407.58, 188434.219 425403.921, 188429.584 425398.675, 188425.855 425394.454, 188422.409 425390.348, 188417.902 425384.976, 188417.893 425384.965, 188416.594 425383.25, 188413.067 425378.594, 188410.394 425375.066, 188410.303 425374.935, 188407.07 425370.264, 188405.066 425367.425, 188403.098 425364.561, 188401.081 425361.539, 188398.695 425357.887, 188396.353 425354.208, 188395.18 425352.329, 188392.562 425348.051, 188389.999 425343.74, 188389.215 425342.396, 188386.325 425337.33, 188383.481 425332.237, 188372.267 425308.25, 188372.093 425307.832, 188371.962 425307.623, 188371.8 425307.423, 188371.525 425307.173, 188371.132 425306.937, 188370.735 425306.801, 188370.289 425306.746, 188385.232 425307.591, 188388.776 425307.791, 188387.752 425307.881, 188387.206 425308.083, 188386.717 425308.379, 188385.982 425309.163, 188385.572 425310.13, 188385.512 425311.133, 188385.819 425312.173, 188390.348 425321.321, 188390.823 425322.233, 188396.686 425333.479, 188401.639 425342.502, 188411.016 425356.889, 188421.005 425371.281, 188426.693 425378.676, 188431.951 425384.971, 188438.671 425392.737, 188443.515 425398.076, 188443.55 425398.114, 188443.762 425398.334, 188448.623 425403.379, 188455.92 425410.519, 188462.124 425416.219, 188469.229 425422.334, 188475.409 425427.464, 188482.935 425433.348, 188488.56 425437.51, 188495.05 425441.984, 188496.586 425443.005, 188497.476 425443.526, 188504.254 425447.98, 188511.836 425452.638, 188519.753 425457.153, 188527.873 425461.513, 188531.039 425463.139, 188534.232 425464.71, 188537.452 425466.226, 188540.698 425467.685, 188543.969 425469.087, 188547.264 425470.433, 188564.421 425477.139, 188572.076 425479.849, 188572.55 425479.952, 188573.033 425479.988, 188573.516 425479.956, 188573.991 425479.857, 188574.447 425479.694, 188574.876 425479.468, 188575.27 425479.185, 188575.62 425478.851, 188575.92 425478.47, 188576.165 425478.052))"
BRK_GEM_ZAKRECHT_SQL.4768,4768,Gemeente Nijmegen,Korte Nieuwstraat 6,6511PP Nijmegen,Eigendom (recht van),1/1,2023-02-02T00:00:00,HTT02 B 4148 G 0,HTT02 B 4148 G 0,"POLYGON ((188657.352 426251.606, 188678.238 426259.645, 188688.335 426263.532, 188694.757 426266.004, 188701.328 426268.533, 188710.397 426272.253, 188719.749 426276.088, 188726.619 426278.906, 188736.549 426282.979, 188745.764 426286.758, 188752.571 426289.55, 188759.174 426292.258, 188768.834 426296.22, 188778.055 426300.002, 188784.752 426302.783, 188791.029 426305.39, 188797.721 426308.169, 188797.954 426308.266, 188810.777 426313.556, 188849.078 426329.359, 188878.782 426341.614, 188880.55 426342.155, 188882.009 426342.563, 188882.624 426342.59, 188882.821 426342.564, 188883.24 426342.377, 188883.613 426342.07, 188874.571 426356.672, 188874.842 426355.822, 188874.862 426354.974, 188874.724 426354.126, 188874.41 426353.427, 188873.821 426352.766, 188846.836 426341.634, 188829.452 426334.462, 188813.542 426327.898, 188813.166 426327.742, 188792.557 426319.199, 188774.623 426311.665, 188755.68 426303.823, 188747.684 426300.513, 188741.219 426297.837, 188734.743 426295.156, 188733.925 426294.841, 188732.809 426294.724, 188731.968 426294.907, 188731.347 426295.339, 188730.76 426296.048, 188730.404 426296.905, 188722.929 426317.333, 188719.396 426326.988, 188715.624 426337.296, 188711.922 426347.48, 188708.116 426357.95, 188704.368 426368.261, 188700.566 426378.719, 188696.773 426389.154, 188693.056 426399.378, 188689.22 426409.929, 188685.479 426420.221, 188681.696 426430.628, 188677.931 426440.985, 188674.176 426451.313, 188670.447 426461.572, 188666.626 426472.081, 188662.496 426483.443, 188655.387 426502.999, 188655.15 426504.13, 188655.367 426505.514, 188655.875 426506.375, 188656.693 426507.064, 188642.129 426501.546, 188642.566 426501.519, 188643.541 426501.096, 188644.349 426500.323, 188645.071 426498.795, 188684.916 426389.551, 188611.356 426362.953, 188571.724 426472.259, 188571.457 426473.092, 188571.368 426474.152, 188571.635 426475.154, 188572.258 426476.087, 188573.168 426476.736, 188555.843 426470.638, 188557.029 426470.712, 188557.959 426470.536, 188558.653 426470.233, 188559.275 426469.815, 188559.809 426469.308, 188560.373 426468.513, 188560.79 426467.5, 188562.397 426463.1, 188564.549 426457.207, 188566.723 426451.253, 188570.884 426439.858, 188572.497 426435.44, 188576.256 426425.146, 188578.378 426419.333, 188581.628 426410.431, 188584.522 426402.507, 188584.848 426401.603, 188586.999 426395.632, 188589.049 426389.939, 188591.217 426383.812, 188596.996 426367.713, 188599.336 426361.285, 188601.476 426355.405, 188604.747 426346.419, 188607.836 426337.934, 188610.046 426331.863, 188612.181 426325.996, 188614.512 426319.594, 188629.619 426277.385, 188635.833 426260.778, 188636.02 426259.997, 188636.14 426259.712, 188636.223 426259.102, 188635.885 426257.777, 188635.693 426257.507, 188635.218 426256.877, 188634.863 426256.532, 188633.767 426255.692, 188549.453 426224.415, 188547.546 426229.783, 188541.836 426227.643, 188542.146 426226.373, 188539.231 426225.308, 188538.871 426226.649, 188533.882 426224.793, 188521.888 426258.071, 188519.035 426257.051, 188533.099 426218.021, 188527.044 426215.78, 188535.945 426206.748, 188568.811 426218.891, 188584.298 426224.7, 188600.483 426230.77, 188617.347 426237.165, 188619.573 426237.992, 188638.042 426244.856, 188657.352 426251.606))"
BRK_GEM_ZAKRECHT_SQL.5532,5532,Gemeente Nijmegen,Korte Nieuwstraat 6,6511PP Nijmegen,Eigendom (recht van),1/1,2023-02-02T00:00:00,HTT02 B 4750 G 0,HTT02 B 4750 G 0,"POLYGON ((187543.825 426860.947, 187543.433 426869.364, 187542.665 426879.031, 187542.585 426879.783, 187542.583 426880.539, 187542.659 426881.291, 187542.812 426882.032, 187543.041 426882.752, 187543.343 426883.445, 187543.715 426884.103, 187544.153 426884.72, 187544.652 426885.287, 187545.207 426885.801, 187545.813 426886.254, 187546.461 426886.642, 187547.147 426886.961, 187547.862 426887.208, 187548.598 426887.379, 187549.348 426887.473, 187550.104 426887.49, 187531.42 426892.124, 187532.415 426887.211, 187533.517 426881.294, 187533.759 426878.264, 187534.456 426869.545, 187534.459 426869.478, 187534.911 426860.713, 187534.934 426860.273, 187535.094 426851.971, 187535.106 426851.335, 187535.037 426843.25, 187535.012 426840.394, 187534.878 426834.692, 187534.868 426834.537, 187534.509 426828.693, 187534.035 426822.854, 187534.033 426822.825, 187532.803 426808.097, 187531.568 426793.29, 187530.334 426778.493, 187529.084 426763.499, 187528.167 426752.316, 187527.317 426741.649, 187527.217 426741.068, 187527.052 426740.503, 187526.822 426739.961, 187526.532 426739.448, 187526.184 426738.972, 187525.784 426738.54, 187525.337 426738.156, 187524.849 426737.826, 187524.326 426737.555, 187523.776 426737.345, 187523.205 426737.2, 187522.621 426737.122, 187540.355 426736.96, 187539.79 426737.046, 187539.24 426737.199, 187538.711 426737.417, 187538.213 426737.696, 187537.752 426738.033, 187537.335 426738.424, 187536.967 426738.861, 187536.655 426739.339, 187536.402 426739.852, 187536.212 426740.391, 187536.089 426740.948, 187536.033 426741.517, 187537.022 426753.739, 187537.898 426764.442, 187539.249 426764.342, 187539.984 426773.141, 187540.709 426781.811, 187540.748 426782.273, 187541.435 426790.481, 187542.159 426799.142, 187542.162 426799.175, 187542.875 426807.812, 187542.879 426807.855, 187543.591 426816.482, 187543.595 426816.526, 187544.308 426825.152, 187544.789 426830.981, 187544.863 426833.835, 187545.085 426842.443, 187545.086 426842.533, 187545.135 426851.244, 187545.151 426854.132, 187544.038 426854.231, 187543.941 426858.564, 187543.825 426860.947))"
BRK_GEM_ZAKRECHT_SQL.5959,5959,Gemeente Nijmegen,Korte Nieuwstraat 6,6511PP Nijmegen,Eigendom (recht van),1/1,2023-02-02T00:00:00,HTT02 B 4965 G 0,HTT02 B 4965 G 0,"POLYGON ((187521.35 426963.818, 187482.736 426969.412, 187475.6 426970.446, 187473.721 426970.585, 187472.626 426970.287, 187472.168 426970.137, 187471.938 426969.96, 187471.631 426969.607, 187471.36 426969.205, 187471.324 426969.151, 187465.925 426938.697, 187461.848 426909.997, 187460.689 426901.84, 187463.458 426901.849, 187464.558 426906.146, 187466.214 426910.639, 187467.965 426915.391, 187469.384 426919.061, 187473.146 426928.791, 187475.059 426933.618, 187477.958 426940.817, 187479.096 426943.37, 187480.25 426945.614, 187480.588 426947.928, 187481.48 426947.795, 187482.164 426952.859, 187483.301 426954.653, 187484.284 426956.574, 187485.26 426958.464, 187488.392 426958.373, 187488.399 426958.204, 187490.671 426958.391, 187494.206 426958.704, 187500.341 426959.283, 187501.348 426959.305, 187501.447 426959.301, 187504.814 426959.171, 187509.33 426958.895, 187509.348 426959.014, 187513.648 426958.866, 187519.111 426958.686, 187520.602 426958.461, 187521.35 426963.818))"
BRK_GEM_ZAKRECHT_SQL.5556,5556,Gemeente Nijmegen,Korte Nieuwstraat 6,6511PP Nijmegen,Eigendom (recht van),1/1,2023-02-02T00:00:00,HTT02 B 4774 G 0,HTT02 B 4774 G 0,"POLYGON ((187698.684 426798.037, 187699.079 426800.043, 187687.722 426800.905, 187675.496 426801.823, 187646.852 426803.948, 187647.675 426813.741, 187648.052 426818.23, 187650.31 426819.359, 187654.224 426819.097, 187654.45 426821.901, 187654.464 426822.077, 187651.876 426825.15, 187649.26 426828.229, 187649.107 426828.241, 187646.298 426828.46, 187645.986 426824.561, 187644.723 426822.97, 187639.94 426823.37, 187631.27 426824.096, 187627.85 426824.382, 187619.636 426825.07, 187610.966 426825.796, 187606.207 426826.195, 187605.246 426827.976, 187605.576 426831.845, 187602.771 426832.111, 187602.612 426832.126, 187599.491 426829.473, 187596.472 426826.875, 187596.456 426826.725, 187596.154 426823.922, 187598.201 426823.721, 187600.088 426823.568, 187602.163 426822.365, 187601.788 426817.531, 187601.115 426808.857, 187601.071 426808.283, 187600.355 426800.19, 187599.655 426792.269, 187599.587 426791.647, 187599.456 426791.035, 187599.263 426790.44, 187599.011 426789.868, 187569.364 426792.407, 187569.02 426788.26, 187568.3 426779.59, 187567.961 426775.511, 187581.473 426774.343, 187596.132 426773.141, 187595.063 426760.203, 187594.693 426755.727, 187593.082 426736.19, 187592.966 426735.657, 187592.774 426735.147, 187592.51 426734.67, 187592.179 426734.237, 187591.789 426733.857, 187591.347 426733.537, 187590.864 426733.285, 187590.349 426733.106, 187589.814 426733.003, 187589.269 426732.98, 187602.836 426731.96, 187602.294 426732.195, 187601.783 426732.49, 187601.309 426732.843, 187600.878 426733.247, 187600.497 426733.697, 187600.169 426734.189, 187599.9 426734.715, 187599.693 426735.268, 187599.551 426735.841, 187599.475 426736.427, 187599.467 426737.017, 187600.33 426747.828, 187601.226 426758.882, 187603.35 426758.707, 187604.384 426771.52, 187604.616 426774.402, 187605.851 426789.356, 187628.153 426787.492, 187636.957 426786.724, 187639.134 426786.534, 187642.508 426781.775, 187642.232 426777.896, 187644.946 426777.665, 187645.092 426777.653, 187648.156 426780.261, 187651.265 426782.895, 187651.275 426783.037, 187651.462 426785.738, 187647.543 426786.055, 187645.518 426787.673, 187645.892 426792.225, 187646.691 426801.94, 187675.339 426799.813, 187687.225 426798.932, 187698.684 426798.037))"
BRK_GEM_ZAKRECHT_SQL.5558,5558,Gemeente Nijmegen,Korte Nieuwstraat 6,6511PP Nijmegen,Eigendom (recht van),1/1,2023-02-02T00:00:00,HTT02 B 4777 G 0,HTT02 B 4777 G 0,"POLYGON ((187736.748 426658.471, 187720.106 426658.057, 187708.885 426657.789, 187708.948 426656.005, 187693.608 426655.607, 187693.567 426657.387, 187672.983 426656.854, 187646.337 426656.198, 187646.375 426654.435, 187631.093 426654.04, 187631.052 426655.789, 187603.095 426655.089, 187603.155 426653.348, 187587.909 426652.918, 187587.869 426654.68, 187559.946 426653.995, 187559.977 426652.26, 187544.737 426651.839, 187544.688 426653.587, 187497.236 426652.404, 187488.454 426652.185, 187488.649 426634.068, 187501.945 426634.411, 187510.688 426634.636, 187519.315 426634.858, 187524.46 426634.991, 187528.262 426635.088, 187536.743 426635.303, 187545.491 426635.525, 187548.531 426635.602, 187554.901 426635.764, 187555.487 426635.747, 187573.729 426636.21, 187582.383 426636.449, 187591.086 426636.69, 187594.08 426636.773, 187599.747 426636.919, 187608.466 426637.144, 187617.491 426637.377, 187633.338 426637.58, 187641.969 426637.795, 187650.704 426638.013, 187653.666 426638.087, 187659.41 426638.222, 187668.199 426638.428, 187677.049 426638.636, 187693.206 426639.077, 187701.921 426639.296, 187710.618 426639.515, 187713.629 426639.591, 187719.315 426639.724, 187728.012 426639.927, 187736.912 426640.135, 187737.083 426640.136, 187737.245 426640.082, 187737.381 426639.978, 187737.477 426639.837, 187737.469 426640.023, 187736.748 426658.471))"
BRK_GEM_ZAKRECHT_SQL.5559,5559,Gemeente Nijmegen,Korte Nieuwstraat 6,6511PP Nijmegen,Eigendom (recht van),1/1,2023-02-02T00:00:00,HTT02 B 4778 G 0,HTT02 B 4778 G 0,"POLYGON ((187573.729 426636.21, 187555.487 426635.747, 187556.033 426635.655, 187556.561 426635.492, 187557.064 426635.26, 187557.531 426634.963, 187557.955 426634.607, 187558.327 426634.198, 187558.643 426633.744, 187558.895 426633.251, 187559.079 426632.729, 187559.193 426632.188, 187559.234 426631.636, 187559.959 426603.485, 187562.292 426603.518, 187571.783 426569.29, 187573.268 426522.107, 187573.133 426537.424, 187572.896 426546.537, 187572.657 426555.695, 187572.427 426564.516, 187572.194 426573.41, 187571.947 426582.539, 187571.705 426591.512, 187571.463 426600.458, 187571.214 426609.666, 187570.951 426619.697, 187570.626 426632.062, 187570.646 426632.621, 187570.741 426633.171, 187570.909 426633.704, 187571.148 426634.21, 187571.451 426634.679, 187571.816 426635.103, 187572.233 426635.474, 187572.697 426635.786, 187573.199 426636.033, 187573.729 426636.21))"
