Gemeente,CBS Gemeentecode,BAG Pand nummer,Status Pand,Besluit,Besluitdatum,Bouwjaar,Gekoppeld adres,GEOMETRIE
Stichtse Vecht,1904,1904100000042561,Bouwvergunning verleend,2021-001432,20211025220000,2021,Boomstede 347 Maarssen,"POLYGON ((130350.529 459671.509,130353.049 459670.669,130355.569 459674.239,130351.789 459676.129,130350.949 459674.029,130350.529 459671.509))"
Stichtse Vecht,1904,1904100000042562,Bouwvergunning verleend,2021-001331,20211025220000,2021,Mijndensedijk 28 Loenen,"POLYGON ((129958.211 468225.219,129966.048 468223.742,129966.616 468227.604,129959.46 468229.08,129958.211 468225.219))"
Stichtse Vecht,1904,1904100000042521,Bouwvergunning verleend,2021-000985,20210502220000,2021,Landweg 4 Tienhoven schuur,"POLYGON ((133292.992 463489.32,133298.605 463470.842,133307.025 463473.181,133300.476 463491.425,133292.992 463489.32))"
Stichtse Vecht,1904,1904100000042435,Bouwvergunning verleend,124708,20220905220000,2020,Dorpsstraat 81 Loenen aan de Vecht,"POLYGON ((130323.568 469170.555,130324.222 469170.163,130325.267 469168.986,130330.365 469171.731,130328.666 469174.346,130323.568 469170.555))"
Stichtse Vecht,1904,1904100000042436,Bouwvergunning verleend,124708,20220905220000,2020,Dorpsstraat 83 Loenen aan de Vecht,"POLYGON ((130369.843 469181.928,130370.888 469181.274,130372.065 469179.182,130376.64 469182.058,130374.548 469184.934,130369.843 469181.928))"
Stichtse Vecht,1904,1904100000042488,Bouwvergunning verleend,2021-000089,20210325230000,2021,Portengen 9 Kockengen,"POLYGON ((126694.042 461876.968,126696.147 461870.887,126701.058 461863.87,126715.793 461868.548,126710.882 461882.347,126694.042 461876.968))"
Stichtse Vecht,1904,1904100000042438,Bouwvergunning verleend,BAG/AV-3016,20201109230000,2020,Rijkstraatweg 105 Loenen aan de Vecht,"POLYGON ((129923.306 469075.48,129928.143 469074.304,129929.581 469077.441,129924.352 469078.748,129923.96 469077.702,129923.306 469075.48))"
Stichtse Vecht,1904,1904100000042565,Bouwvergunning verleend,BAG/AV-3283,20211108230000,2021,Heicop 29a,"POLYGON ((124772.74 462480.427,124775.06 462478.478,124778.959 462481.819,124775.617 462484.604,124774.225 462482.933,124772.74 462480.427))"
Stichtse Vecht,1904,1904100000042882,Bouwvergunning verleend,2021-002933,20220310230000,2022,Portengen 15 Kockengen schuur,"POLYGON ((126571.385 462164.189,126573.737 462159.317,126583.313 462163.014,126581.633 462168.557,126571.385 462164.189))"
Stichtse Vecht,1904,1904100000042522,Bouwvergunning verleend,2021-000932,20210524220000,2021,Amstelpad 24 ws  schuur,"POLYGON ((128115.049 470389.544,128119.493 470386.971,128119.493 470390.245,128115.049 470389.544))"
Stichtse Vecht,1904,1904100000042523,Bouwvergunning verleend,BAG/AV-3162,20210525220000,2021,De Plassen Noord 134   schuur,"POLYGON ((130723.74 465870.741,130723.974 465867.7,130727.95 465867.232,130728.184 465870.507,130723.74 465870.741))"
Stichtse Vecht,1904,1904100000042543,Bouw gestart,BAG/AV-3289,20211115230000,2021,Heicop 29a Kockengen,"POLYGON ((124776.475 462475.267,124779.14 462472.269,124783.804 462476.266,124781.139 462478.931,124776.475 462475.267))"
Stichtse Vecht,1904,1904100000041096,Bouwvergunning verleend,1187056.out,20171024220000,2017,Burgemeester Huydecoperhof 13 Maarssen,"POLYGON ((131347.843 460735.017,131349.844 460733.149,131351.312 460734.883,131349.399 460736.796,131347.843 460735.017))"
Stichtse Vecht,1904,1904100000042896,Bouwvergunning verleend,2022-000345,20220314230000,2022,Oud Over 1 Loenen  Berging/carport,"POLYGON ((130034.889 468761.173,130040.845 468760.619,130041.26 468765.051,130035.304 468766.159,130034.889 468761.173))"
Stichtse Vecht,1904,1904100000042533,Bouwvergunning verleend,BAG/AV-3295,20211123230000,2021,Boomstede 231 Maarssen,"POLYGON ((130422.364 459683.568,130423.59 459682.328,130427.268 459687.642,130425.925 459688.576,130424.874 459686.838,130422.364 459683.568))"
Stichtse Vecht,1904,1904100000043305,Bouwvergunning verleend,2022-001778,20220928220000,2022,Zandpad 74 Breukelen,"POLYGON ((129292.3 464127.655,129293.143 464123.186,129296.264 464123.945,129295.589 464128.33,129292.3 464127.655))"
Stichtse Vecht,1904,1904100000042527,Bouwvergunning verleend,BAG/AV-3295,20211123230000,2021,De Plassen Noord 223 Breukelen,"POLYGON ((131455.043 465574.202,131455.745 465568.823,131460.423 465569.29,131459.721 465574.67,131455.043 465574.202))"
Stichtse Vecht,1904,1904100000042528,Bouwvergunning verleend,BAG/AV-3295,20211123230000,2021,"De Plassen Zuid 462, Breukelen","POLYGON ((131088.508 464085.39,131089.678 464083.519,131093.888 464085.156,131091.549 464087.261,131088.508 464085.39))"
Stichtse Vecht,1904,1904100000043304,Bouwvergunning verleend,2022-001630,20220928220000,2022,Klokjeslaan 21 Maarssen,"POLYGON ((131029.801 462056.867,131032.711 462054.271,131034.875 462056.71,131031.885 462059.385,131029.801 462056.867))"
Stichtse Vecht,1904,1904100000042348,Bouwvergunning verleend,BAG/AV-3300,20211201230000,2020,Laan van Niftarlake 60 Tienhoven,"POLYGON ((134054.973 464831.137,134055.365 464829.83,134056.934 464825.908,134066.909 464830.115,134065.142 464835.014,134054.973 464831.137))"
Stichtse Vecht,1904,0329100000001382,Bouwvergunning verleend,BAG/AV-3309,20211222230000,2009,Ligtelijnweg 19 Loenen aan de Vecht,"POLYGON ((129422.083 469190.958,129425.081 469190.85,129425.202 469196.128,129422.274 469196.234,129422.083 469190.958))"
Stichtse Vecht,1904,1904100000040142,Bouwvergunning verleend,BAG/AV-3309,20211222230000,2015,Kamelenspoor 419 Maarssen,"POLYGON ((130315.662 461077.679,130317.565 461075.955,130321.066 461079.169,130319.172 461080.948,130315.662 461077.679))"
Stichtse Vecht,1904,1904100000042715,Bouwvergunning verleend,2021-002642,20220104230000,2022,Kanaaldijk Oost 8 stal Nigtevecht,"POLYGON ((130177.185 476479.925,130210.163 476471.504,130212.268 476485.304,130179.524 476493.022,130178.822 476487.643,130177.185 476479.925))"
Stichtse Vecht,1904,1904100000042502,Bouw gestart,BAG/AV-3320,20220109230000,2021,Kanaaldijk Oost 12 Nigtevecht,"POLYGON ((130130.694 477087.533,130135.84 477084.024,130145.195 477095.485,130138.88 477101.566,130134.904 477095.485,130133.267 477093.146,130130.694 477087.533))"
Stichtse Vecht,1904,1904100000042480,Bouw gestart,BAG/AV-3320,20220109230000,2021,Mijndensedijk 11 Loenen aan de Vecht,"POLYGON ((130041.927 468382.585,130046.02 468382.234,130046.839 468389.836,130042.161 468390.304,130041.927 468382.585))"
Stichtse Vecht,1904,1904100000042446,Bouw gestart,BAG/AV-3320,20220109230000,2021,Schuur Nigtevechtseweg 29 Vreeland,"POLYGON ((130655.908 472025.845,130661.755 472023.039,130664.562 472030.757,130659.884 472032.628,130655.908 472025.845))"
Stichtse Vecht,1904,1904100000042719,Bouwvergunning verleend,2020-000877,20220116230000,2022,,"POLYGON ((129961.504 475946.792,129965.657 475929.66,130008.055 475939.697,130003.556 475956.829,129961.504 475946.792))"
Stichtse Vecht,1904,1904100000043113,Bouwvergunning verleend,154342,20221005220000,2022,"De Meent 7, 3621VS Breukelen","POLYGON ((131061.325 465078.312,131066.267 465075.789,131069.421 465080.625,131065.636 465083.044,131064.059 465082.308,131061.325 465078.312))"
