Leverancier;8110 - Vakliteratuur, abonnementen en overige informatie;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
A.S. Creation B.V.;;;1;1
a4 Training;;1;;1
A5tien B.V.;;;1;1
AADWORK;;;1;1
Abonnementenland;1;;;1
ACES Direct B.V.;;;1;1
Adviesbureau Hollander en van der Mey B.V.;;;1;1
Adviesbureau Planplan;;;1;1
Adviesburo mr. Kees Broos;;;1;1
Advocatenkantoor Van de Loo;;1;;1
AEVES B.V.;;3;;3
AG Connect B.V.;1;;;1
Agathos M&O;;4;;4
Agripers B.V.;;;1;1
Altares - Dun & Bradstreet;3;;;3
Amsterdams ADR Instituut B.V.;;2;;2
Amstock Produkties B.V.;;;1;1
Ana Petranovic;;1;;1
Anoniem_FIN_35;1;;;1
Anoniem_FIN_54;;;1;1
Anoniem_FIN_60;;;1;1
Anoniem_FIN_63;;2;;2
Anoniem_FIN_65;;;2;2
Anoniem_FIN_66;;2;;2
Anoniem_FIN_69;;;1;1
Anoniem_FIN_70;;;2;2
Anoniem_FIN_71;;;2;2
Anoniem_FIN_72;;1;;1
Anoniem_FIN_73;;1;1;1
Anoniem_FIN_74;;;1;1
Anoniem_FIN_75;;1;;1
Anoniem_FIN_77;;1;;1
Anoniem_FIN_81;;1;;1
Ardis Opleidingen B.V.;;1;;1
Array Media B.V.;2;;;2
Art for More;;;1;1
Artihove Regina B.V.;;;1;1
Atelier Davinci;;;1;1
Atelier Van Zijderveld;;;1;1
ATP Digitale Media B.V.;1;;;1
Aukes training en advies B.V.;;1;;1
Automotive Publishing B.V.;5;;1;5
Avantgarde Media;;;1;1
AVEQ Creatieve Producties B.V.;;1;1;1
AVROTROS;;;1;1
B.V. Algemeen Nederlands Persbureau ANP;;;6;6
B+B Vakmedianet B.V.;1;;;1
BÃ¨ta Publishers B.V.;1;;;1
BÃ¶we Systec Nederland B.V.;1;;;1
Barbarossa Beach B.V.;;1;;1
Battlefield Live Nederland B.V.;;1;;1
BBP Light B.V.;;;1;1
BDUmedia;1;;;1
Beeld en Geluid Den Haag;;1;;1
Berenschot Groep B.V.;;1;;1
Bert van den Boorn;;1;;1
Bettonville Effectieve Evenementen;;;1;1
BitesWeLove B.V.;;1;;1
BKFF bas kijzers fotografie en film;;1;1;1
Blauw Research B.V.;;;3;3
Bleck Cross Media Creativity;;;1;1
Blush Online Marketing;;;1;1
Bob Papenhuijzen Consultancy B.V.;;1;;1
Bobbe International B.V.;4;;;4
Boekhandel Mondria B.V.;1;;;1
bol.com B.V.;1;;;1
Boom beroepsonderwijs B.V.;1;;;1
Boom uitgevers Amsterdam B.V.;1;;;1
Boom uitgevers Den Haag;6;;;6
Borgerpark Media V.O.F.;1;;;1
bornnaked bureau voor bedrijfsidentiteiten;;;1;1
Bosman Letters & Reklame;;;1;1
Boudewijn European Affairs;;1;;1
Bourgonje Geluid- en Lichtservice B.V.;;1;;1
Bowling Scheveningen B.V.;;1;;1
Broekhuizen Communicatie;;;4;4
Bureau Bruinzeel;;;1;1
Bureau voor Overheidscommunicatie B.V.;;;5;5
BVO Opleidingen B.V.;;1;;1
Cadeau Concepten B.V.;;;1;1
Calumet Photographic B.V.;;;2;2
CameraNU.nl;;;1;1
Camps & Company B.V.;;1;;1
Carlton Ambassador Hotel B.V.;;1;;1
Centoanni B.V.;;1;;1
Cialona Expo B.V.;;;2;2
Cine Meta Digital B.V.;;;1;1
Claartje Thijs Onderzoek en Advies;;1;;1
Cloud 365 B.V.;;;1;1
Coach in' Company;;2;;2
Coelho Musica;;;1;1
Company Webcast B.V.;;;5;5
Company.Info B.V.;3;;;3
COMPAREX Nederland B.V.;;;2;2
Competence Factory;;;1;1
Conduite;;2;;2
Con'Fetti B.V.;;;2;2
Congress Service Centre;;1;;1
Connect Management Consulting;;2;;2
Content Online AB;3;;;3
Coolblue B.V.;;;1;1
Coöperatie De Betekenaar U.A.;;;1;1
Cracco;;;1;1
Creative Beards;;;2;2
Curltalk;;1;;1
D. Monica;;1;;1
Dafne van Baarle;;1;;1
Davilex Software B.V.;;;1;1
De Drukkerij B.V.;1;;;1
De Graaf Communicatie;;;1;1
De Hoog B.V.;;1;;1
De Hosting Makelaar B.V.;;;1;1
De Issuemakers B.V.;;;4;4
De Loopbaanpraktijk;;;1;1
De Nieuwe Pelgrim;;;1;1
de Persgroep Nederland B.V.;1;;;1
De Resolutie Rijswijk B.V.;;;1;1
Decisive Facts B.V.;;1;;1
Dedicon B.V.;1;;;1
denhartigh & partners b.v.;;1;;1
Derksen & Drolsbach B.V.;;3;;3
Discours HPO;;1;;1
Dog Training Dick Staal;1;;;1
Doubble Communicatie;;;1;1
DPG Media Magazines B.V.;1;;;1
DPI Animation House B.V.;;;2;2
Drukkerij De Ballonnerie B.V.;;;1;1
Duo Market Research B.V.;;;2;2
Dutch Drone Group B.V.;;;1;1
Dutchital Media B.V.;;;1;1
Duwtje B.V.;;1;;1
E.E. Metselaar Beheer B.V.;;1;;1
Eclipse;1;;;1
e-Conomics;;1;;1
EDG Educatieve Distributie B.V.;;;4;4
Edit Tipar Grup SRL;;1;;1
Eduact B.V.;;1;;1
Eiffel B.V.;;2;;2
Eisma Bouwmedia B.V.;1;;;1
Elma Media B.V.;;;1;1
EM-Cultuur B.V.;;;1;1
Energeia B.V.;3;;;3
ER;;;1;1
Erdee Media B.V.;1;;;1
Ergo B.V.;;;2;2
Eric Fecken Fotografie;;;1;1
ESB B.V.;3;;;3
Event Medical Service B.V.;;;1;1
every media;;;2;2
F&L Media B.V.;1;;;1
Factor Vijf;;1;;1
FD Mediagroep B.V.;6;;;6
FD/IP Nederland B.V.;2;;;2
