FID,OBJECTID,NAAM,NR,LABEL,THEMA,Shape__Area,Shape__Length
1,1,Papsauwselaan,8100,C,winkelgebieden,40084.4982910156,1397.73602525959
2,2,Vrijheidslaan,194,K,winkelgebieden,16781.2436523438,521.197126737059
3,3,Dashof,196,M,winkelgebieden,25164.9028320313,677.936180738346
4,4,Krakeelpolderweg,191,H,winkelgebieden,8382.13256835938,474.614248830045
5,5,Hugo de Grootstraat,190,G,winkelgebieden,13048.7390136719,494.603625571853
6,6,Tanthof Oost,48,XIV,kantoren en bedrijven,186605.890625,3813.06535219934
7,7,Rotterdamseweg Noord,46,XII,bedrijfsterrein,425380.722412109,4622.20379132327
8,8,Schieoevers Zuid,6,XI,bedrijfsterrein,1263795.88330078,5023.69825300166
9,9,Voorhof,52,XVIII,bedrijfsterrein,343703.898681641,2795.87850955125
10,10,Vulcanusweg,51,XVII,bedrijfsterrein,115118.017822266,2203.03619990705
11,11,Ypenburgse Poort,37,IV,bedrijfsterrein,310568.067138672,2850.39405892721
12,12,Delftse Poort West,42,VI,Kantoorlocatie,214457.103271484,2811.64979795337
13,13,bedrijfslocatie TNO,0,VII,te ontwikkelen bedrijfsterrein,161236.683349609,1920.03437717488
14,14,Station Zuid,50,XVI,te ontwikkelen kantoorlokatie,124552.363525391,1448.12820612358
15,15,Hof van Delftlaan,189,F,winkelgebieden,27040.5744628906,666.873228638117
16,16,Verdiplein,193,J,winkelgebieden,23420.1096191406,786.438928387528
17,17,Bikoplein,195,L,winkelgebieden,16710.8129882813,518.906963008482
18,18,Ternatestraat,188,E,winkelgebieden,9705.61401367188,404.399299446061
19,19,Lindelaan,8098,N,winkelgebieden,9751.62353515625,519.021419064393
20,20,Nassaulaan,8097,P,winkelgebieden,16911.3227539063,781.564421741132
21,21,Multatuliweg,8099,O,winkelgebieden,10973.0466308594,420.024722658399
22,22,In de Hoven,186,B,winkelgebieden,283546.069580078,3059.51351119513
23,23,Tanthof West,49,XV,kantoren en bedrijven,273192.686035156,3521.82567901524
24,24,Delftse Poort Oost,41,V,kantoren en bedrijven,275164.341552734,3077.15651737234
25,25,Rotterdamseweg Zuid,45,X,bedrijfsterrein,268726.151855469,5604.98254209494
26,26,Delftechpark,43,VIII,bedrijfsterrein,226760.6015625,1996.30711017624
27,27,Indische Buurt,36,II,bedrijfsterrein,147271.864257813,1902.74000618
28,28,Buitenwatersloot,54,XX,bedrijfsterrein,90285.0688476563,1850.10940519308
29,29,DSM/CALVE,5,I,bedrijfsterrein,968954.048583984,5558.94403185142
30,30,Schieoevers Noord,47,XIII,bedrijfsterrein,706244.007324219,4274.72807954146
31,31,Brassersplein,0,III,Kantoorlocatie,32761.701171875,747.879375510508
32,32,Technopolis Innovation Park,44,IX,te ontwikkelen bedrijfsterrein,2756497.27807617,6947.10266103634
33,33,Station Centrum,53,XIX,te ontwikkelen kantoorlokatie,183174.722900391,2208.52409894991
34,34,Van Foreestweg,187,D,winkelgebieden,69971.9313964844,1284.8413053168
35,35,Leeuwenstein,192,H,winkelgebieden,109998.061523438,1390.52269892212
36,36,Binnenstad,999,A,winkelgebieden,2923499.45458984,7205.85646248095
