FID,shape_leng,vliegdatum,strooknaam,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_wad_mid_2011.1,11193.8985575,2011-01-20T00:00:00,r283_120,,,"LINESTRING (172523.12000000104 596212.1510000005, 172935.13599999994 585025.8379999995)"
vlieglijnen_wad_mid_2011.2,21892.3765407,2011-01-28T00:00:00,r283_128,,,"LINESTRING (171571.77100000158 607851.3590000011, 173182.2740000002 586018.300999999)"
vlieglijnen_wad_mid_2011.3,21419.3445395,2011-02-17T00:00:00,r283_217,,,"LINESTRING (171550.49599999934 607489.0020000003, 173126.20100000128 586127.6939999983)"
vlieglijnen_wad_mid_2011.4,17906.8046325,2011-01-20T00:00:00,r284_120,,,"LINESTRING (181977.5639999993 604090.3440000005, 182856.20899999887 586205.1090000011)"
vlieglijnen_wad_mid_2011.5,22771.3834727,2011-02-17T00:00:00,r284_217,,,"LINESTRING (181654.94799999893 609207.1130000018, 182981.56899999827 586474.4050000012)"
vlieglijnen_wad_mid_2011.6,21279.9895452,2011-01-20T00:00:00,r98_120,,,"LINESTRING (169132.77199999988 587798.6140000001, 190411.15900000185 588059.7529999986)"
vlieglijnen_wad_mid_2011.7,20695.1990685,2011-01-28T00:00:00,r98_128,,,"LINESTRING (169793.34899999946 587884.188000001, 190488.47300000116 587939.743999999)"
vlieglijnen_wad_mid_2011.8,20841.8868214,2011-02-17T00:00:00,r98_217,,,"LINESTRING (169846.97800000012 587932.5249999985, 190688.83999999985 587900.5540000014)"
vlieglijnen_wad_mid_2011.9,21001.4894,2011-02-20T00:00:00,r98_220,,,"LINESTRING (169402.11800000072 587914.3310000002, 190403.60799999908 587914.3310000002)"
vlieglijnen_wad_mid_2011.10,21052.2310948,2011-01-20T00:00:00,r99_120,,,"LINESTRING (169515.18499999866 587050.0480000004, 190565.8299999982 587308.3909999989)"
vlieglijnen_wad_mid_2011.11,20755.8131364,2011-01-28T00:00:00,r99_128,,,"LINESTRING (169853.48200000077 587528.2749999985, 190609.28200000152 587504.3960000016)"
vlieglijnen_wad_mid_2011.12,20778.7156534,2011-02-17T00:00:00,r99_217,,,"LINESTRING (169714.5249999985 587576.9010000005, 190492.8500000015 587449.4050000012)"
vlieglijnen_wad_mid_2011.13,21091.3891,2011-02-20T00:00:00,r99_220,,,"LINESTRING (169409.4539999999 587512.8460000008, 190500.84299999848 587512.8460000008)"
vlieglijnen_wad_mid_2011.14,26783.2437431,2011-02-17T00:00:00,l0218,,,"LINESTRING (163581.0300000012 605419.4930000007, 190235.3049999997 608044.7100000009)"
vlieglijnen_wad_mid_2011.15,29612.5158978,2011-02-17T00:00:00,l0219,,,"LINESTRING (161120.02299999818 604532.0700000003, 190594.36499999836 607389.3949999996)"
vlieglijnen_wad_mid_2011.16,31380.2450502,2011-02-17T00:00:00,l0220,,,"LINESTRING (160244.10200000182 603864.1970000006, 191500.22899999842 606652.443)"
vlieglijnen_wad_mid_2011.17,31092.6231782,2011-02-17T00:00:00,l0221,,,"LINESTRING (160086.9699999988 603041.1350000016, 191029.87299999967 606088.745000001)"
vlieglijnen_wad_mid_2011.18,40438.8774145,2011-02-17T00:00:00,l0222,,,"LINESTRING (151752.8900000006 601533.3359999992, 192010.1169999987 605361.9739999995)"
vlieglijnen_wad_mid_2011.19,31642.1715997,2011-02-17T00:00:00,l0223,,,"LINESTRING (160374.30900000036 601556.5, 191854.45100000128 604754.5700000003)"
vlieglijnen_wad_mid_2011.20,30675.3095614,2011-02-17T00:00:00,l0224,,,"LINESTRING (162052.85599999875 601276.6000000015, 192615.05299999937 603908.4589999989)"
vlieglijnen_wad_mid_2011.21,29988.0168199,2011-02-17T00:00:00,l0225,,,"LINESTRING (162473.8209999986 600361.8570000008, 192308.27899999917 603392.7419999987)"
vlieglijnen_wad_mid_2011.22,30341.0739638,2011-01-28T00:00:00,l0226,,,"LINESTRING (163307.07600000128 599786.9580000006, 193502.04899999872 602760.9039999992)"
vlieglijnen_wad_mid_2011.23,30502.9013703,2011-01-28T00:00:00,l0227,,,"LINESTRING (162814.83900000155 598963.0909999982, 193151.94399999827 602139.1030000001)"
vlieglijnen_wad_mid_2011.24,30190.2271801,2011-01-28T00:00:00,l0228,,,"LINESTRING (164038.76399999857 598718.7870000005, 194117.66800000146 601309.0269999988)"
vlieglijnen_wad_mid_2011.25,29744.0241048,2011-01-28T00:00:00,l0229,,,"LINESTRING (164020.77699999884 597698.2140000015, 193612.4919999987 600704.4389999993)"
vlieglijnen_wad_mid_2011.26,29480.6728176,2011-01-28T00:00:00,l0230,,,"LINESTRING (164711.00200000033 597455.5379999988, 194097.93499999866 599804.6290000007)"
vlieglijnen_wad_mid_2011.27,26653.9842283,2011-01-28T00:00:00,l0231,,,"LINESTRING (164253.93400000036 596132.3649999984, 190745.5150000006 599070.2259999998)"
vlieglijnen_wad_mid_2011.28,25314.2308753,2011-01-28T00:00:00,l0232,,,"LINESTRING (166128.7199999988 596129.3449999988, 191362.45899999887 598146.4439999983)"
vlieglijnen_wad_mid_2011.29,22506.7442182,2011-01-28T00:00:00,l0233,,,"LINESTRING (165770.22100000083 595113.9990000017, 188154.63100000098 597457.438000001)"
vlieglijnen_wad_mid_2011.30,17757.8400471,2011-01-20T00:00:00,l0234,,,"LINESTRING (167294.436999999 594570.0399999991, 184969.41800000146 596283.5020000003)"
vlieglijnen_wad_mid_2011.31,17828.114252,2011-01-20T00:00:00,l0235,,,"LINESTRING (167902.96299999952 594167.4890000001, 185682.77100000158 595479.0069999993)"
vlieglijnen_wad_mid_2011.32,15683.4876577,2011-01-20T00:00:00,l0236,,,"LINESTRING (167737.79100000113 593131.8289999999, 183325.71799999848 594860.4970000014)"
vlieglijnen_wad_mid_2011.33,15233.0321633,2011-01-20T00:00:00,l0237,,,"LINESTRING (168942.06700000167 592836.7639999986, 184133.82400000095 593957.375)"
vlieglijnen_wad_mid_2011.34,15077.9282283,2011-01-20T00:00:00,l0238,,,"LINESTRING (168615.7349999994 591727.8060000017, 183580.26999999955 593573.506000001)"
vlieglijnen_wad_mid_2011.35,14142.0499847,2011-01-20T00:00:00,l0239,,,"LINESTRING (170000.24700000137 591473.7600000016, 184097.3299999982 592600.6330000013)"
