FID,datummutatie,naammuteerder,bron,status,genormeerd,rwsdienst,waterlichaam,opmerkingen,gdb_geomattr_data,shape
zomer_kade_legger.11,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,IJssel,,,"LINESTRING (201606.33460000157 445650.11670000106, 201566.02160000056 445708.34650000185, 201566.02160000056 445797.93090000004, 201628.73059999943 445874.07759999856, 201727.27340000123 445941.26579999924, 201749.66950000077 446124.91369999945, 201642.1682999991 446241.373399999, 201566.02160000056 446433.9796999991, 201373.41530000046 446501.16800000146)"
zomer_kade_legger.12,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,Pannerdensch Kanaal - Nederrijn - Lek,,,"LINESTRING (196992.74080000073 436252.7190000005, 196782.21759999916 436145.2177999988, 196603.04890000075 436104.9048999995)"
zomer_kade_legger.13,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,Pannerdensch Kanaal - Nederrijn - Lek,,,"LINESTRING (196473.15159999952 436284.07360000163, 196379.08810000122 436418.45010000095, 196289.5036999993 436548.34739999846, 196164.08570000157 436709.5991999991)"
zomer_kade_legger.14,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,Pannerdensch Kanaal - Nederrijn - Lek,,,"LINESTRING (196119.29349999875 436817.1004000008, 195967.0001000017 437027.62359999865, 195904.2910999991 437188.8753999993, 195801.26909999922 437282.9389999993, 195716.1638999991 437462.10770000145, 195545.95369999856 437726.3814999983, 195469.80700000003 437842.84109999985, 195326.47199999914 438026.48910000175, 195277.20069999993 437999.6138000004, 195169.69940000027 437999.6138000004, 195057.7190000005 438071.28119999915, 194995.01000000164 438075.76040000096, 194945.73860000074 438174.30319999903, 194941.25939999893 438183.2617000006)"
zomer_kade_legger.15,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,Pannerdensch Kanaal - Nederrijn - Lek,,,"LINESTRING (196865.04459999874 436811.1521999985, 196768.7800000012 436790.22509999946, 196706.07090000063 436830.53810000047, 196504.50620000064 437014.1860000007, 196423.8803000003 437220.23000000045, 196325.3374999985 437314.29349999875, 196074.50129999965 437385.9609999992, 195993.87539999932 437394.9193999991, 195886.37420000136 437421.79470000044, 195783.35220000148 437345.6479999982)"
zomer_kade_legger.16,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,Pannerdensch Kanaal - Nederrijn - Lek,,,"LINESTRING (195469.80700000003 438178.78240000084, 195496.68230000138 438080.23970000073, 195465.32779999822 438080.23970000073, 195380.2226999998 438102.6356999986, 195317.51359999925 438044.4059000015)"
zomer_kade_legger.17,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,Pannerdensch Kanaal - Nederrijn - Lek,,,"LINESTRING (193570.61890000105 440754.3322999999, 193512.38910000026 441009.64770000055, 193534.7851999998 441385.90199999884, 193619.89029999822 441721.84319999814, 193682.59930000082 441892.0535000004)"
zomer_kade_legger.18,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,Pannerdensch Kanaal - Nederrijn - Lek,,,"LINESTRING (190184.33069999889 443495.6132999994, 190058.91259999946 443580.7184000015, 189969.32829999924 443656.86510000005, 189875.26469999924 443728.5324999988, 189794.6387999989 443813.6376999989, 189705.0544999987 443889.78440000117, 189628.90780000016 443871.8674999997, 189516.9272999987 443871.8674999997, 189140.67309999838 443804.67920000106, 188840.56549999863 443603.1145000011, 188737.54349999875 443518.00930000097, 188607.6462999992 443397.0705000013, 188535.97879999876 443303.0069000013, 188392.6438000016 443204.4640999995, 188329.934799999 443065.6083999984, 188235.871199999 442953.6279999986, 188235.871199999 442855.08520000055, 188303.05950000137 442796.85539999977, 188276.18420000002 442725.1878999993, 188361.28929999843 442483.3101999983, 188312.01790000126 442384.76740000024, 188276.18420000002 442339.97520000115)"
zomer_kade_legger.19,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,Pannerdensch Kanaal - Nederrijn - Lek,,,"LINESTRING (187989.51429999992 443441.8625999987, 187935.76370000094 443370.19519999996, 187846.17929999903 443235.81870000064, 187801.38720000163 443110.4006000012, 187832.74170000106 442993.9409000017, 187931.28449999914 442881.9604999982, 187980.55579999834 442899.87739999965, 188074.61939999834 443043.21229999885, 188132.84919999912 443150.71350000054, 188217.95439999923 443267.1732000001)"
zomer_kade_legger.20,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,Pannerdensch Kanaal - Nederrijn - Lek,,,"LINESTRING (187787.94949999824 443105.9213999994, 187693.88589999825 443110.4006000012, 187546.07180000097 443110.4006000012, 187469.9250999987 443096.96290000156, 187425.13289999962 442993.9409000017, 187375.86149999872 442859.56439999864, 187389.29919999838 442805.81379999965, 187599.82239999995 442747.58399999887, 187810.3456000015 442693.8333999999, 187801.38720000163 442698.3126000017)"
