OBJECTID,SIGMA_ID,REF_FUNC_SPOORTAK_NAAM_LANG,KANTCODE,M_SIGMATRAJECT_BEGIN,M_SIGMATRAJECT_EIND,PUBLICATIEDATUM,DATUM_GOEDGEKEURD,ELEMENT_TYPE,ELEMENT_LENGTE,VERKANTING_BEGIN,VERKANTING_EIND,HELLING,VOLGNUMMER,LENGTE_TOTAAL_SIGMATRAJECT,BEIDE_EINDEN_GELIJK,POSITIONELE_NAUWKEURIGHEID_MM,REF_FUNCTIONELE_SPOORTAK_PUIC,SIGMATRAJECT_GUID,REF_WISSEL_KRUISING_PUIC,Shape__Length
1,349781,003_2335R_84.4,R,0,36.54746,2021/10/29 14:28:12+00,2017/05/16 10:20:53+00,Constant,36.54746,0,0,0,0,428.13979899,Nee,10,e4e3f1ff-f706-438e-86d3-cd747c84e00a,00a35e75-4138-4805-b07e-35a03df91ac4,7e945fa8-c6f1-43e8-b758-b2219acd29b3,36.5474081185717
2,349782,003_2335R_84.4,,36.54746,428.13979899,2021/10/29 14:28:12+00,2017/05/16 10:21:22+00,Constant,391.59233899,0,0,0,1,428.13979899,Nee,10,e4e3f1ff-f706-438e-86d3-cd747c84e00a,00a35e75-4138-4805-b07e-35a03df91ac4,,391.592341903331
3,349783,003_2225L_84.1,L,0,27.365,2021/10/29 14:28:12+00,2020/08/20 02:00:00+00,Constant,27.365,0,0,0,0,33.1684258,Ja,10,42cd97ee-b1e4-4379-ab87-b9de213e1b01,10418c96-3e5f-4593-be9c-7ef111dbdd66,0c142fa7-8b5e-4a44-8a70-25593ac958e1,27.3649727077253
4,349784,003_2225L_84.1,T,27.365,33.1684258,2021/10/29 14:28:12+00,2020/08/20 02:00:00+00,Constant,5.8034258,0,0,0,1,33.1684258,Ja,10,42cd97ee-b1e4-4379-ab87-b9de213e1b01,10418c96-3e5f-4593-be9c-7ef111dbdd66,a257810a-7ccb-4e60-8d22-33cb124b66f1,5.80351147237601
5,349785,003_2329R_84.4,R,0,36.57,2021/10/29 14:28:13+00,2017/05/16 10:20:53+00,Constant,36.57,0,0,0,0,488.3997737,Nee,10,bf1008fd-89a1-4113-8bbb-62d60cf82657,10f93d45-67c9-45d1-93e3-212eebcaa592,9a281323-d741-4401-b985-f770ea9b22d4,36.5699660287987
6,349786,003_2329R_84.4,,36.57,488.3997737,2021/10/29 14:28:13+00,2017/05/16 10:20:35+00,Constant,451.8297737,0,0,0,1,488.3997737,Nee,10,bf1008fd-89a1-4113-8bbb-62d60cf82657,10f93d45-67c9-45d1-93e3-212eebcaa592,,451.829815184277
7,349787,003_2333P_84.4,P,0,25.99,2021/10/29 14:28:14+00,2017/05/16 10:20:05+00,Constant,25.99,0,0,0,0,452.45515847,Nee,10,a6f2a56f-7eb2-419e-9406-f63af0118c9a,166ad400-2f2e-4fd5-b54a-ecdcf4f38ea0,fed2c116-6d20-4d81-bf84-2f6fe4076f63,25.9899300702559
8,349788,003_2333P_84.4,,25.99,452.45515847,2021/10/29 14:28:14+00,2017/05/16 10:18:57+00,Constant,426.46515847,0,0,0,1,452.45515847,Nee,10,a6f2a56f-7eb2-419e-9406-f63af0118c9a,166ad400-2f2e-4fd5-b54a-ecdcf4f38ea0,,426.465103567138
9,349791,003_2241L_84.3,L,0,36.54746,2021/10/29 14:28:16+00,2017/05/16 10:01:20+00,Constant,36.54746,0,0,0,0,457.65190263,Nee,10,bec56179-0f0c-496d-94ee-4f9bcd9942f4,23d323ae-f400-431e-a526-6d6a4bf6b0f1,b9b148f4-5b42-4eac-a2e7-52caeab69278,36.5474939978402
10,349792,003_2241L_84.3,,36.54746,457.65190263,2021/10/29 14:28:16+00,2017/05/16 10:01:20+00,Constant,421.10444263,0,0,0,1,457.65190263,Nee,10,bec56179-0f0c-496d-94ee-4f9bcd9942f4,23d323ae-f400-431e-a526-6d6a4bf6b0f1,,421.104377922717
11,349793,003_2217V_84.0,V,0,3.8,2021/10/29 14:28:17+00,2017/05/16 09:57:03+00,Constant,3.8,0,0,0,0,134.11589173,Ja,10,613a6db7-34f8-4566-a409-515c299e1d45,275ca0dd-ae7f-439f-8414-656a30684871,d89a34d2-2228-4911-a6ad-0073952711ab,3.80001438938682
12,349794,003_2217V_84.0,,3.8,130.31589173,2021/10/29 14:28:17+00,2017/05/16 09:57:03+00,Constant,126.51589173,0,0,0,1,134.11589173,Ja,10,613a6db7-34f8-4566-a409-515c299e1d45,275ca0dd-ae7f-439f-8414-656a30684871,,126.515916449563
13,349795,003_2217V_84.0,V,130.31589173,134.11589173,2021/10/29 14:28:17+00,2020/08/20 18:23:20+00,Constant,3.8,0,0,0,2,134.11589173,Ja,10,613a6db7-34f8-4566-a409-515c299e1d45,275ca0dd-ae7f-439f-8414-656a30684871,0c142fa7-8b5e-4a44-8a70-25593ac958e1,3.79992363358945
14,349798,003_2329L_84.4,L,0,36.54746,2021/10/29 14:28:18+00,2017/05/16 10:20:53+00,Constant,36.54746,0,0,0,0,59.74295,Ja,10,62816607-ec10-49cc-a3db-ff25f4b0959a,283660ef-1d49-41e3-af27-d8c8232e042c,9a281323-d741-4401-b985-f770ea9b22d4,36.5475050516447
15,349799,003_2329L_84.4,,36.54746,55.94295,2021/10/29 14:28:18+00,2017/05/16 10:20:53+00,Constant,19.39549,0,0,0,1,59.74295,Ja,10,62816607-ec10-49cc-a3db-ff25f4b0959a,283660ef-1d49-41e3-af27-d8c8232e042c,,19.3954575241215
16,349800,003_2329L_84.4,V,55.94295,59.74295,2021/10/29 14:28:18+00,2017/05/16 10:20:53+00,Constant,3.8,0,0,0,2,59.74295,Ja,10,62816607-ec10-49cc-a3db-ff25f4b0959a,283660ef-1d49-41e3-af27-d8c8232e042c,7e945fa8-c6f1-43e8-b758-b2219acd29b3,3.79999682382451
