Leveranciersnaam;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Braber Winkels B.V.;;1;;;;;;;;;1
Brasserie NUL76;;1;;;;;;;1;;1
Breur Groothandel;;;;;;;;;1;;1
BRINK NEDERLAND;;;;;;;;;1;;1
Brouwhuis Breda B.V.;;1;;;;;;;;;1
Brunner Projektmeubelen B.V.;;;;;;;;1;;;1
Brussaard Company Group B.V.;;1;;;;;;;;;1
BRUYNZEEL STORAGE SYSTEMS;;;;;;;;1;;;1
Bruynzeel Storage Systems B.V.;;;;;;;;1;;;1
BS Workspace Solutions;;;;;;;;2;;;2
Building Business B.V.;;;;;;;;;1;;1
Buitenwerkplaats;;1;;;;;;;;;1
Buren Systems International B.V.;;;;;;;;1;;;1
BUSINESS ART SERVICE;;;;;;;;1;;;1
Buyitdirect.com N.V.;;;;;;;;;2;;2
CafÃ© de Gezelligheid;;1;;;;;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;1;;;;;;;;;1
Cafe/Restaurant Schlemmer;;1;;;;;;;;;1
Cafe-Restaurant Pan;;1;;;;;;;;;1
CAG;;;;;;;;;1;;1
CAMERANU.NL B.V.;;;;;;;;1;1;;1
CANNOCK CHASE B.V.;;;;;;;;;;1;1
Canon Nederland N.V.;;;;;;1;;;1;;1
Cantine Service;;6;;;;;;;;;6
Card Vision B.V.;;;;;;;;;1;;1
Carlton Hotels Nederland B.V.;;1;;;;;;;;;1
Catch by Simonis;;1;;;;;;;;;1
Catec B.V.;;;;1;;;;;;;1
Catering Cor Jansen B.V.;;1;;;;;;;;;1
CB Facturatie B.V.;;;;;;;;;1;;1
Central Point Nederland B.V.;;;;;;;;;1;;1
Chantal Kouwenhoven B.V.;;;;;;;;;1;;1
Choco-Paradijs;;;;;;;;;1;;1
Chubb Fire & Security B.V.;;;1;;;;;;;;1
Ciao! Ciao! B.V.;;1;;;;;;;;;1
Cinco Cleaning B.V.;;;;;;;;1;;;1
Cinecitta B.V.;;1;;;;;;;;;1
C-Mark B.V.;;;;1;;;;;;;1
COMBICO;;;;;;;;1;;;1
COMMISSIE VAN BEHEER RIJKSKANTORENGEBOUW HANZELAND;;5;;;;;;;;;5
Compacon & Partners B.V.;;;;1;;;;;1;;1
Compass Group Nederland B.V.;;7;;;;;1;;;;7
CONRAD ELECTRONIC BENELUX;;;;;;;;;1;;1
Conrad Electronic Benelux B.V.;;;;;;;;;1;;1
Co�peratie Exploitatie Bouwcampus UA;;1;;;;;;;1;;1
Coordesign B.V;;;;;;;;;1;;1
Cor van Raaij Elektrotechniek B.V.;;;1;;;;;;;;1
CRYSTAL CLEAR TRANSLATIONS;;;;;;1;;;;;1
CS Bedrijven B.V.;;;;;;;1;;;;1
CSU Cleaning Services B.V. / Vestiging Apeldoorn;;;;1;;;;;;;1
CSU Food Services;;;;8;;;;;;;8
CTMabc;;2;;;;;;;;;2
CURA Preventie B.V.;;;2;;;;;;;;2
CURA Safety Solutions B.V.;;;1;;;;;;;;1
CWS Nederland B.V.;;;;5;;;;;;;5
D&B The Facility Group;;;1;;;;;;;;1
Dahle Nederland B.V.;;;;;;;;;1;;1
Daleman Lijsten;;;;;;;;1;;;1
De Belgische Keizer B.V.;;1;;;;;;;;;1
De Bilderberg Hotel;;1;;;;;;;;;1
De Horeca Academie Zakelijk B.V.;;3;;;;;;;;;3
DE KLERK TIMMERBEDRIJF B.V.;;;;;;;;1;;;1
De Kookfabriek Den Haag B.V.;;;;;;;;;1;;1
De Kroon Service- en Schoonmaakdiensten B.V.;;;;1;;;;;;;1
De Poort van Kleef Utrecht B.V.;;1;;;;;;;;;1
De Raat Security Products B.V.;;;;;;;;;1;;1
De Smelt B.V.;;1;;;;;;;;;1
De Vrij Espresso & Horeca Service;;1;;;;;;;;;1
De Waag Leiden;;1;;;;;;;;;1
De Zwolse Fietsenmaker;;;;;;;;;1;;1
Defibrion;;;4;;;;;;;;4
Deliveroo;;1;;;;;;;;;1
Delta International Promotioneel B.V.;;;;;;;;;1;;1
Dendy B.V.;;1;;;;;;;;;1
DESIGN ONLINE MEUBELS;;;;;;;;1;;;1
Diensten en Recreatiecomplex Nieuwe Haven Witte Raaf Stichting;;1;;;;;;;;;1
DIGITAL REVOLUTION B.V.;;;;;;;;1;;;1
DINER THUIS;;1;;;;;;;;;1
Discountoffice.nl B.V.;;;;;;;;;1;;1
DJM Bedrijfsdiensten;;;;1;;;;;;;1
Document House Beuningen;;;;;;;;;1;;1
Dok2 B.V.;;;;;;;;1;;;1
Dokkumer Vlaggen Centrale B.V.;;;1;;;;;;;;1
DOMINO'S PIZZA TORENSTRAAT;;1;;;;;;;;;1
DOPPER B.V.;;;;;;1;;;;;1
Douwe Egberts Horeca;;6;;;;;;;;;6
Drentea Kantoormeubelen;;;;;;;;6;;;6
Drukkerij Excelsior B.V.;;;;;;;;;1;;1
DSIGN SQUAD;;;;;;;;;1;;1
DUEL;;;;;;1;;;;;1
Dulang Restaurant;;1;;;;;;;;;1
DynaVision B.V.;;;;;;;;;2;;2
Dyson B.V.;;;;;;;;;1;;1
E L CRAVATTE B.V.;;;;;;;;;1;;1
E.A.L. Electronic Application Laboratory B.V.;;;1;;;;;;;;1
EASY ERGONOMICS;;;;;;;;;1;;1
EASYLOCATE;;;;;2;;;;;;2
Echte Bakker Keurhorst;;1;;;;;;;;;1
Ecolab B.V.;;1;;;;;;;;;1
EcoSmart Nederland B.V.;;;;;;;2;;;;2
Eden Springs Nederland B.V.;;1;;;;;;;;;1
Edenred Nederland;;;;;;;;;2;;2
Edery International B.V.;;;;;;;;;1;;1
Eduard Bos Electronic Publishing II B.V.;;;;;;;;1;;;1
EetcafÃ© Het Gesprek;;1;;;;;;;;;1
Effektief Groep;;;;3;;;;;;;3
EHM Hotel Breda B.V.;;1;;;;;;;;;1
EIM YOURSERVICE;;;;;;1;;;;;1
Elba Media B.V.;;;;;;1;;;;;1
Element offices;;1;;;;;;;;;1
ELLE EVENTS & COMMUNICATIE;;;;;;;;1;;;1
Empóreuma;;;;;;1;;;;;1
Emtek Ergonomics B.V.;;;;;;;;2;;;2
Engels Logistiek B.V.;;;;;;;;;1;;1
Entropia Critical Concepts B.V.;;;2;;;;;;;;2
Envision-S;;;;;;1;;;;;1
Eurorouting Nederland B.V.;;;;;;;;3;;;3
Event Medical Service B.V.;;;1;;;;;;;;1
Evers Events;;1;;;;;;;;;1
EXIL stempels;;;;;;;;;1;;1
Exploit. Maatsch. De Nwe Poort Amsterdam B.V.;;1;;;;;;;;;1
Exploitatie Maatschappij Komfort B.V.;;1;;;;;;;1;;1
Exploitatie Zuiderkerk B.V.;;1;;;;;;;;;1
Extreme Air Products B.V.;;;;;;;;;1;;1
Falck Prevention B.V.;;;4;;;;;;;;4
FERRETTO GROUP HOLLAND;;;;;;;;1;;;1
Ferretto Group Holland B.V.;;;;;;;;;1;;1
Firma Hof der Muzen;;1;;;;;;;;;1
FIRMM INFORMATION/SERVICE DESIGN B.V.;;;;;;2;;;;;2
Flash Rental Services B.V.;;;2;;;;;;;;2
Flashbay Limited;;;;;;;;;1;;1
Fleetlogic B.V.;;;;;;;;;1;;1
Fletcher Hotel Exploitaties B.V.;;1;;;;;;;;;1
FloorFriendly B.V.;;;;;;;;1;;;1
Flowers&Wheels;;;;;;;;2;;;2
FMT Vastgoed Beheer;;;1;;;;;;;;1
Fonville Schoonhouden B.V.;;;;1;;;;;;;1
FOR CONFERENCE;;;;;;;;;1;;1
Fotovaklaboratorium 'De Verbeelding' B.V.;;;;;;;;1;;;1
Frama Nederland;;;;;1;1;;;;;1
Franke Koffieservices;;;;;;;;1;;;1
Fransen Beveiligingen;;;1;;;;;;;;1
FUDURA;;;1;;;;;;;;1
Fujitsu Technology Solutions B.V.;;;;2;;;;;;;2
Futureproof Document Solutions;;;;;;;;;1;;1
G4S Secure Monitoring BV;;;1;;;;;;;;1
G4S Security Services B.V.;;;;;;;;3;;;3
G4S Services;;;3;;;;;;;;3
Galerie Bart;;;;;;;;1;;;1
GEBR. BARENDSEN B.V.;;;;;;;;1;;;1
Geesink B.V.;;;;;;;1;;;;1
Gemaco B.V.;;;;;;;;;1;;1
Gielissen's Bedrijven B.V.;;;;;;;;;1;;1
Gispen Kantoorinrichting;;;;;;;;6;;;6
Glemz Support;;;;1;;;;;;;1
Good Conditions B.V.;;;;;;;;;1;;1
GRAFISCH BURO VAN ERKELENS;;;;;;1;;;;;1
Grafisch Buro van Erkelens B.V.;;;;;;1;;;;;1
Grand Cafe Lubeck;;1;;;;;;;;;1
Grandcafe De Wens;;1;;;;;;;;;1
Granny's Corner;;1;;;;;;;;;1
GRAPHIC IMPROVEMENTS B.V.;;;;;;;;;1;;1
GRAYDON INCASSO B.V.;;;;;;;;;1;;1
Greenbean;;1;;;;;;;1;;1
Grey Amsterdam B.V.;;;;;;;;;1;;1
