Vri;Detector;Long;Lat;Datum;Uur;Waarde
1;1.2;5,144293271;52,09557255;5-9-2015;0;34
1;1.2;5,144293271;52,09557255;5-9-2015;1;0
1;1.2;5,144293271;52,09557255;5-9-2015;2;12
1;1.2;5,144293271;52,09557255;5-9-2015;3;9
1;1.2;5,144293271;52,09557255;5-9-2015;4;9
1;1.2;5,144293271;52,09557255;5-9-2015;5;4
1;1.2;5,144293271;52,09557255;5-9-2015;6;7
1;1.2;5,144293271;52,09557255;5-9-2015;7;18
1;1.2;5,144293271;52,09557255;5-9-2015;8;48
1;1.2;5,144293271;52,09557255;5-9-2015;9;58
1;1.2;5,144293271;52,09557255;5-9-2015;10;70
1;1.2;5,144293271;52,09557255;5-9-2015;11;124
1;1.2;5,144293271;52,09557255;5-9-2015;12;130
1;1.2;5,144293271;52,09557255;5-9-2015;13;140
1;1.2;5,144293271;52,09557255;5-9-2015;14;123
1;1.2;5,144293271;52,09557255;5-9-2015;15;109
1;1.2;5,144293271;52,09557255;5-9-2015;16;114
1;1.2;5,144293271;52,09557255;5-9-2015;17;109
1;1.2;5,144293271;52,09557255;5-9-2015;18;68
1;1.2;5,144293271;52,09557255;5-9-2015;19;69
1;1.2;5,144293271;52,09557255;5-9-2015;20;55
1;1.2;5,144293271;52,09557255;5-9-2015;21;42
1;1.2;5,144293271;52,09557255;5-9-2015;22;49
1;1.2;5,144293271;52,09557255;5-9-2015;23;34
1;1.2;5,144293271;52,09557255;6-9-2015;0;6
1;1.2;5,144293271;52,09557255;6-9-2015;1;0
1;1.2;5,144293271;52,09557255;6-9-2015;2;10
1;1.2;5,144293271;52,09557255;6-9-2015;3;9
1;1.2;5,144293271;52,09557255;6-9-2015;4;4
1;1.2;5,144293271;52,09557255;6-9-2015;5;4
1;1.2;5,144293271;52,09557255;6-9-2015;6;6
1;1.2;5,144293271;52,09557255;6-9-2015;7;14
1;1.2;5,144293271;52,09557255;6-9-2015;8;17
1;1.2;5,144293271;52,09557255;6-9-2015;9;38
1;1.2;5,144293271;52,09557255;6-9-2015;10;56
1;1.2;5,144293271;52,09557255;6-9-2015;11;89
1;1.2;5,144293271;52,09557255;6-9-2015;12;91
1;1.2;5,144293271;52,09557255;6-9-2015;13;96
1;1.2;5,144293271;52,09557255;6-9-2015;14;110
1;1.2;5,144293271;52,09557255;6-9-2015;15;115
1;1.2;5,144293271;52,09557255;6-9-2015;16;109
1;1.2;5,144293271;52,09557255;6-9-2015;17;82
1;1.2;5,144293271;52,09557255;6-9-2015;18;67
1;1.2;5,144293271;52,09557255;6-9-2015;19;48
1;1.2;5,144293271;52,09557255;6-9-2015;20;59
1;1.2;5,144293271;52,09557255;6-9-2015;21;56
1;1.2;5,144293271;52,09557255;6-9-2015;22;33
1;1.2;5,144293271;52,09557255;6-9-2015;23;15
1;1.2;5,144293271;52,09557255;7-9-2015;0;16
1;1.2;5,144293271;52,09557255;7-9-2015;1;0
1;1.2;5,144293271;52,09557255;7-9-2015;2;2
1;1.2;5,144293271;52,09557255;7-9-2015;3;9
1;1.2;5,144293271;52,09557255;7-9-2015;4;5
1;1.2;5,144293271;52,09557255;7-9-2015;5;28
1;1.2;5,144293271;52,09557255;7-9-2015;6;84
1;1.2;5,144293271;52,09557255;7-9-2015;7;148
1;1.2;5,144293271;52,09557255;7-9-2015;8;156
1;1.2;5,144293271;52,09557255;7-9-2015;9;133
1;1.2;5,144293271;52,09557255;7-9-2015;10;111
1;1.2;5,144293271;52,09557255;7-9-2015;11;71
1;1.2;5,144293271;52,09557255;7-9-2015;12;123
1;1.2;5,144293271;52,09557255;7-9-2015;13;102
1;1.2;5,144293271;52,09557255;7-9-2015;14;122
1;1.2;5,144293271;52,09557255;7-9-2015;15;141
1;1.2;5,144293271;52,09557255;7-9-2015;16;259
1;1.2;5,144293271;52,09557255;7-9-2015;17;288
1;1.2;5,144293271;52,09557255;7-9-2015;18;155
1;1.2;5,144293271;52,09557255;7-9-2015;19;72
1;1.2;5,144293271;52,09557255;7-9-2015;20;66
1;1.2;5,144293271;52,09557255;7-9-2015;21;51
1;1.2;5,144293271;52,09557255;7-9-2015;22;44
1;1.2;5,144293271;52,09557255;7-9-2015;23;24
1;1.2;5,144293271;52,09557255;8-9-2015;0;13
1;1.2;5,144293271;52,09557255;8-9-2015;1;0
1;1.2;5,144293271;52,09557255;8-9-2015;2;3
1;1.2;5,144293271;52,09557255;8-9-2015;3;8
1;1.2;5,144293271;52,09557255;8-9-2015;4;1
1;1.2;5,144293271;52,09557255;8-9-2015;5;23
1;1.2;5,144293271;52,09557255;8-9-2015;6;85
1;1.2;5,144293271;52,09557255;8-9-2015;7;147
1;1.2;5,144293271;52,09557255;8-9-2015;8;175
1;1.2;5,144293271;52,09557255;8-9-2015;9;160
1;1.2;5,144293271;52,09557255;8-9-2015;10;100
1;1.2;5,144293271;52,09557255;8-9-2015;11;121
1;1.2;5,144293271;52,09557255;8-9-2015;12;110
1;1.2;5,144293271;52,09557255;8-9-2015;13;118
1;1.2;5,144293271;52,09557255;8-9-2015;14;131
1;1.2;5,144293271;52,09557255;8-9-2015;15;170
1;1.2;5,144293271;52,09557255;8-9-2015;16;260
1;1.2;5,144293271;52,09557255;8-9-2015;17;286
1;1.2;5,144293271;52,09557255;8-9-2015;18;174
1;1.2;5,144293271;52,09557255;8-9-2015;19;89
1;1.2;5,144293271;52,09557255;8-9-2015;20;52
1;1.2;5,144293271;52,09557255;8-9-2015;21;74
1;1.2;5,144293271;52,09557255;8-9-2015;22;54
1;1.2;5,144293271;52,09557255;8-9-2015;23;26
1;1.2;5,144293271;52,09557255;9-9-2015;0;14
1;1.2;5,144293271;52,09557255;9-9-2015;1;0
1;1.2;5,144293271;52,09557255;9-9-2015;2;4
1;1.2;5,144293271;52,09557255;9-9-2015;3;5
1;1.2;5,144293271;52,09557255;9-9-2015;4;5
1;1.2;5,144293271;52,09557255;9-9-2015;5;19
1;1.2;5,144293271;52,09557255;9-9-2015;6;88
1;1.2;5,144293271;52,09557255;9-9-2015;7;146
1;1.2;5,144293271;52,09557255;9-9-2015;8;173
1;1.2;5,144293271;52,09557255;9-9-2015;9;131
1;1.2;5,144293271;52,09557255;9-9-2015;10;123
1;1.2;5,144293271;52,09557255;9-9-2015;11;116
1;1.2;5,144293271;52,09557255;9-9-2015;12;121
1;1.2;5,144293271;52,09557255;9-9-2015;13;112
1;1.2;5,144293271;52,09557255;9-9-2015;14;121
1;1.2;5,144293271;52,09557255;9-9-2015;15;152
1;1.2;5,144293271;52,09557255;9-9-2015;16;212
1;1.2;5,144293271;52,09557255;9-9-2015;17;235
1;1.2;5,144293271;52,09557255;9-9-2015;18;182
1;1.2;5,144293271;52,09557255;9-9-2015;19;88
1;1.2;5,144293271;52,09557255;9-9-2015;20;65
1;1.2;5,144293271;52,09557255;9-9-2015;21;73
1;1.2;5,144293271;52,09557255;9-9-2015;22;57
1;1.2;5,144293271;52,09557255;9-9-2015;23;26
1;1.2;5,144293271;52,09557255;10-9-2015;0;19
1;1.2;5,144293271;52,09557255;10-9-2015;1;0
1;1.2;5,144293271;52,09557255;10-9-2015;3;8
1;1.2;5,144293271;52,09557255;10-9-2015;4;3
1;1.2;5,144293271;52,09557255;10-9-2015;5;24
1;1.2;5,144293271;52,09557255;10-9-2015;6;83
1;1.2;5,144293271;52,09557255;10-9-2015;7;148
1;1.2;5,144293271;52,09557255;10-9-2015;8;175
1;1.2;5,144293271;52,09557255;10-9-2015;9;130
1;1.2;5,144293271;52,09557255;10-9-2015;10;110
1;1.2;5,144293271;52,09557255;10-9-2015;11;114
1;1.2;5,144293271;52,09557255;10-9-2015;12;130
1;1.2;5,144293271;52,09557255;10-9-2015;13;135
1;1.2;5,144293271;52,09557255;10-9-2015;14;158
1;1.2;5,144293271;52,09557255;10-9-2015;15;159
1;1.2;5,144293271;52,09557255;10-9-2015;16;275
1;1.2;5,144293271;52,09557255;10-9-2015;17;329
1;1.2;5,144293271;52,09557255;10-9-2015;18;217
1;1.2;5,144293271;52,09557255;10-9-2015;19;100
1;1.2;5,144293271;52,09557255;10-9-2015;20;77
1;1.2;5,144293271;52,09557255;10-9-2015;21;66
1;1.2;5,144293271;52,09557255;10-9-2015;22;52
1;1.2;5,144293271;52,09557255;10-9-2015;23;23
1;1.2;5,144293271;52,09557255;11-9-2015;0;37
1;1.2;5,144293271;52,09557255;11-9-2015;1;0
1;1.2;5,144293271;52,09557255;11-9-2015;2;3
1;1.2;5,144293271;52,09557255;11-9-2015;3;4
1;1.2;5,144293271;52,09557255;11-9-2015;4;9
1;1.2;5,144293271;52,09557255;11-9-2015;5;14
1;1.2;5,144293271;52,09557255;11-9-2015;6;64
1;1.2;5,144293271;52,09557255;11-9-2015;7;115
1;1.2;5,144293271;52,09557255;11-9-2015;8;143
1;1.2;5,144293271;52,09557255;11-9-2015;9;101
1;1.2;5,144293271;52,09557255;11-9-2015;10;89
1;1.2;5,144293271;52,09557255;11-9-2015;11;126
1;1.2;5,144293271;52,09557255;11-9-2015;12;134
1;1.2;5,144293271;52,09557255;11-9-2015;13;142
1;1.2;5,144293271;52,09557255;11-9-2015;14;152
1;1.2;5,144293271;52,09557255;11-9-2015;15;198
1;1.2;5,144293271;52,09557255;11-9-2015;16;214
1;1.2;5,144293271;52,09557255;11-9-2015;17;268
1;1.2;5,144293271;52,09557255;11-9-2015;18;139
1;1.2;5,144293271;52,09557255;11-9-2015;19;86
1;1.2;5,144293271;52,09557255;11-9-2015;20;71
1;1.2;5,144293271;52,09557255;11-9-2015;21;70
1;1.2;5,144293271;52,09557255;11-9-2015;22;52
1;1.2;5,144293271;52,09557255;11-9-2015;23;52
1;1.2;5,144293271;52,09557255;12-9-2015;0;31
