objectid;level_name;geo_shape;geo_point_2d
115;punt-plus;"{""coordinates"": [5.477544964369312, 51.43363969222965], ""type"": ""Point""}";51.43363969222965, 5.477544964369312
116;punt-plus;"{""coordinates"": [5.4750563678874045, 51.43176943924178], ""type"": ""Point""}";51.43176943924178, 5.4750563678874045
122;punt-plus;"{""coordinates"": [5.490330700978679, 51.43686111380566], ""type"": ""Point""}";51.43686111380566, 5.490330700978679
131;punt-plus;"{""coordinates"": [5.473134709873555, 51.435192463854975], ""type"": ""Point""}";51.435192463854975, 5.473134709873555
137;punt-plus;"{""coordinates"": [5.47658781294485, 51.43777926559013], ""type"": ""Point""}";51.43777926559013, 5.47658781294485
143;punt-plus;"{""coordinates"": [5.491068434150977, 51.46132333322266], ""type"": ""Point""}";51.46132333322266, 5.491068434150977
147;punt-plus;"{""coordinates"": [5.473133983790109, 51.45012908618233], ""type"": ""Point""}";51.45012908618233, 5.473133983790109
152;punt-plus;"{""coordinates"": [5.488513659034253, 51.420743586467], ""type"": ""Point""}";51.420743586467, 5.488513659034253
156;punt-plus;"{""coordinates"": [5.503866982323857, 51.425685168434114], ""type"": ""Point""}";51.425685168434114, 5.503866982323857
166;punt-plus;"{""coordinates"": [5.446485505676936, 51.42158828689092], ""type"": ""Point""}";51.42158828689092, 5.446485505676936
168;punt-plus;"{""coordinates"": [5.461636733736598, 51.42305160028348], ""type"": ""Point""}";51.42305160028348, 5.461636733736598
2;punt-plus;"{""coordinates"": [5.449388242572466, 51.48424006875186], ""type"": ""Point""}";51.48424006875186, 5.449388242572466
3;punt-plus;"{""coordinates"": [5.463299847615525, 51.470796687043915], ""type"": ""Point""}";51.470796687043915, 5.463299847615525
5;punt-plus;"{""coordinates"": [5.471538232130299, 51.46618646779206], ""type"": ""Point""}";51.46618646779206, 5.471538232130299
6;punt-plus;"{""coordinates"": [5.479973657092896, 51.466466051236246], ""type"": ""Point""}";51.466466051236246, 5.479973657092896
11;punt-plus;"{""coordinates"": [5.461949638627976, 51.4804728099575], ""type"": ""Point""}";51.4804728099575, 5.461949638627976
12;punt-plus;"{""coordinates"": [5.4738210234176305, 51.47030201960606], ""type"": ""Point""}";51.47030201960606, 5.4738210234176305
15;punt-plus;"{""coordinates"": [5.471192925193674, 51.482489603935655], ""type"": ""Point""}";51.482489603935655, 5.471192925193674
17;punt-plus;"{""coordinates"": [5.473816620555847, 51.488875063762165], ""type"": ""Point""}";51.488875063762165, 5.473816620555847
22;punt-plus;"{""coordinates"": [5.4956284300815685, 51.470872489654994], ""type"": ""Point""}";51.470872489654994, 5.4956284300815685
27;punt-plus;"{""coordinates"": [5.465622464602414, 51.4631101009849], ""type"": ""Point""}";51.4631101009849, 5.465622464602414
31;punt-plus;"{""coordinates"": [5.410276986937541, 51.46211913040496], ""type"": ""Point""}";51.46211913040496, 5.410276986937541
34;punt-plus;"{""coordinates"": [5.439521464706644, 51.438299088027385], ""type"": ""Point""}";51.438299088027385, 5.439521464706644
