ID,STANDPLAATSNUMMER,HOOFDBRANCHE_1,HOOFDBRANCHE_2,SUBBRANCHE_1,SUBBRANCHE_2,MARKTDAG,OPPERVLAKTE_ACHTERRUIMTE_M2,OPPERVLAKTE_MARKT_STANDPLAATS,OPPERVLAKTE_OPSLAGUNIT_M2,OPPERVLAKTE_VOORRUIMTE_M2
20029,6.62,,,4.02 - Huishoudelijke gebruiksvoorwerpen,,VRIJDAG,15,23,,8
20028,6.61,Mens en mode,,4.15 - Gebruikte artikelen,3.14 - Gebruikte kleding,VRIJDAG,15,23,,8
20027,6.60,Mens en mode,,4.15 - Gebruikte artikelen,3.14 - Gebruikte kleding,VRIJDAG,15,23,,8
20026,6.59,,,4.06 - Woninginrichting en decoratie,,VRIJDAG,15,23,,8
20025,6.58,,,,,VRIJDAG,15,23,,8
20024,6.57,,,3.11 - Schoeisel,,VRIJDAG,15,23,,8
20023,6.56,,,,,VRIJDAG,15,23,,8
20022,6.55,,,,,VRIJDAG,15,23,,8
20021,6.54,,,,,VRIJDAG,15,23,,8
20020,6.53,,,,,VRIJDAG,15,23,,8
20019,6.52,,,,,VRIJDAG,15,23,,8
20018,6.51,,,,,VRIJDAG,15,23,,8
20017,6.50,Wonen en leven,,3.14 - Gebruikte kleding,4.15 - Gebruikte artikelen,VRIJDAG,15,23,,8
20016,6.49,Wonen en leven,,3.14 - Gebruikte kleding,4.15 - Gebruikte artikelen,VRIJDAG,15,23,,8
20015,6.48,Wonen en leven,,"4.01 - Electronica, beeld en geluiddragers",4.10 - Bed- en badlinnen,VRIJDAG,15,23,,8
20014,6.47,,,,,VRIJDAG,15,23,,8
20013,6.46,Mens en mode,,4.14 - Gereedschappen en motortechnische- en rijwielonderdelen,"3.07 - Drogisterij, parfumerie en make-up",VRIJDAG,15,23,,8
20012,6.45,,,,,VRIJDAG,15,23,,8
20011,6.44,,,,,VRIJDAG,15,23,,8
20010,6.43,Mens en mode,,3.02 - Dames bovenkleding,"3.03 - Baby, kleuter en kinderkleding tot maat 176",VRIJDAG,15,23,,8
20009,6.42,Mens en mode,,3.02 - Dames bovenkleding,"3.03 - Baby, kleuter en kinderkleding tot maat 176",VRIJDAG,15,23,,8
20008,6.41,,,3.14 - Gebruikte kleding,,VRIJDAG,15,23,,8
20007,6.40,,,3.14 - Gebruikte kleding,,VRIJDAG,15,23,,8
20006,6.39,Wonen en leven,,"4.13 - Oude boeken, prenten, postzegels en oude munten",4.15 - Gebruikte artikelen,VRIJDAG,15,23,,8
