GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,REGIO_NAAM,REGIO_AFKORTING,CONTRACTGEBIED_NAAM,CONTRACTGEBIED_NR,CONTRACTGEBIED_TYPE,PGO_GEBIED_NAAM,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,TECHNIEKVELD,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,BEWEEGBAAR,BGTBRONHOUDER,BGTBRONHOUDERCODE,BGTSTATUS,NAAM,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,PUIC,RELATIEVEHOOGTELIGGING,STATUS,TIJDSTIP_REGISTRATIE,WEGNAAM,ID,Shape__Area,Shape__Length
625,b,625,625_b,Lage Zwaluwe,Bd-Rtd,Breda - Rotterdam Centraal ,17.280393,"17,280393",Zuid,Z,Roosendaal,19,KUNSTWERKEN,Zeeland,104081.903948,413728.3175,51.7099919012635,4.65048609315773,KUNSTWERKEN,Zuid,Z,Nee,Prorail,L0004,bestaand,,13.126134,283,87e780d75a8b47e38d6a6e92e395070b,0,gerealiseerd,2020/07/27 05:58:20+00,,6062981,0,0
135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,17.02318,"17,023180",Randstad Noord,RN,Weesp,11,KUNSTWERKEN,Amstelsepoort,145314.720932,487664.417,52.3767645869659,5.24497055808216,KUNSTWERKEN,Randstad Noord,RN,Nee,Prorail,L0004,bestaand,,1774.070172,283,37cae60c0ec7451390902593fc14c6d2,1,gerealiseerd,2015/05/20 14:51:27+00,,6063863,0,0
135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,12.971058,"12,971058",Randstad Noord,RN,Weesp,11,KUNSTWERKEN,Amstelsepoort,141525.68255,486598.1825,52.3671019238928,5.18936939289488,KUNSTWERKEN,Randstad Noord,RN,Nee,Prorail,L0004,bestaand,,388.168889,283,0cb631799eb74568a4c43404d877b5fd,1,gerealiseerd,2015/05/20 14:51:27+00,,6063907,0,0
135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,15.332361,"15,332361",Randstad Noord,RN,Weesp,11,KUNSTWERKEN,Amstelsepoort,143518.417153,487492.668,52.3751863899225,5.21859679168086,KUNSTWERKEN,Randstad Noord,RN,Nee,Prorail,L0004,bestaand,,9975.022793,283,232420b0e11b4701a332bbd3ebfd7cd1,1,gerealiseerd,2020/09/18 16:16:12+00,,6064336,0,0
060,,60,060__,Roermond - Venlo,Mt-Vl,Maastricht - Venlo ,65.760456,"65,760456",Zuid,Z,Venlo,27,KUNSTWERKEN,De Peel,207687.937819,372496.1945,51.339232601155,6.14333110299695,KUNSTWERKEN,Zuid,Z,Nee,Prorail,L0004,bestaand,,570.614943,283,30d551c1bdd242f899e770465fd3d628,1,gerealiseerd,2021/08/12 14:49:37+00,,6064354,0,0
217,,217,217__,Hoorn - Enkhuizen,Zd-Ekz,Zaandam - Enkhuizen ,34.809141,"34,809141",Randstad Noord,RN,Heerhugowaard,6,KUNSTWERKEN,Hollands Noorderkwartier,134522.8095,518451.546017,52.6531578885551,5.08459757704485,KUNSTWERKEN,Randstad Noord,RN,Nee,Prorail,L0004,bestaand,,118.508538,283,e87af8ebd9dc4a01aa09d30c0b827317,1,gerealiseerd,2021/10/27 09:53:24+00,,6064818,0,0
161,,161,161__,Lelystad Industrieterrein - Hattemerbroek,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,34.138658,"34,138658",Noord-Oost,NO,Gelderland,33,KUNSTWERKEN,Veluwe,190692.377,505169.17812,52.5330057006021,5.91322522682081,KUNSTWERKEN,Noord-Oost,NO,Nee,Prorail,L0004,bestaand,,168.21978,283,22525f5ab55a4ed688e43a9860eb40ff,1,gerealiseerd,2017/11/20 10:52:45+00,,6065472,0,0
203,,203,203__,Mariënberg - Emmen,Hea-Emn,Herfte Aansl. - Emmen ,70.036817,"70,036817",Noord-Oost,NO,Overijssel,34,KUNSTWERKEN,Drenthe,255431.4845,530091.959719,52.7488619868044,6.87467098121522,KUNSTWERKEN,Noord-Oost,NO,Nee,Prorail,L0004,bestaand,,562.862396,283,9bdc20fe20114c5da5defd1c67c04f9c,1,gerealiseerd,2015/08/07 13:57:01+00,,6066227,0,0
116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,Bd-Rtd,Breda - Rotterdam Centraal ,31.32783,"31,327830",Randstad Zuid,RZ,Dordrecht,5,KUNSTWERKEN,Dordrecht,103724.705232,425333.6115,51.8142654922896,4.64360246356644,KUNSTWERKEN,Randstad Zuid,RZ,Nee,Prorail,L0004,bestaand,,887.894505,283,ad0a48b2ce8243b797e5af9f80f06cc7,1,gerealiseerd,2015/10/27 12:56:01+00,,6066503,0,0
625,b,625,625_b,Lage Zwaluwe,Bd-Rtd,Breda - Rotterdam Centraal ,17.296907,"17,296907",Zuid,Z,Roosendaal,19,KUNSTWERKEN,Zeeland,104070.447168,413745.075,51.710141473201,4.65031788779428,KUNSTWERKEN,Zuid,Z,Nee,Prorail,L0004,bestaand,,26.989175,283,7ae8d10a6995479b8c76b08e70c73000,0,gerealiseerd,2020/07/27 05:58:20+00,,6067148,0,0
