AreaManagerId,AreaId,Location,AreaDesc,StartDataArea,EndDataArea,UsageId
342,342_PRSDK,"(52.183839814, 5.298991097)",Station Soestdijk (Soest),20150831,29991231,PARKRIDE
342,342_PREIK,"(52.165863946, 5.304369016)",Station Soest-Zuid Eikenlaan (Soest),20150831,29991231,PARKRIDE
762,762_PRDEU,"(51.455671232, 5.788892952)",P+R Station Deurne (Deurne),20150615,29991231,PARKRIDE
762,762_PRDEU,"(51.455835222, 5.787426684)",P+R Station Deurne (Deurne),20150615,29991231,PARKRIDE
362,362_PRSPI,"(52.283916936, 4.83825191)",P+R Spinnerij (Amstelveen),20150505,29991231,PARKRIDE
502,502_PRTER,"(51.936677922, 4.602216521)",P+R De Terp (Capelle aan den IJssel),20150603,29991231,PARKRIDE
597,597_PRFER,"(51.886134151, 4.617867086)",P+R Ridderkerk Fast Ferry (Ridderkerk),20150819,29991231,PARKRIDE
396,396_PRHEE,"(52.494412839, 4.685077988)",P+R Heemskerk (Heemskerk),20150708,29991231,PARKRIDE
2448,994_SPOOR,"(50.869517406, 5.831922532)",P+R Spoorlaan (Valkenburg aan de Geul),20140101,29991231,PARKRIDE
502,502_PRSCH,"(51.954444368, 4.582390304)",P+R Schollevaar (Capelle aan den IJssel),20150603,29991231,PARKRIDE
523,523_PRHAR,"(51.830131176, 4.833658121)",P+R Hardinxveld-Giessendam (Hardinxveld-Giessendam),20150707,29991231,PARKRIDE
2448,951_PRSTA,"(50.919645495, 5.892367342)",P+R Stationsplein 1 (Nuth),20150803,29991231,PARKRIDE
1658,1658_PRHWE,"(51.385238038, 5.569082722)",P+R Station Heeze Westzijde (Heeze),20150901,29991231,PARKRIDE
342,342_PRBOS,"(52.164666262, 5.301257955)",P+R Station Soest-Zuid Bosstraat (Soest),20150831,29991231,PARKRIDE
2448,1507_PRHOR,"(51.427639919, 6.040664925)",P+R Horst-Sevenum (Hegelsom),20150731,29991231,PARKRIDE
2448,756_PRBOX,"(51.644242047, 5.939861517)",P+R Boxmeer (Boxmeer),20150526,29991231,PARKRIDE
2448,882_PRLAN,"(50.895901304, 6.018912504)",P+R Stationsstraat (Landgraaf),20150731,29991231,PARKRIDE
166,166_PRKZU,"(52.532433131, 5.916370803)",P+R Station Kampen-Zuid (Kampen),20150723,29991231,PARKRIDE
2448,177_PRHEI,"(52.427288247, 6.221912952)",P+R Heino (Heino),20150730,29991231,PARKRIDE
610,610_PRSLD,"(51.829803641, 4.775911682)",P+R Station Sliechdrecht Westzijde (Sliedrecht),20150831,29991231,PARKRIDE
542,542_PRKRI,"(51.912647937, 4.590844547)",P+R Busstation Krimpen aan den IJssel (Krimpen aan den IJssel),20150727,29991231,PARKRIDE
268,268_PRNOO,"(51.883930415, 5.860118528)",P+R Nijmegen-Noord (Nijmegen),20150813,29991231,PARKRIDE
147,147_PRBOR,"(52.299585742, 6.748227688)",P+R Borne (Borne),20150526,29991231,PARKRIDE
513,513_PRGOV,"(52.014665109, 4.741330227)",P+R Gouda Goverwelle (Gouda),20150625,29991231,PARKRIDE
230,230_PRHAR,"(52.408186063, 5.891965639)",P+R Station 't Harde ('t Harde),20150810,29991231,PARKRIDE
534,534_PRHIL,"(52.303868049, 4.567393981)",P+R Hillegom (Hillegom),20150713,29991231,PARKRIDE
917,917_PRHOE,"(50.905894771, 5.930006729)",P+R Hoensbroek (Hoensbroek),20150709,29991231,PARKRIDE
2448,1895_PRSTA,"(53.139483244, 7.034225431)",P+R Stationsweg (Winschoten),20150804,29991231,PARKRIDE
399,399_PRHEI,"(52.600142881, 4.700721942)",P+R Heiloo (Heiloo),20150709,29991231,PARKRIDE
1911,1911_PRSTA,"(52.867507926, 4.811593608)",P+R Stationsweg (Anna Paulowna),20150714,29991231,PARKRIDE
2448,988_PARA,"(51.249161865, 5.698909485)",P+R Parallelweg (Weert),20140101,29991231,PARKRIDE
222,222_PRWEH,"(51.957383908, 6.213173822)",P+R Station Wehl (Wehl),20150722,29991231,PARKRIDE
1916,1916_PRVOO,"(52.0674, 4.358931101)",P+R Station Voorburg (Voorburg),20150729,29991231,PARKRIDE
2448,498_PRSTA,"(52.690555418, 5.182289594)",P+R Stationslaan (Hoogkarspel),20150618,29991231,PARKRIDE
398,398_PRSTA,"(52.669805159, 4.825078662)",P+R Stationsplein (Heerhugowaard),20150709,29991231,PARKRIDE
753,753_PRSPO,"(51.508867322, 5.389279444)",P+R Spoorstraat (Best),20150520,29991231,PARKRIDE
307,307_PRVAT,"(52.192080723, 5.434739022)",P+R Station Vathorst (Amersfoort),20150505,29991231,PARKRIDE
2448,236_PRGOO,"(51.883607949, 5.27355458)",P+R Geldermalsen-Oost (Geldermalsen),20150623,29991231,PARKRIDE
784,784_PRGIL,"(51.583847055, 4.926634238)",P+R Station Gilze-Rijen (Rijen),20150814,29991231,PARKRIDE
312,312_PRBUN,"(52.063616212, 5.195788357)",P+R Bunnik (Bunnik),20150602,29991231,PARKRIDE
1904,1904_PRMAA,"(52.136728535, 5.030959938)",P+R Station Maarssen (Maarssen),20150902,29991231,PARKRIDE
2448,177_PRRAA,"(52.391147203, 6.277782449)",P+R Stationsplein (Raalte),20150803,29991231,PARKRIDE
1621,1621_PRROD,"(51.990324747, 4.453156735)",P+R Rodenrijs (Berkel en Rodenrijs),20150727,29991231,PARKRIDE
1891,1891_PRVEE,"(53.235437974, 5.989386214)",P+R Station Veenwouden (Feanwâlden),20150615,29991231,PARKRIDE
610,610_PRSLI,"(51.829056591, 4.779666172)",P+R Station Sliedrecht Oostzijde (Sliedrecht),20150828,29991231,PARKRIDE
1916,1916_PRLOO,"(52.082844105, 4.365721531)",P+R Station Voorburg 't Loo Wilgendreef (Voorburg),20150729,29991231,PARKRIDE
2448,1773_PRBER,"(52.392313794, 6.142344389)",P+R Prins Bernhardlaan (Wijhe),20150804,29991231,PARKRIDE
502,502_PRSLO,"(51.928451431, 4.580098297)",P+R Slotlaan (Capelle aan den IJssel),20150603,29991231,PARKRIDE
489,489_PRBAR,"(51.855717945, 4.552929351)",P+R Barendrecht NS (Barendrecht),20150507,29991231,PARKRIDE
213,213_PRVOO,"(52.157736192, 6.144061162)",P+R Voorst-Empe (Empe),20150602,29991231,PARKRIDE
400,400_PRBUR,"(52.933053846, 4.762458503)",P+R Burgemeester Ritmeesterweg (Den Helder),20150615,29991231,PARKRIDE
2448,262_PRSTA,"(52.166488611, 6.426060952)",P+R Stationsplein (Lochem),20150731,29991231,PARKRIDE
398,398_PRWES,"(52.670345792, 4.82959573)",P+R Westtangent (Heerhugowaard),20150709,29991231,PARKRIDE
166,166_PRKAM,"(52.560480805, 5.922616504)",P+R Station Kampen (Kampen),20150723,29991231,PARKRIDE
556,556_PRMWE,"(51.926585849, 4.235751083)",P+R Station Maassluis-West (Maassluis),20150806,29991231,PARKRIDE
2448,114_PRNAM,"(52.718082035, 6.849152239)",P+R Nieuw-Amsterdam (Veenoord),20150622,29991231,PARKRIDE
2448,772_PRFUUT,"(51.442564448, 5.485851352)",P+R Fuutlaan (Eindhoven),20130919,29991231,PARKRIDE
2448,1684_PRBON,"(51.727953843, 5.87286079)",P+R Bontestraat (Cuijk),20150604,29991231,PARKRIDE
1525,1525_PRSAS,"(52.215680558, 4.516648047)",P+R Station Sassenheim (Warmond),20150902,29991231,PARKRIDE
268,268_PRWES,"(51.837290701, 5.800741857)",P+R Nijmegen-West (Nijmegen),20150813,29991231,PARKRIDE
2448,160_PRHAR,"(52.572910994, 6.627776388)",P+R Hardenberg (Hardenberg),20150730,29991231,PARKRIDE
1525,1525_PRVOO,"(52.225188763, 4.484700108)",P+R Station Voorhout (Voorhout),20150902,29991231,PARKRIDE
1916,1916_PRSMA,"(52.08139744, 4.36631484)",P+R Station Voorburg 't Loo Sint Martinuslaan (Voorburg),20150729,29991231,PARKRIDE
2448,98_PRSTA,"(52.879819536, 6.004640915)",P+R Stationsweg (Wolvega),20150805,29991231,PARKRIDE
2448,479_PRPRO,"(52.441609267, 4.812367309)",P+R Provincialeweg (Zaandam),20150805,29991231,PARKRIDE
441,441_PRSCH,"(52.783900998, 4.805808563)",P+R Station Schagen Oostzijde (Schagen),20150826,29991231,PARKRIDE
2448,308_PRHEU,"(52.207132614, 5.283358356)",P+R Luitenant Generaal van Heutszlaan (Baarn),20150506,29991231,PARKRIDE
2448,637_PRZOO,"(52.046720969, 4.492307645)",P+R Zoetermeer-Oost (Zoetermeer),20150805,29991231,PARKRIDE
388,388_PRSTA,"(52.699974316, 5.287666389)",P+R Station Enkhuizen (Enkhuizen),20150622,29991231,PARKRIDE
503,503_PRDZU,"(51.989430566, 4.365931377)",P+R Delft-Zuid (Delft),20150610,29991231,PARKRIDE
1926,1926_PRPZU,"(52.005266604, 4.4471305)",P+R Station Pijnacker-Zuid (Pijnacker),20150818,29991231,PARKRIDE
383,383_PRKRA,"(52.545871441, 4.658331573)",P+R Kramersweg (Castricum),20150603,29991231,PARKRIDE
2448,233_PRDOK,"(52.301291811, 5.614938524)",P+R Dokter van Dalelaan (Ermelo),20150730,29991231,PARKRIDE
2448,983_PRLAE,"(51.37189735, 6.15431584)",P+R Van Laerstraat (Blerick),20150729,29991231,PARKRIDE
