FID;Beheer;Aanlegjaar;X;Y;Naam_NL;Objectcode;Boomsoort
0;bomen in verharding;1979;111037,320500000000000;426945,759900000000000;Noorse esdoorn;WW3 - 0907 / 0042;Acer platanoides 'Globosum'
1;knotbomen;1950;110950,303700000000000;426870,464700000010000;Italiaanse populier;WW3 - 0907 / 0383;Populus nigra 'Italica'
2;knotbomen;1950;110950,790900000010000;426871,633900000020000;Italiaanse populier;WW3 - 0907 / 0384;Populus nigra 'Italica'
3;bomen in gras;2000;110673,331900000000000;426979,521699999980000;Japanse els, Kaukasische els;WW3 - 0908 / 0159;Alnus spaethii
4;bomen in gras;0;109973,048100000000000;426670,872399999990000;Witte paardenkastanje;WW4 - 0101 / 0050;Aesculus hippocastanum
5;knotbomen;1950;110951,472899999990000;426872,803000000010000;Italiaanse populier;WW3 - 0907 / 0385;Populus nigra 'Italica'
6;bomen in gras;2000;110684,017800000000000;426993,813399999980000;Japanse els, Kaukasische els;WW3 - 0908 / 0157;Alnus spaethii
7;knotbomen;1950;110952,739500000000000;426874,751600000020000;Italiaanse populier;WW3 - 0907 / 0387;Populus nigra 'Italica'
8;bomen in gras;0;109981,946000000000000;426667,135200000020000;Bruine beuk;WW4 - 0101 / 0051;Fagus sylvatica 'Atropunicea'
9;bomen in gras;2000;110691,229200000000000;427003,778200000000000;Japanse els, Kaukasische els;WW3 - 0908 / 0156;Alnus spaethii
10;knotbomen;1950;110953,324100000000000;426876,018199999990000;Italiaanse populier;WW3 - 0907 / 0388;Populus nigra 'Italica'
11;bomen in beplanting;0;110190,256899999990000;426562,207899999980000;Californische esdoorn;WW4 - 0101 / 0054;Acer negundo
12;knotbomen;1950;110954,006100000000000;426877,187400000000000;Italiaanse populier;WW3 - 0907 / 0390;Populus nigra 'Italica'
13;bomen in beplanting;2000;110708,118600000000000;426996,050500000010000;Gewone els, Zwarte els;WW3 - 0908 / 0186;Alnus glutinosa
14;knotbomen;1950;110955,662400000000000;426880,987100000030000;Italiaanse populier;WW3 - 0907 / 0392;Populus nigra 'Italica'
15;bomen in beplanting;2000;110705,020999999990000;426991,551600000010000;Gewone els, Zwarte els;WW3 - 0908 / 0187;Alnus glutinosa
