PROJECT,PEILBUIS_N,DATUM,PEILSTAND,OPMERKING,NAP,TOV_NAP,PBN_ID,ObjectId
AssenZuid,102,2013/01/15 23:00:00+00,-1,,11.01,10.01,22031380,1
AssenZuid,15.2,2012/06/06 22:00:00+00,-2.43,,13.1,10.67,22900008,2
AssenZuid,11,2014/07/02 22:00:00+00,-1.82,,11.93,13.75,22031421,3
AssenZuid,2,2012/07/25 22:00:00+00,-1.49,,11.7,10.21,22031433,4
AssenZuid,10,2013/02/13 23:00:00+00,-1.56,,12.04,10.48,22031381,5
AssenZuid,14,2014/02/26 23:00:00+00,-1.35,,12.97,11.62,22900001,6
AssenZuid,102,2013/02/13 23:00:00+00,-0.98,,11.01,10.03,22031380,7
AssenZuid,11,2014/07/14 22:00:00+00,-0.91,,11.93,12.84,22031421,8
AssenZuid,2,2012/09/26 22:00:00+00,-1.44,,11.7,10.26,22031433,9
AssenZuid,11,2014/08/13 22:00:00+00,-2,,11.93,13.93,22031421,10
AssenZuid,15.2,2012/06/26 22:00:00+00,-2.3,,13.1,10.8,22900008,11
AssenZuid,102,2013/03/13 23:00:00+00,-0.98,,11.01,10.03,22031380,12
AssenZuid,14,2014/03/12 23:00:00+00,-1.59,,12.97,11.38,22900001,13
AssenZuid,2,2012/10/30 23:00:00+00,-1.2,,11.7,10.5,22031433,14
AssenZuid,11,2014/08/27 22:00:00+00,-1.9,,11.93,13.83,22031421,15
AssenZuid,10,2013/03/13 23:00:00+00,-1.67,,12.04,10.37,22031381,16
AssenZuid,11,2010/04/13 22:00:00+00,-1.54,,11.93,10.39,22031421,17
AssenZuid,15.2,2012/07/25 22:00:00+00,-2.41,,13.1,10.69,22900008,18
AssenZuid,14,2014/03/26 23:00:00+00,-1.46,,12.97,11.51,22900001,19
AssenZuid,2,2012/11/20 23:00:00+00,-1.2,,11.7,10.5,22031433,20
AssenZuid,10,2013/04/10 22:00:00+00,-1.79,,12.04,10.25,22031381,21
AssenZuid,11,2014/09/10 22:00:00+00,-1.91,,11.93,10.02,22031421,22
AssenZuid,11,2011/02/16 23:00:00+00,-1.2,0 meting,11.93,10.73,22031421,23
AssenZuid,14,2014/04/09 22:00:00+00,-1.68,,12.97,11.29,22900001,24
AssenZuid,2,2012/12/18 23:00:00+00,-1.03,,11.7,10.67,22031433,25
