FID,omschr,beginwdl,beginkm,eindwdl,eindkm,kantcode,wegnummer,fk_veld4,izi_side,ibn,vnrwol,max_snelh,gdb_geomattr_data,shape
kantstroken_kenmerk.1,Vluchtstrook,R,49.26100159,R,49.88800049,T,006,KLK0006321090,L,I,4,,,"LINESTRING (142656.745099999 485058.4967, 142649.76000000164 485055.7978999987, 142551.4935999997 485016.4277999997, 142491.8035000004 484990.39279999956, 142429.2558999993 484961.34149999917, 142392.58449999988 484943.87889999896, 142339.87939999998 484915.62139999866, 142279.23680000007 484883.8713000007, 142235.73919999972 484860.53500000015, 142213.0379000008 484847.9937000014, 142086.3552000001 484778.77859999985)"
kantstroken_kenmerk.2,Puntstuk,R,52.01599884,R,52.05699921,T,006,KLK0006321112,L,I,3,,,"LINESTRING (144785.00470000133 484995.89609999955, 144775.26799999923 484996.90150000155, 144744.44150000066 485001.78869999945)"
kantstroken_kenmerk.3,Vluchtstrook,R,52.05699921,R,52.95199966,T,006,KLK0006321113,L,I,4,,,"LINESTRING (145662.55000000075 485080.74819999933, 145621.73800000176 485068.31269999966, 145570.14409999922 485053.89290000126, 145550.16800000146 485048.99810000136, 145521.72529999912 485041.72199999914, 145497.25129999965 485035.9012000002, 145454.12409999967 485025.84699999914, 145410.33549999818 485017.3803000003, 145365.62079999968 485009.7074000016, 145321.96449999884 485002.9604999982, 145279.63100000098 484997.6688000001, 145222.87779999897 484990.9219000004, 145179.22150000185 484987.7468999997, 145160.70059999824 484986.55629999936, 145137.68180000037 484984.96880000085, 145094.42229999974 484983.11670000106, 145060.68789999932 484982.5876000002, 145024.307599999 484982.45529999956, 144980.65129999816 484982.9844000004, 144939.24390000105 484984.57189999893, 144898.36569999903 484986.55629999936, 144869.26150000095 484988.6730000004, 144817.1383999996 484993.30319999903, 144785.00470000133 484995.89609999955)"
kantstroken_kenmerk.4,Vluchtstrook,R,53.04999924,R,53.37599945,T,006,KLK0006321119,L,I,3,,,"LINESTRING (146050.2686999999 485253.37849999964, 145998.04239999875 485223.6235000007, 145925.01720000058 485185.7879999988, 145830.29619999975 485142.6607999988, 145757.53559999913 485114.08570000157, 145748.6662000008 485110.9728000015)"
kantstroken_kenmerk.5,Vluchtstrook,R,53.48400116,R,53.67599869,T,006,KLK0006321121,L,I,4,,,"LINESTRING (146299.6438000016 485409.8291000016, 146140.38850000128 485307.2320000008)"
kantstroken_kenmerk.6,Vluchtstrook,R,53.67599869,R,54.01100159,T,006,KLK0006321122,L,I,3,,,"LINESTRING (146299.6438000016 485409.8291000016, 146333.00549999997 485431.32180000097, 146458.94750000164 485515.1948999986, 146544.14350000024 485566.78869999945, 146577.34219999984 485577.7402999997)"
kantstroken_kenmerk.7,Vluchtstrook,R,48.93999863,R,49.26100159,T,006,KLK0006321193,L,I,2,,,"LINESTRING (141811.03920000046 484738.3969999999, 141811.11400000006 484730.94900000095, 141811.54899999872 484723.6579999998, 141817.44000000134 484706.7569999993, 141826.7109999992 484694.87900000066, 141836.12700000033 484687.7800000012, 141847.62000000104 484682.85500000045, 141859.98099999875 484680.5370000005, 141876.20600000024 484681.98600000143, 141889.05000000075 484685.84899999946, 141897.88699999824 484689.3740000017, 141921.73999999836 484701.1559999995, 141949.5540000014 484715.73900000006, 141973.3110000007 484726.7479999997, 142020.13859999925 484751.27650000155, 142064.8759999983 484771.23629999906, 142086.3552000001 484778.77859999985)"
kantstroken_kenmerk.8,Vluchtstrook,R,50.15499878,R,50.22499847,T,006,KLK0006321204,L,I,3,,,"LINESTRING (142968.77299999818 485193.3715999983, 142903.00420000032 485165.53079999983, 142901.54949999973 485164.91120000184)"
kantstroken_kenmerk.9,Puntstuk,R,49.90299988,R,49.9620018,H,006,KLK0006321027,R,I,4,,,"LINESTRING (142681.94619999826 485016.1959999986, 142737.4166000001 485036.29659999907)"
kantstroken_kenmerk.10,Puntstuk,R,51.93600082,R,52.07400131,H,006,KLK0006321039,R,I,3,,,"LINESTRING (144675.77739999816 484966.2633000016, 144762.7811000012 484952.6453000009, 144788.46869999915 484948.1121999994)"
