Nr;Stembureau;VVD;PvdA;PVV;SP;CDA;D66;CU;GL;SGP;PvdD;50+;OP;VNL;DENK;NW;FvD;DBB;VP;GP;PP;A1;NS;LP;LidK;Uitgebrachte stemmen;Blanco stemmen;Geldige stemmen;Ongeldige stemmen;Aantal kiezers;;
1;Stadhuis, ontvangstruimte trouwzaal;421;109;67;126;131;757;64;504;5;109;6;3;7;7;4;52;2;1;1;24;1;0;1;2;2404;3;2407;7;2414;;
2;Werkman College;105;41;29;71;40;214;19;218;2;59;8;0;1;4;0;16;0;0;0;9;1;1;0;1;839;4;843;2;845;;
3;Gemeente Groningen, Hanzeplein 120;120;46;21;53;31;125;15;137;2;47;4;1;1;2;0;22;0;0;0;9;0;1;0;0;637;0;637;0;637;;
4;Gemeente Groningen, Ged. Zuiderdiep 98;179;89;51;62;41;284;19;248;0;75;7;0;0;2;1;20;1;0;1;11;0;1;1;0;1093;1;1094;0;1094;;
6;St. Michaelschool, Butjesstraat 8;127;48;23;41;34;200;14;168;0;36;1;0;0;2;1;10;0;0;0;9;1;0;0;1;716;1;717;0;717;;
7;Hampshire Hotel - Groningen Centre, Radesingel;185;55;35;48;54;230;18;185;0;47;5;1;0;4;1;20;0;0;0;14;4;1;0;0;907;1;908;0;908;;
8;Harmoniecomplex RUG;298;55;21;46;72;557;30;372;4;63;4;2;3;3;3;22;0;0;0;6;2;0;1;1;1565;1;1566;0;1566;;
9;Remonstrantse kerk, Coehoornsingel 14;161;48;16;34;42;204;22;143;0;38;6;0;1;0;0;11;1;0;2;7;2;0;0;0;738;1;739;2;741;;
10;Activiteitencentrum De Holm;187;50;35;63;55;338;20;243;0;67;8;0;2;2;1;28;1;0;0;6;4;1;0;0;1111;2;1113;0;1113;;
11;Het Heerenhuis;136;37;14;31;24;179;13;153;0;26;1;2;2;1;1;14;0;0;0;2;3;1;0;1;641;0;641;0;641;;
12;Borgmanschool;192;104;39;91;58;368;47;442;1;141;4;1;1;2;2;26;0;1;0;11;3;0;0;0;1534;2;1536;4;1540;;
13;Het Paleis, Boterdiep 111;185;57;33;65;68;339;23;288;0;62;9;1;2;2;0;29;0;0;3;10;0;1;0;1;1178;1;1179;5;1184;;
14;Woonzorgcentrum De Ebbingepoort;74;72;26;59;36;137;19;131;0;32;4;0;3;0;0;12;0;0;1;2;1;1;0;1;611;6;617;0;617;;
16;Doopsgezinde kerk, Oude Boteringestraat 33;67;23;13;20;22;128;18;140;1;35;0;0;1;0;0;14;0;0;0;3;1;1;0;0;487;1;488;0;488;;
20;Leger des Heils, Dirk Huizingastraat 17;232;89;62;119;75;347;49;306;6;79;10;0;4;2;1;23;2;2;0;13;1;2;1;1;1426;1;1427;0;1427;;
21;Buurt- en speeltuinvereniging FEO;105;48;28;45;41;241;27;155;1;39;3;1;0;0;0;17;0;0;0;6;1;0;2;1;761;1;762;1;763;;
22;Woonzorgcentrum Oosterparkheem;110;84;78;118;57;203;45;162;4;45;15;0;2;4;2;13;1;0;0;4;5;1;0;1;954;1;955;5;960;;
23;Simon van Hasseltschool;67;70;99;147;35;142;18;138;3;81;27;0;3;5;0;23;1;0;2;5;3;0;1;0;870;1;871;3;874;;
24;Treslinghuis;43;44;108;157;22;89;15;128;3;58;5;0;1;4;1;17;0;0;1;11;3;0;0;1;711;4;715;7;722;;
25;Franciscuscentrum;37;50;87;129;28;74;21;106;2;40;13;0;2;0;0;11;1;0;2;8;5;0;0;1;617;3;620;2;622;;
26;OBS Siebe Jan Boumaschool;87;51;86;173;55;141;26;154;2;68;10;0;2;5;1;7;0;0;1;10;0;0;0;0;879;2;881;1;882;;
30;Rebound Groningen;156;62;21;87;57;289;40;237;1;74;6;2;1;3;0;24;1;0;0;5;1;1;0;0;1068;3;1071;0;1071;;
31;Baptistenkerk De Cirkel;134;70;31;92;64;335;57;331;3;77;5;1;3;0;0;21;0;0;0;15;2;0;2;0;1243;4;1247;8;1255;;
32;St. Micha‰lschool, Star Numanstraat 52;117;59;18;49;49;265;56;262;7;58;5;1;2;4;2;13;0;0;0;12;0;1;0;0;980;1;981;3;984;;
40;Basisschool De Kleine Wereld;80;26;33;77;50;156;33;162;0;39;5;1;4;2;0;17;0;0;0;6;4;1;1;0;697;1;698;0;698;;
42;Multicult. Vrouwencentrum Jasmijn;156;95;54;152;47;305;49;279;0;102;11;1;1;18;1;27;2;0;0;11;4;0;0;1;1316;1;1317;8;1325;;
43;Gymzaal Basisschool Karrepad;53;29;18;41;35;92;14;117;1;30;7;0;0;0;1;8;4;0;0;3;1;0;0;0;454;1;455;0;455;;
44;Gymzaal O.B.S. Karrepad;77;40;49;121;53;143;35;178;2;47;15;2;1;2;3;11;3;2;2;12;2;2;0;1;803;1;804;1;805;;
46;Verzorgingshuis Hamrikheem;85;69;123;172;38;110;33;111;3;54;29;1;1;3;1;13;0;0;0;13;1;0;0;0;860;3;863;3;866;;
47;CSG Wessel Gansfort;138;157;56;121;71;211;64;224;1;49;32;2;1;1;1;15;0;0;2;4;1;0;0;0;1151;2;1153;1;1154;;
48;Buurtcentrum Hunzeborgh;158;130;58;88;73;220;39;224;4;40;20;0;6;5;1;12;0;0;0;2;0;1;0;0;1081;0;1081;6;1087;;
50;Christelijk Centrum, Johan de Wittstraat 2;116;62;55;118;44;213;49;172;2;71;6;3;3;8;1;31;0;1;0;15;2;0;0;0;972;2;974;1;975;;
51;BSV De Hoogte;75;46;107;186;39;114;25;178;1;73;18;2;0;14;1;25;3;0;0;10;2;4;0;0;923;1;924;2;926;;
60;Dependance Nassauschool;130;156;39;106;64;254;41;313;0;55;15;1;1;1;1;11;0;0;0;6;1;0;0;0;1195;0;1195;0;1195;;
61;Buurtcentrum Oranjewijk;127;88;43;134;50;246;49;347;2;93;5;1;2;2;1;12;0;1;1;5;3;1;1;0;1214;1;1215;2;1217;;
62;Centrum De Poort, Moesstraat 20;174;130;59;109;63;351;45;421;2;115;9;1;5;3;1;35;1;0;1;6;0;0;2;0;1533;1;1534;5;1539;;
71;Buurtpand Op Mars;138;51;24;43;46;246;27;182;5;32;2;0;3;1;1;9;0;0;0;4;1;0;0;0;815;0;815;0;815;;
72;Noorderpoortcollege, Verl. Visserstraat 20;203;99;45;81;54;321;25;334;1;60;7;0;1;1;4;31;0;1;0;14;0;1;0;0;1283;4;1287;4;1291;;
74;MJD-Zorgloket;240;113;27;58;56;424;47;282;5;65;8;2;1;4;1;16;0;0;1;9;2;0;0;0;1361;2;1363;2;1365;;
76;University College of Groningen;187;55;22;54;77;358;44;230;5;50;3;0;1;1;0;20;1;1;0;11;2;0;0;1;1123;1;1124;1;1125;;
80;Columnakerk;107;76;40;62;45;162;47;164;0;62;7;3;1;0;0;14;1;0;0;9;2;3;0;1;806;2;808;2;810;;
81;BSO Schildersbuurt;74;75;32;108;31;157;25;181;0;52;5;2;0;1;2;6;0;0;0;8;2;0;0;0;761;1;762;1;763;;
100;Salvator Mariaparochie;145;128;62;111;102;214;68;216;4;56;9;0;1;4;4;22;1;0;1;10;0;1;1;0;1160;3;1163;1;1164;;
101;Sporthal De Wijert;99;70;69;115;57;163;46;141;3;51;12;0;3;10;2;18;4;0;0;6;2;1;0;0;872;2;874;3;877;;
102;Vondelflat;80;76;51;71;59;66;26;83;5;29;23;0;1;1;0;11;1;0;0;2;1;2;0;0;588;0;588;0;588;;
103;MFC De Wijert / Helpman;59;54;45;75;24;91;35;108;3;23;7;0;0;3;0;16;1;1;2;5;3;1;0;0;556;3;559;2;561;;
105;De Bolster;109;67;90;116;63;150;55;132;4;42;18;1;6;3;1;14;1;1;0;7;0;0;1;3;884;2;886;3;889;;
106;Basisschool De Tamarisk;228;76;21;48;74;192;43;138;2;18;10;1;1;0;0;22;1;0;0;11;1;2;0;0;889;2;891;2;893;;
107;Zuiderflat, Vestdijklaan;218;108;48;73;126;114;54;89;1;15;20;0;2;0;1;17;0;0;0;5;1;0;0;0;892;1;893;1;894;;
108;Brederoschool;239;107;26;52;93;254;53;172;3;41;10;0;1;0;1;8;1;0;3;1;1;0;0;0;1066;0;1066;2;1068;;
110;Basisschool Joseph Haydn;176;95;35;56;71;211;35;258;3;49;6;1;3;0;1;18;0;0;1;5;0;2;0;0;1026;1;1027;0;1027;;
111;BSV Helpman Oost;185;99;29;88;125;202;38;182;1;48;20;0;0;1;1;19;0;0;0;9;1;1;0;0;1049;2;1051;0;1051;;
112;Speellokaal, Sweelincklaan 2;130;90;19;35;58;171;13;164;2;44;6;1;2;0;0;7;0;0;0;4;0;0;0;1;747;1;748;0;748;;
114;Helperkerk;116;69;39;100;54;155;31;197;2;117;4;0;1;0;0;9;1;1;0;10;2;0;2;0;910;5;915;2;917;;
115;Dagverblijf De Kleine Beer;342;136;43;58;126;247;42;170;4;56;10;2;1;0;0;17;1;0;0;2;0;0;0;0;1257;0;1257;2;1259;;
120;Multifunctioneelcentrum Engelbert;120;60;85;65;40;80;15;67;1;25;21;3;2;0;1;11;0;0;0;2;0;0;0;0;598;0;598;0;598;;
130;Buurtcentrum Poortershoes;208;117;68;168;72;348;54;427;3;140;28;1;2;1;0;30;1;0;2;20;5;4;0;1;1700;2;1702;4;1706;;
131;Waterbedrijf Groningen;185;108;63;80;80;194;23;185;4;44;20;0;3;1;3;17;0;0;0;1;1;0;0;1;1013;1;1014;1;1015;;
133;Noordlease Stadion;164;66;53;81;42;211;21;135;3;47;16;1;0;0;1;23;1;2;1;6;1;0;0;0;875;1;876;0;876;;
134;Centrum Beeldende Kunst Groningen;109;51;19;64;31;184;18;211;2;45;4;2;2;1;0;20;0;0;0;10;0;0;0;0;773;0;773;0;773;;
140;Bekenkampschool;113;79;22;63;43;177;14;198;1;42;10;1;5;2;4;14;0;1;0;2;2;1;0;0;794;1;795;1;796;;
142;MFC de Stroming;252;140;76;153;128;426;89;368;9;87;28;4;1;1;7;30;0;2;4;10;0;1;0;2;1818;1;1819;1;1820;;
143;De Puddingfabriek;150;109;40;99;98;376;54;332;0;91;8;4;0;2;2;33;1;0;0;15;1;0;1;0;1416;1;1417;1;1418;;
144;Bekenkampschool;101;50;13;29;30;137;8;136;1;27;3;0;2;0;0;9;0;2;0;3;0;0;0;1;552;1;553;0;553;;
151;CSG Augustinus;193;82;28;93;72;263;59;223;0;57;7;3;2;3;5;20;3;0;2;12;1;2;0;0;1130;0;1130;3;1133;;
152;Buurtcentrum Badstratenbuurt;186;82;28;76;62;280;34;286;6;71;8;0;1;1;0;32;1;2;2;10;1;2;0;0;1171;1;1172;4;1176;;
161;Basisschool De Starter;204;91;48;94;95;323;68;285;3;86;17;3;5;0;2;35;0;0;1;16;0;4;0;0;1380;3;1383;1;1384;;
162;Willem Lodewijk Gymnasium;119;69;29;46;62;204;47;176;2;55;8;1;2;2;0;18;0;1;0;10;0;2;0;1;854;3;857;1;858;;
171;Woonzorgcentrum Heymanscentrum;96;46;56;71;72;84;29;99;7;30;17;2;3;3;0;15;0;0;1;4;0;0;0;0;635;0;635;3;638;;
172;Magnalia Dei Kerk;162;107;87;137;127;150;101;147;14;60;24;3;7;1;2;19;0;1;3;4;1;0;1;1;1159;0;1159;3;1162;;
174;BSV Corpus den Hoorn;83;97;60;114;39;140;35;148;1;30;18;1;3;7;1;15;0;0;1;8;3;2;0;0;806;2;808;3;811;;
180;Woon- en zorgcomplex Maartenshof;156;105;117;176;124;164;57;176;5;58;37;1;1;0;2;19;3;0;0;5;1;2;0;0;1209;2;1211;1;1212;;
181;Wilem Dreesflat;164;124;73;104;98;138;43;194;8;61;45;0;3;0;3;16;1;0;0;5;1;1;0;0;1082;0;1082;0;1082;;
183;Boerhaaveschool;391;189;70;58;137;353;59;269;6;54;35;0;2;1;2;33;2;3;0;1;1;1;0;2;1669;1;1670;0;1670;;
185;Hampshire Hotel - Plaza Groningen, Corpus den Hoorn;44;33;25;26;18;59;10;51;0;20;5;2;0;1;0;5;0;0;0;4;0;1;0;1;305;0;305;0;305;;
200;Oosterhoogebrugschool;93;77;61;89;44;101;24;87;1;29;20;0;0;0;0;14;0;0;0;0;0;1;0;1;642;0;642;3;645;;
201;De Schakel;227;124;155;215;102;190;41;193;1;52;46;2;3;2;3;19;0;0;0;12;0;0;0;1;1388;4;1392;2;1394;;
202;Noorderpoortcollege, Pop Dijkemaweg 88;90;97;62;104;49;98;37;99;1;36;20;0;1;0;0;10;1;0;2;1;0;3;1;0;712;3;715;1;716;;
211;Basisschool De Vuurtoren;104;116;116;198;92;158;50;168;1;47;48;1;5;3;0;16;0;1;0;5;4;0;1;0;1134;1;1135;5;1140;;
215;Basisschool De Kimkiel;50;39;58;77;30;65;17;50;0;20;20;0;4;0;1;8;0;0;1;2;1;2;0;0;445;0;445;1;446;;
220;Ontmoetingsruimte Het Stuurhuis;61;105;141;195;48;72;31;133;1;49;37;0;2;0;2;13;0;0;0;7;0;0;0;0;897;3;900;4;904;;
221;Basisschool De Swoaistee;59;111;128;202;50;114;43;204;2;49;18;0;0;5;1;13;0;0;0;6;4;0;0;0;1009;0;1009;4;1013;;
222;Wijkcentrum Het Dok;139;163;256;351;94;177;73;238;11;80;37;6;5;18;0;24;0;0;0;7;4;2;1;1;1687;0;1687;7;1694;;
223;Zorgcentrum Mercator;75;90;83;140;66;84;22;161;6;37;39;0;0;0;0;11;0;0;0;4;3;0;1;0;822;1;823;0;823;;
230;Basisschool De Driebond;156;125;85;159;88;130;45;195;6;38;31;0;2;2;2;19;1;0;0;5;0;2;0;3;1094;3;1097;0;1097;;
