FID,id,grid_code,se_anno_cad_data,area,len,gdb_geomattr_data,shape
dieptepolygonen_noordzee__bonn_gebied_.1,701,0,,,,,"POLYGON ((747036.7325999998 6990263.943399999, 746936.7324000001 6990263.943399999, 746936.7324000001 6990363.942699999, 747036.7325999998 6990363.942699999, 747036.7325999998 6990263.943399999))"
dieptepolygonen_noordzee__bonn_gebied_.2,702,5,,,,,"POLYGON ((747236.7322000004 6990263.943399999, 747036.7325999998 6990263.943399999, 747036.7325999998 6990363.942699999, 747236.7322000004 6990363.942699999, 747236.7322000004 6990263.943399999))"
dieptepolygonen_noordzee__bonn_gebied_.3,703,10,,,,,"POLYGON ((747236.7322000004 6990263.943399999, 747236.7322000004 6990363.942699999, 747436.7325999998 6990363.942699999, 747436.7325999998 6990263.943399999, 747236.7322000004 6990263.943399999))"
dieptepolygonen_noordzee__bonn_gebied_.4,704,-40,,,,,"POLYGON ((758236.7323000003 6990263.943399999, 758136.7320999997 6990263.943399999, 758136.7320999997 6990563.943100002, 758236.7323000003 6990563.943100002, 758236.7323000003 6990263.943399999))"
dieptepolygonen_noordzee__bonn_gebied_.5,705,-30,,,,,"POLYGON ((758336.7325999998 6990263.943399999, 758236.7323000003 6990263.943399999, 758236.7323000003 6990563.943100002, 758236.7323000003 6990663.943300001, 758336.7325999998 6990663.943300001, 758336.7325999998 6990263.943399999))"
dieptepolygonen_noordzee__bonn_gebied_.6,706,-30,,,,,"POLYGON ((774736.7325999998 6990263.943399999, 774636.7324000001 6990263.943399999, 774636.7324000001 6990363.942699999, 774636.7324000001 6990463.942899998, 774736.7325999998 6990463.942899998, 774736.7325999998 6990263.943399999))"
dieptepolygonen_noordzee__bonn_gebied_.7,707,-10,,,,,"POLYGON ((774836.7319 6990263.943399999, 774736.7325999998 6990263.943399999, 774736.7325999998 6990463.942899998, 774736.7325999998 6990563.943100002, 774836.7319 6990563.943100002, 774836.7319 6990463.942899998, 774836.7319 6990263.943399999))"
dieptepolygonen_noordzee__bonn_gebied_.8,708,0,,,,,"POLYGON ((775336.7320999997 6990263.943399999, 774836.7319 6990263.943399999, 774836.7319 6990463.942899998, 775336.7320999997 6990463.942899998, 775336.7320999997 6990263.943399999))"
dieptepolygonen_noordzee__bonn_gebied_.9,709,10,,,,,"POLYGON ((719536.7322000004 6990163.943100002, 719436.7319999998 6990163.943100002, 719436.7319999998 6990263.943399999, 719536.7322000004 6990263.943399999, 719536.7322000004 6990163.943100002))"
dieptepolygonen_noordzee__bonn_gebied_.10,710,5,,,,,"POLYGON ((719636.7324000001 6990163.943100002, 719536.7322000004 6990163.943100002, 719536.7322000004 6990263.943399999, 719636.7324000001 6990263.943399999, 719636.7324000001 6990163.943100002))"
dieptepolygonen_noordzee__bonn_gebied_.11,711,0,,,,,"POLYGON ((719736.7326999996 6990163.943100002, 719636.7324000001 6990163.943100002, 719636.7324000001 6990263.943399999, 719736.7326999996 6990263.943399999, 719736.7326999996 6990163.943100002))"
dieptepolygonen_noordzee__bonn_gebied_.12,712,-10,,,,,"POLYGON ((719836.7319999998 6990163.943100002, 719736.7326999996 6990163.943100002, 719736.7326999996 6990263.943399999, 719736.7326999996 6990363.942699999, 719636.7324000001 6990363.942699999, 719636.7324000001 6990463.942899998, 719536.7322000004 6990463.942899998, 719536.7322000004 6990563.943100002, 719436.7319999998 6990563.943100002, 719436.7319999998 6990663.943300001, 718936.7318000002 6990663.943300001, 718936.7318000002 6990863.9428, 719439.8573000003 6990815.926199999, 719769.1538000004 6990561.727000002, 719836.7319999998 6990163.943100002))"
dieptepolygonen_noordzee__bonn_gebied_.13,713,-30,,,,,"POLYGON ((744936.7326999996 6990363.942699999, 744936.7326999996 6990863.9428, 745636.7323000003 6990863.9428, 745677.5525000002 6990404.7875000015, 745840.443 6990292.354499999, 746064.7597000003 6990342.647500001, 745936.7320999997 6990863.9428, 746277.5528999995 6990776.473099999, 746178.0406999998 6990323.372900002, 745871.1076999996 6990123.5132, 745395.9117 6990323.0978000015, 744936.7326999996 6990363.942699999))"
dieptepolygonen_noordzee__bonn_gebied_.14,714,-5,,,,,"POLYGON ((746636.7326999996 6990163.943100002, 746536.7324999999 6990163.943100002, 746536.7324999999 6990263.943399999, 746636.7326999996 6990263.943399999, 746636.7326999996 6990163.943100002))"
dieptepolygonen_noordzee__bonn_gebied_.15,715,0,,,,,"POLYGON ((746836.7322000004 6990163.943100002, 746736.7319999998 6990163.943100002, 746636.7326999996 6990163.943100002, 746636.7326999996 6990263.943399999, 746836.7322000004 6990263.943399999, 746836.7322000004 6990163.943100002))"
dieptepolygonen_noordzee__bonn_gebied_.16,716,5,,,,,"POLYGON ((746936.7324000001 6990163.943100002, 746836.7322000004 6990163.943100002, 746836.7322000004 6990263.943399999, 746936.7324000001 6990263.943399999, 746936.7324000001 6990163.943100002))"
dieptepolygonen_noordzee__bonn_gebied_.17,717,10,,,,,"POLYGON ((746936.7324000001 6990163.943100002, 746936.7324000001 6990263.943399999, 747036.7325999998 6990263.943399999, 747036.7325999998 6990163.943100002, 746936.7324000001 6990163.943100002))"
dieptepolygonen_noordzee__bonn_gebied_.18,718,-5,,,,,"POLYGON ((775336.7320999997 6990163.943100002, 774836.7319 6990163.943100002, 774836.7319 6990263.943399999, 775336.7320999997 6990263.943399999, 775336.7320999997 6990163.943100002))"
dieptepolygonen_noordzee__bonn_gebied_.19,719,10,,,,,"POLYGON ((719636.7324000001 6990063.942899998, 719536.7322000004 6990063.942899998, 719536.7322000004 6990163.943100002, 719636.7324000001 6990163.943100002, 719636.7324000001 6990063.942899998))"
dieptepolygonen_noordzee__bonn_gebied_.20,720,5,,,,,"POLYGON ((719736.7326999996 6990063.942899998, 719636.7324000001 6990063.942899998, 719636.7324000001 6990163.943100002, 719736.7326999996 6990163.943100002, 719736.7326999996 6990063.942899998))"
