FID,cte,dtm,fixtxt,gradenhoek,interp,kilom,layer,omschr,tctype,txtc17,txtc30,txts20,vartxt,wegind,wegnr,se_anno_cad_data
dtb_wegen_1993_2000_punt.1,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
dtb_wegen_1993_2000_punt.2,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
dtb_wegen_1993_2000_punt.3,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
dtb_wegen_1993_2000_punt.4,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
dtb_wegen_1993_2000_punt.5,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
dtb_wegen_1993_2000_punt.6,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
dtb_wegen_1993_2000_punt.7,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
dtb_wegen_1993_2000_punt.8,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
dtb_wegen_1993_2000_punt.9,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
dtb_wegen_1993_2000_punt.10,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
dtb_wegen_1993_2000_punt.11,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
dtb_wegen_1993_2000_punt.12,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
dtb_wegen_1993_2000_punt.13,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
dtb_wegen_1993_2000_punt.14,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
dtb_wegen_1993_2000_punt.15,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
dtb_wegen_1993_2000_punt.16,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
dtb_wegen_1993_2000_punt.17,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
dtb_wegen_1993_2000_punt.18,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
dtb_wegen_1993_2000_punt.19,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
dtb_wegen_1993_2000_punt.20,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
dtb_wegen_1993_2000_punt.21,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
dtb_wegen_1993_2000_punt.22,N0503051,N, bmn,0, , ,1,boomgroep,bomengroep, , , , , , ,
dtb_wegen_1993_2000_punt.23,N0503051,N, bmn,0, , ,1,boomgroep,bomengroep, , , , , , ,
dtb_wegen_1993_2000_punt.24,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
dtb_wegen_1993_2000_punt.25,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
dtb_wegen_1993_2000_punt.26,N0503051,N, bmn,0, , ,1,boomgroep, , , , , , , ,
