Nummer;Totaal van;Jaar;Maand;Categorie;Nationaliteit;Aantal ketenbreed vertrek
1;Jaar;2019;*Alle*;*Alle*;*Alle*;25600
2;Jaar, Maand;2019;01;*Alle*;*Alle*;2170
2;Jaar, Maand;2019;02;*Alle*;*Alle*;2130
2;Jaar, Maand;2019;03;*Alle*;*Alle*;2150
2;Jaar, Maand;2019;04;*Alle*;*Alle*;2110
2;Jaar, Maand;2019;05;*Alle*;*Alle*;2230
2;Jaar, Maand;2019;06;*Alle*;*Alle*;1990
2;Jaar, Maand;2019;07;*Alle*;*Alle*;2170
2;Jaar, Maand;2019;08;*Alle*;*Alle*;1890
2;Jaar, Maand;2019;09;*Alle*;*Alle*;1950
2;Jaar, Maand;2019;10;*Alle*;*Alle*;2340
2;Jaar, Maand;2019;11;*Alle*;*Alle*;2200
2;Jaar, Maand;2019;12;*Alle*;*Alle*;2290
3;Jaar, Maand, Categorie;2019;01;Gedwongen vertrek;*Alle*;460
3;Jaar, Maand, Categorie;2019;01;Zelfstandig vertrek;*Alle*;470
3;Jaar, Maand, Categorie;2019;01;Zelfstandig vertrek zonder toezicht;*Alle*;1240
3;Jaar, Maand, Categorie;2019;02;Gedwongen vertrek;*Alle*;550
3;Jaar, Maand, Categorie;2019;02;Zelfstandig vertrek;*Alle*;380
3;Jaar, Maand, Categorie;2019;02;Zelfstandig vertrek zonder toezicht;*Alle*;1190
3;Jaar, Maand, Categorie;2019;03;Gedwongen vertrek;*Alle*;530
3;Jaar, Maand, Categorie;2019;03;Zelfstandig vertrek;*Alle*;420
3;Jaar, Maand, Categorie;2019;03;Zelfstandig vertrek zonder toezicht;*Alle*;1200
3;Jaar, Maand, Categorie;2019;04;Gedwongen vertrek;*Alle*;530
3;Jaar, Maand, Categorie;2019;04;Zelfstandig vertrek;*Alle*;470
3;Jaar, Maand, Categorie;2019;04;Zelfstandig vertrek zonder toezicht;*Alle*;1120
3;Jaar, Maand, Categorie;2019;05;Gedwongen vertrek;*Alle*;560
3;Jaar, Maand, Categorie;2019;05;Zelfstandig vertrek;*Alle*;480
3;Jaar, Maand, Categorie;2019;05;Zelfstandig vertrek zonder toezicht;*Alle*;1180
3;Jaar, Maand, Categorie;2019;06;Gedwongen vertrek;*Alle*;540
3;Jaar, Maand, Categorie;2019;06;Zelfstandig vertrek;*Alle*;410
3;Jaar, Maand, Categorie;2019;06;Zelfstandig vertrek zonder toezicht;*Alle*;1050
3;Jaar, Maand, Categorie;2019;07;Gedwongen vertrek;*Alle*;540
3;Jaar, Maand, Categorie;2019;07;Zelfstandig vertrek;*Alle*;390
3;Jaar, Maand, Categorie;2019;07;Zelfstandig vertrek zonder toezicht;*Alle*;1240
3;Jaar, Maand, Categorie;2019;08;Gedwongen vertrek;*Alle*;480
3;Jaar, Maand, Categorie;2019;08;Zelfstandig vertrek;*Alle*;380
3;Jaar, Maand, Categorie;2019;08;Zelfstandig vertrek zonder toezicht;*Alle*;1030
3;Jaar, Maand, Categorie;2019;09;Gedwongen vertrek;*Alle*;490
3;Jaar, Maand, Categorie;2019;09;Zelfstandig vertrek;*Alle*;450
3;Jaar, Maand, Categorie;2019;09;Zelfstandig vertrek zonder toezicht;*Alle*;1010
3;Jaar, Maand, Categorie;2019;10;Gedwongen vertrek;*Alle*;630
3;Jaar, Maand, Categorie;2019;10;Zelfstandig vertrek;*Alle*;470
3;Jaar, Maand, Categorie;2019;10;Zelfstandig vertrek zonder toezicht;*Alle*;1240
3;Jaar, Maand, Categorie;2019;11;Gedwongen vertrek;*Alle*;680
3;Jaar, Maand, Categorie;2019;11;Zelfstandig vertrek;*Alle*;370
3;Jaar, Maand, Categorie;2019;11;Zelfstandig vertrek zonder toezicht;*Alle*;1150
3;Jaar, Maand, Categorie;2019;12;Gedwongen vertrek;*Alle*;580
3;Jaar, Maand, Categorie;2019;12;Zelfstandig vertrek;*Alle*;420
3;Jaar, Maand, Categorie;2019;12;Zelfstandig vertrek zonder toezicht;*Alle*;1290
4;Jaar, Categorie;2019;*Alle*;Gedwongen vertrek;*Alle*;6570
4;Jaar, Categorie;2019;*Alle*;Zelfstandig vertrek;*Alle*;5100
4;Jaar, Categorie;2019;*Alle*;Zelfstandig vertrek zonder toezicht;*Alle*;13940
5;Jaar, Maand, Nationaliteit;2019;01;*Alle*;Afghaanse;50
5;Jaar, Maand, Nationaliteit;2019;01;*Alle*;Albanese;80
5;Jaar, Maand, Nationaliteit;2019;01;*Alle*;Algerijnse;220
5;Jaar, Maand, Nationaliteit;2019;01;*Alle*;Amerikaans burger;10
5;Jaar, Maand, Nationaliteit;2019;01;*Alle*;Angolese;10
5;Jaar, Maand, Nationaliteit;2019;01;*Alle*;Armeense;20
