;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
Giron Consult AB;;;1;;;;;1
GJM Communicatie B.V.;;;1;;;;;1
Governance & Integrity Nederland B.V.;4;;;;;;;4
Grand Hôtel Amrâth Kurhaus B.V.;;;1;;;;;1
GS1 Nederland B.V.;1;;;;;;;1
Harry Starren;1;;;;;;;1
Hartman Innovatie B.V.;2;;;;;;;2
Heart Target;2;;;;;;;2
Heerenstaete Advocaten & Mediation;;;;;1;;;1
Heleen Kuiper Advies;;;;;;3;;3
Helicon Conservation Support B.V.;2;;;;;;;2
Henseler Forensics B.V.;;;;;;1;;1
Het Strategiekantoor B.V.;1;;;;;;;1
Hewlett-Packard Nederland B.V.;;;2;;;5;;5
Holland Innovative B.V.;1;;;;;;;1
HoofdZaken;2;;;;;;;2
Hoogduin;1;;;;;;;1
Hospitality Design B.V.;1;;;;;;;1
House of Lords B.V.;;;2;;;;;2
House of Sports;;;1;;;;;1
Houthoff België B.V.;;;;;2;;;2
Houthoff CoÃ¶peratief UA;;;;;;;;
HTM Specials B.V.;;;1;;;;;1
Human Capital Group;1;;;;;;;1
Human Dimensions;1;;;;;;;1
Human Dimensions B.V.;1;;;;;;;1
HUMINT Solutions Nederland;1;;;;;;;1
I & O Research B.V.;;;2;;;;;2
i3 groep;;;;;;3;;3
IBM Nederland B.V.;;;2;;;7;;7
ICTRecht B.V.;;;;;1;;;1
Ifmec B.V.;1;;;;;;;1
Ikink Hendriks;;;;;;;1;1
Imageselect;;;;1;;;;1
In Creation;;;3;;;;;3
In Management B.V.;;;;;;2;;2
Ineke van Zanten;1;;;;;;;1
Info Support B.V.;;;;;;2;;2
Ingenieursbureau B-Ware B.V.;;;;;;3;;3
Inkesta B.V.;;1;;;;;;1
Inkesta BV;;;;;;1;;1
Insight Enterprises Netherlands B.V.;;;;;;3;;3
Insite Media;;;1;;;;;1
Inspire Circle of Professionals;;;1;;;;;1
INTERNETSPIEGEL;;4;;;;;;4
Interseco Security;;;2;;;;;2
Intreas N.V.;;;;;1;;;1
Ipsos B.V.;;;1;;;;;1
IT Management Group;3;;;;;;;3
Ivy Advocaten;;;;;1;;;1
iWelcome B.V.;;;;;;1;;1
J.J. Zuidweg Holding & Management B;1;;;;;;;1
Jacques Handelé Antwoorden & Vragen;2;;;;;;;2
Jaeger Advocaten-Belastingkundigen;;;;;1;;;1
JahaeRaymakers;;;;;1;;;1
Jasper van Goor;1;;;;;;;1
JP WERKREVISIE;1;;;;;;;1
jPinpoint;;;;;;1;;1
Juridisch Adviesbureau Lamberti;;;;;2;;;2
JVDT B.V.;;;;1;;;;1
KÃƒÂ¨k Media;;;1;;;;;1
Kantar Netherlands B.V.;;;1;;;;;1
KE Business B.V.;;;;;;1;;1
Kempen Security Management;1;;;;;;;1
Kenniscentr. Persuasive Techn. en Gedragsver.;;;;;;1;;1
KeytoeY B.V.;1;;;;;;;1
Kijk op Zaken;2;;;;;;;2
Kiss The Princess;2;;;;;;;2
Klein Berlijn;1;;;;;;;1
Klinkaart B.V.;1;;;;;;;1
Kodision B.V.;;;;;;1;;1
Kootstra Rijpkema;;;;;1;;;1
KPMG Advisory N.V.;;;;;;;1;1
KPMG N.V.;;;5;;;;1;5
Kusters Facilities B.V.;3;;;;;;;3
La Gro Geelkerken Advocaten B.V.;;;;;1;;;1
Lagerweij & Partner Consultants B.V.;2;;;;;;;2
Le Poole en Bekema;;;;;1;;;1
Leeuwendaal Advies B.V.;1;;;;;;;1
LinQue Consult B.V.;3;;;;;;;3
Live Presence B.V.;;;2;;;;;2
LiveWall;;;2;;;;;2
Lnbb;;;1;;;;;1
Lubbers & Boer;;;;;1;;;1
Lucia Meeuwesse Coaching & Cons.;1;;;;;;;1
Luvix;1;;;;;;;1
M & I /Partners B.V.;2;;;;;;;2
M. L. Schouten Consultancy;;;;;;1;;1
M.L.M. van Kempen;;;;;1;;;1
MAATSCHAP WALLAST;;;;;;;1;1
Management Producties B.V.;1;;;;;;;1
Mare Holland B.V.;;;4;;;;;4
Marina Aarts;1;;;;;;;1
Martijn Beekman Fotografie;;;1;;;;;1
Maven at Work (Breinkracht);1;;;;;;;1
Maykin Media;;;;;;5;;5
MBA Human Capital;2;;;;;;;2
McKinsey & Company Netherlands;1;;;;;;;1
Memo2 B.V.;;;1;;;;;1
Midas Consultancy B.V.;;;;;;1;;1
Mitopics B.V.;;;;;;2;;2
MobileInn;;;;;;1;;1
Moeskops B.V.;1;;;;;;;1
Motivaction International B.V.;;;3;;;;;3
MSC Information Retrieval Technologies B.V.;;;;;;1;;1
Mulder BizNiz;2;;;;;;;2
MWM2 / BUREAU VOOR ONLINE ONDERZOEK;;1;;;;;;1
MWM2 B.V.;;;2;;;;;2
NCF;;3;;;;;;3
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;;1;;;;;1
Ned. Software Metrieken Gebruikers Associatie;;;;;;1;;1
Ned. Verenig. voor Intern. Belastingr.;;;;;;;1;1
Nederlands Debat Instituut Holding B.V.;;;2;;;;;2
Nederlandse Vereniging voor Energierecht;;;;;1;;;1
New Life Development;;;1;;;;;1
NextEconomy.nu;2;;;;;;;2
NMFD;1;;;;;;;1
Novius Adv.groep v. Inf. & Organisatie B.V.;2;;;;;;;2
Nu Jij, Psychologisch Advies;2;;;;;;;2
OD Solutions Nederland B.V.;;;;;;3;;3
Omnius;;;;;1;;;1
Optisport Medemblik B.V.;1;;;;;;;1
Oracle Nederland;;;;;;7;;7
Ordina Nederland B.V.;;;;;;6;;6
Ordina Technologie & Competenties B.V.;;;;;;1;;1
ORMIT B.V.;7;;;;;;;7
ORTEC B.V.;2;;;;;;;2
Oscar David Consultancy B.V.;3;;;;;;;3
OSN Nederland B.V.;;;;;;2;;2
Ostfest Limited;;;;;;1;;1
Ouëndag & Silberman;1;;;;;;;1
Panteia B.V.;;;4;;;;;4
Partners in Integriteit bv.;;;1;;;;;1
Passionned Nederland B.V.;1;;;;;;;1
Patch Marketing B.V.;;;1;;;;;1
Patricia Jansma Mrics, TMV RT;1;;;;;;;1
PBLQ B.V.;3;;;;;;;3
PDCU personeelsdiensten;1;;;;;;;1
Pels Rijcken & Droogleever Fortuijn N.V.;;;;;1;;;1
Pelta IT;;;;;;2;;2
People in Place;1;;;;;;;1
People2Perform;1;;;;;;;1
PerfectCall;1;;;;;;;1
Personeelsvereniging TNO Technische Menskunde;;;1;;;;;1
Pinewood B.V.;;;;;;1;;1
Plex B.V.;;;;;;1;;1
Presentation-Master;1;;;;;;;1
Presented;1;;;;;;;1
Presenter B.V.;;;;;;1;;1
Promenade Hotel B.V.;;;1;;;;;1
Protinus IT B.V.;;;;;;1;;1
Providence Europe B.V.;2;;;;;;;2
Psyon B.V.;;1;;;;;;1
PUG Netherlands;;;;;;1;;1
Purple Monkey;;;1;;;;;1
Quanza Engineering BV;;;6;;;;;6
Questionmarkgroup B.V.;;;1;;;;;1
Quint Result Onderzoek & Advies B.V.;;2;;;;;;2
QuoVadis Trustlink B.V.;;;;;;1;;1
Raatwerk B.V.;2;;;;;;;2
RedZebra Group B.V.;1;;;;;;;1
Re-integratiebureau re-turn B.V.;1;;;;;;;1
Right Marktonderzoek en Advies B.V.;;;2;;;;;2
Rijnconsult BV;1;;;;;;;1
ROBIDUS ADVIESGROEP B.V.;;;;;1;;;1
Rocket Consulting Ltd.;;;2;;;;;2
Rozenbrood;1;;;;;;;1
Rris;;;2;;;;;2
Ruigrok NetPanel;;;2;;;;;2
SAMR;;;3;;;;;3
SAP Nederland B.V.;;;;;;2;;2
Schakel Holding B.V.;1;;;;;;;1
School of Foresight;1;;;;;;;1
Schuberg Philis B.V.;;;;;;7;;7
SDL Netherlands B.V.;2;;;;;;;2
Secura B.V.;;;;;;4;;4
SecureLink Nederland B.V.;;;;;;4;;4
Sendsteps B.V.;;;;;;1;;1
Sensz B.V.;1;;;;;;;1
Shared Ambition;;;1;;;;;1
Sira Consulting B.V.;;;2;;;;;2
Smink Kok Lentink accountants en belast.adv.;;;;;;;1;1
SMWNL;1;;;;;;;1
SoftwareONE B.V.;;;;;;5;;5
Sound & Light Factory;2;;;;;;;2
Spanjersberg Organisatie Advies;1;;;;;;;1
Sprengers Advocaten;;;;;1;;;1
SRM Rechtsbijstand;;;;;1;;;1
ST.BEH. DERDENG. ADV.COL. TRIAS;;;;;1;;;1
Steltman Juwelier B.V.;1;;;;;;;1
Stevens Fiscaal B.V.;;;;;;;1;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;;;4;;2;;;4
Stg. Kenniscentrum Center People & Buildings;;;4;;;;;4
Stg. Routerings (Int.)Nat. Informatiestromen;;;7;;;;;7
Stibbe B.V.;;;;;3;;;3
Sticht. Beheer Derdengelden Joosten Advocaten;;;;;2;;;2
Sticht. Int. Belasting Documentatie Bureau;;;2;;;;1;2
Stichting de Nationale Denktank;2;;;;;;;2
STICHTING DERDENGELDEN ADVOCATUUR;;;;;1;;;1
Stichting financieel forensisch instituut;1;;;;;;;1
Stichting Jongerenwerk Utrecht;;;1;;;;;1
Stichting Stimular;;;1;;;;;1
Stichting Vanuit autisme bekeken;1;;;;;;;1
Stichting Xbrl Nederland;;;;;;1;;1
Stow Nederland B.V.;1;;;;;;;1
Studio Hoogeveen & van Tilburg;1;;;;;;;1
Sturingsadvies;;;;;;;1;1
Talentsoft Holding B.V.;5;;;;;;;5
Tas Advies;2;;;;;;;2
Technolution B.V.;;;;;;2;;2
The Backbone B.V.;;;;;;1;;1
The Change Studio B.V.;1;;;;;;;1
TheTrueTalentTeam Benelux BV;1;;;;;;;1
THOMS B.V.;;;1;;;;;1
Tie Nederland B.V.;;4;;;;;;4
TNO Bedrijven B.V.;;;2;;;;;2
Tobias Fiscaal;;;;;;1;;1
TOPdesk Nederland B.V.;;;;;;1;;1
Topvrouw.nl (Reitsma Consulting BV);1;;;;;;;1
Towers Watson Netherlands B.V.;;;2;;;;;2
Traxion Nederland B.V.;;;;;;3;;3
Trenton B.V.;1;;;;;;;1
Trip Advocaten & Notarissen;;;;;1;;;1
Tulip Media Producties B.V.;1;;;;;;;1
Unger Van Els Advocaten;;;;;1;;;1
Uno Automatiseringdiensten B.V.;;;;;;1;;1
UP learning B.V.;;;;;;3;;3
UvA Talen B.V.;;1;;;;;;1
ValueMatch;1;;;;;;;1
Van Abbe ZKM Coaching;;;1;;;;;1
van Ackooij Media Producties;1;;;;;;;1
Van As Advocatengroep BV;;;;;3;;;3
