Ministerie;Leverancier;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
AZ;Aannemersbedrijf G.B. van Hoek B.V.;;2;;;;2
AZ;Conrad Electronic Benelux B.V.;;1;;;;1
AZ;Discountoffice.nl B.V.;;;;1;;1
AZ;Dunea N.V.;;;2;;;2
AZ;Electro-Engros van der Wiel B.V.;;1;;;;1
AZ;Eneco Services B.V.;;;3;;;3
AZ;Eneco Zakelijk;;;4;;;4
AZ;Firesol B.V.;;1;;;;1
AZ;First Light B.V.;;1;;;;1
AZ;G. Vermes B.V.;;1;;;;1
AZ;Greenchoice;;;4;;;4
AZ;Heijmans Utiliteit;;3;;;;3
AZ;Henri de Jong Tuinen B.V.;;1;;;;1
AZ;Ingenieursbureau Ebatech B.V.;;;1;;;1
AZ;Koek & Reinders Schilderwerken B.V.;;2;;;;2
AZ;Mastermate VBT Groep;;1;;;;1
AZ;Oliecentrale Nederland;;1;;;;1
AZ;Saval B.V.;;1;;;;1
AZ;Stedin;;;3;;;3
AZ;TL Besparen B.V.;;1;;;;1
AZ;Top Movers Nederland B.V.;;;;2;;2
AZ;Unica Installatietechniek;;1;;;;1
AZ;UTS ABBINK Den Haag;;;;2;;2
AZ;Van Schoonhoven Reclamestudio;;;;1;;1
AZ;VANWAARDE Documentenwacht B.V.;;1;;;;1
BZ;&Connect;;1;;;;1
BZ;Aalbers Holding B.V.;;;;;2;2
BZ;AddieBouwman;;2;;;;2
BZ;Ahrend Nederland B.V.;;;;;1;1
BZ;Ahrend Support B.V.;;;;;1;1
BZ;Aline Thomassen;;;;;1;1
BZ;A-Mac B.V.;;1;;;;1
BZ;AON Nederland C.V.;;1;;;;1
BZ;Arabisch Vertaalbureau Abdellatif (Ava);;1;;;;1
BZ;Atrium Vastgoedmanagement B.V.;;1;;;;1
BZ;Axiell ALM Netherlands B.V.;;2;;;;2
BZ;Bergh Brandkasten Service B.V.;;1;;;;1
BZ;Biesbroek Traductions;;1;;;;1
BZ;Blauvelt;;1;;;;1
BZ;Brink Management / Advies;;;;;1;1
BZ;Brinkhomes Custom Campers;;1;;;;1
BZ;Brouwer Technische Handelsonderneming B.V.;;2;;;;2
BZ;BSA Schaderegeling B.V.;;1;;;;1
BZ;Bulgaars Vertaalbureau Ani;;1;;;;1
BZ;Carnegie-Stichting;;1;;;;1
BZ;Castor Networks Fixed Services B.V.;;1;;;;1
BZ;CBRE Valuation Advisory;;;;;3;3
BZ;CCV Group B.V.;;1;;;;1
BZ;CGB Services;;1;;;;1
BZ;Chin. Ind. Rest. Walong;;1;;;;1
BZ;Chubb Fire & Security Twente;;;;;1;1
BZ;CIBT Netherlands;;2;;;;2
BZ;Creative Sign Crew;;1;1;;;1
BZ;Cushman & Wakefield V.O.F.;;3;;;;3
BZ;Customeyes B.V.;;2;;;;2
BZ;De Projectinrichter Holding B.V.;;;;;1;1
BZ;De Tijd' Bedrijfskleding;;1;;;;1
BZ;Dekker & Van Velzen;;1;;;;1
BZ;EcoGiving B.V.;;1;;;;1
BZ;Ega Multipromotions;;1;;;;1
BZ;English Translation Service;;2;;;;2
BZ;Erstad B.V.;;1;;;;1
BZ;Escrow Alliance B.V.;;1;;;;1
BZ;Eurotempest B.V.;;2;;;;2
BZ;EventGoodz B.V.;;1;;;;1
BZ;Fakton B.V.;;1;;;;1
BZ;FEDDE VERTAALT;;1;;;;1
BZ;Flexa Media;;2;;;;2
BZ;Forzes;;1;;;;1
BZ;Fox-IT;;2;;;;2
BZ;Gelecon B.V.;;1;;;;1
BZ;Gifts to Connect;;1;;;;1
BZ;Green Eye Solutions B.V.;;1;;;;1
BZ;H-4 Projekten B.V.;;1;;;;1
BZ;Heine en Van de Rijt Architecten B.V.;;;;;1;1
BZ;Hello Energy B.V.;;1;;;;1
BZ;Helmduinen;;1;;;;1
BZ;Het Sleutelhuis B.V.;;;;;2;2
BZ;HoffmanDME Techniek B.V.;;;;;2;2
BZ;Holland Water B.V.;;1;;;;1
BZ;Hollandse Hoogte B.V.;;1;;;;1
BZ;HTC service & installation B.V.;;1;;;;1
BZ;Huidzorg Delft;;1;;;;1
BZ;Ideeaanzee B.V.;;2;;;;2
BZ;ING Bank;;2;4;;1;4
BZ;ING Bank N.V.;;1;;;;1
BZ;Ingmar Spaaij;;1;;;;1
BZ;Intact;;2;;;;2
BZ;inVision Ondertiteling;;1;;;;1
BZ;J.G. Pot Advies;;1;;;;1
BZ;Jagafer Consulting Services JCS;;1;;;;1
BZ;Jill Whittaker Communications;;1;;;;1
BZ;Juris B.V.;;1;;;;1
BZ;Kamera Express;;2;;;;2
BZ;Koninklijke Haskoning DHV Groep B.V.;;;;;1;1
BZ;Lexyca;;1;;;;1
BZ;LICSP;;1;;;;1
BZ;Linguist Link Europe;;1;;;;1
BZ;Livewords;;1;;;;1
BZ;Lyreco Nederland B.V.;;1;;;;1
BZ;Manutan B.V.;;1;;;;1
BZ;Meetingselect B.V.;;1;;;;1
BZ;Mens Installatietechniek B.V.;;;;;2;2
BZ;Metorx B.V.;;1;;;;1
BZ;Metos B.V.;;2;;;;2
BZ;MJH International B.V.;;1;;;;1
BZ;MobileXpense SA;;6;;;;6
BZ;Moduli Print B.V.;;1;;;;1
BZ;Moooi B.V.;;1;;;;1
BZ;Munckhof Taxi B.V.;;1;;;;1
BZ;Natural Bag;;1;;;;1
BZ;Nauta Security Storage B.V.;;1;;;;1
BZ;Nedelko B.V.;;1;;;;1
BZ;Nespresso Nederland B.V.;;1;;;;1
BZ;NFGD Zoetermeer B.V.;;2;;;;2
BZ;Nieuw-Europa;;1;;;;1
BZ;NOC*NSF;;1;;;;1
BZ;Noor Images B.V.;;1;;;;1
BZ;Nostalux B.V.;;1;;;;1
BZ;NOVI Educational Services B.V.;;1;;;;1
BZ;NRC Media B.V.;;1;;;;1
BZ;officebo.de;;;;;1;1
BZ;Opdevloer Coaching & Training;;1;;;;1
BZ;ORTEC B.V.;;1;;;;1
BZ;Paagman B.V.;;1;;;;1
BZ;Part-up B.V.;;1;;;;1
BZ;PathoFinder B.V.;;1;;;;1
BZ;PEC Zwolle Werkt;;1;;;;1
BZ;Pels Rijcken & Droogleever Fortuijn N.V.;;1;;;;1
BZ;Pitch Professional;;1;;;;1
BZ;Postcode.eu;;1;;;;1
BZ;privacymanager;;1;;;;1
BZ;Procardio B.V.;;1;;;;1
BZ;Promopodium B.V.;;1;;;;1
BZ;Pyongyang Design;;1;;;;1
BZ;Quinton Brandveiligheid B.V.;;1;;;;1
BZ;Quiz Brothers;;1;;;;1
BZ;Ritom Beveiligingstechniek B.V.;;1;;;;1
BZ;Rollema Transport B.V.;;1;;;;1
BZ;S.S. Walker;;1;;;;1
BZ;SBI Training en Advies/FNV Formaat B.V.;;1;;;;1
BZ;Schut-Copex B.V.;;;;;4;4
BZ;Sdu Uitgevers B.V.;;4;;;;4
BZ;Semaphore Signs B.V.;;1;;;;1
BZ;SoapBox B.V.;;2;;;;2
BZ;Speer Publications;;1;;;;1
BZ;Stichting Dutch Future Society;;1;;;;1
BZ;Stichting Fonds Instituut Clingendael;;1;;;;1
BZ;Stichting NBTC Holland Marketing;;1;;;;1
BZ;Stichting Vliegramp Tripoli;;2;;;;2
BZ;Stichting Waarborgfonds Politie;;1;;;;1
BZ;Studievereniging Onwijs;;1;;;;1
BZ;Sweco Nederland B.V.;;;;;1;1
BZ;Technolab B.V.;;;;;1;1
BZ;The Language Collective;;2;;;;2
BZ;Tolk/Vertaal Bureau 'Citaat';;1;;;;1
BZ;Tony Parr Business Translations;;1;;;;1
BZ;Triple Blue;;1;;;;1
BZ;TwynstraGudde Adviseurs;;2;;;;2
BZ;UniCarriers Netherlands B.V.;;2;;;;2
BZ;Van Kappel Security Solutions B.V.;;1;;;;1
BZ;Vertas B.V.;;2;;;;2
BZ;Virginia Vition;;1;;;;1
BZ;Wirtz, Film & Experience Agency B.V.;;1;;;;1
BZ;Worldmeetings.com B.V.;;1;;;;1
BZ;Write IT right;;1;;;;1
BZ;Xerox (Nederland) B.V.;;2;;;;2
BZ;Youfacilitate B.V.;;1;;;;1
BZK;.FABRIC;;3;;;;3
BZK;19 het atelier architecten;;1;;;;1
BZK;2Bcreated;;1;;;;1
BZK;310k;;2;;;;2
BZK;360 Veiligheid B.V.;;1;;;;1
BZK;3DX3;;1;;;;1
BZK;4A Engineering B.V.;;1;;;;1
BZK;64.IFH geschlossener Immobilienfonds für Holland GmbH & Co. KG;;;3;;6;6
BZK;A. Hak Rijnmond B.V.;;1;;;;1
BZK;A. Hak West B.V.;;4;2;;;4
BZK;A.C. Autocare Nederland;;2;;;;2
BZK;A.C.C. Aruba Climate Control N.V.;;2;;;;2
BZK;A.H. van Voorthuijsen;;;;;1;1
BZK;A.H. Vrij Groen, Grond en Infra B.V.;;4;;;;4
BZK;A.M.K. Oirschot V.O.F.;;1;;;;1
BZK;A.R.K. Audio-video B.V.;;2;;;;2
BZK;A.S.B. Inbraakbeveiliging;;2;;;;2
BZK;A.T.S. Trading;;2;;;;2
BZK;A1 Expresskoerier;;;;;1;1
BZK;A3MC Management & Consultancy B.V.;;2;;;;2
BZK;Aa & C Nederland B.V.;;2;;;;2
BZK;AA Installatietechniek Nederland B.V.;;3;2;;;3
BZK;Aakwadraat Networks B.V.;;3;2;;;3
BZK;Aalbers - Indeko B.V.;;1;;;;1
BZK;Aalbers Constr.werkpl. en Machinefabriek B.V.;;2;;;;2
BZK;Aann.- en Verhuurbedr. J. Hoondert & Zn. B.V.;;2;;;;2
BZK;Aann.bedr. P.A. van Miltenburg & Zn. B.V.;;5;;;;5
BZK;Aannem.maatsch. De Vries & Van de Wiel B.V.;;1;;;;1
BZK;Aannemersbedrijf A. Faber B.V.;;3;;;;3
BZK;Aannemersbedrijf Fokker B.V.;;1;;;;1
BZK;Aannemersbedrijf Gebroeders Horstink B.V.;;2;;;;2
BZK;Aannemersbedrijf M.P. Drijvers B.V.;;5;;;;5
BZK;Aannemersbedrijf Peters B.V.;;3;;;;3
BZK;Aannemersbedrijf Roseboom B.V.;;4;;;;4
BZK;Aannemersbedrijf Versteeg;;4;;;;4
BZK;Aannemings- en Install.Bedr. Kwakernaak B.V.;;4;;;;4
BZK;Aannemingsbedrijf A. Tuin Den Helder B.V.;;2;;;;2
BZK;Aannemingsbedrijf A.W.M. Meeusen en Zn. B.V.;;5;;;;5
BZK;Aannemingsbedrijf Carlebur B.V.;;6;;;;6
BZK;Aannemingsbedrijf De Bokx B.V.;;1;;;;1
BZK;Aannemingsbedrijf Dozy B.V.;;5;;;;5
BZK;Aannemingsbedrijf Draisma B.V.;;7;;;;7
