Identificatie;Datum zaak start;Stap;Zaakstatus;Datum zaak uiterste;Hoofdcategorie (zaaktype mor);Subcategorie (zaaktype mor);straat (zaaktype mor);Ter hoogte van (zaaktype mor);Wijk (zaaktype mor)
151235;30-9-2015 16:19;Definitief afgesloten;Afgesloten;7-10-2015 16:19;Afvalinzameling en milieu;Zwerfvuil;Slotlaan;;Zeist Centrum
144262;19-6-2015 9:25;Definitief afgesloten;Afgesloten;22-6-2015 9:25;Afvalinzameling en milieu;Afvaldumping;Kampdwarsweg;Bij snelweg begin bospad Verlengde Slotlaan;Zeist Oost
135637;23-2-2015 19:28;Definitief afgesloten;Afgesloten;2-3-2015 19:28;Afvalinzameling en milieu;Zwerfvuil;Brugakker;5001;Zeist West
148491;20-8-2015 14:55;Definitief afgesloten;Afgesloten;27-8-2015 14:55;Afvalinzameling en milieu;Zwerfvuil;Warande;;Zeist Noord
135645;24-2-2015 8:21;Definitief afgesloten;Afgesloten;25-2-2015 8:21;Afvalinzameling en milieu;Afvaldumping;Graaf Adolflaan;;Zeist Oost
145259;2-7-2015 16:01;Definitief afgesloten;Afgesloten;3-7-2015 16:01;Afvalinzameling en milieu;Afvaldumping;Warande;door heel Warande;Zeist Noord
157774;9-12-2015 7:00;Definitief afgesloten;Afgesloten;10-12-2015 7:00;Afvalinzameling en milieu;Volle prullenbakken;Griffensteijnselaan;;Zeist West
147244;30-7-2015 7:00;Definitief afgesloten;Afgesloten;6-8-2015 7:00;Straatmeubilair;Verkeers-/ straatnaambord;Steniaweg;Steniahof;Zeist Centrum
148779;25-8-2015 15:27;Definitief afgesloten;Afgesloten;1-9-2015 15:27;Groen;Struiken;Laan van Vollenhove;;Zeist Noord
151995;12-10-2015 9:57;In behandeling;In behandeling;19-10-2015 9:57;Wegen, fiets- en voetpaden;Gebreken fiets-/voetpaden;Frederik Hendriklaan;;Zeist Oost
137241;16-3-2015 10:39;Definitief afgesloten;Afgesloten;23-3-2015 10:39;Straatmeubilair;Verkeers-/ straatnaambord;Laan van Vollenhove;;Zeist Noord
145950;13-7-2015 13:28;Definitief afgesloten;Afgesloten;14-7-2015 13:28;Riolering;Putdeksel;Odijkerweg;nummer 126;Zeist Oost
144247;17-6-2015 7:00;Definitief afgesloten;Afgesloten;24-6-2015 7:00;Wegen, fiets- en voetpaden;Overlast onkruid op bestrating;Nijenheim;;Zeist West
155782;27-11-2015 7:00;Definitief afgesloten;Afgesloten;4-12-2015 7:00;Afvalinzameling en milieu;Bladoverlast;Amalia van Solmslaan;;Zeist Oost
153170;28-10-2015 7:00;Definitief afgesloten;Afgesloten;29-10-2015 7:00;Afvalinzameling en milieu;Afvaldumping;Arnoldus Stramroodlaan;;Zeist Noord
158204;14-12-2015 10:52;Definitief afgesloten;Afgesloten;21-12-2015 10:52;Verlichting;Overig (verlichting);Cronjélaan;058?/0007;Zeist Centrum
