Kenteken,Montagedatum,Demontagedatum,Soort toe te voegen object omschrijving,Merk object toegevoegd,Gasinstallatie tank inhoud,Merkcode toegevoegd object,Uitvoerings volgnr toegev obj,Classificatie toegevoegd obj,Montagedatum DT,Demontagedatum DT
0004ZT,19980831,0,LPG Installatie,,55,GEEN,0,G2,08/31/1998 12:00:00 AM,
0011UE,19980128,0,LPG Installatie,,60,GEEN,0,,01/28/1998 12:00:00 AM,
0012VM,19980331,0,LPG Installatie,,85,GEEN,0,,03/31/1998 12:00:00 AM,
0015PT,20130503,0,LPG Installatie,,54,GEEN,0,G2,05/03/2013 12:00:00 AM,
0025PL,19951117,0,LPG Installatie,,70,( ),-1,,11/17/1995 12:00:00 AM,
0026FN,20150731,0,LPG Installatie,IMPCO,70,GEEN,0,,07/31/2015 12:00:00 AM,
0026JB,20151222,0,LPG Installatie,OMVL,100,GEEN,0,,12/22/2015 12:00:00 AM,
0028VR,19980703,0,LPG Installatie,,85,GEEN,0,,07/03/1998 12:00:00 AM,
0031PT,19970407,0,LPG Installatie,,60,( ),-1,,04/07/1997 12:00:00 AM,
0034JK,20130708,0,LPG Installatie,,30,GEEN,0,G2,07/08/2013 12:00:00 AM,
0035MU,19960717,0,LPG Installatie,,60,( ),-1,,07/17/1996 12:00:00 AM,
0037XF,19960426,0,LPG Installatie,,49,( ),-1,,04/26/1996 12:00:00 AM,
0046UJ,20000315,0,LPG Installatie,,85,VIAU,1,G2,03/15/2000 12:00:00 AM,
0046XE,20040402,0,LPG Installatie,GEE,45,GEEN,1,G2,04/02/2004 12:00:00 AM,
0049PK,19971231,0,LPG Installatie,,70,GEEN,0,,12/31/1997 12:00:00 AM,
0057TV,19971031,0,LPG Installatie,,70,GEEN,0,,10/31/1997 12:00:00 AM,
0059FL,19950208,0,LPG Installatie,,52,( ),-1,,02/08/1995 12:00:00 AM,
0059FN,20190606,0,LPG Installatie,IMPCO,70,GEEN,0,,06/06/2019 12:00:00 AM,
0066SB,20121019,0,LPG Installatie,,45,GEEN,0,G2,10/19/2012 12:00:00 AM,
0072EB,19970919,0,Tachograaf,VDO,,( ),-1,,09/19/1997 12:00:00 AM,
0072ZJ,20060705,0,LPG Installatie,,60,GEEN,0,G2,07/05/2006 12:00:00 AM,
0074ZK,20000510,0,LPG Installatie,,85,GEEN,0,G2,05/10/2000 12:00:00 AM,
0074ZZ,20190328,0,Tachograaf,DTCO 1381,,( ),-1,,03/28/2019 12:00:00 AM,
0075ZZ,20190314,0,Tachograaf,DTCO1381,,( ),-1,,03/14/2019 12:00:00 AM,
0076ZZ,0,0,Tachograaf,,,COAD,1020,,,
0076ZZ,20170327,0,Tachograaf,CONTINENTAL,,( ),-1,,03/27/2017 12:00:00 AM,
0077ZZ,0,0,Tachograaf,,,COAD,1021,,,
0077ZZ,20170406,0,Tachograaf,CONTINENTAL,,( ),-1,,04/06/2017 12:00:00 AM,
0080EB,20000515,0,LPG Installatie,,85,GEEN,0,G2,05/15/2000 12:00:00 AM,
0086SU,19981006,0,LPG Installatie,,70,GEEN,0,,10/06/1998 12:00:00 AM,
0088XA,20041124,0,LPG Installatie,,45,GEEN,0,G2,11/24/2004 12:00:00 AM,
0089BU,20120807,0,LPG Installatie,,70,GEEN,0,G2,08/07/2012 12:00:00 AM,
0091UJ,20000523,0,LPG Installatie,,60,GEGU,1234,G2,05/23/2000 12:00:00 AM,
0097UA,20080221,0,LPG Installatie,GEE,52,GEEN,1,G2,02/21/2008 12:00:00 AM,
0098UA,20080808,0,LPG Installatie,,85,VOGD,1002,G2,08/08/2008 12:00:00 AM,
0099PH,20210902,0,LPG Installatie,IMPCO,100,( ),-1,,09/02/2021 12:00:00 AM,
00AV51,20170317,0,LPG Installatie,VOGELS,80,GEEN,0,,03/17/2017 12:00:00 AM,
00AV62,19990816,0,LPG Installatie,,52,GEEN,0,G2,08/16/1999 12:00:00 AM,
00BBB2,0,0,Tachograaf,,,COAD,1030,,,
00BBB2,20180327,0,Tachograaf,CONTINENTAL,,( ),-1,,03/27/2018 12:00:00 AM,
00BBB3,0,0,Tachograaf,,,COAD,1014,,,
00BBB3,20180725,0,Tachograaf,CONTINENTAL,,( ),-1,,07/25/2018 12:00:00 AM,
00BBB4,20120913,0,LPG Installatie,prins,100,PRID,1025,G3,09/13/2012 12:00:00 AM,
00BBB6,0,0,Tachograaf,,,STOD,1073,,,
00BBB6,20170808,0,Tachograaf,SE 5000,,( ),-1,,08/08/2017 12:00:00 AM,
00BBB7,0,0,Tachograaf,,,COAD,1014,,,
00BBB7,20180710,0,Tachograaf,CONTINENTAL,,( ),-1,,07/10/2018 12:00:00 AM,
00BBB9,0,0,Tachograaf,,,STOD,1074,,,
00BBB9,20180727,0,Tachograaf,STONERIDGE,,( ),-1,,07/27/2018 12:00:00 AM,
00BBD9,0,0,Tachograaf,,,COAD,1014,,,
00BBD9,20171129,0,Tachograaf,CONTINENTAL,,( ),-1,,11/29/2017 12:00:00 AM,
00BBF2,0,0,Tachograaf,,,COAD,1020,,,
00BBF2,20181030,0,Tachograaf,CONTINENTAL,,( ),-1,,10/30/2018 12:00:00 AM,
00BBF3,0,0,Tachograaf,,,COAD,1014,,,
00BBF3,20171228,0,Tachograaf,CONTI 1381,,( ),-1,,12/28/2017 12:00:00 AM,
00BBF6,0,0,Tachograaf,,,COAD,1014,,,
00BBF6,20181019,0,Tachograaf,CONTINENTAL,,( ),-1,,10/19/2018 12:00:00 AM,
00BBG3,0,0,Tachograaf,,,COAD,1020,,,
00BBG3,20171116,0,Tachograaf,CONTINENTAL,,( ),-1,,11/16/2017 12:00:00 AM,
00BBG6,0,0,Tachograaf,,,COAD,1020,,,
00BBG6,20181024,0,Tachograaf,V D O,,( ),-1,,10/24/2018 12:00:00 AM,
00BBG7,0,0,Tachograaf,,,COAD,1020,,,
00BBG7,20181001,0,Tachograaf,CONTINENTAL,,( ),-1,,10/01/2018 12:00:00 AM,
00BBG8,0,0,Tachograaf,,,STOD,1063,,,
00BBG8,20180906,0,Tachograaf,STONERIDGE,,( ),-1,,09/06/2018 12:00:00 AM,
00BBH1,0,0,Tachograaf,,,COAD,1014,,,
00BBH1,20181031,0,Tachograaf,DTCO1381,,( ),-1,,10/31/2018 12:00:00 AM,
00BBH1,20210621,0,Tachograaf,,,COAD,1030,,06/21/2021 12:00:00 AM,
00BBH5,0,0,Tachograaf,,,COAD,1220,,,
00BBH5,20190311,0,Tachograaf,CONTINENTAL,,( ),-1,,03/11/2019 12:00:00 AM,
00BBH6,0,0,Tachograaf,,,COAD,1130,,,
00BBH6,20190117,0,Tachograaf,SIEMENS VDO1381,,( ),-1,,01/17/2019 12:00:00 AM,
00BBH7,0,0,Tachograaf,,,COAD,1014,,,
00BBH7,20180911,0,Tachograaf,KIENZLE 1381,,( ),-1,,09/11/2018 12:00:00 AM,
00BBH9,0,0,Tachograaf,,,COAD,1014,,,
00BBH9,20180823,0,Tachograaf,CONTINENTAL,,( ),-1,,08/23/2018 12:00:00 AM,
00BBJ1,0,0,Tachograaf,,,COAD,1020,,,
00BBJ1,20181109,0,Tachograaf,V D O,,( ),-1,,11/09/2018 12:00:00 AM,
00BBJ2,0,0,Tachograaf,,,COAD,1014,,,
00BBJ2,20181030,0,Tachograaf,VDO 1381,,( ),-1,,10/30/2018 12:00:00 AM,
00BBJ5,0,0,Tachograaf,,,COAD,1200,,,
00BBJ5,20180620,0,Tachograaf,SIEMENS VDO,,( ),-1,,06/20/2018 12:00:00 AM,
00BBJ7,0,0,Tachograaf,,,STOD,1074,,,
00BBJ7,20181219,0,Tachograaf,SE5000,,( ),-1,,12/19/2018 12:00:00 AM,
00BBJ8,0,0,Tachograaf,,,COAD,1020,,,
00BBJ8,20190419,0,Tachograaf,CONTINENTAL,,( ),-1,,04/19/2019 12:00:00 AM,
00BBK4,0,0,Tachograaf,,,COAD,1020,,,
00BBK4,20181203,0,Tachograaf,CONTINENTAL,,( ),-1,,12/03/2018 12:00:00 AM,
00BBK5,0,0,Tachograaf,,,COAD,1020,,,
00BBK5,20190531,0,Tachograaf,CONTINENTAL,,( ),-1,,05/31/2019 12:00:00 AM,
00BBK6,0,0,Tachograaf,,,COAD,1020,,,
00BBK6,20170215,0,Tachograaf,CONTINENTAL,,( ),-1,,02/15/2017 12:00:00 AM,
00BBK9,0,0,Tachograaf,,,COAD,1020,,,
00BBK9,20181128,0,Tachograaf,DCTO 1381,,( ),-1,,11/28/2018 12:00:00 AM,
00BBL2,0,0,Tachograaf,,,STOD,1076,,,
00BBL2,20181105,0,Tachograaf,SE 5000,,( ),-1,,11/05/2018 12:00:00 AM,
00BBL8,0,0,Tachograaf,,,COAD,1020,,,
00BBL8,20181126,0,Tachograaf,CONTINENTAL,,( ),-1,,11/26/2018 12:00:00 AM,
00BBL9,20161229,0,Tachograaf,VDO1381,,( ),-1,,12/29/2016 12:00:00 AM,
00BBN1,0,0,Tachograaf,,,COAD,1020,,,
00BBN1,20181011,0,Tachograaf,DCTO 1381,,( ),-1,,10/11/2018 12:00:00 AM,
00BBN3,0,0,Tachograaf,,,COAD,1020,,,
00BBN3,20170227,0,Tachograaf,SIEMENS,,( ),-1,,02/27/2017 12:00:00 AM,
00BBN3,20210719,0,Tachograaf,,,COAD,1300,,07/19/2021 12:00:00 AM,
00BBN4,20190304,0,Tachograaf,IVECO VDO,,( ),-1,,03/04/2019 12:00:00 AM,
00BBN4,20210429,0,Tachograaf,,,COAD,1030,,04/29/2021 12:00:00 AM,
00BBN5,0,0,Tachograaf,,,COAD,1020,,,
00BBN5,20190124,0,Tachograaf,SIEMENS,,( ),-1,,01/24/2019 12:00:00 AM,
00BBN7,0,0,Tachograaf,,,COAD,1020,,,
00BBN7,20170213,0,Tachograaf,DCTO 1381,,( ),-1,,02/13/2017 12:00:00 AM,
00BBP2,0,0,Tachograaf,,,COAD,1020,,,
00BBP2,20190118,0,Tachograaf,CONTINENTAL,,( ),-1,,01/18/2019 12:00:00 AM,
00BBP4,0,0,Tachograaf,,,COAD,1020,,,
00BBP4,20190424,0,Tachograaf,SIEMENS VDO,,( ),-1,,04/24/2019 12:00:00 AM,
00BBP6,0,0,Tachograaf,,,COAD,1014,,,
00BBP6,20180214,0,Tachograaf,SIEMENS 1381,,( ),-1,,02/14/2018 12:00:00 AM,
00BBP7,0,0,Tachograaf,,,COAD,1020,,,
00BBP7,20190211,0,Tachograaf,VDO,,( ),-1,,02/11/2019 12:00:00 AM,
00BBR4,20150401,0,Tachograaf,SE5000,,( ),-1,,04/01/2015 12:00:00 AM,
00BBR5,0,0,Tachograaf,,,COAD,1020,,,
00BBR5,20190329,0,Tachograaf,VDO,,( ),-1,,03/29/2019 12:00:00 AM,
00BBR7,0,0,Tachograaf,,,STOD,1074,,,
00BBR7,20190305,0,Tachograaf,STONERIDGE,,( ),-1,,03/05/2019 12:00:00 AM,
00BBS1,0,0,Tachograaf,,,COAD,1030,,,
00BBS1,20171229,0,Tachograaf,DCTO 1381,,( ),-1,,12/29/2017 12:00:00 AM,
00BBS2,0,0,Tachograaf,,,COAD,1020,,,
00BBS2,20180921,0,Tachograaf,CONTINENTAL,,( ),-1,,09/21/2018 12:00:00 AM,
00BBS6,0,0,Tachograaf,,,COAD,1020,,,
00BBS6,20190409,0,Tachograaf,CONTINENTAL,,( ),-1,,04/09/2019 12:00:00 AM,
00BBT3,20190405,0,Tachograaf,CONTINENTAL1381,,( ),-1,,04/05/2019 12:00:00 AM,
00BBT3,20210414,0,Tachograaf,,,COAD,1020,,04/14/2021 12:00:00 AM,
00BBT5,0,0,Tachograaf,,,COAD,1030,,,
00BBT5,20190508,0,Tachograaf,CONTENTAL AUT,,( ),-1,,05/08/2019 12:00:00 AM,
00BBT7,0,0,Tachograaf,,,COAD,1020,,,
00BBT7,20190402,0,Tachograaf,VDO,,( ),-1,,04/02/2019 12:00:00 AM,
00BBV1,0,0,Tachograaf,,,COAD,1020,,,
00BBV1,20190103,0,Tachograaf,SIEMENS VDO,,( ),-1,,01/03/2019 12:00:00 AM,
00BBV3,20190613,0,Tachograaf,CONTINENTAL1381,,( ),-1,,06/13/2019 12:00:00 AM,
00BBV4,0,0,Tachograaf,,,COAD,1020,,,
00BBV4,20181227,0,Tachograaf,CONTINENTAL,,( ),-1,,12/27/2018 12:00:00 AM,
