Leveranciersnaam;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;3130 - Uitbesteden communicatieadvies;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5110 - Verblijf extern;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9500 - AZ specifiek;Eindtotaal
(BBP) Beerens-Business Press B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1
1848 B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1
2d3d Bureau v. 2 & 3 Dimens. Vormgev. B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2
31Volts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
7AM B.V.;;;1;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;1;;;2
A. v. Huijstee-de Mildt Opl., Train. & Advies;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A. Vernooij;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A.C.S. B.V.;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
A.P. van Staveren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
About Flowers;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
AD NieuwsMedia B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1
