Leveranciers;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;7-Huisvesting
Aircorent;1;;;;1
Aloys Roemaat Transport;1;;;;1
Alter Haaglanden;1;;;;1
Cleanbuilding;2;;;;2
De Kluizenier;1;;;;1
Douwe Egberts;1;;;;1
Drager Safety & Medical;1;;;;1
Drentea Kantoormeubelen;1;;;;1
Eneco (incl. Utiliq, Vaney, Joulz);;2;;;2
GOM Schoonhouden;1;;;;1
Haver Zonwering;;;1;;1
Inbraakpreventie;1;;;;1
Klikmaxx BV;1;;;;1
Kluisspecialist;1;;;;1
Kop Beveiliging;1;;;;1
KPN (incl. Getronics, PTT Telecom);1;;;;1
Kropholler Tweewielers;1;;;;1
Lambert & Company BV;1;;;;1
Manutan (vh Overtoom International);1;;;;1
Multirent;;;1;;1
Neopost (incl. Neopost Finance);1;;;;1
Perinco Real Estate;;;;2;2
Pol.nl Wegbebakening, Bewegwijzering, Politietechniek;1;;;;1
Property View;;;;4;4
Protinus It;2;;;;2
Q-Park;1;;;;1
Rentokil Initial (incl. Initial Hokatex, Rentokil Hokatex, Ambius, Westplant Gree Facility);1;;;;1
Rodi Media;1;;;;1
SBK Facilitair Bedrijf (Stichting Beeldende Kunst);1;;;;1
Sleutelservice.com;1;;;;1
Stedin (vh Eneco Netbeheer, Mdds);;1;1;;1
Stichting Haags Openbaar Vervoer Mu;;;;1;1
TBI Techniek (incl. Croon Electrotechniek, Wolter & Dros, CWF);1;;;;1
Top Movers;2;;3;;4
Trip & Co;1;;;;1
UTS UniGroup Worlwide incl. UGRN, APC verhuizen;;;1;;1
VakwinkelTotaal (incl. buitenlampentotaal);1;;;;1
Van den Broek Systemen;1;;;1;1
Van Dorp Installaties, Service Equipe, Prolux;1;;;;1
Verschoor Groep;2;;;;2
Verwey Vastgoed (incl. Pronam);;;;3;3
Videma;1;;;;1
Video Schaay Avs Techn Handelsond;2;;;;2
Virtual Security;1;;;;1
Vitasys (incl. FastWell Office Automation);1;;;;1
Vitens;;1;;;1
Vonk;1;;;;1
Voorberg Bouwkunde;2;;;;2
Webshop Express;1;;;;1
Ziggo (vh Casema);1;;;;1
Zuidkoop Natural Projects;1;;;;1
Eindtotaal;4;3;3;4;6
