FID,blad,punt,netpos,organisati,adres,postcode,plaats,operatione,netwerk,station,x_rd_,y_rd_,phi_etrs89,lambda_etr,se_anno_cad_data,gdb_geomattr_data,shape
gnss_stations_rws_locaties.1,040,306,VLIE,RWS,Havenweg 23,8899BC,Vlieland,2010-12-02T00:00:00,RWS,11,135307,590010,"53 17 46,4040","5 05 30,68411",,,POINT (135306.75 590010.4299000017)
gnss_stations_rws_locaties.2,059,306,TERS,RWS,Dellewal 1,8881 EG,West-Terschellin,1996-10-30T00:00:00,KPN,12,143659,597313,"53 21 43,4850","5 13 00,69582",,,POINT (143658.9200000018 597312.8099999987)
gnss_stations_rws_locaties.3,069,346,LWRD,RWS,Zuidersingel 3,8911 AV,Leeuwarden,2005-10-01T00:00:00,RWS,11,181728,578990,"53 11 48,8120","5 47 13,69324",,,POINT (181727.51999999955 578989.7100000009)
gnss_stations_rws_locaties.4,070,344,DZYL,RWS,Zeesluizen 17,9936 HX,Farmsum,2005-10-01T00:00:00,RWS,1,258502,593737,"53 19 12,1301","6 56 25,53949",,,POINT (258501.879900001 593737.2100000009)
gnss_stations_rws_locaties.5,099,317,TXEL,RWS,Pontweg 4,1797 SR,Den Hoorn Texel,2005-10-01T00:00:00,RWS,11,114280,557728,"53 00 17,8917","4 46 50,14853",,,POINT (114280.41000000015 557728.2901000008)
gnss_stations_rws_locaties.6,119,339,JOUR,RWS,Sewei 4201,8501 SP,Joure,2005-10-01T00:00:00,RWS,11,183616,552807,"52 57 41,4940","5 48 47,07446",,,POINT (183615.8200000003 552807.3099000007)
gnss_stations_rws_locaties.7,199,359,ALK2,RWS,Kanaaldijk 301,1825 DB,Alkmaar,2008-08-07T00:00:00,RWS,11,111453,518325,"52 39 02,3936","4 44 37,32457",,,POINT (111452.60000000149 518324.9200000018)
gnss_stations_rws_locaties.8,209,315,LELY,RWS,Oostvaardersdijk 8A,8243 PA,Lelystad,2005-10-01T00:00:00,RWS,11,157299,501881,"52 30 16,6031","5 25 15,81771",,,POINT (157298.72989999875 501880.5599000007)
gnss_stations_rws_locaties.9,240,323,IJMU,RWS,Seinpostweg 50,1976 BT,IJmuiden,1996-08-27T00:00:00,KPN,1,98513,497460,"52 27 43,0961","4 33 21,80775",,,POINT (98513.4701000005 497459.62000000104)
gnss_stations_rws_locaties.10,310,353,UTR2,RWS,Papendorpseweg 101,3528 BJ,Utrecht,2008-11-01T00:00:00,RWS,11,134831,452744,"52 03 45,4503","5 05 35,13017",,,POINT (134831.05999999866 452744.05000000075)
gnss_stations_rws_locaties.11,379,348,HHOL,RWS,Stationsweg 61,3151 HR,Hoek van Holland,2006-04-01T00:00:00,RWS,11,68282,444025,"51 58 40,2802","4 07 29,98566",,,POINT (68281.96999999881 444025.19999999925)
gnss_stations_rws_locaties.12,420,331,SDYK,RWS,Brouwersluis 1,4322 NN,Scharendijke,2005-10-01T00:00:00,RWS,11,47198,418925,"51 44 55,0323","3 49 33,77994",,,POINT (47197.5700000003 418924.6799999997)
gnss_stations_rws_locaties.13,430,320,WIL2,RWS,Hellegatsweg 2 Rak zuid,4797SM,Willemstad,2010-12-18T00:00:00,KPN,11,86569,410869,"51 40 56,7421","4 23 51,68807",,,POINT (86568.93989999965 410869.16000000015)
gnss_stations_rws_locaties.14,459,345,LITH,RWS,Lithoijensedijk 4a,5396 NE,Lith,2005-10-01T00:00:00,RWS,11,159586,424410,"51 48 29,8880","5 27 13,32978",,,POINT (159586.2800000012 424410.2600999996)
gnss_stations_rws_locaties.15,469,343,BOXM,RWS,Maasstraat 8,5836 BB,Sambeek,2005-10-01T00:00:00,RWS,11,196233,405851,"51 38 23,9487","5 58 58,29313",,,POINT (196232.83999999985 405851.1400000006)
gnss_stations_rws_locaties.16,489,334,VLIS,RWS,Nabij Stationsplein (achte,4382 NN,Vlissingen,2006-11-22T00:00:00,KPN,1,30570,385281,"51 26 34,3503","3 35 50,36851",,,POINT (30569.519999999553 385280.55000000075)
gnss_stations_rws_locaties.17,499,322,RIL2,RWS,Oostelijke Schelde-Rijnweg, ,Rilland,2012-07-10T00:00:00,RWS,11,74744,385068,"51 26 56,3246","4 13 57,51185",,,POINT (74743.7901000008 385067.76000000164)
gnss_stations_rws_locaties.18,509,335,BRD2,RWS,Graaf Engelbertlaan 161,4837 DT,Breda,2009-03-18T00:00:00,RWS,11,110567,397354,"51 33 48,1349","4 44 47,00212",,,POINT (110566.62009999901 397354.0199000016)
gnss_stations_rws_locaties.19,540,323,SASG,RWS,Sint Anthoniekade 1,4554 AA,Westdorpe,2005-10-01T00:00:00,RWS,11,44768,361196,"51 13 45,8643","3 48 32,33863",,,POINT (44768.48999999836 361195.98999999836)
gnss_stations_rws_locaties.20,589,343,ROE2,RWS,Heinsbergerweg 148, ,Roermond,2011-07-28T00:00:00,RWS,11,198080,356057,"51 11 32,2411","6 00 12,43652",,,POINT (198079.5698999986 356057.48999999836)
gnss_stations_rws_locaties.21,610,326,EIJS,RWS,Schansweg 4,6245 SM,Eijsden a/d Maas,1996-08-27T00:00:00,KPN,2,175916,307630,"50 45 29,6557","5 41 00,98212",,,POINT (175916.42009999976 307629.9600000009)
gnss_stations_rws_locaties.22,610,327,MSTR,RWS,Avenue Ceramique 125,6221 KV,Maastricht,2005-10-01T00:00:00,RWS,11,177217,317269,"50 50 41,3848","5 42 09,43544",,,POINT (177216.6799999997 317268.6700000018)
