Waarde,Unieke paginaweergaves,Paginaweergaves,Totale tijd gespendeerd doordebezoekers (in sec),Aangeklikt in zoekresultaten,nb_hits_with_time_generation,min_time_generation,max_time_generation,Binnenkomsten,Acties na het hier in te voeren.,Totale tijd gespendeerd(in sec)nahethierintevoeren,Bounces,Unieke bezoekers (dagelijks totaal),Unieke ingangen (dagelijks totaal),Vertrekken,Unieke uitgangen (dagelijks totaal),Gem. tijd op pagina,Bounce Ratio,Exit ratio,Gem. generatie tijd,Metadata: url,Metadata: segment,
index,26300,38637,1936396,1348,30306,0.001,132.429,19616,159093,9741666,4025,25256,18858,6308,6109,74,21%,24%,0.49,http://utrecht.agile.alternet.nl/,pageUrl==http%3A%2F%2Futrecht.agile.alternet.nl%2F,
contact/afspraak-maken/index,24818,39168,1297072,379,29261,0.001,131.828,6764,35696,3646290,1293,23483,6239,2553,2323,52,19%,10%,0.538,http://www.utrecht.nl/contact/afspraak-maken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcontact%2Fafspraak-maken%2F,
Formulieren/flow/ - Andere,21857,34679,2730939,39,30420,0.001,284.754,353,3463,232887,116,3813,77,2348,362,125,33%,11%,0.892,,,
Loket/prodcat/products/ - Andere,21007,25741,2232917,4396,20542,0.001,517.142,5373,26009,2277806,2493,3915,1107,5260,1076,106,46%,25%,1.029,,,
startpagina/index,20173,29154,1530097,982,22402,0.001,181.374,14999,116381,7223717,3157,19268,14284,4986,4746,76,21%,25%,0.462,http://www.utrecht.nl/startpagina/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2F,
Loket/start.do,15004,23926,2019134,217,19173,0.001,875.448,2371,15474,1202865,1058,14624,2246,5712,5579,135,45%,38%,0.672,https://pki.utrecht.nl/Loket/start.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fstart.do,
parkeren/parkeren-bezoeker/parkeerplattegrond-utrecht/index,11625,15215,704925,119,9979,0.001,206.059,5141,18102,1502672,1206,11205,4925,2146,2048,61,23%,18%,0.6,http://www.utrecht.nl/parkeren/parkeren-bezoeker/parkeerplattegrond-utrecht/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bezoeker%2Fparkeerplattegrond-utrecht%2F,
afval/index,11200,14850,2084928,331,9316,0.001,46.337,7379,24625,2606783,4177,10863,7101,6346,6143,186,57%,57%,0.608,http://www.utrecht.nl/afval/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fafval%2F,
winkels-open/index,10144,13001,1910494,88,7231,0.001,47.822,8164,17148,2066950,6235,9891,7945,8093,7897,188,76%,80%,0.627,http://www.utrecht.nl/winkels-open/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwinkels-open%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=429,9761,12705,1466595,107,9166,0.001,185.413,5467,34825,3363517,1707,9359,5131,2926,2775,150,31%,30%,1.169,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=429,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D429,
